Date,SNE
1973-02-21,7.763636999999999
1973-02-22,7.581817999999999
1973-02-23,7.436364
1973-02-26,7.327273
1973-02-27,7.163636
1973-02-28,7.3090910000000004
1973-03-01,7.145453999999999
1973-03-02,7.036364
1973-03-05,6.636364
1973-03-06,6.727272999999999
1973-03-07,6.981818
1973-03-08,6.909091
1973-03-09,6.654545
1973-03-12,6.363636
1973-03-13,6.436364
1973-03-14,6.6909089999999996
1973-03-15,6.618182000000001
1973-03-16,6.6
1973-03-19,6.527273
1973-03-20,6.509091000000001
1973-03-21,6.218182
1973-03-22,6.0727269999999995
1973-03-23,6.2545459999999995
1973-03-26,6.436364
1973-03-27,6.745454
1973-03-28,6.818182000000001
1973-03-29,6.981818
1973-03-30,6.872727
1973-04-02,6.836364
1973-04-03,6.818182000000001
1973-04-04,6.727272999999999
1973-04-05,6.727272999999999
1973-04-06,6.945455
1973-04-09,7.109091
1973-04-10,7.236363000000001
1973-04-11,7.127273
1973-04-12,7.2
1973-04-13,7.127273
1973-04-16,6.854546000000001
1973-04-17,6.763636999999999
1973-04-18,6.763636999999999
1973-04-19,6.636364
1973-04-23,6.472727
1973-04-24,6.2
1973-04-25,6.018182
1973-04-26,6.109091
1973-04-27,6.090909
1973-04-30,6.0
1973-05-01,6.090909
1973-05-02,6.163636
1973-05-03,6.563636
1973-05-04,6.709091
1973-05-07,6.672727
1973-05-08,6.836364
1973-05-09,6.836364
1973-05-10,6.727272999999999
1973-05-11,6.672727
1973-05-14,6.363636
1973-05-15,6.4
1973-05-16,6.527273
1973-05-17,6.327273
1973-05-18,6.127273000000001
1973-05-21,6.163636
1973-05-22,6.418182
1973-05-23,6.4
1973-05-24,6.581817999999999
1973-05-25,6.709091
1973-05-29,6.654545
1973-05-30,6.472727
1973-05-31,6.381818
1973-06-01,6.181818
1973-06-04,6.145454
1973-06-05,6.272727
1973-06-06,6.363636
1973-06-07,6.490908999999999
1973-06-08,6.6909089999999996
1973-06-11,6.8
1973-06-12,6.981818
1973-06-13,6.872727
1973-06-14,6.563636
1973-06-15,6.381818
1973-06-18,6.3090910000000004
1973-06-19,6.163636
1973-06-20,6.036364
1973-06-21,5.836364
1973-06-22,6.109091
1973-06-25,5.636364
1973-06-26,5.836364
1973-06-27,5.872726999999999
1973-06-28,5.890909
1973-06-29,5.854546
1973-07-02,5.818182
1973-07-03,5.854546
1973-07-05,5.818182
1973-07-06,5.818182
1973-07-09,5.763637
1973-07-10,5.909091
1973-07-11,6.381818
1973-07-12,6.436364
1973-07-13,6.4545449999999995
1973-07-16,6.6
1973-07-17,6.8
1973-07-18,6.8
1973-07-19,6.7818179999999995
1973-07-20,7.054545
1973-07-23,7.236363000000001
1973-07-24,7.254546
1973-07-25,7.272727000000001
1973-07-26,7.2
1973-07-27,7.090909
1973-07-30,6.6909089999999996
1973-07-31,6.654545
1973-08-01,6.654545
1973-08-02,6.836364
1973-08-03,6.818182000000001
1973-08-06,6.890909
1973-08-07,7.109091
1973-08-08,6.981818
1973-08-09,7.0
1973-08-10,6.981818
1973-08-13,6.909091
1973-08-14,6.727272999999999
1973-08-15,6.6909089999999996
1973-08-16,6.509091000000001
1973-08-17,6.436364
1973-08-20,6.4545449999999995
1973-08-21,6.418182
1973-08-22,6.345455
1973-08-23,6.4
1973-08-24,6.472727
1973-08-27,6.581817999999999
1973-08-28,6.6
1973-08-29,6.654545
1973-08-30,6.709091
1973-08-31,6.618182000000001
1973-09-04,6.7818179999999995
1973-09-05,6.909091
1973-09-06,6.872727
1973-09-07,6.763636999999999
1973-09-10,6.4
1973-09-11,6.4545449999999995
1973-09-12,6.472727
1973-09-13,6.4545449999999995
1973-09-14,6.654545
1973-09-17,6.727272999999999
1973-09-18,6.654545
1973-09-19,6.872727
1973-09-20,6.927273
1973-09-21,6.890909
1973-09-24,6.709091
1973-09-25,6.8
1973-09-26,6.6909089999999996
1973-09-27,6.6909089999999996
1973-09-28,6.672727
1973-10-01,6.563636
1973-10-02,6.472727
1973-10-03,6.727272999999999
1973-10-04,6.581817999999999
1973-10-05,6.618182000000001
1973-10-08,6.563636
1973-10-09,6.527273
1973-10-10,6.363636
1973-10-11,6.472727
1973-10-12,6.472727
1973-10-15,6.436364
1973-10-16,6.4545449999999995
1973-10-17,6.436364
1973-10-18,6.272727
1973-10-19,5.781818
1973-10-22,5.654545
1973-10-23,5.5454550000000005
1973-10-24,5.563636
1973-10-25,5.7454540000000005
1973-10-26,5.618182
1973-10-29,5.636364
1973-10-30,5.581818
1973-10-31,5.654545
1973-11-01,5.563636
1973-11-02,5.4545449999999995
1973-11-05,5.4545449999999995
1973-11-06,5.418182
1973-11-07,5.418182
1973-11-08,5.236363
1973-11-09,4.909091
1973-11-12,4.8
1973-11-13,4.5454550000000005
1973-11-14,4.218182
1973-11-15,4.290909
1973-11-16,4.672727
