Date,CHPXF
2011-04-21,4.51
2011-04-25,4.51
2011-04-26,4.51
2011-04-27,4.51
2011-04-28,4.3
2011-04-29,4.3
2011-05-02,4.35
2011-05-03,4.35
2011-05-04,4.35
2011-05-05,4.35
2011-05-06,4.35
2011-05-09,4.35
2011-05-10,4.35
2011-05-11,4.35
2011-05-12,4.35
2011-05-13,4.28
2011-05-16,4.28
2011-05-17,4.28
2011-05-18,4.28
2011-05-19,4.28
2011-05-20,4.28
2011-05-23,4.28
2011-05-24,4.28
2011-05-25,4.05
2011-05-26,4.06
2011-05-27,4.05
2011-05-31,4.05
2011-06-01,4.05
2011-06-02,4.05
2011-06-03,4.05
2011-06-06,4.05
2011-06-07,4.15
2011-06-08,4.15
2011-06-09,4.15
2011-06-10,4.15
2011-06-13,4.15
2011-06-14,4.15
2011-06-15,4.15
2011-06-16,4.15
2011-06-17,4.15
2011-06-20,4.15
2011-06-21,4.15
2011-06-22,4.15
2011-06-23,3.85
2011-06-24,3.85
2011-06-27,3.85
2011-06-28,3.85
2011-06-29,3.85
2011-06-30,3.85
2011-07-01,3.85
2011-07-05,3.85
2011-07-06,3.85
2011-07-07,4.0
2011-07-08,4.0
2011-07-11,4.05
2011-07-12,4.0
2011-07-13,4.05
2011-07-14,3.95
2011-07-15,4.05
2011-07-18,4.05
2011-07-19,4.0
2011-07-20,4.05
2011-07-21,4.1
2011-07-22,4.15
2011-07-25,4.15
2011-07-26,4.03
2011-07-27,4.0
2011-07-28,4.0
2011-07-29,4.0
2011-08-01,4.0
2011-08-02,4.0
2011-08-03,3.93
2011-08-04,3.8
2011-08-05,3.8
2011-08-08,3.8
2011-08-09,3.55
2011-08-10,3.62
2011-08-11,3.62
2011-08-12,3.62
2011-08-15,3.62
2011-08-16,3.62
2011-08-17,3.62
2011-08-18,3.62
2011-08-19,3.62
2011-08-22,3.62
2011-08-23,3.62
2011-08-24,3.62
2011-08-25,3.6
2011-08-26,3.6
2011-08-29,3.6
2011-08-30,3.65
2011-08-31,3.65
2011-09-01,3.65
2011-09-02,3.65
2011-09-06,3.65
2011-09-07,3.65
2011-09-08,3.65
2011-09-09,3.65
2011-09-12,3.65
2011-09-13,3.65
2011-09-14,3.65
2011-09-15,3.5
2011-09-16,3.5
