Date,D
1981-02-26,3.583333
1981-02-27,3.5
1981-03-02,3.416667
1981-03-03,3.416667
1981-03-04,3.458333
1981-03-05,3.5
1981-03-06,3.583333
1981-03-09,3.583333
1981-03-10,3.666667
1981-03-11,3.625
1981-03-12,3.708333
1981-03-13,3.666667
1981-03-16,3.708333
1981-03-17,3.791667
1981-03-18,3.833333
1981-03-19,3.791667
1981-03-20,3.791667
1981-03-23,3.708333
1981-03-24,3.708333
1981-03-25,3.708333
1981-03-26,3.708333
1981-03-27,3.625
1981-03-30,3.625
1981-03-31,3.708333
1981-04-01,3.708333
1981-04-02,3.791667
1981-04-03,3.833333
1981-04-06,3.791667
1981-04-07,3.75
1981-04-08,3.708333
1981-04-09,3.75
1981-04-10,3.708333
1981-04-13,3.666667
1981-04-14,3.666667
1981-04-15,3.708333
1981-04-16,3.75
1981-04-20,3.75
1981-04-21,3.75
1981-04-22,3.833333
1981-04-23,3.833333
1981-04-24,3.833333
1981-04-27,3.791667
1981-04-28,3.833333
1981-04-29,3.75
1981-04-30,3.708333
1981-05-01,3.75
1981-05-04,3.708333
1981-05-05,3.625
1981-05-06,3.583333
1981-05-07,3.541667
1981-05-08,3.666667
1981-05-11,3.625
1981-05-12,3.708333
1981-05-13,3.791667
1981-05-14,3.791667
1981-05-15,3.75
1981-05-18,3.791667
1981-05-19,3.833333
1981-05-20,3.791667
1981-05-21,3.75
1981-05-22,3.75
1981-05-26,3.791667
1981-05-27,3.625
1981-05-28,3.666667
1981-05-29,3.708333
1981-06-01,3.708333
1981-06-02,3.708333
1981-06-03,3.708333
1981-06-04,3.708333
1981-06-05,3.708333
1981-06-08,3.708333
1981-06-09,3.75
1981-06-10,3.833333
1981-06-11,3.833333
1981-06-12,3.916667
1981-06-15,4.0416669999999995
1981-06-16,4.0416669999999995
1981-06-17,4.0
1981-06-18,4.0416669999999995
1981-06-19,4.0
1981-06-22,4.0416669999999995
1981-06-23,4.0416669999999995
1981-06-24,4.0
1981-06-25,4.0
1981-06-26,3.958333
1981-06-29,4.0
1981-06-30,4.0
1981-07-01,3.958333
1981-07-02,3.916667
1981-07-06,3.875
1981-07-07,3.875
1981-07-08,3.875
1981-07-09,3.916667
1981-07-10,4.0
1981-07-13,3.958333
1981-07-14,3.958333
1981-07-15,3.958333
1981-07-16,3.916667
1981-07-17,3.916667
1981-07-20,3.875
1981-07-21,3.833333
1981-07-22,3.791667
