Date,JCDXF
2009-02-13,15.75
2009-02-17,15.75
2009-02-18,15.75
2009-02-19,15.75
2009-02-20,15.75
2009-02-23,15.75
2009-02-24,15.75
2009-02-25,15.75
2009-02-26,15.75
2009-02-27,15.75
2009-03-02,15.75
2009-03-03,15.75
2009-03-04,15.75
2009-03-05,15.75
2009-03-06,15.75
2009-03-09,12.5
2009-03-10,12.5
2009-03-11,10.15
2009-03-12,10.15
2009-03-13,10.02
2009-03-16,10.5
2009-03-17,10.5
2009-03-18,10.5
2009-03-19,10.5
2009-03-20,10.5
2009-03-23,10.5
2009-03-24,10.5
2009-03-25,11.2
2009-03-26,11.2
2009-03-27,11.2
2009-03-30,11.2
2009-03-31,11.2
2009-04-01,11.2
2009-04-02,11.2
2009-04-03,11.2
2009-04-06,11.2
2009-04-07,11.2
2009-04-08,11.2
2009-04-09,11.2
2009-04-13,11.2
2009-04-14,11.2
2009-04-15,13.15
2009-04-16,13.15
2009-04-17,13.15
2009-04-20,13.15
2009-04-21,13.15
2009-04-22,13.15
2009-04-23,13.15
2009-04-24,13.15
2009-04-27,13.15
2009-04-28,13.15
2009-04-29,13.15
2009-04-30,13.15
2009-05-01,13.15
2009-05-04,13.15
2009-05-05,16.25
2009-05-06,16.25
2009-05-07,16.25
2009-05-08,15.26
2009-05-11,15.26
2009-05-12,15.26
2009-05-13,15.26
2009-05-14,15.26
2009-05-15,15.26
2009-05-18,15.26
2009-05-19,15.26
2009-05-20,15.26
2009-05-21,15.26
2009-05-22,15.26
2009-05-26,15.26
2009-05-27,15.26
2009-05-28,15.26
2009-05-29,15.26
2009-06-01,15.26
2009-06-02,15.26
2009-06-03,15.26
2009-06-04,15.26
2009-06-05,15.26
2009-06-08,15.26
2009-06-09,15.26
2009-06-10,15.26
2009-06-11,15.26
2009-06-12,15.26
2009-06-15,15.26
2009-06-16,15.26
2009-06-17,15.26
2009-06-18,15.26
2009-06-19,15.26
2009-06-22,15.26
2009-06-23,15.26
2009-06-24,15.26
2009-06-25,15.26
2009-06-26,15.26
2009-06-29,15.26
2009-06-30,15.26
2009-07-01,15.26
2009-07-02,15.26
2009-07-06,15.26
2009-07-07,15.26
2009-07-08,15.26
2009-07-09,15.26
2009-07-10,15.26
2009-07-13,15.26
2009-07-14,15.26
2009-07-15,15.26
2009-07-16,15.26
2009-07-17,15.26
2009-07-20,15.26
2009-07-21,15.26
2009-07-22,15.26
2009-07-23,15.26
2009-07-24,15.26
2009-07-27,17.9
2009-07-28,17.9
2009-07-29,18.1
2009-07-30,18.1
2009-07-31,18.1
2009-08-03,18.1
2009-08-04,18.1
2009-08-05,18.1
2009-08-06,18.1
2009-08-07,18.1
2009-08-10,18.1
2009-08-11,18.1
2009-08-12,18.1
2009-08-13,18.1
2009-08-14,18.1
2009-08-17,18.1
2009-08-18,18.1
2009-08-19,18.1
2009-08-20,18.1
2009-08-21,18.1
2009-08-24,18.1
2009-08-25,18.1
2009-08-26,18.1
2009-08-27,18.1
2009-08-28,18.1
2009-08-31,18.1
2009-09-01,18.1
2009-09-02,20.49
2009-09-03,20.49
2009-09-04,20.49
2009-09-08,20.49
2009-09-09,20.49
2009-09-10,20.49
2009-09-11,20.49
2009-09-14,20.49
2009-09-15,20.49
2009-09-16,20.49
2009-09-17,20.49
2009-09-18,20.49
2009-09-21,20.49
2009-09-22,20.49
2009-09-23,20.49
2009-09-24,20.49
2009-09-25,20.49
2009-09-28,20.49
2009-09-29,20.49
2009-09-30,20.49
2009-10-01,20.49
2009-10-02,20.49
2009-10-05,20.49
2009-10-06,20.49
2009-10-07,20.49
2009-10-08,20.49
2009-10-09,20.49
2009-10-12,20.49
2009-10-13,20.49
2009-10-14,20.49
2009-10-15,20.49
2009-10-16,20.49
2009-10-19,20.49
2009-10-20,20.49
2009-10-21,20.49
2009-10-22,20.49
2009-10-23,20.49
2009-10-26,20.49
2009-10-27,20.49
2009-10-28,20.6
2009-10-29,20.6
2009-10-30,20.6
2009-11-02,20.6
2009-11-03,20.6
2009-11-04,20.6
2009-11-05,20.6
2009-11-06,20.6
2009-11-09,20.4
2009-11-10,20.4
2009-11-11,20.4
2009-11-12,20.4
2009-11-13,20.4
2009-11-16,20.4
2009-11-17,20.4
2009-11-18,20.4
2009-11-19,20.4
2009-11-20,20.4
2009-11-23,20.4
2009-11-24,20.4
2009-11-25,20.4
2009-11-27,20.4
2009-11-30,20.4
2009-12-01,20.4
2009-12-02,20.4
2009-12-03,20.4
2009-12-04,20.4
2009-12-07,22.5
2009-12-08,22.5
2009-12-09,22.5
2009-12-10,22.5
2009-12-11,22.5
2009-12-14,22.5
2009-12-15,22.5
2009-12-16,22.5
2009-12-17,22.5
2009-12-18,22.5
2009-12-21,22.5
