Date,SQ
2017-07-31,26.35
2017-08-01,26.809998999999998
2017-08-02,26.459999
2017-08-03,25.219998999999998
2017-08-04,25.209999
2017-08-07,25.68
2017-08-08,26.02
2017-08-09,25.59
2017-08-10,24.65
2017-08-11,24.82
2017-08-14,25.200001
2017-08-15,24.83
2017-08-16,24.99
2017-08-17,24.540001
2017-08-18,24.83
2017-08-21,24.459999
2017-08-22,25.34
2017-08-23,25.48
2017-08-24,25.66
2017-08-25,24.99
2017-08-28,24.91
2017-08-29,25.040001
2017-08-30,25.76
2017-08-31,26.110001
2017-09-01,25.93
2017-09-05,25.77
2017-09-06,26.049999
2017-09-07,26.299999
2017-09-08,26.530001000000002
2017-09-11,27.57
2017-09-12,27.27
2017-09-13,27.49
2017-09-14,28.639999
2017-09-15,28.5
2017-09-18,28.690001000000002
2017-09-19,28.559998999999998
2017-09-20,28.469998999999998
2017-09-21,28.4
2017-09-22,28.75
2017-09-25,27.450001
2017-09-26,27.610001
2017-09-27,28.07
2017-09-28,28.49
2017-09-29,28.809998999999998
2017-10-02,29.389999
2017-10-03,29.940001000000002
2017-10-04,30.15
2017-10-05,30.76
2017-10-06,30.76
2017-10-09,31.07
2017-10-10,31.32
2017-10-11,32.0
2017-10-12,32.810001
2017-10-13,32.810001
2017-10-16,33.220001
2017-10-17,32.689999
2017-10-18,32.52
2017-10-19,32.119999
2017-10-20,32.5
2017-10-23,32.529999
2017-10-24,32.709998999999996
2017-10-25,32.900002
2017-10-26,34.110001000000004
2017-10-27,35.200001
2017-10-30,35.75
2017-10-31,37.189999
2017-11-01,36.470001
2017-11-02,36.07
2017-11-03,36.889998999999996
2017-11-06,37.18
2017-11-07,36.759997999999996
2017-11-08,36.709998999999996
2017-11-09,37.959998999999996
2017-11-10,39.209998999999996
2017-11-13,39.98
2017-11-14,39.740002000000004
2017-11-15,40.66
2017-11-16,41.900002
2017-11-17,44.18
2017-11-20,45.209998999999996
2017-11-21,48.060001
2017-11-22,48.810001
2017-11-24,48.860001000000004
2017-11-27,41.02
2017-11-28,42.549999
2017-11-29,39.130001
2017-11-30,39.220001
2017-12-01,38.220001
2017-12-04,36.869999
2017-12-05,37.599998
2017-12-06,37.610001000000004
2017-12-07,38.73
2017-12-08,38.09
2017-12-11,38.299999
2017-12-12,38.080002
2017-12-13,36.189999
2017-12-14,37.009997999999996
2017-12-15,37.029999
2017-12-18,37.75
2017-12-19,36.919998
2017-12-20,35.66
2017-12-21,35.869999
2017-12-22,35.139998999999996
2017-12-26,35.049999
2017-12-27,35.75
2017-12-28,35.130001
2017-12-29,34.669998
2018-01-02,36.169998
2018-01-03,37.310001
2018-01-04,38.099998
2018-01-05,41.139998999999996
2018-01-08,40.759997999999996
2018-01-09,40.880001
2018-01-10,40.84
2018-01-11,42.299999
2018-01-12,41.25
2018-01-16,39.32
2018-01-17,40.060001
2018-01-18,40.27
2018-01-19,42.560001
2018-01-22,45.290001000000004
2018-01-23,45.009997999999996
2018-01-24,44.32
2018-01-25,45.119999
2018-01-26,45.970001
2018-01-29,45.43
2018-01-30,45.52
2018-01-31,46.91
2018-02-01,44.450001
2018-02-02,43.610001000000004
2018-02-05,41.02
2018-02-06,41.610001000000004
2018-02-07,41.669998
2018-02-08,39.5
2018-02-09,39.57
2018-02-12,39.919998
2018-02-13,42.110001000000004
2018-02-14,41.849998
2018-02-15,44.290001000000004
2018-02-16,44.110001000000004
2018-02-20,44.93
2018-02-21,44.099998
2018-02-22,44.900002
2018-02-23,44.860001000000004
2018-02-26,46.549999
2018-02-27,45.91
2018-02-28,46.049999
2018-03-01,46.009997999999996
2018-03-02,46.02
2018-03-05,50.419998
2018-03-06,49.599998
2018-03-07,50.720001
2018-03-08,52.25
2018-03-09,52.490002000000004
2018-03-12,53.189999
2018-03-13,51.830002
2018-03-14,54.610001000000004
2018-03-15,54.84
2018-03-16,54.889998999999996
2018-03-19,54.580002
2018-03-20,57.689999
2018-03-21,57.09
2018-03-22,55.16
2018-03-23,51.669998
2018-03-26,53.549999
2018-03-27,51.060001
2018-03-28,47.389998999999996
2018-03-29,49.200001
2018-04-02,47.68
2018-04-03,47.580002
2018-04-04,47.669998
2018-04-05,48.02
2018-04-06,45.869999
2018-04-09,45.889998999999996
2018-04-10,47.799999
2018-04-11,47.759997999999996
2018-04-12,49.689999
2018-04-13,47.5
2018-04-16,47.029999
2018-04-17,49.130001
2018-04-18,51.380001
2018-04-19,50.630001
2018-04-20,51.459998999999996
2018-04-23,50.349998
2018-04-24,46.009997999999996
2018-04-25,44.75
2018-04-26,46.740002000000004
2018-04-27,47.57
2018-04-30,47.34
2018-05-01,48.200001
2018-05-02,48.66
2018-05-03,49.209998999999996
2018-05-04,49.099998
2018-05-07,51.119999
2018-05-08,53.32
2018-05-09,54.259997999999996
2018-05-10,54.650002
2018-05-11,54.73
2018-05-14,54.279999
2018-05-15,54.650002
2018-05-16,56.59
2018-05-17,54.82
2018-05-18,55.040001000000004
2018-05-21,56.389998999999996
2018-05-22,54.630001
2018-05-23,55.09
2018-05-24,55.549999
2018-05-25,55.77
2018-05-29,56.919998
2018-05-30,57.91
2018-05-31,58.25
2018-06-01,59.41
2018-06-04,61.200001
2018-06-05,61.57
2018-06-06,62.720001
2018-06-07,60.669998
2018-06-08,61.779999
2018-06-11,61.290001000000004
2018-06-12,63.209998999999996
2018-06-13,62.5
2018-06-14,63.880001
2018-06-15,64.480003
2018-06-18,66.199997
2018-06-19,65.959999
2018-06-20,67.589996
2018-06-21,67.099998
2018-06-22,65.75
2018-06-25,61.889998999999996
2018-06-26,62.549999
2018-06-27,60.09
2018-06-28,61.549999
2018-06-29,61.639998999999996
2018-07-02,63.139998999999996
2018-07-03,61.75
2018-07-05,64.150002
2018-07-06,66.440002
2018-07-09,66.480003
2018-07-10,64.760002
2018-07-11,65.33000200000001
2018-07-12,67.279999
2018-07-13,66.970001
2018-07-16,66.949997
2018-07-17,68.33000200000001
2018-07-18,68.290001
2018-07-19,70.32
2018-07-20,70.410004
2018-07-23,71.599998
2018-07-24,69.360001
2018-07-25,72.529999
2018-07-26,71.989998
2018-07-27,69.849998
2018-07-30,65.620003
2018-07-31,64.650002
2018-08-01,66.860001
2018-08-02,72.650002
2018-08-03,68.360001
2018-08-06,70.91999799999999
2018-08-07,71.0
2018-08-08,70.82
2018-08-09,69.379997
2018-08-10,70.599998
2018-08-13,72.370003
2018-08-14,74.970001
2018-08-15,72.239998
2018-08-16,72.760002
2018-08-17,72.900002
2018-08-20,74.260002
2018-08-21,75.190002
2018-08-22,76.440002
2018-08-23,77.120003
2018-08-24,78.18
2018-08-27,78.25
2018-08-28,80.800003
2018-08-29,85.699997
2018-08-30,87.760002
2018-08-31,88.639999
2018-09-04,91.25
2018-09-05,87.199997
2018-09-06,88.540001
2018-09-07,89.970001
2018-09-10,89.389999
2018-09-11,92.279999
2018-09-12,90.440002
2018-09-13,90.220001
2018-09-14,90.82
2018-09-17,86.860001
2018-09-18,87.989998
2018-09-19,84.800003
2018-09-20,86.510002
2018-09-21,85.300003
2018-09-24,86.040001
2018-09-25,95.349998
2018-09-26,94.650002
2018-09-27,97.959999
2018-09-28,99.010002
2018-10-01,97.279999
2018-10-02,97.83000200000001
2018-10-03,96.959999
2018-10-04,94.489998
2018-10-05,94.110001
2018-10-08,86.059998
2018-10-09,86.16999799999999
2018-10-10,77.449997
2018-10-11,69.029999
2018-10-12,73.970001
2018-10-15,73.769997
2018-10-16,78.720001
2018-10-17,78.050003
2018-10-18,74.959999
2018-10-19,74.07
2018-10-22,75.720001
2018-10-23,74.150002
2018-10-24,69.339996
2018-10-25,73.489998
2018-10-26,71.120003
2018-10-29,67.279999
2018-10-30,68.760002
2018-10-31,73.449997
2018-11-01,76.739998
2018-11-02,77.760002
2018-11-05,75.010002
2018-11-06,77.309998
2018-11-07,82.690002
2018-11-08,75.230003
2018-11-09,73.269997
2018-11-12,69.83000200000001
2018-11-13,71.849998
2018-11-14,69.809998
2018-11-15,73.599998
2018-11-16,70.589996
2018-11-19,62.970001
2018-11-20,61.82
2018-11-21,62.619999
2018-11-23,63.470001
2018-11-26,66.519997
2018-11-27,65.879997
2018-11-28,69.889999
2018-11-29,69.900002
2018-11-30,69.839996
2018-12-03,71.949997
2018-12-04,63.509997999999996
2018-12-06,65.690002
2018-12-07,60.779999
2018-12-10,63.380001
2018-12-11,61.779999
2018-12-12,63.650002
2018-12-13,62.900002
2018-12-14,62.139998999999996
2018-12-17,58.619999
2018-12-18,59.919998
2018-12-19,59.029999
2018-12-20,55.900002
2018-12-21,52.509997999999996
2018-12-24,50.720001
2018-12-26,55.32
2018-12-27,56.150002
2018-12-28,55.869999
2018-12-31,56.09
2019-01-02,57.200001
2019-01-03,52.419998
2019-01-04,58.18
2019-01-07,60.720001
2019-01-08,63.119999
2019-01-09,65.93
2019-01-10,66.099998
2019-01-11,66.230003
2019-01-14,65.18
2019-01-15,65.959999
2019-01-16,65.900002
2019-01-17,68.839996
2019-01-18,72.239998
2019-01-22,67.849998
2019-01-23,69.099998
2019-01-24,73.940002
2019-01-25,77.970001
2019-01-28,76.220001
2019-01-29,68.559998
2019-01-30,71.529999
2019-01-31,71.349998
2019-02-01,70.800003
2019-02-04,71.75
2019-02-05,72.279999
2019-02-06,72.66999799999999
2019-02-07,71.949997
2019-02-08,73.489998
2019-02-11,74.32
2019-02-12,75.589996
2019-02-13,75.629997
2019-02-14,75.66999799999999
2019-02-15,75.639999
2019-02-19,76.639999
2019-02-20,75.970001
2019-02-21,74.43
2019-02-22,76.08000200000001
2019-02-25,77.129997
2019-02-26,77.949997
2019-02-27,79.32
2019-02-28,81.239998
2019-03-01,77.459999
2019-03-04,74.690002
2019-03-05,76.040001
2019-03-06,75.139999
2019-03-07,74.110001
2019-03-08,74.400002
2019-03-11,75.529999
2019-03-12,76.769997
2019-03-13,77.849998
2019-03-14,77.379997
2019-03-15,76.650002
2019-03-18,75.230003
2019-03-19,76.809998
2019-03-20,75.260002
2019-03-21,78.529999
2019-03-22,75.089996
2019-03-25,74.550003
2019-03-26,73.93
2019-03-27,72.970001
2019-03-28,74.260002
2019-03-29,74.91999799999999
2019-04-01,76.32
2019-04-02,75.599998
2019-04-03,77.050003
2019-04-04,74.519997
2019-04-05,75.029999
2019-04-08,75.0
2019-04-09,74.599998
2019-04-10,74.739998
2019-04-11,75.5
2019-04-12,75.279999
2019-04-15,74.389999
2019-04-16,73.489998
2019-04-17,72.760002
2019-04-18,70.739998
2019-04-22,72.58000200000001
2019-04-23,72.449997
2019-04-24,71.989998
2019-04-25,72.650002
2019-04-26,71.550003
2019-04-29,72.720001
2019-04-30,72.82
2019-05-01,73.620003
2019-05-02,67.739998
2019-05-03,68.519997
2019-05-06,70.139999
2019-05-07,68.41999799999999
2019-05-08,67.25
2019-05-09,66.389999
2019-05-10,65.989998
2019-05-13,62.389998999999996
2019-05-14,64.110001
2019-05-15,65.230003
2019-05-16,66.400002
2019-05-17,65.309998
2019-05-20,64.389999
2019-05-21,65.91999799999999
2019-05-22,66.459999
2019-05-23,63.75
2019-05-24,64.660004
2019-05-28,65.82
2019-05-29,63.23
2019-05-30,63.669998
2019-05-31,61.950001
2019-06-03,60.619999
2019-06-04,63.389998999999996
2019-06-05,64.93
2019-06-06,65.769997
2019-06-07,68.459999
2019-06-10,70.370003
2019-06-11,70.18
2019-06-12,70.459999
2019-06-13,72.18
2019-06-14,71.589996
2019-06-17,72.209999
2019-06-18,71.82
2019-06-19,72.660004
2019-06-20,74.41999799999999
2019-06-21,72.870003
2019-06-24,72.709999
2019-06-25,69.870003
2019-06-26,69.949997
2019-06-27,71.279999
2019-06-28,72.529999
2019-07-01,73.199997
2019-07-02,73.970001
2019-07-03,74.260002
2019-07-05,74.309998
2019-07-08,73.43
2019-07-09,77.959999
2019-07-10,78.370003
2019-07-11,79.440002
2019-07-12,82.279999
2019-07-15,82.16999799999999
2019-07-16,80.589996
2019-07-17,80.870003
2019-07-18,81.059998
2019-07-19,78.510002
2019-07-22,78.57
2019-07-23,78.839996
2019-07-24,80.43
2019-07-25,80.019997
2019-07-26,81.809998
2019-07-29,80.199997
2019-07-30,80.489998
2019-07-31,80.410004
2019-08-01,80.980003
2019-08-02,69.599998
2019-08-05,64.849998
2019-08-06,64.599998
2019-08-07,65.0
2019-08-08,66.269997
2019-08-09,65.010002
2019-08-12,62.299999
2019-08-13,63.0
2019-08-14,61.549999
2019-08-15,62.0
2019-08-16,62.869999
2019-08-19,64.08000200000001
2019-08-20,64.370003
2019-08-21,65.410004
2019-08-22,64.68
2019-08-23,61.779999
2019-08-26,62.799999
2019-08-27,61.75
2019-08-28,62.150002
2019-08-29,62.84
2019-08-30,61.84
2019-09-03,61.130001
2019-09-04,61.169998
2019-09-05,63.02
2019-09-06,62.0
2019-09-09,61.470001
2019-09-10,60.549999
2019-09-11,59.200001
2019-09-12,57.790001000000004
2019-09-13,58.290001000000004
2019-09-16,59.25
2019-09-17,59.599998
2019-09-18,59.75
2019-09-19,59.029999
2019-09-20,57.849998
2019-09-23,56.759997999999996
2019-09-24,57.5
2019-09-25,58.509997999999996
2019-09-26,60.799999
2019-09-27,60.75
2019-09-30,61.950001
2019-10-01,61.630001
2019-10-02,60.080002
2019-10-03,62.049999
2019-10-04,62.650002
2019-10-07,62.25
2019-10-08,60.799999
2019-10-09,62.220001
2019-10-10,62.029999
2019-10-11,61.540001000000004
2019-10-14,61.830002
2019-10-15,64.290001
2019-10-16,63.0
2019-10-17,63.400002
2019-10-18,60.450001
2019-10-21,61.150002
2019-10-22,58.830002
2019-10-23,58.360001000000004
2019-10-24,61.720001
2019-10-25,62.889998999999996
2019-10-28,62.799999
2019-10-29,62.41
2019-10-30,62.16
2019-10-31,61.43
2019-11-01,62.599998
2019-11-04,62.380001
2019-11-05,61.060001
2019-11-06,61.34
2019-11-07,64.410004
2019-11-08,62.450001
2019-11-11,63.790001000000004
2019-11-12,61.540001000000004
2019-11-13,61.509997999999996
2019-11-14,62.990002000000004
2019-11-15,64.699997
2019-11-18,65.739998
2019-11-19,66.370003
2019-11-20,67.16999799999999
2019-11-21,67.41999799999999
2019-11-22,67.75
2019-11-25,68.25
2019-11-26,68.940002
2019-11-27,69.650002
2019-11-29,69.120003
2019-12-02,66.879997
2019-12-03,67.040001
2019-12-04,67.779999
2019-12-05,67.139999
2019-12-06,67.980003
2019-12-09,67.059998
2019-12-10,65.839996
2019-12-11,65.75
2019-12-12,65.860001
2019-12-13,64.800003
2019-12-16,66.529999
2019-12-17,65.550003
2019-12-18,65.139999
2019-12-19,64.550003
2019-12-20,63.630001
2019-12-23,62.799999
2019-12-24,63.959998999999996
2019-12-26,64.029999
2019-12-27,63.799999
2019-12-30,61.799999
2019-12-31,62.560001
2020-01-02,63.830002
2020-01-03,63.0
2020-01-06,62.57
2020-01-07,64.589996
2020-01-08,67.599998
2020-01-09,67.93
2020-01-10,67.989998
2020-01-13,68.660004
2020-01-14,68.16999799999999
2020-01-15,70.360001
2020-01-16,69.519997
2020-01-17,69.379997
2020-01-21,68.309998
2020-01-22,68.690002
2020-01-23,69.290001
2020-01-24,71.139999
2020-01-27,71.050003
2020-01-28,74.800003
2020-01-29,76.160004
2020-01-30,76.099998
2020-01-31,74.690002
2020-02-03,79.800003
2020-02-04,80.900002
2020-02-05,78.25
2020-02-06,78.510002
2020-02-07,78.860001
2020-02-10,80.16999799999999
2020-02-11,79.879997
2020-02-12,80.0
2020-02-13,80.989998
2020-02-14,81.860001
2020-02-18,82.41999799999999
2020-02-19,85.239998
2020-02-20,85.699997
2020-02-21,83.489998
2020-02-24,80.209999
2020-02-25,77.050003
2020-02-26,76.589996
2020-02-27,79.309998
2020-02-28,83.33000200000001
2020-03-02,80.66999799999999
2020-03-03,78.839996
2020-03-04,79.260002
2020-03-05,76.32
2020-03-06,73.089996
2020-03-09,65.730003
2020-03-10,67.239998
2020-03-11,62.439999
2020-03-12,53.57
2020-03-13,57.77
2020-03-16,41.27
2020-03-17,44.73
2020-03-18,39.5
2020-03-19,40.0
2020-03-20,38.09
2020-03-23,40.009997999999996
2020-03-24,46.310001
2020-03-25,52.389998999999996
2020-03-26,56.029999
2020-03-27,53.34
2020-03-30,55.0
2020-03-31,52.380001
2020-04-01,46.810001
2020-04-02,45.880001
2020-04-03,43.720001
2020-04-06,50.419998
2020-04-07,50.310001
2020-04-08,57.040001000000004
2020-04-09,59.209998999999996
2020-04-13,59.419998
2020-04-14,62.41
2020-04-15,61.380001
2020-04-16,57.32
2020-04-17,61.09
2020-04-20,61.060001
2020-04-21,57.400002
2020-04-22,60.959998999999996
2020-04-23,61.82
2020-04-24,62.009997999999996
2020-04-27,63.549999
2020-04-28,61.75
2020-04-29,65.769997
2020-04-30,65.139999
2020-05-01,63.0
2020-05-04,63.689999
2020-05-05,66.690002
2020-05-06,68.099998
2020-05-07,74.620003
2020-05-08,76.050003
