Date,MNK
2014-05-09,73.099998
2014-05-12,73.389999
2014-05-13,73.18
2014-05-14,73.260002
2014-05-15,76.260002
2014-05-16,78.860001
2014-05-19,81.449997
2014-05-20,82.699997
2014-05-21,80.370003
2014-05-22,78.68
2014-05-23,79.18
2014-05-27,77.989998
2014-05-28,77.519997
2014-05-29,77.529999
2014-05-30,77.760002
2014-06-02,78.639999
2014-06-03,77.529999
2014-06-04,77.129997
2014-06-05,75.220001
2014-06-06,75.339996
2014-06-09,76.019997
2014-06-10,75.360001
2014-06-11,76.07
2014-06-12,74.110001
2014-06-13,75.08000200000001
2014-06-16,75.800003
2014-06-17,76.879997
2014-06-18,76.870003
2014-06-19,77.589996
2014-06-20,78.349998
2014-06-23,76.300003
2014-06-24,77.010002
2014-06-25,77.739998
2014-06-26,77.139999
2014-06-27,78.150002
2014-06-30,80.019997
2014-07-01,78.800003
2014-07-02,78.66999799999999
2014-07-03,81.269997
2014-07-07,79.900002
2014-07-08,78.279999
2014-07-09,77.5
2014-07-10,77.589996
2014-07-11,75.099998
2014-07-14,77.010002
2014-07-15,76.309998
2014-07-16,75.089996
2014-07-17,74.489998
2014-07-18,75.110001
2014-07-21,74.08000200000001
2014-07-22,74.349998
2014-07-23,75.650002
2014-07-24,76.559998
2014-07-25,74.370003
2014-07-28,72.75
2014-07-29,71.239998
2014-07-30,71.739998
2014-07-31,69.620003
2014-08-01,69.889999
2014-08-04,70.510002
2014-08-05,69.389999
2014-08-06,68.239998
2014-08-07,69.110001
2014-08-08,69.43
2014-08-11,69.519997
2014-08-12,68.120003
2014-08-13,69.610001
2014-08-14,70.879997
2014-08-15,71.660004
2014-08-18,72.0
2014-08-19,69.510002
2014-08-20,72.16999799999999
2014-08-21,70.91999799999999
2014-08-22,72.940002
2014-08-25,74.5
2014-08-26,75.949997
2014-08-27,78.290001
2014-08-28,80.110001
2014-08-29,81.489998
2014-09-02,82.300003
2014-09-03,85.339996
2014-09-04,84.209999
2014-09-05,84.510002
2014-09-08,85.33000200000001
2014-09-09,83.940002
2014-09-10,85.93
2014-09-11,86.839996
2014-09-12,86.25
2014-09-15,85.779999
2014-09-16,86.889999
2014-09-17,87.370003
2014-09-18,87.699997
2014-09-19,88.82
2014-09-22,88.949997
2014-09-23,88.58000200000001
2014-09-24,89.190002
2014-09-25,88.470001
2014-09-26,90.0
2014-09-29,89.91999799999999
2014-09-30,90.150002
2014-10-01,89.059998
2014-10-02,90.91999799999999
2014-10-03,92.93
2014-10-06,93.290001
2014-10-07,91.32
2014-10-08,92.510002
2014-10-09,90.5
2014-10-10,87.970001
2014-10-13,86.099998
2014-10-14,85.989998
2014-10-15,84.33000200000001
2014-10-16,83.190002
2014-10-17,86.599998
2014-10-20,87.150002
2014-10-21,89.300003
2014-10-22,87.099998
2014-10-23,89.25
2014-10-24,90.970001
2014-10-27,90.93
2014-10-28,93.739998
2014-10-29,93.010002
2014-10-30,92.83000200000001
2014-10-31,92.18
2014-11-03,93.43
2014-11-04,94.089996
2014-11-05,93.5
2014-11-06,94.550003
2014-11-07,91.059998
2014-11-10,93.230003
2014-11-11,93.709999
2014-11-12,92.989998
2014-11-13,86.959999
2014-11-14,88.110001
2014-11-17,88.43
2014-11-18,88.800003
2014-11-19,85.980003
2014-11-20,87.120003
2014-11-21,87.019997
2014-11-24,90.339996
2014-11-25,90.910004
2014-11-26,91.639999
2014-11-28,92.220001
2014-12-01,88.220001
2014-12-02,91.769997
2014-12-03,91.239998
2014-12-04,94.050003
2014-12-05,95.610001
2014-12-08,96.269997
2014-12-09,96.720001
2014-12-10,96.110001
2014-12-11,95.08000200000001
2014-12-12,94.720001
2014-12-15,92.16999799999999
2014-12-16,91.050003
2014-12-17,92.91999799999999
2014-12-18,95.489998
2014-12-19,99.519997
2014-12-22,99.730003
2014-12-23,98.129997
2014-12-24,97.839996
2014-12-26,97.910004
2014-12-29,99.029999
2014-12-30,97.230003
2014-12-31,99.029999
2015-01-02,96.959999
2015-01-05,96.07
2015-01-06,93.889999
2015-01-07,96.910004
2015-01-08,100.160004
2015-01-09,103.57
2015-01-12,102.459999
2015-01-13,105.32
2015-01-14,104.25
2015-01-15,103.839996
2015-01-16,105.0
2015-01-20,103.599998
2015-01-21,105.480003
2015-01-22,105.230003
2015-01-23,106.980003
2015-01-26,107.400002
2015-01-27,107.33000200000001
2015-01-28,105.849998
2015-01-29,108.739998
2015-01-30,105.989998
2015-02-02,106.739998
2015-02-03,104.93
2015-02-04,105.83000200000001
2015-02-05,109.370003
2015-02-06,108.510002
2015-02-09,107.82
2015-02-10,110.790001
2015-02-11,109.339996
2015-02-12,112.5
2015-02-13,115.010002
2015-02-17,117.370003
2015-02-18,117.959999
2015-02-19,116.900002
2015-02-20,117.58000200000001
2015-02-23,120.18
2015-02-24,117.82
2015-02-25,116.150002
2015-02-26,119.610001
2015-02-27,116.720001
2015-03-02,118.82
2015-03-03,114.849998
2015-03-04,116.190002
2015-03-05,121.699997
2015-03-06,121.33000200000001
2015-03-09,122.279999
2015-03-10,120.589996
2015-03-11,119.41999799999999
2015-03-12,123.33000200000001
2015-03-13,124.120003
2015-03-16,126.43
2015-03-17,131.259995
2015-03-18,132.509995
2015-03-19,131.21000700000002
2015-03-20,132.470001
2015-03-23,130.550003
2015-03-24,129.679993
2015-03-25,126.660004
2015-03-26,126.779999
2015-03-27,129.610001
2015-03-30,130.130005
2015-03-31,126.650002
2015-04-01,124.720001
2015-04-02,124.760002
2015-04-06,124.089996
2015-04-07,124.150002
2015-04-08,128.029999
2015-04-09,127.800003
2015-04-10,129.08999599999999
2015-04-13,126.889999
2015-04-14,124.75
2015-04-15,124.309998
2015-04-16,123.720001
2015-04-17,122.379997
2015-04-20,123.120003
2015-04-21,125.16999799999999
2015-04-22,122.949997
2015-04-23,124.849998
2015-04-24,122.010002
2015-04-27,115.349998
2015-04-28,114.870003
2015-04-29,115.709999
2015-04-30,113.18
2015-05-01,114.199997
2015-05-04,115.0
2015-05-05,120.269997
2015-05-06,117.389999
2015-05-07,119.059998
2015-05-08,122.66999799999999
2015-05-11,123.309998
2015-05-12,122.32
2015-05-13,122.239998
2015-05-14,124.309998
2015-05-15,123.83000200000001
2015-05-18,127.230003
2015-05-19,128.979996
2015-05-20,129.03999299999998
2015-05-21,128.809998
2015-05-22,127.18
2015-05-26,126.57
2015-05-27,129.610001
2015-05-28,130.179993
2015-05-29,129.440002
2015-06-01,129.889999
2015-06-02,129.190002
2015-06-03,129.5
2015-06-04,124.279999
2015-06-05,126.07
2015-06-08,124.32
2015-06-09,122.970001
2015-06-10,124.410004
2015-06-11,126.290001
2015-06-12,124.0
2015-06-15,121.93
2015-06-16,119.989998
2015-06-17,117.68
2015-06-18,121.139999
2015-06-19,122.010002
2015-06-22,124.019997
2015-06-23,124.870003
2015-06-24,120.589996
2015-06-25,120.279999
2015-06-26,116.779999
2015-06-29,115.660004
2015-06-30,117.720001
2015-07-01,120.269997
2015-07-02,119.459999
2015-07-06,119.629997
2015-07-07,121.199997
2015-07-08,120.07
2015-07-09,120.260002
2015-07-10,122.440002
2015-07-13,121.57
2015-07-14,124.040001
2015-07-15,124.629997
2015-07-16,124.32
2015-07-17,123.139999
2015-07-20,122.940002
2015-07-21,123.980003
2015-07-22,126.510002
2015-07-23,124.989998
2015-07-24,123.82
2015-07-27,123.08000200000001
2015-07-28,123.870003
2015-07-29,122.730003
2015-07-30,121.699997
2015-07-31,123.959999
2015-08-03,124.209999
2015-08-04,106.730003
2015-08-05,104.510002
2015-08-06,98.489998
2015-08-07,100.379997
2015-08-10,103.5
2015-08-11,102.33000200000001
2015-08-12,100.199997
2015-08-13,98.029999
2015-08-14,98.540001
2015-08-17,98.839996
2015-08-18,97.790001
2015-08-19,95.489998
2015-08-20,89.440002
2015-08-21,88.300003
2015-08-24,81.959999
2015-08-25,78.660004
2015-08-26,85.82
2015-08-27,89.16999799999999
2015-08-28,89.93
2015-08-31,86.239998
2015-09-01,84.059998
2015-09-02,84.370003
2015-09-03,82.779999
2015-09-04,82.860001
2015-09-08,85.5
2015-09-09,83.620003
2015-09-10,83.0
2015-09-11,82.08000200000001
2015-09-14,81.690002
2015-09-15,83.300003
2015-09-16,83.610001
2015-09-17,84.949997
2015-09-18,82.099998
2015-09-21,73.870003
2015-09-22,72.900002
2015-09-23,71.639999
2015-09-24,70.139999
2015-09-25,68.449997
2015-09-28,59.799999
2015-09-29,57.959998999999996
2015-09-30,63.939999
2015-10-01,63.48
2015-10-02,65.870003
2015-10-05,61.41
2015-10-06,62.98
2015-10-07,65.269997
2015-10-08,68.540001
2015-10-09,66.730003
2015-10-12,65.889999
2015-10-13,64.989998
2015-10-14,65.58000200000001
2015-10-15,66.900002
2015-10-16,68.129997
2015-10-19,67.620003
2015-10-20,64.07
2015-10-21,60.48
2015-10-22,58.610001000000004
2015-10-23,65.75
2015-10-26,66.959999
2015-10-27,67.900002
2015-10-28,70.089996
2015-10-29,69.989998
2015-10-30,65.66999799999999
2015-11-02,67.790001
2015-11-03,70.309998
2015-11-04,70.629997
2015-11-05,66.510002
2015-11-06,69.889999
2015-11-09,58.009997999999996
2015-11-10,62.580002
2015-11-11,57.119999
2015-11-12,53.41
2015-11-13,56.939999
2015-11-16,57.220001
2015-11-17,57.5
2015-11-18,57.610001000000004
2015-11-19,60.080002
2015-11-20,61.0
2015-11-23,66.099998
2015-11-24,66.089996
2015-11-25,66.059998
2015-11-27,66.290001
2015-11-30,67.910004
2015-12-01,71.480003
2015-12-02,72.360001
2015-12-03,72.199997
2015-12-04,74.730003
2015-12-07,74.730003
2015-12-08,72.150002
2015-12-09,70.879997
2015-12-10,71.239998
2015-12-11,69.370003
2015-12-14,69.220001
2015-12-15,73.639999
2015-12-16,74.449997
2015-12-17,71.620003
2015-12-18,71.239998
2015-12-21,71.639999
2015-12-22,74.760002
2015-12-23,76.660004
2015-12-24,76.400002
2015-12-28,74.279999
2015-12-29,74.129997
2015-12-30,75.879997
2015-12-31,74.629997
2016-01-04,72.610001
2016-01-05,73.199997
2016-01-06,70.269997
2016-01-07,66.849998
2016-01-08,65.099998
2016-01-11,65.16999799999999
2016-01-12,65.970001
2016-01-13,61.830002
2016-01-14,65.720001
2016-01-15,65.800003
2016-01-19,64.43
2016-01-20,64.639999
2016-01-21,63.66
2016-01-22,64.300003
2016-01-25,63.470001
2016-01-26,64.309998
2016-01-27,62.360001000000004
2016-01-28,57.299999
2016-01-29,58.09
2016-02-01,62.16
2016-02-02,65.709999
2016-02-03,68.32
2016-02-04,68.800003
2016-02-05,69.480003
2016-02-08,65.139999
2016-02-09,63.009997999999996
2016-02-10,62.490002000000004
2016-02-11,60.52
2016-02-12,62.349998
2016-02-16,64.220001
2016-02-17,67.33000200000001
2016-02-18,66.199997
2016-02-19,64.739998
2016-02-22,65.269997
2016-02-23,65.339996
2016-02-24,66.260002
2016-02-25,67.32
2016-02-26,69.239998
2016-02-29,65.029999
2016-03-01,65.650002
2016-03-02,66.470001
2016-03-03,63.59
2016-03-04,62.150002
2016-03-07,64.91999799999999
2016-03-08,61.919998
2016-03-09,63.43
2016-03-10,63.5
2016-03-11,68.970001
2016-03-14,69.610001
2016-03-15,59.509997999999996
2016-03-16,55.689999
2016-03-17,53.419998
2016-03-18,54.619999
2016-03-21,58.959998999999996
2016-03-22,61.049999
2016-03-23,60.439999
2016-03-24,60.060001
2016-03-28,58.98
2016-03-29,61.360001000000004
2016-03-30,59.91
2016-03-31,61.279999
2016-04-01,64.309998
2016-04-04,63.75
2016-04-05,62.5
2016-04-06,65.230003
2016-04-07,64.260002
2016-04-08,63.290001000000004
2016-04-11,61.150002
2016-04-12,58.400002
2016-04-13,60.130001
2016-04-14,58.919998
2016-04-15,59.110001000000004
2016-04-18,60.369999
2016-04-19,61.860001000000004
2016-04-20,61.779999
2016-04-21,64.699997
2016-04-22,66.269997
2016-04-25,64.089996
2016-04-26,65.370003
2016-04-27,65.389999
2016-04-28,63.810001
2016-04-29,62.52
2016-05-02,60.709998999999996
2016-05-03,64.839996
2016-05-04,63.080002
2016-05-05,60.82
2016-05-06,56.400002
2016-05-09,59.849998
2016-05-10,59.790001000000004
2016-05-11,57.75
2016-05-12,57.419998
2016-05-13,58.400002
2016-05-16,59.740002000000004
2016-05-17,61.990002000000004
2016-05-18,60.57
2016-05-19,58.970001
2016-05-20,61.029999
2016-05-23,59.23
2016-05-24,60.869999
2016-05-25,60.610001000000004
2016-05-26,61.48
2016-05-27,62.830002
2016-05-31,63.360001000000004
2016-06-01,65.190002
2016-06-02,65.900002
2016-06-03,65.110001
2016-06-06,65.019997
2016-06-07,64.410004
2016-06-08,63.07
2016-06-09,62.529999
2016-06-10,59.77
2016-06-13,59.630001
2016-06-14,59.669998
2016-06-15,60.119999
2016-06-16,58.77
2016-06-17,58.029999
2016-06-20,58.009997999999996
2016-06-21,56.529999
2016-06-22,56.68
2016-06-23,58.720001
2016-06-24,55.970001
2016-06-27,54.049999
2016-06-28,56.23
2016-06-29,59.900002
2016-06-30,60.779999
2016-07-01,61.84
2016-07-05,60.220001
2016-07-06,61.950001
2016-07-07,61.470001
2016-07-08,62.290001000000004
2016-07-11,62.52
2016-07-12,61.900002
2016-07-13,62.16
2016-07-14,62.450001
2016-07-15,62.450001
2016-07-18,63.200001
2016-07-19,62.16
2016-07-20,66.82
2016-07-21,67.529999
2016-07-22,66.489998
2016-07-25,66.809998
2016-07-26,66.860001
2016-07-27,67.889999
2016-07-28,67.339996
2016-07-29,67.339996
2016-08-01,67.370003
2016-08-02,76.910004
2016-08-03,79.660004
2016-08-04,78.809998
2016-08-05,79.989998
2016-08-08,79.989998
2016-08-09,79.970001
2016-08-10,78.769997
2016-08-11,78.980003
2016-08-12,79.699997
2016-08-15,79.75
2016-08-16,79.370003
2016-08-17,80.650002
2016-08-18,80.16999799999999
2016-08-19,81.07
2016-08-22,81.480003
2016-08-23,83.059998
2016-08-24,79.139999
2016-08-25,75.239998
2016-08-26,74.91999799999999
2016-08-29,74.199997
2016-08-30,75.050003
2016-08-31,74.540001
2016-09-01,75.589996
2016-09-02,72.41999799999999
2016-09-06,74.91999799999999
2016-09-07,74.550003
2016-09-08,74.220001
2016-09-09,73.07
2016-09-12,75.459999
2016-09-13,74.57
2016-09-14,75.33000200000001
2016-09-15,76.269997
2016-09-16,76.120003
2016-09-19,75.410004
2016-09-20,74.099998
2016-09-21,74.089996
2016-09-22,74.379997
2016-09-23,76.309998
2016-09-26,71.099998
2016-09-27,71.230003
2016-09-28,72.470001
2016-09-29,68.989998
2016-09-30,69.779999
2016-10-03,71.16999799999999
2016-10-04,70.769997
2016-10-05,71.07
2016-10-06,69.480003
2016-10-07,69.790001
2016-10-10,70.779999
2016-10-11,68.160004
2016-10-12,66.58000200000001
2016-10-13,66.910004
2016-10-14,65.82
2016-10-17,64.959999
2016-10-18,64.16999799999999
2016-10-19,63.869999
2016-10-20,63.849998
2016-10-21,62.099998
2016-10-24,61.669998
2016-10-25,63.080002
2016-10-26,62.869999
2016-10-27,63.040001000000004
2016-10-28,61.380001
2016-10-31,59.259997999999996
2016-11-01,60.009997999999996
2016-11-02,57.700001
2016-11-03,53.529999
2016-11-04,54.650002
2016-11-07,56.91
2016-11-08,57.860001000000004
2016-11-09,63.849998
2016-11-10,65.190002
2016-11-11,65.910004
2016-11-14,67.879997
2016-11-15,67.800003
2016-11-16,59.650002
2016-11-17,55.32
2016-11-18,54.59
2016-11-21,56.860001000000004
2016-11-22,56.0
2016-11-23,56.869999
2016-11-25,57.209998999999996
2016-11-28,57.669998
2016-11-29,52.419998
2016-11-30,52.700001
2016-12-01,53.099998
2016-12-02,53.610001000000004
2016-12-05,53.560001
2016-12-06,53.720001
2016-12-07,51.360001000000004
2016-12-08,52.349998
2016-12-09,52.599998
2016-12-12,52.040001000000004
2016-12-13,53.040001000000004
2016-12-14,52.720001
2016-12-15,52.07
2016-12-16,53.68
2016-12-19,53.380001
2016-12-20,53.16
2016-12-21,52.43
2016-12-22,52.029999
2016-12-23,53.18
2016-12-27,51.77
2016-12-28,49.689999
2016-12-29,49.509997999999996
2016-12-30,49.82
2017-01-03,51.73
2017-01-04,53.189999
2017-01-05,53.830002
2017-01-06,52.75
2017-01-09,53.549999
2017-01-10,53.75
2017-01-11,50.439999
2017-01-12,51.619999
2017-01-13,50.639998999999996
2017-01-17,49.419998
2017-01-18,46.529999
2017-01-19,48.119999
2017-01-20,46.080002
2017-01-23,45.639998999999996
2017-01-24,46.209998999999996
2017-01-25,47.09
2017-01-26,46.549999
2017-01-27,47.07
2017-01-30,46.450001
2017-01-31,48.73
2017-02-01,48.990002000000004
2017-02-02,49.700001
2017-02-03,49.330002
2017-02-06,50.68
2017-02-07,50.23
2017-02-08,49.419998
2017-02-09,49.060001
2017-02-10,49.27
2017-02-13,49.73
2017-02-14,51.139998999999996
2017-02-15,52.5
2017-02-16,52.5
2017-02-17,54.740002000000004
2017-02-21,54.110001000000004
2017-02-22,54.209998999999996
2017-02-23,54.470001
2017-02-24,53.380001
2017-02-27,54.599998
2017-02-28,52.419998
2017-03-01,51.549999
2017-03-02,51.950001
2017-03-03,51.889998999999996
2017-03-06,51.259997999999996
2017-03-07,49.709998999999996
2017-03-08,50.169998
2017-03-09,49.560001
2017-03-10,49.389998999999996
2017-03-13,49.240002000000004
2017-03-14,47.98
2017-03-15,48.59
2017-03-16,47.950001
2017-03-17,46.900002
2017-03-20,46.439999
2017-03-21,44.049999
2017-03-22,42.540001000000004
2017-03-23,43.18
2017-03-24,43.09
2017-03-27,44.330002
2017-03-28,44.330002
2017-03-29,45.57
2017-03-30,45.389998999999996
2017-03-31,44.57
2017-04-03,44.119999
2017-04-04,43.900002
2017-04-05,44.18
2017-04-06,44.57
2017-04-07,45.02
2017-04-10,44.82
2017-04-11,43.619999
2017-04-12,44.299999
2017-04-13,44.16
2017-04-17,44.459998999999996
2017-04-18,43.849998
2017-04-19,44.48
2017-04-20,44.93
2017-04-21,43.52
2017-04-24,44.450001
2017-04-25,45.91
2017-04-26,46.189999
2017-04-27,46.380001
2017-04-28,46.919998
2017-05-01,46.689999
2017-05-02,46.84
2017-05-03,44.849998
2017-05-04,45.799999
2017-05-05,46.630001
2017-05-08,45.66
2017-05-09,44.549999
2017-05-10,45.139998999999996
2017-05-11,46.07
2017-05-12,46.790001000000004
2017-05-15,46.779999
2017-05-16,44.830002
2017-05-17,42.369999
2017-05-18,40.869999
2017-05-19,41.049999
2017-05-22,40.040001000000004
2017-05-23,39.860001000000004
2017-05-24,40.240002000000004
2017-05-25,41.0
2017-05-26,43.279999
2017-05-30,43.669998
2017-05-31,43.130001
2017-06-01,43.66
2017-06-02,42.650002
2017-06-05,40.490002000000004
2017-06-06,40.080002
2017-06-07,39.630001
2017-06-08,40.189999
2017-06-09,40.290001000000004
2017-06-12,41.490002000000004
2017-06-13,43.16
2017-06-14,42.150002
2017-06-15,41.939999
2017-06-16,41.700001
2017-06-19,43.639998999999996
2017-06-20,43.310001
2017-06-21,45.369999
2017-06-22,45.369999
2017-06-23,46.32
2017-06-26,46.240002000000004
2017-06-27,44.889998999999996
2017-06-28,45.220001
2017-06-29,44.41
2017-06-30,44.810001
2017-07-03,45.310001
2017-07-05,45.220001
2017-07-06,43.02
2017-07-07,42.639998999999996
2017-07-10,41.860001000000004
2017-07-11,43.049999
2017-07-12,44.099998
2017-07-13,44.59
2017-07-14,44.509997999999996
2017-07-17,45.549999
2017-07-18,44.59
2017-07-19,44.869999
2017-07-20,46.709998999999996
2017-07-21,47.419998
2017-07-24,47.139998999999996
2017-07-25,47.419998
2017-07-26,46.43
2017-07-27,46.599998
2017-07-28,45.900002
2017-07-31,45.799999
2017-08-01,44.509997999999996
2017-08-02,43.57
2017-08-03,41.619999
2017-08-04,41.02
2017-08-07,40.93
2017-08-08,38.189999
2017-08-09,37.720001
2017-08-10,37.040001000000004
2017-08-11,36.52
2017-08-14,35.669998
2017-08-15,35.630001
2017-08-16,35.939999
2017-08-17,36.360001000000004
2017-08-18,36.389998999999996
2017-08-21,36.130001
2017-08-22,37.119999
2017-08-23,37.209998999999996
2017-08-24,38.25
2017-08-25,39.009997999999996
2017-08-28,38.98
2017-08-29,39.139998999999996
2017-08-30,39.369999
2017-08-31,41.080002
2017-09-01,41.169998
2017-09-05,36.119999
2017-09-06,36.279999
2017-09-07,35.16
2017-09-08,35.330002
2017-09-11,36.799999
2017-09-12,36.450001
2017-09-13,35.639998999999996
2017-09-14,35.209998999999996
2017-09-15,34.27
2017-09-18,33.759997999999996
2017-09-19,34.07
2017-09-20,34.490002000000004
2017-09-21,34.860001000000004
2017-09-22,34.830002
2017-09-25,35.25
2017-09-26,34.669998
2017-09-27,35.389998999999996
2017-09-28,36.139998999999996
2017-09-29,37.369999
2017-10-02,38.869999
2017-10-03,37.59
2017-10-04,37.360001000000004
2017-10-05,35.5
2017-10-06,35.810001
2017-10-09,35.720001
2017-10-10,35.759997999999996
2017-10-11,35.689999
2017-10-12,34.73
2017-10-13,33.290001000000004
2017-10-16,32.279999
2017-10-17,32.360001000000004
2017-10-18,32.16
2017-10-19,32.82
2017-10-20,32.419998
2017-10-23,30.790001
2017-10-24,31.059998999999998
2017-10-25,31.299999
2017-10-26,31.049999
2017-10-27,30.709999
2017-10-30,30.82
2017-10-31,31.67
2017-11-01,32.060001
2017-11-02,30.469998999999998
2017-11-03,30.879998999999998
2017-11-06,31.18
2017-11-07,20.110001
2017-11-08,19.98
2017-11-09,22.200001
2017-11-10,21.76
2017-11-13,21.9
2017-11-14,21.719998999999998
2017-11-15,21.91
2017-11-16,22.450001
2017-11-17,22.379998999999998
2017-11-20,21.809998999999998
2017-11-21,21.389999
2017-11-22,21.370001000000002
2017-11-24,21.219998999999998
2017-11-27,21.76
2017-11-28,21.92
2017-11-29,22.129998999999998
2017-11-30,21.82
2017-12-01,21.82
2017-12-04,21.959999
2017-12-05,21.73
2017-12-06,21.35
2017-12-07,21.25
2017-12-08,22.299999
2017-12-11,23.139999
2017-12-12,24.059998999999998
2017-12-13,23.860001
2017-12-14,23.110001
2017-12-15,23.360001
2017-12-18,23.700001
2017-12-19,23.110001
2017-12-20,23.33
2017-12-21,23.57
