Date,INXN
2011-01-28,13.8
2011-01-31,14.1
2011-02-01,14.3
2011-02-02,15.25
2011-02-03,14.8
2011-02-04,14.8
2011-02-07,15.08
2011-02-08,14.83
2011-02-09,14.8
2011-02-10,14.93
2011-02-11,14.95
2011-02-14,14.99
2011-02-15,15.27
2011-02-16,14.89
2011-02-17,14.82
2011-02-18,14.54
2011-02-22,14.31
2011-02-23,14.48
2011-02-24,14.62
2011-02-25,14.86
2011-02-28,14.66
2011-03-01,14.57
2011-03-02,14.25
2011-03-03,13.93
2011-03-04,13.8
2011-03-07,14.06
2011-03-08,14.16
2011-03-09,13.56
2011-03-10,12.92
2011-03-11,13.37
2011-03-14,14.11
2011-03-15,13.85
2011-03-16,13.71
2011-03-17,14.04
2011-03-18,14.25
2011-03-21,14.21
2011-03-22,14.16
2011-03-23,13.72
2011-03-24,13.57
2011-03-25,13.62
2011-03-28,13.58
2011-03-29,13.51
2011-03-30,13.31
2011-03-31,13.0
2011-04-01,13.19
2011-04-04,13.14
2011-04-05,13.31
2011-04-06,13.28
2011-04-07,13.25
2011-04-08,13.59
2011-04-11,13.74
2011-04-12,13.63
2011-04-13,13.7
2011-04-14,13.76
2011-04-15,14.02
2011-04-18,13.8
2011-04-19,13.94
2011-04-20,14.05
2011-04-21,14.05
2011-04-25,14.09
2011-04-26,13.98
2011-04-27,14.25
2011-04-28,14.67
2011-04-29,14.98
2011-05-02,15.27
2011-05-03,15.42
2011-05-04,14.93
2011-05-05,14.5
2011-05-06,14.45
2011-05-09,15.32
2011-05-10,15.28
2011-05-11,14.68
2011-05-12,15.03
2011-05-13,14.98
2011-05-16,14.54
2011-05-17,14.61
2011-05-18,14.81
2011-05-19,14.76
2011-05-20,14.5
2011-05-23,14.07
2011-05-24,14.03
2011-05-25,13.99
2011-05-26,14.06
2011-05-27,14.04
2011-05-31,14.11
2011-06-01,14.07
2011-06-02,14.08
2011-06-03,14.25
2011-06-06,14.03
2011-06-07,14.0
2011-06-08,14.2
2011-06-09,13.98
2011-06-10,14.24
2011-06-13,14.03
2011-06-14,14.04
2011-06-15,14.0
2011-06-16,13.73
2011-06-17,13.86
2011-06-20,14.08
2011-06-21,14.4
2011-06-22,14.42
2011-06-23,14.48
2011-06-24,14.45
2011-06-27,14.41
2011-06-28,14.65
2011-06-29,14.74
2011-06-30,15.14
2011-07-01,14.96
2011-07-05,14.72
2011-07-06,14.99
2011-07-07,14.85
2011-07-08,14.9
2011-07-11,14.85
2011-07-12,14.58
2011-07-13,14.56
2011-07-14,14.23
2011-07-15,14.27
2011-07-18,14.23
2011-07-19,14.16
2011-07-20,14.65
2011-07-21,14.39
2011-07-22,14.23
2011-07-25,14.09
2011-07-26,14.11
2011-07-27,14.2
2011-07-28,14.54
2011-07-29,14.85
2011-08-01,14.48
2011-08-02,14.26
2011-08-03,14.28
2011-08-04,14.15
2011-08-05,14.22
2011-08-08,12.35
2011-08-09,12.4
2011-08-10,11.77
2011-08-11,11.54
2011-08-12,11.3
2011-08-15,11.73
2011-08-16,11.67
2011-08-17,11.77
2011-08-18,11.71
2011-08-19,11.53
2011-08-22,11.44
2011-08-23,11.68
2011-08-24,11.57
2011-08-25,11.54
2011-08-26,11.76
2011-08-29,12.05
2011-08-30,12.49
2011-08-31,12.56
2011-09-01,12.2
2011-09-02,12.18
2011-09-06,12.2
2011-09-07,12.9
2011-09-08,12.5
2011-09-09,12.23
2011-09-12,11.98
2011-09-13,11.95
2011-09-14,11.83
2011-09-15,12.47
2011-09-16,12.86
2011-09-19,12.57
2011-09-20,12.47
2011-09-21,11.89
2011-09-22,12.12
2011-09-23,12.06
2011-09-26,11.96
2011-09-27,11.95
2011-09-28,11.94
2011-09-29,12.0
2011-09-30,11.81
2011-10-03,11.32
2011-10-04,11.5
2011-10-05,11.7
2011-10-06,11.56
2011-10-07,11.39
2011-10-10,11.5
2011-10-11,11.7
2011-10-12,11.77
2011-10-13,11.85
2011-10-14,12.77
2011-10-17,12.42
2011-10-18,12.32
2011-10-19,12.66
2011-10-20,12.69
2011-10-21,13.14
2011-10-24,13.25
2011-10-25,13.19
2011-10-26,13.37
2011-10-27,13.46
2011-10-28,13.46
2011-10-31,13.72
2011-11-01,12.9
2011-11-02,13.89
2011-11-03,13.17
2011-11-04,13.36
2011-11-07,13.76
2011-11-08,13.66
2011-11-09,13.0
2011-11-10,13.0
2011-11-11,13.24
2011-11-14,12.95
2011-11-15,13.77
2011-11-16,13.84
2011-11-17,13.67
2011-11-18,13.54
2011-11-21,13.43
2011-11-22,13.02
2011-11-23,12.67
2011-11-25,12.75
2011-11-28,12.76
2011-11-29,12.77
2011-11-30,13.2
2011-12-01,13.07
2011-12-02,13.07
2011-12-05,13.13
2011-12-06,12.98
2011-12-07,13.07
2011-12-08,12.92
2011-12-09,12.95
2011-12-12,12.85
2011-12-13,12.9
