Date,PSTG
2015-10-06,17.0
2015-10-07,16.01
2015-10-08,15.93
2015-10-09,16.6
2015-10-12,18.059998999999998
2015-10-13,18.690001000000002
2015-10-14,19.74
2015-10-15,19.68
2015-10-16,18.84
2015-10-19,19.0
2015-10-20,19.5
2015-10-21,19.25
2015-10-22,19.49
2015-10-23,19.27
2015-10-26,18.860001
2015-10-27,17.799999
2015-10-28,18.049999
2015-10-29,17.809998999999998
2015-10-30,17.629998999999998
2015-11-02,16.959999
2015-11-03,17.440001000000002
2015-11-04,17.040001
2015-11-05,17.65
2015-11-06,17.620001000000002
2015-11-09,17.610001
2015-11-10,17.4
2015-11-11,17.110001
2015-11-12,17.1
2015-11-13,17.24
2015-11-16,17.25
2015-11-17,17.190001000000002
2015-11-18,17.27
2015-11-19,17.4
2015-11-20,14.74
2015-11-23,14.11
2015-11-24,13.91
2015-11-25,13.08
2015-11-27,12.96
2015-11-30,12.91
2015-12-01,13.73
2015-12-02,13.92
2015-12-03,15.69
2015-12-04,16.76
2015-12-07,17.530001000000002
2015-12-08,17.549999
2015-12-09,17.559998999999998
2015-12-10,17.690001000000002
2015-12-11,17.65
2015-12-14,17.09
2015-12-15,17.27
2015-12-16,17.709999
2015-12-17,16.959999
2015-12-18,16.809998999999998
2015-12-21,16.01
2015-12-22,16.200001
2015-12-23,16.82
2015-12-24,16.540001
2015-12-28,16.58
2015-12-29,16.17
2015-12-30,16.049999
2015-12-31,15.57
2016-01-04,14.34
2016-01-05,14.23
2016-01-06,14.2
2016-01-07,14.05
2016-01-08,13.7
2016-01-11,14.02
2016-01-12,14.02
2016-01-13,13.77
2016-01-14,14.35
2016-01-15,13.94
2016-01-19,14.14
2016-01-20,13.31
2016-01-21,13.27
2016-01-22,13.73
2016-01-25,13.99
2016-01-26,13.72
2016-01-27,13.57
2016-01-28,13.1
2016-01-29,13.01
2016-02-01,13.0
2016-02-02,12.43
2016-02-03,12.42
2016-02-04,13.09
2016-02-05,12.22
2016-02-08,12.77
2016-02-09,11.99
2016-02-10,12.0
2016-02-11,11.64
2016-02-12,11.97
2016-02-16,12.61
2016-02-17,13.03
2016-02-18,12.81
2016-02-19,12.8
2016-02-22,12.68
2016-02-23,12.79
2016-02-24,12.35
2016-02-25,13.19
2016-02-26,13.24
2016-02-29,14.38
2016-03-01,14.98
2016-03-02,15.71
2016-03-03,14.37
2016-03-04,13.87
2016-03-07,13.4
2016-03-08,13.15
2016-03-09,13.22
2016-03-10,12.82
2016-03-11,13.0
2016-03-14,13.01
2016-03-15,12.36
2016-03-16,12.36
2016-03-17,13.02
2016-03-18,12.42
2016-03-21,12.95
2016-03-22,13.84
2016-03-23,13.05
2016-03-24,13.05
2016-03-28,13.4
2016-03-29,13.31
2016-03-30,13.3
2016-03-31,13.69
2016-04-01,14.46
2016-04-04,14.39
2016-04-05,14.67
2016-04-06,15.0
2016-04-07,14.59
2016-04-08,14.31
2016-04-11,14.42
2016-04-12,14.45
2016-04-13,14.91
2016-04-14,14.65
2016-04-15,14.15
2016-04-18,14.42
2016-04-19,14.66
2016-04-20,14.16
2016-04-21,13.79
2016-04-22,14.32
2016-04-25,14.58
2016-04-26,14.71
2016-04-27,14.2
2016-04-28,14.36
2016-04-29,14.55
2016-05-02,14.47
2016-05-03,14.21
2016-05-04,14.19
2016-05-05,14.13
2016-05-06,14.11
2016-05-09,14.15
2016-05-10,14.28
2016-05-11,14.21
2016-05-12,13.98
2016-05-13,14.17
2016-05-16,14.36
2016-05-17,14.01
2016-05-18,14.01
2016-05-19,14.21
2016-05-20,14.52
2016-05-23,14.73
2016-05-24,14.56
2016-05-25,14.72
2016-05-26,12.46
2016-05-27,11.84
2016-05-31,11.78
2016-06-01,11.31
2016-06-02,11.69
2016-06-03,11.7
2016-06-06,11.74
2016-06-07,11.69
2016-06-08,11.71
2016-06-09,11.58
2016-06-10,10.85
2016-06-13,10.75
2016-06-14,10.72
2016-06-15,10.4
2016-06-16,10.02
2016-06-17,9.77
2016-06-20,10.37
2016-06-21,10.61
2016-06-22,10.33
2016-06-23,10.88
2016-06-24,10.15
2016-06-27,9.82
2016-06-28,10.15
2016-06-29,10.6
2016-06-30,10.9
2016-07-01,10.93
2016-07-05,10.9
2016-07-06,10.83
2016-07-07,11.12
2016-07-08,11.1
2016-07-11,11.18
2016-07-12,11.48
2016-07-13,11.57
2016-07-14,11.67
2016-07-15,11.73
2016-07-18,11.68
2016-07-19,11.74
2016-07-20,11.77
2016-07-21,11.82
2016-07-22,11.83
2016-07-25,12.14
2016-07-26,12.29
2016-07-27,12.3
2016-07-28,12.48
2016-07-29,12.6
2016-08-01,12.68
2016-08-02,12.31
2016-08-03,12.59
2016-08-04,12.73
2016-08-05,13.06
2016-08-08,13.19
2016-08-09,13.55
2016-08-10,13.34
2016-08-11,13.54
2016-08-12,13.62
2016-08-15,13.81
2016-08-16,13.64
2016-08-17,13.4
2016-08-18,13.41
2016-08-19,11.66
2016-08-22,11.78
2016-08-23,11.75
2016-08-24,11.61
2016-08-25,11.83
2016-08-26,11.4
2016-08-29,11.69
2016-08-30,11.69
2016-08-31,11.71
2016-09-01,11.69
2016-09-02,11.96
2016-09-06,12.31
2016-09-07,12.54
2016-09-08,12.41
2016-09-09,12.18
2016-09-12,12.57
2016-09-13,13.0
2016-09-14,13.73
2016-09-15,13.79
2016-09-16,13.72
2016-09-19,13.63
2016-09-20,13.26
2016-09-21,13.66
2016-09-22,13.7
2016-09-23,13.62
2016-09-26,13.36
2016-09-27,13.61
2016-09-28,13.7
2016-09-29,13.64
2016-09-30,13.55
2016-10-03,13.89
2016-10-04,14.71
2016-10-05,14.83
2016-10-06,14.9
2016-10-07,14.67
2016-10-10,14.62
2016-10-11,14.03
2016-10-12,13.62
2016-10-13,13.17
2016-10-14,12.7
2016-10-17,12.38
2016-10-18,12.23
2016-10-19,12.73
2016-10-20,12.66
2016-10-21,12.5
2016-10-24,12.44
2016-10-25,12.46
2016-10-26,12.53
2016-10-27,12.36
2016-10-28,12.5
2016-10-31,12.34
2016-11-01,12.13
2016-11-02,11.59
2016-11-03,11.75
2016-11-04,11.7
2016-11-07,12.3
2016-11-08,12.45
2016-11-09,12.73
2016-11-10,13.55
2016-11-11,14.1
2016-11-14,14.7
2016-11-15,14.73
2016-11-16,14.4
2016-11-17,14.65
2016-11-18,14.6
2016-11-21,14.59
2016-11-22,14.49
2016-11-23,14.19
2016-11-25,14.25
2016-11-28,14.13
2016-11-29,14.26
2016-11-30,13.95
2016-12-01,12.6
2016-12-02,12.85
2016-12-05,12.96
2016-12-06,12.68
2016-12-07,12.63
2016-12-08,12.33
2016-12-09,12.19
2016-12-12,12.05
2016-12-13,12.03
2016-12-14,11.92
2016-12-15,12.08
2016-12-16,11.88
2016-12-19,12.0
2016-12-20,11.93
2016-12-21,11.64
2016-12-22,11.58
2016-12-23,11.65
2016-12-27,11.65
2016-12-28,11.51
2016-12-29,11.27
2016-12-30,11.31
2017-01-03,11.27
2017-01-04,11.57
2017-01-05,11.97
2017-01-06,11.97
2017-01-09,12.2
2017-01-10,11.97
2017-01-11,11.7
2017-01-12,11.53
2017-01-13,11.55
2017-01-17,11.81
2017-01-18,11.81
2017-01-19,11.85
2017-01-20,12.02
2017-01-23,12.05
2017-01-24,11.85
2017-01-25,11.89
2017-01-26,11.37
2017-01-27,11.38
2017-01-30,11.28
2017-01-31,11.37
2017-02-01,11.16
2017-02-02,11.15
2017-02-03,11.32
2017-02-06,11.15
2017-02-07,11.25
2017-02-08,11.15
2017-02-09,11.31
2017-02-10,11.76
2017-02-13,12.0
2017-02-14,12.06
2017-02-15,12.01
2017-02-16,11.95
2017-02-17,11.95
2017-02-21,11.85
2017-02-22,11.66
2017-02-23,11.72
2017-02-24,11.56
2017-02-27,11.68
2017-02-28,11.4
2017-03-01,11.33
2017-03-02,9.78
2017-03-03,9.51
2017-03-06,9.4
2017-03-07,10.47
2017-03-08,10.28
2017-03-09,10.1
2017-03-10,10.41
2017-03-13,10.29
2017-03-14,10.15
2017-03-15,10.28
2017-03-16,10.39
2017-03-17,10.2
2017-03-20,10.38
2017-03-21,10.27
2017-03-22,10.13
2017-03-23,10.13
2017-03-24,9.9
2017-03-27,9.89
2017-03-28,9.73
2017-03-29,9.71
2017-03-30,9.73
2017-03-31,9.83
2017-04-03,10.18
2017-04-04,10.52
2017-04-05,10.26
2017-04-06,10.48
2017-04-07,10.53
2017-04-10,10.32
2017-04-11,10.2
2017-04-12,10.32
2017-04-13,10.28
2017-04-17,10.51
2017-04-18,10.36
2017-04-19,10.28
2017-04-20,10.34
2017-04-21,10.24
2017-04-24,10.34
2017-04-25,10.49
2017-04-26,10.35
2017-04-27,10.51
2017-04-28,10.61
2017-05-01,10.68
2017-05-02,10.81
2017-05-03,10.95
2017-05-04,11.06
2017-05-05,11.36
2017-05-08,11.41
2017-05-09,11.3
2017-05-10,11.35
2017-05-11,11.47
2017-05-12,11.38
2017-05-15,11.84
2017-05-16,11.95
2017-05-17,11.67
2017-05-18,10.32
