Date,IMIAF
2013-01-08,20.285715
2013-01-09,20.285715
2013-01-10,20.285715
2013-01-11,20.285715
2013-01-14,20.285715
2013-01-15,20.285715
2013-01-16,20.285715
2013-01-17,20.285715
2013-01-18,20.285715
2013-01-22,20.285715
2013-01-23,20.285715
2013-01-24,20.285715
2013-01-25,20.285715
2013-01-28,20.285715
2013-01-29,21.085714000000003
2013-01-30,21.085714000000003
2013-01-31,21.085714000000003
2013-02-01,21.085714000000003
2013-02-04,21.085714000000003
2013-02-05,21.085714000000003
2013-02-06,21.085714000000003
2013-02-07,21.085714000000003
2013-02-08,21.085714000000003
2013-02-11,21.085714000000003
2013-02-12,21.085714000000003
2013-02-13,21.085714000000003
2013-02-14,21.085714000000003
2013-02-15,21.085714000000003
2013-02-19,21.085714000000003
2013-02-20,21.085714000000003
2013-02-21,21.085714000000003
2013-02-22,21.085714000000003
2013-02-25,21.085714000000003
2013-02-26,21.085714000000003
2013-02-27,21.085714000000003
2013-02-28,20.857143
2013-03-01,21.040001
2013-03-04,21.040001
2013-03-05,21.371429
2013-03-06,21.371429
2013-03-07,21.371429
2013-03-08,22.971428
2013-03-11,22.971428
2013-03-12,22.971428
2013-03-13,23.142857
2013-03-14,23.142857
2013-03-15,23.542856
2013-03-18,23.542856
2013-03-19,23.542856
2013-03-20,23.542856
2013-03-21,23.542856
2013-03-22,23.542856
2013-03-25,23.542856
2013-03-26,23.542856
2013-03-27,23.542856
2013-03-28,23.542856
2013-04-01,23.542856
2013-04-02,21.942857999999998
2013-04-03,21.942857999999998
2013-04-04,21.942857999999998
2013-04-05,21.942857999999998
2013-04-08,21.942857999999998
2013-04-09,21.942857999999998
2013-04-10,21.942857999999998
2013-04-11,21.942857999999998
2013-04-12,21.942857999999998
2013-04-15,21.942857999999998
2013-04-16,21.942857999999998
2013-04-17,21.942857999999998
2013-04-18,21.085714000000003
2013-04-19,21.085714000000003
2013-04-22,21.085714000000003
2013-04-23,21.085714000000003
2013-04-24,21.085714000000003
2013-04-25,21.085714000000003
2013-04-26,21.085714000000003
2013-04-29,21.085714000000003
2013-04-30,21.085714000000003
2013-05-01,21.085714000000003
2013-05-02,21.085714000000003
2013-05-03,21.085714000000003
2013-05-06,21.085714000000003
2013-05-07,21.085714000000003
2013-05-08,21.085714000000003
2013-05-09,23.451429
2013-05-10,23.451429
2013-05-13,23.051428
2013-05-14,23.051428
2013-05-15,23.051428
2013-05-16,23.051428
2013-05-17,23.051428
2013-05-20,23.051428
2013-05-21,23.051428
2013-05-22,23.051428
2013-05-23,23.051428
2013-05-24,22.011429
2013-05-28,22.011429
2013-05-29,22.011429
2013-05-30,22.982857
2013-05-31,22.982857
2013-06-03,22.982857
2013-06-04,22.982857
2013-06-05,22.982857
2013-06-06,22.982857
2013-06-07,22.982857
2013-06-10,22.982857
2013-06-11,22.982857
2013-06-12,23.417143
2013-06-13,23.371429
2013-06-14,23.371429
2013-06-17,23.371429
2013-06-18,23.371429
2013-06-19,23.371429
2013-06-20,23.371429
2013-06-21,23.371429
2013-06-24,23.371429
2013-06-25,21.142857
2013-06-26,21.142857
2013-06-27,21.142857
2013-06-28,21.142857
2013-07-01,21.142857
2013-07-02,21.142857
2013-07-03,21.142857
2013-07-05,21.142857
2013-07-08,21.142857
2013-07-09,21.142857
2013-07-10,21.142857
2013-07-11,21.142857
2013-07-12,21.142857
2013-07-15,21.142857
2013-07-16,21.142857
2013-07-17,21.142857
2013-07-18,23.771429
2013-07-19,23.771429
2013-07-22,23.771429
2013-07-23,23.771429
2013-07-24,23.771429
2013-07-25,23.771429
2013-07-26,23.771429
2013-07-29,23.771429
2013-07-30,23.771429
2013-07-31,23.771429
2013-08-01,23.771429
2013-08-02,23.771429
2013-08-05,24.582857
2013-08-06,24.582857
2013-08-07,24.582857
2013-08-08,24.582857
2013-08-09,24.582857
2013-08-12,24.582857
2013-08-13,24.582857
2013-08-14,24.582857
2013-08-15,24.582857
2013-08-16,24.582857
2013-08-19,24.582857
2013-08-20,24.582857
2013-08-21,25.028572
2013-08-22,26.32
2013-08-23,26.457144
2013-08-26,26.457144
2013-08-27,26.457144
2013-08-28,26.457144
2013-08-29,26.457144
2013-08-30,25.142857
2013-09-03,25.142857
2013-09-04,25.714285
2013-09-05,25.942857999999998
2013-09-06,26.285715000000003
2013-09-09,26.342857000000002
2013-09-10,26.971428000000003
2013-09-11,27.028571999999997
2013-09-12,27.028571999999997
2013-09-13,27.028571999999997
2013-09-16,27.028571999999997
2013-09-17,27.028571999999997
2013-09-18,27.028571999999997
2013-09-19,26.765715000000004
2013-09-20,26.765715000000004
2013-09-23,26.628571
2013-09-24,26.628571
2013-09-25,26.628571
2013-09-26,26.628571
2013-09-27,26.971428000000003
2013-09-30,26.971428000000003
2013-10-01,26.571428000000004
2013-10-02,26.571428000000004
2013-10-03,26.628571
2013-10-04,26.571428000000004
2013-10-07,26.571428000000004
2013-10-08,26.285715000000003
2013-10-09,26.285715000000003
2013-10-10,26.285715000000003
2013-10-11,26.285715000000003
2013-10-14,26.285715000000003
2013-10-15,26.285715000000003
2013-10-16,28.228571000000002
2013-10-17,27.554284999999997
2013-10-18,27.942858
2013-10-21,27.942858
2013-10-22,27.942858
2013-10-23,27.942858
2013-10-24,27.942858
2013-10-25,27.942858
2013-10-28,27.428571999999996
2013-10-29,27.6
2013-10-30,27.6
2013-10-31,27.6
2013-11-01,27.428571999999996
2013-11-04,27.428571999999996
2013-11-05,27.428571999999996
2013-11-06,27.428571999999996
2013-11-07,27.428571999999996
2013-11-08,27.428571999999996
2013-11-11,27.314284999999998
2013-11-12,27.142857
2013-11-13,27.142857
2013-11-14,27.142857
2013-11-15,27.142857
2013-11-18,27.257143
2013-11-19,27.257143
2013-11-20,27.257143
2013-11-21,27.257143
2013-11-22,27.257143
2013-11-25,27.257143
2013-11-26,27.257143
2013-11-27,27.257143
2013-11-29,27.257143
2013-12-02,27.257143
2013-12-03,27.257143
2013-12-04,26.285715000000003
2013-12-05,26.285715000000003
2013-12-06,26.285715000000003
2013-12-09,26.285715000000003
2013-12-10,26.285715000000003
2013-12-11,26.571428000000004
2013-12-12,26.571428000000004
2013-12-13,26.571428000000004
2013-12-16,26.571428000000004
2013-12-17,26.571428000000004
2013-12-18,26.571428000000004
2013-12-19,26.857143
2013-12-20,26.914285999999997
2013-12-23,26.914285999999997
2013-12-24,26.914285999999997
2013-12-26,26.914285999999997
2013-12-27,26.914285999999997
2013-12-30,26.914285999999997
2013-12-31,26.914285999999997
2014-01-02,26.914285999999997
2014-01-03,26.914285999999997
2014-01-06,28.571428000000004
2014-01-07,28.571428000000004
2014-01-08,28.0
2014-01-09,28.0
2014-01-10,29.440001000000002
2014-01-13,29.440001000000002
2014-01-14,29.222857
2014-01-15,29.257143
2014-01-16,29.257143
2014-01-17,29.257143
2014-01-21,29.257143
2014-01-22,29.257143
2014-01-23,29.257143
2014-01-24,29.257143
2014-01-27,27.657142999999998
2014-01-28,27.657142999999998
2014-01-29,29.142857
2014-01-30,29.142857
2014-01-31,29.142857
2014-02-03,27.737143
2014-02-04,27.737143
2014-02-05,27.005714
2014-02-06,27.348571999999997
2014-02-07,27.348571999999997
2014-02-10,27.348571999999997
2014-02-11,28.0
2014-02-12,28.0
2014-02-13,28.171428999999996
2014-02-14,28.171428999999996
2014-02-18,25.6
2014-02-19,25.6
2014-02-20,25.6
2014-02-21,25.6
2014-02-24,25.6
2014-02-25,25.6
2014-02-26,25.6
2014-02-27,25.6
2014-02-28,25.6
2014-03-03,25.6
2014-03-04,25.6
2014-03-05,25.6
2014-03-06,25.6
2014-03-07,25.6
2014-03-10,23.75
2014-03-11,23.75
2014-03-12,23.75
2014-03-13,23.75
2014-03-14,23.75
2014-03-17,23.799999
2014-03-18,23.85
2014-03-19,23.85
2014-03-20,23.65
2014-03-21,23.65
2014-03-24,23.65
2014-03-25,23.65
2014-03-26,23.65
2014-03-27,23.65
2014-03-28,23.65
2014-03-31,23.65
2014-04-01,23.65
2014-04-02,23.65
