Date,AVP
1972-06-01,14.5625
1972-06-02,14.71875
1972-06-05,14.5625
1972-06-06,14.6875
1972-06-07,14.4375
1972-06-08,14.3125
1972-06-09,14.359375
1972-06-12,14.265625
1972-06-13,14.265625
1972-06-14,14.5
1972-06-15,14.46875
1972-06-16,14.25
1972-06-19,14.03125
1972-06-20,14.453125
1972-06-21,14.640625
1972-06-22,14.6875
1972-06-23,14.71875
1972-06-26,14.5
1972-06-27,14.640625
1972-06-28,14.546875
1972-06-29,14.65625
1972-06-30,14.28125
1972-07-03,14.125
1972-07-05,13.5625
1972-07-06,14.1875
1972-07-07,14.09375
1972-07-10,14.3125
1972-07-11,14.328125
1972-07-12,14.078125
1972-07-13,14.25
1972-07-14,14.46875
1972-07-17,14.1875
1972-07-18,14.359375
1972-07-19,14.46875
1972-07-20,14.65625
1972-07-21,14.828125
1972-07-24,14.5625
1972-07-25,14.59375
1972-07-26,14.65625
1972-07-27,14.71875
1972-07-28,14.765625
1972-07-31,14.90625
1972-08-01,15.1875
1972-08-02,15.125
1972-08-03,15.265625
1972-08-04,15.40625
1972-08-07,15.40625
1972-08-08,15.5
1972-08-09,15.3125
1972-08-10,15.703125
1972-08-11,15.625
1972-08-14,15.78125
1972-08-15,15.71875
1972-08-16,15.5625
1972-08-17,15.5625
1972-08-18,15.6875
1972-08-21,15.46875
1972-08-22,15.0
1972-08-23,14.75
1972-08-24,14.5625
1972-08-25,14.703125
1972-08-28,14.890625
1972-08-29,14.75
1972-08-30,14.6875
1972-08-31,14.796875
1972-09-01,15.0
1972-09-05,15.21875
1972-09-06,14.96875
1972-09-07,14.78125
1972-09-08,14.8125
1972-09-11,14.75
1972-09-12,14.53125
1972-09-13,14.71875
1972-09-14,14.75
1972-09-15,14.625
1972-09-18,14.6875
1972-09-19,14.6875
1972-09-20,14.734375
1972-09-21,14.90625
1972-09-22,14.875
1972-09-25,14.75
1972-09-26,14.953125
1972-09-27,15.046875
1972-09-28,15.59375
1972-09-29,15.5625
1972-10-02,15.65625
1972-10-03,15.71875
1972-10-04,15.40625
1972-10-05,15.109375
1972-10-06,15.34375
1972-10-09,15.4375
1972-10-10,15.59375
1972-10-11,15.40625
1972-10-12,15.171875
1972-10-13,15.25
1972-10-16,14.828125
1972-10-17,15.015625
1972-10-18,15.015625
1972-10-19,15.046875
1972-10-20,15.21875
1972-10-23,15.40625
1972-10-24,15.625
1972-10-25,15.75
1972-10-26,16.0625
1972-10-27,16.125
1972-10-30,16.25
1972-10-31,16.328125
1972-11-01,16.53125
1972-11-02,16.3125
1972-11-03,16.5625
1972-11-06,16.53125
1972-11-08,16.09375
1972-11-09,15.828125
1972-11-10,15.59375
1972-11-13,15.6875
1972-11-14,15.84375
1972-11-15,16.03125
1972-11-16,16.0625
1972-11-17,16.0
1972-11-20,16.0625
1972-11-21,16.125
1972-11-22,16.125
1972-11-24,15.96875
1972-11-27,15.9375
1972-11-28,15.90625
1972-11-29,15.875
1972-11-30,15.859375
1972-12-01,15.90625
1972-12-04,16.234375
1972-12-05,16.25
1972-12-06,16.625
1972-12-07,16.65625
1972-12-08,16.796875
1972-12-11,17.25
1972-12-12,16.984375
1972-12-13,17.15625
1972-12-14,17.15625
1972-12-15,17.3125
1972-12-18,16.65625
1972-12-19,16.5625
1972-12-20,16.828125
1972-12-21,16.9375
1972-12-22,17.15625
1972-12-26,17.328125
1972-12-27,17.03125
1972-12-29,17.09375
1973-01-02,17.0
1973-01-03,16.90625
1973-01-04,16.8125
1973-01-05,16.8125
1973-01-08,16.796875
1973-01-09,16.765625
1973-01-10,16.53125
1973-01-11,16.59375
1973-01-12,16.59375
1973-01-15,16.59375
1973-01-16,16.4375
1973-01-17,16.609375
1973-01-18,16.65625
1973-01-19,16.90625
1973-01-22,17.03125
1973-01-23,17.109375
1973-01-24,16.921875
1973-01-26,16.25
1973-01-29,16.140625
1973-01-30,16.0625
1973-01-31,16.28125
1973-02-01,15.90625
1973-02-02,15.828125
1973-02-05,16.25
1973-02-06,16.453125
1973-02-07,16.25
1973-02-08,16.21875
1973-02-09,16.46875
1973-02-12,16.8125
1973-02-13,16.953125
1973-02-14,16.5
1973-02-15,16.328125
1973-02-16,16.328125
1973-02-20,16.65625
1973-02-21,16.53125
1973-02-22,16.78125
1973-02-23,16.375
1973-02-26,16.21875
1973-02-27,16.28125
1973-02-28,16.421875
1973-03-01,16.3125
1973-03-02,16.6875
1973-03-05,17.046875
1973-03-06,17.5
1973-03-07,17.5
1973-03-08,17.34375
1973-03-09,17.328125
1973-03-12,17.375
1973-03-13,17.453125
1973-03-14,17.46875
1973-03-15,17.359375
1973-03-16,17.125
1973-03-19,17.125
1973-03-20,17.25
1973-03-21,16.703125
1973-03-22,16.390625
1973-03-23,16.328125
1973-03-26,16.671875
1973-03-27,16.9375
1973-03-28,16.875
1973-03-29,16.890625
1973-03-30,16.75
1973-04-02,16.5625
1973-04-03,16.046875
1973-04-04,15.8125
1973-04-05,16.046875
1973-04-06,16.28125
1973-04-09,16.6875
1973-04-10,16.96875
1973-04-11,16.875
1973-04-12,16.875
1973-04-13,16.59375
1973-04-16,16.59375
1973-04-17,16.609375
1973-04-18,16.53125
1973-04-19,16.59375
1973-04-23,16.796875
1973-04-24,16.703125
1973-04-25,16.375
1973-04-26,16.5625
1973-04-27,16.1875
1973-04-30,16.234375
1973-05-01,16.25
1973-05-02,16.1875
1973-05-03,16.625
1973-05-04,16.25
1973-05-07,16.3125
1973-05-08,16.34375
1973-05-09,16.375
1973-05-10,16.25
1973-05-11,15.9375
1973-05-14,15.640625
1973-05-15,15.9375
1973-05-16,15.90625
1973-05-17,15.9375
1973-05-18,15.84375
1973-05-21,15.6875
1973-05-22,15.875
1973-05-23,15.828125
1973-05-24,16.34375
1973-05-25,16.40625
1973-05-29,16.765625
1973-05-30,16.5
1973-05-31,16.3125
1973-06-01,15.96875
1973-06-04,15.84375
1973-06-05,16.15625
1973-06-06,16.25
1973-06-07,16.609375
1973-06-08,16.65625
1973-06-11,16.625
1973-06-12,16.625
1973-06-13,16.46875
1973-06-14,15.9375
1973-06-15,16.15625
1973-06-18,15.828125
1973-06-19,16.046875
1973-06-20,16.296875
1973-06-21,16.125
1973-06-22,16.3125
1973-06-25,16.03125
1973-06-26,15.84375
1973-06-27,15.28125
1973-06-28,15.625
1973-06-29,15.4375
1973-07-02,14.65625
1973-07-03,13.953125
1973-07-05,14.09375
1973-07-06,14.09375
1973-07-09,14.34375
1973-07-10,14.59375
1973-07-11,15.015625
1973-07-12,14.59375
1973-07-13,14.375
1973-07-16,14.96875
1973-07-17,14.953125
1973-07-18,15.140625
1973-07-19,14.8125
1973-07-20,14.59375
1973-07-23,14.53125
1973-07-24,14.734375
1973-07-25,14.65625
1973-07-26,14.6875
1973-07-27,14.625
1973-07-30,14.578125
1973-07-31,14.46875
1973-08-01,14.328125
1973-08-02,14.21875
1973-08-03,14.21875
1973-08-06,14.1875
1973-08-07,14.15625
1973-08-08,14.078125
1973-08-09,14.046875
1973-08-10,13.8125
1973-08-13,13.828125
1973-08-14,13.765625
1973-08-15,13.90625
1973-08-16,13.875
1973-08-17,13.984375
1973-08-20,13.984375
1973-08-21,13.9375
1973-08-22,13.84375
1973-08-23,13.9375
1973-08-24,14.03125
1973-08-27,14.21875
1973-08-28,14.21875
1973-08-29,14.25
1973-08-30,14.21875
1973-08-31,14.203125
1973-09-04,14.125
1973-09-05,13.875
1973-09-06,13.75
1973-09-07,13.1875
1973-09-10,13.0
1973-09-11,12.9375
