Date,HTV
2008-07-11,3.142
2008-07-14,3.142
2008-07-15,3.142
2008-07-16,2.83
2008-07-17,2.85
2008-07-18,2.85
2008-07-21,3.14
2008-07-22,3.12
2008-07-23,3.13
2008-07-24,3.14
2008-07-25,3.14
2008-07-28,3.147
2008-07-29,3.147
2008-07-30,3.2
2008-07-31,3.2
2008-08-01,3.2
2008-08-04,3.2
2008-08-05,3.2
2008-08-06,3.14
2008-08-07,3.14
2008-08-08,3.14
2008-08-11,3.14
2008-08-12,3.14
2008-08-13,3.14
2008-08-14,
2008-08-15,
2008-08-18,3.13
2008-08-19,3.13
2008-08-20,3.13
2008-08-21,3.13
2008-08-22,3.13
2008-08-25,3.13
2008-08-26,3.13
2008-08-27,3.13
2008-08-28,3.13
2008-08-29,3.13
2008-09-02,3.3
2008-09-03,3.3
2008-09-04,3.02
2008-09-05,3.02
2008-09-08,3.02
2008-09-09,2.817
2008-09-10,2.817
2008-09-11,2.817
2008-09-12,2.817
2008-09-15,2.87
2008-09-16,2.87
2008-09-17,2.87
2008-09-18,2.87
2008-09-19,2.87
2008-09-22,
2008-09-23,3.0
2008-09-24,3.0
2008-09-25,3.0
2008-09-26,3.0
2008-09-29,3.3
2008-09-30,2.78
2008-10-01,2.78
2008-10-02,2.78
2008-10-03,2.78
2008-10-06,2.78
2008-10-07,2.78
2008-10-08,2.78
2008-10-09,2.78
2008-10-10,2.78
2008-10-13,2.87
2008-10-14,2.78
2008-10-15,2.78
2008-10-16,2.78
2008-10-17,2.78
2008-10-20,2.78
2008-10-21,2.78
2008-10-22,2.78
2008-10-23,2.78
2008-10-24,2.78
2008-10-27,2.78
2008-10-28,2.78
2008-10-29,
2008-10-30,
2008-10-31,2.48
2008-11-03,2.475
2008-11-04,2.475
2008-11-05,2.475
2008-11-06,
2008-11-07,
2008-11-10,2.43
2008-11-11,2.43
2008-11-12,2.43
2008-11-13,
2008-11-14,2.53
2008-11-17,2.53
2008-11-18,2.53
2008-11-19,2.53
2008-11-20,2.46
2008-11-21,2.46
2008-11-24,2.45
2008-11-25,2.45
2008-11-26,2.46
2008-11-28,
2008-12-01,
2008-12-02,
2008-12-03,
2008-12-04,2.49
2008-12-05,2.5
2008-12-08,
2008-12-09,2.54
2008-12-10,2.54
2008-12-11,2.52
2008-12-12,2.52
2008-12-15,2.54
2008-12-16,2.58
2008-12-17,2.58
2008-12-18,2.58
2008-12-19,2.58
2008-12-22,2.65
2008-12-23,2.65
2008-12-24,
2008-12-26,
2008-12-29,
2008-12-30,
2008-12-31,
2009-01-02,
2009-01-05,2.65
2009-01-06,2.65
2009-01-07,2.65
2009-01-08,2.65
2009-01-09,2.71
2009-01-12,2.71
2009-01-13,2.725
2009-01-14,2.725
2009-01-15,2.44
2009-01-16,2.44
2009-01-20,2.67
2009-01-21,2.67
2009-01-22,2.74
2009-01-23,2.67
2009-01-26,2.7
2009-01-27,2.7
2009-01-28,2.715
2009-01-29,2.7
2009-01-30,2.7
2009-02-02,2.7
2009-02-03,2.55
2009-02-04,2.55
2009-02-05,2.55
2009-02-06,2.55
2009-02-09,2.55
2009-02-10,2.55
2009-02-11,2.55
2009-02-12,2.55
2009-02-13,2.55
2009-02-17,2.55
2009-02-18,2.55
2009-02-19,2.55
2009-02-20,2.55
2009-02-23,2.55
2009-02-24,2.57
2009-02-25,2.32
2009-02-26,2.313
2009-02-27,2.313
2009-03-02,
2009-03-03,
2009-03-04,2.35
2009-03-05,2.35
2009-03-06,2.35
2009-03-09,2.35
2009-03-10,2.33
2009-03-11,2.44
2009-03-12,2.44
2009-03-13,2.2
2009-03-16,2.49
2009-03-17,2.35
2009-03-18,2.38
2009-03-19,2.38
2009-03-20,2.38
2009-03-23,2.3
2009-03-24,2.29
2009-03-25,2.29
2009-03-26,2.29
2009-03-27,2.29
2009-03-30,2.29
2009-03-31,2.38
2009-04-01,2.38
2009-04-02,3.1
2009-04-03,2.42
2009-04-06,2.43
2009-04-07,2.42
2009-04-08,2.42
2009-04-09,2.42
2009-04-13,
2009-04-14,3.1
2009-04-15,3.1
2009-04-16,3.1
2009-04-17,2.94
2009-04-20,
2009-04-21,2.94
2009-04-22,2.94
2009-04-23,3.1
2009-04-24,1.95
2009-04-27,1.95
2009-04-28,1.95
2009-04-29,1.95
2009-04-30,1.95
2009-05-01,
2009-05-04,
2009-05-05,
2009-05-06,
2009-05-07,1.82
2009-05-08,1.82
2009-05-11,1.78
2009-05-12,1.78
2009-05-13,1.78
2009-05-14,1.78
2009-05-15,1.78
2009-05-18,1.78
2009-05-19,1.78
2009-05-20,1.78
2009-05-21,1.78
2009-05-22,1.79
2009-05-26,2.05
2009-05-27,2.05
2009-05-28,2.05
2009-05-29,2.05
2009-06-01,1.847
2009-06-02,1.965
2009-06-03,2.23
2009-06-04,2.23
2009-06-05,2.23
2009-06-08,2.23
2009-06-09,2.23
2009-06-10,2.23
2009-06-11,2.23
2009-06-12,2.23
2009-06-15,2.23
2009-06-16,2.23
2009-06-17,2.23
2009-06-18,2.23
2009-06-19,2.23
2009-06-22,2.23
2009-06-23,2.23
2009-06-24,2.23
2009-06-25,2.23
2009-06-26,2.23
2009-06-29,2.23
2009-06-30,2.23
2009-07-01,2.23
2009-07-02,2.23
2009-07-06,2.23
2009-07-07,2.23
2009-07-08,2.23
2009-07-09,2.23
2009-07-10,2.23
2009-07-13,2.23
2009-07-14,2.23
2009-07-15,2.23
2009-07-16,2.23
2009-07-17,2.23
2009-07-20,2.23
2009-07-21,2.23
2009-07-22,2.23
2009-07-23,2.23
2009-07-24,2.23
2009-07-27,2.23
2009-07-28,2.23
2009-07-29,2.23
2009-07-30,2.23
2009-07-31,2.23
2009-08-03,2.23
2009-08-04,2.23
2009-08-05,2.23
2009-08-06,2.23
2009-08-07,1.3
2009-08-10,1.3
2009-08-11,1.3
2009-08-12,1.3
2009-08-13,1.3
2009-08-14,1.3
2009-08-17,1.3
2009-08-18,1.3
2009-08-19,1.3
2009-08-20,1.3
2009-08-21,1.3
2009-08-24,1.3
2009-08-25,1.3
2009-08-26,1.3
2009-08-27,1.3
2009-08-28,1.3
2009-08-31,1.3
2009-09-01,1.3
2009-09-02,1.3
2009-09-03,1.3
2009-09-04,1.3
2009-09-08,1.3
2009-09-09,1.3
2009-09-10,1.3
2009-09-11,1.3
2009-09-14,1.3
2009-09-15,1.3
2009-09-16,1.3
2009-09-17,1.3
2009-09-18,1.3
2009-09-21,
2009-09-22,
2009-09-23,1.3
2009-09-24,1.3
2009-09-25,1.3
2009-09-28,1.3
2009-09-29,1.3
2009-09-30,1.3
2009-10-01,1.3
2009-10-02,1.051
2009-10-05,1.051
2009-10-06,1.051
2009-10-07,1.051
2009-10-08,1.051
2009-10-09,1.051
2009-10-12,1.051
2009-10-13,1.051
2009-10-14,1.051
2009-10-15,1.051
2009-10-16,1.051
2009-10-19,1.1
2009-10-20,1.1
2009-10-21,1.1
2009-10-22,1.1
2009-10-23,1.1
2009-10-26,1.12
2009-10-27,1.12
2009-10-28,1.11
2009-10-29,1.11
2009-10-30,1.11
2009-11-02,1.11
2009-11-03,1.11
2009-11-04,1.11
2009-11-05,1.11
2009-11-06,1.11
2009-11-09,1.11
2009-11-10,1.11
2009-11-11,1.11
2009-11-12,1.11
2009-11-13,1.11
2009-11-16,1.11
2009-11-17,1.12
2009-11-18,1.12
2009-11-19,1.12
2009-11-20,1.12
2009-11-23,1.12
2009-11-24,1.12
2009-11-25,1.0
2009-11-27,1.0
2009-11-30,1.0
2009-12-01,1.13
2009-12-02,1.13
2009-12-03,1.13
2009-12-04,1.13
