Date,XOM
1962-10-25,1.5703129999999998
1962-10-26,1.5703129999999998
1962-10-29,1.6015629999999998
1962-10-30,1.597656
1962-10-31,1.6171879999999998
1962-11-01,1.6445310000000002
1962-11-02,1.6757810000000002
1962-11-05,1.6914060000000002
1962-11-07,1.6835939999999998
1962-11-08,1.6757810000000002
1962-11-09,1.679688
1962-11-12,1.6875
1962-11-13,1.679688
1962-11-14,1.695313
1962-11-15,1.695313
1962-11-16,1.703125
1962-11-19,1.7070310000000002
1962-11-20,1.71875
1962-11-21,1.71875
1962-11-23,1.7539060000000002
1962-11-26,1.7460939999999998
1962-11-27,1.742188
1962-11-28,1.75
1962-11-29,1.7773439999999998
1962-11-30,1.7617189999999998
1962-12-03,1.757813
1962-12-04,1.7773439999999998
1962-12-05,1.8007810000000002
1962-12-06,1.7929689999999998
1962-12-07,1.8125
1962-12-10,1.773438
1962-12-11,1.7929689999999998
1962-12-12,1.8125
1962-12-13,1.8125
1962-12-14,1.804688
1962-12-17,1.804688
1962-12-18,1.804688
1962-12-19,1.820313
1962-12-20,1.828125
1962-12-21,1.8476560000000002
1962-12-24,1.8398439999999998
1962-12-26,1.8632810000000002
1962-12-27,1.8554689999999998
1962-12-28,1.8476560000000002
1962-12-31,1.859375
1963-01-02,1.8320310000000002
1963-01-03,1.8476560000000002
1963-01-04,1.8554689999999998
1963-01-07,1.8554689999999998
1963-01-08,1.867188
1963-01-09,1.8554689999999998
1963-01-10,1.8476560000000002
1963-01-11,1.851563
1963-01-14,1.8554689999999998
1963-01-15,1.859375
1963-01-16,1.8554689999999998
1963-01-17,1.859375
1963-01-18,1.8554689999999998
1963-01-21,1.8476560000000002
1963-01-22,1.8476560000000002
1963-01-23,1.8554689999999998
1963-01-24,1.859375
1963-01-25,1.8632810000000002
1963-01-28,1.875
1963-01-29,1.875
1963-01-30,1.8710939999999998
1963-01-31,1.8710939999999998
1963-02-01,1.875
1963-02-04,1.875
1963-02-05,1.890625
1963-02-06,1.890625
1963-02-07,1.8867189999999998
1963-02-08,1.875
1963-02-11,1.867188
1963-02-12,1.867188
1963-02-13,1.8710939999999998
1963-02-14,1.867188
1963-02-15,1.867188
1963-02-18,1.875
1963-02-19,1.8710939999999998
1963-02-20,1.8710939999999998
1963-02-21,1.8710939999999998
1963-02-25,1.8710939999999998
1963-02-26,1.875
1963-02-27,1.8710939999999998
1963-02-28,1.8632810000000002
1963-03-01,1.8554689999999998
1963-03-04,1.8710939999999998
1963-03-05,1.875
1963-03-06,1.890625
1963-03-07,1.914063
1963-03-08,1.9335939999999998
1963-03-11,1.960938
1963-03-12,1.9570310000000002
1963-03-13,1.9570310000000002
1963-03-14,1.945313
1963-03-15,1.984375
1963-03-18,1.9648439999999998
1963-03-19,1.96875
1963-03-20,1.992188
1963-03-21,1.9960939999999998
1963-03-22,1.992188
1963-03-25,1.984375
1963-03-26,1.9882810000000002
1963-03-27,1.9804689999999998
1963-03-28,1.9804689999999998
1963-03-29,1.976563
1963-04-01,1.992188
1963-04-02,1.9960939999999998
1963-04-03,1.9960939999999998
1963-04-04,2.011719
1963-04-05,2.011719
1963-04-08,2.011719
1963-04-09,2.011719
1963-04-10,2.042969
1963-04-11,2.078125
1963-04-15,2.113281
1963-04-16,2.105469
1963-04-17,2.085938
1963-04-18,2.078125
1963-04-19,2.082031
1963-04-22,2.085938
1963-04-23,2.085938
1963-04-24,2.101563
1963-04-25,2.089844
1963-04-26,2.09375
1963-04-29,2.101563
1963-04-30,2.113281
1963-05-01,2.121094
1963-05-02,2.117188
1963-05-03,2.117188
1963-05-06,2.082031
1963-05-07,2.046875
1963-05-08,2.023438
1963-05-09,2.070313
1963-05-10,2.085938
1963-05-13,2.097656
1963-05-14,2.082031
1963-05-15,2.046875
1963-05-16,2.03125
1963-05-17,2.035156
1963-05-20,2.019531
1963-05-21,2.027344
1963-05-22,2.058594
1963-05-23,2.0625
1963-05-24,2.074219
1963-05-27,2.089844
1963-05-28,2.109375
1963-05-29,2.117188
1963-05-31,2.117188
1963-06-03,2.082031
1963-06-04,2.078125
1963-06-05,2.109375
1963-06-06,2.121094
1963-06-07,2.113281
1963-06-10,2.113281
1963-06-11,2.121094
1963-06-12,2.125
1963-06-13,2.105469
1963-06-14,2.109375
1963-06-17,2.097656
1963-06-18,2.09375
1963-06-19,2.09375
1963-06-20,2.089844
1963-06-21,2.101563
1963-06-24,2.113281
1963-06-25,2.132813
1963-06-26,2.117188
1963-06-27,2.121094
1963-06-28,2.136719
1963-07-01,2.105469
1963-07-02,2.136719
1963-07-03,2.160156
1963-07-05,2.164063
1963-07-08,2.152344
1963-07-09,2.179688
1963-07-10,2.175781
1963-07-11,2.179688
1963-07-12,2.164063
1963-07-15,2.15625
