Date,ZTO
2016-10-27,16.57
2016-10-28,16.99
2016-10-31,16.93
2016-11-01,16.0
2016-11-02,16.0
2016-11-03,15.99
2016-11-04,15.2
2016-11-07,15.43
2016-11-08,15.44
2016-11-09,14.32
2016-11-10,14.5
2016-11-11,14.58
2016-11-14,14.29
2016-11-15,14.48
2016-11-16,14.61
2016-11-17,15.26
2016-11-18,16.299999
2016-11-21,15.89
2016-11-22,15.07
2016-11-23,15.32
2016-11-25,15.9
2016-11-28,15.81
2016-11-29,15.63
2016-11-30,15.13
2016-12-01,14.61
2016-12-02,13.83
2016-12-05,13.48
2016-12-06,13.58
2016-12-07,13.56
2016-12-08,14.46
2016-12-09,14.13
2016-12-12,13.36
2016-12-13,12.83
2016-12-14,13.17
2016-12-15,12.91
2016-12-16,12.64
2016-12-19,12.67
2016-12-20,13.09
2016-12-21,13.16
2016-12-22,12.91
2016-12-23,12.57
2016-12-27,12.59
2016-12-28,12.31
2016-12-29,12.44
2016-12-30,12.07
2017-01-03,12.19
2017-01-04,12.27
2017-01-05,12.97
2017-01-06,13.34
2017-01-09,13.0
2017-01-10,13.53
2017-01-11,13.65
2017-01-12,13.26
2017-01-13,12.84
2017-01-17,12.92
2017-01-18,13.21
2017-01-19,13.57
2017-01-20,13.6
2017-01-23,13.46
2017-01-24,13.29
2017-01-25,12.89
2017-01-26,12.31
2017-01-27,12.42
2017-01-30,12.34
2017-01-31,12.47
2017-02-01,12.77
2017-02-02,12.53
2017-02-03,12.24
2017-02-06,12.39
2017-02-07,12.64
2017-02-08,12.58
2017-02-09,12.26
2017-02-10,12.41
2017-02-13,13.04
2017-02-14,13.08
2017-02-15,14.27
2017-02-16,13.99
2017-02-17,14.01
2017-02-21,14.23
2017-02-22,14.42
2017-02-23,14.11
2017-02-24,14.15
2017-02-27,14.57
2017-02-28,12.89
2017-03-01,13.1
2017-03-02,13.0
2017-03-03,13.02
2017-03-06,12.96
2017-03-07,12.29
2017-03-08,12.19
2017-03-09,11.57
2017-03-10,11.23
2017-03-13,11.96
2017-03-14,12.45
2017-03-15,13.1
2017-03-16,12.88
2017-03-17,12.69
2017-03-20,12.79
2017-03-21,12.5
2017-03-22,12.5
2017-03-23,12.45
2017-03-24,12.67
2017-03-27,12.63
2017-03-28,12.88
2017-03-29,13.27
2017-03-30,13.01
2017-03-31,13.09
2017-04-03,12.3
2017-04-04,12.41
2017-04-05,12.4
2017-04-06,12.06
2017-04-07,11.97
2017-04-10,12.39
2017-04-11,12.63
2017-04-12,12.56
2017-04-13,12.63
2017-04-17,13.02
2017-04-18,12.65
2017-04-19,12.76
2017-04-20,12.82
2017-04-21,13.01
2017-04-24,13.08
2017-04-25,13.23
2017-04-26,13.41
2017-04-27,13.59
2017-04-28,13.93
2017-05-01,13.5
2017-05-02,14.01
2017-05-03,13.7
2017-05-04,13.84
2017-05-05,13.82
2017-05-08,14.11
2017-05-09,14.55
2017-05-10,14.03
2017-05-11,14.08
2017-05-12,14.6
2017-05-15,14.35
2017-05-16,14.27
2017-05-17,14.05
2017-05-18,13.3
2017-05-19,14.0
2017-05-22,14.49
2017-05-23,14.44
2017-05-24,14.5
2017-05-25,14.26
2017-05-26,14.33
2017-05-30,14.14
2017-05-31,14.29
2017-06-01,14.69
2017-06-02,14.59
2017-06-05,14.65
2017-06-06,14.6
2017-06-07,14.76
2017-06-08,14.47
2017-06-09,14.53
2017-06-12,14.65
2017-06-13,14.89
2017-06-14,14.79
2017-06-15,14.21
2017-06-16,14.32
2017-06-19,14.3
2017-06-20,14.16
2017-06-21,14.0
2017-06-22,14.26
2017-06-23,14.34
2017-06-26,14.44
2017-06-27,13.93
2017-06-28,14.01
2017-06-29,14.03
2017-06-30,13.96
2017-07-03,14.16
2017-07-05,14.67
2017-07-06,14.69
2017-07-07,14.45
2017-07-10,14.78
2017-07-11,15.01
2017-07-12,15.3
2017-07-13,15.64
2017-07-14,15.94
2017-07-17,15.05
2017-07-18,15.26
2017-07-19,15.56
2017-07-20,15.68
2017-07-21,15.04
2017-07-24,15.24
2017-07-25,15.11
2017-07-26,15.25
2017-07-27,14.95
2017-07-28,14.71
2017-07-31,14.98
2017-08-01,14.6
2017-08-02,14.25
2017-08-03,14.42
2017-08-04,14.59
2017-08-07,15.03
2017-08-08,14.92
2017-08-09,14.32
2017-08-10,14.07
2017-08-11,13.25
2017-08-14,13.67
2017-08-15,13.62
2017-08-16,13.45
2017-08-17,13.36
2017-08-18,13.73
2017-08-21,13.9
2017-08-22,14.01
2017-08-23,13.14
2017-08-24,13.57
2017-08-25,13.49
2017-08-28,13.29
2017-08-29,13.43
2017-08-30,13.61
2017-08-31,13.65
2017-09-01,13.8
2017-09-05,13.54
2017-09-06,13.9
2017-09-07,13.91
2017-09-08,13.9
2017-09-11,14.29
2017-09-12,14.29
2017-09-13,14.21
2017-09-14,14.93
2017-09-15,15.07
2017-09-18,14.89
2017-09-19,15.17
2017-09-20,14.99
2017-09-21,14.96
2017-09-22,14.84
2017-09-25,14.64
2017-09-26,14.24
2017-09-27,14.29
2017-09-28,14.01
2017-09-29,14.04
2017-10-02,14.29
2017-10-03,13.81
2017-10-04,13.48
2017-10-05,13.84
2017-10-06,13.61
2017-10-09,13.58
2017-10-10,14.34
2017-10-11,15.08
2017-10-12,15.56
2017-10-13,15.63
2017-10-16,15.29
2017-10-17,14.96
2017-10-18,15.41
2017-10-19,15.33
2017-10-20,15.6
2017-10-23,15.38
2017-10-24,15.57
2017-10-25,15.63
2017-10-26,15.54
2017-10-27,15.73
2017-10-30,15.93
2017-10-31,15.99
2017-11-01,16.92
2017-11-02,16.709999
2017-11-03,16.58
2017-11-06,17.190001000000002
2017-11-07,17.110001
2017-11-08,17.389999
2017-11-09,17.469998999999998
2017-11-10,17.610001
2017-11-13,16.92
2017-11-14,16.559998999999998
2017-11-15,16.73
2017-11-16,16.860001
2017-11-17,16.83
2017-11-20,17.0
2017-11-21,17.040001
2017-11-22,17.01
2017-11-24,16.469998999999998
2017-11-27,16.200001
2017-11-28,16.0
2017-11-29,15.91
