Date,CCS
2014-06-18,21.25
2014-06-19,21.200001
2014-06-20,21.0
2014-06-23,20.74
2014-06-24,21.5
2014-06-25,21.82
2014-06-26,21.940001000000002
2014-06-27,22.0
2014-06-30,22.15
2014-07-01,22.5
2014-07-02,22.65
2014-07-03,22.99
2014-07-07,22.469998999999998
2014-07-08,22.059998999999998
2014-07-09,21.959999
2014-07-10,21.559998999999998
2014-07-11,21.85
2014-07-14,21.950001
2014-07-15,21.870001000000002
2014-07-16,21.6
2014-07-17,20.57
2014-07-18,21.1
2014-07-21,20.9
2014-07-22,21.129998999999998
2014-07-23,21.280001000000002
2014-07-24,21.459999
2014-07-25,21.24
2014-07-28,20.33
2014-07-29,19.85
2014-07-30,19.49
2014-07-31,19.07
2014-08-01,19.35
2014-08-04,19.25
2014-08-05,19.209999
2014-08-06,19.35
2014-08-07,19.01
2014-08-08,19.77
2014-08-11,19.780001000000002
2014-08-12,19.6
2014-08-13,19.809998999999998
2014-08-14,19.799999
2014-08-15,19.59
2014-08-18,21.030001000000002
2014-08-19,21.469998999999998
2014-08-20,21.309998999999998
2014-08-21,21.08
2014-08-22,20.49
2014-08-25,20.620001000000002
2014-08-26,20.030001000000002
2014-08-27,19.860001
2014-08-28,20.0
2014-08-29,20.190001000000002
2014-09-02,19.85
2014-09-03,19.719998999999998
2014-09-04,19.610001
2014-09-05,19.610001
2014-09-08,19.68
2014-09-09,19.620001000000002
2014-09-10,19.59
2014-09-11,19.4
2014-09-12,19.18
2014-09-15,18.91
2014-09-16,19.0
2014-09-17,19.0
2014-09-18,19.200001
2014-09-19,18.719998999999998
2014-09-22,18.280001000000002
2014-09-23,17.940001000000002
2014-09-24,17.780001000000002
2014-09-25,17.450001
2014-09-26,18.209999
2014-09-29,17.76
2014-09-30,17.35
2014-10-01,16.93
2014-10-02,17.309998999999998
2014-10-03,17.120001000000002
2014-10-06,16.690001000000002
2014-10-07,16.23
2014-10-08,16.59
2014-10-09,16.559998999999998
2014-10-10,16.299999
2014-10-13,15.74
2014-10-14,16.07
2014-10-15,15.96
2014-10-16,15.65
2014-10-17,16.41
2014-10-20,17.0
2014-10-21,17.66
2014-10-22,17.58
2014-10-23,18.059998999999998
2014-10-24,18.219998999999998
2014-10-27,18.219998999999998
2014-10-28,18.049999
2014-10-29,18.02
2014-10-30,18.1
2014-10-31,18.48
2014-11-03,18.379998999999998
2014-11-04,18.459999
2014-11-05,18.299999
2014-11-06,18.299999
2014-11-07,18.379998999999998
2014-11-10,18.74
2014-11-11,18.73
2014-11-12,18.469998999999998
2014-11-13,18.389999
2014-11-14,16.940001000000002
2014-11-17,16.68
2014-11-18,16.620001000000002
2014-11-19,16.48
2014-11-20,16.360001
2014-11-21,17.02
2014-11-24,17.34
2014-11-25,17.540001
2014-11-26,17.379998999999998
2014-11-28,17.309998999999998
2014-12-01,16.77
2014-12-02,16.540001
2014-12-03,16.4
2014-12-04,16.299999
2014-12-05,16.49
2014-12-08,16.389999
2014-12-09,16.35
2014-12-10,16.0
2014-12-11,16.110001
2014-12-12,15.95
2014-12-15,15.94
2014-12-16,15.9
2014-12-17,16.35
2014-12-18,16.48
2014-12-19,16.68
2014-12-22,16.68
2014-12-23,16.85
2014-12-24,16.77
2014-12-26,16.889999
2014-12-29,16.870001000000002
2014-12-30,16.629998999999998
2014-12-31,17.280001000000002
2015-01-02,17.01
2015-01-05,16.65
2015-01-06,16.27
2015-01-07,16.67
2015-01-08,16.82
2015-01-09,16.75
2015-01-12,16.700001
2015-01-13,16.190001000000002
2015-01-14,15.81
2015-01-15,15.21
2015-01-16,15.45
2015-01-20,14.59
2015-01-21,14.94
2015-01-22,15.05
2015-01-23,14.87
2015-01-26,15.22
2015-01-27,16.200001
2015-01-28,15.9
2015-01-29,16.299999
2015-01-30,16.1
2015-02-02,16.0
2015-02-03,16.25
2015-02-04,16.5
2015-02-05,16.799999
2015-02-06,17.110001
2015-02-09,17.09
2015-02-10,17.360001
2015-02-11,17.24
