Date,FAF
2010-05-28,14.45
2010-06-01,14.1
2010-06-02,14.48
2010-06-03,13.83
2010-06-04,13.73
2010-06-07,13.57
2010-06-08,13.51
2010-06-09,12.99
2010-06-10,12.31
2010-06-11,13.11
2010-06-14,13.33
2010-06-15,13.21
2010-06-16,13.42
2010-06-17,13.49
2010-06-18,13.48
2010-06-21,13.29
2010-06-22,13.43
2010-06-23,13.39
2010-06-24,13.26
2010-06-25,13.67
2010-06-28,13.38
2010-06-29,12.68
2010-06-30,12.68
2010-07-01,12.65
2010-07-02,12.98
2010-07-06,13.06
2010-07-07,13.57
2010-07-08,13.58
2010-07-09,13.88
2010-07-12,13.84
2010-07-13,14.24
2010-07-14,13.61
2010-07-15,13.5
2010-07-16,12.82
2010-07-19,13.03
2010-07-20,13.59
2010-07-21,13.58
2010-07-22,14.53
2010-07-23,14.79
2010-07-26,14.89
2010-07-27,14.94
2010-07-28,14.82
2010-07-29,14.82
2010-07-30,14.75
2010-08-02,14.88
2010-08-03,14.89
2010-08-04,14.94
2010-08-05,14.83
2010-08-06,14.85
2010-08-09,15.08
2010-08-10,14.43
2010-08-11,13.64
2010-08-12,13.6
2010-08-13,13.57
2010-08-16,14.03
2010-08-17,14.19
2010-08-18,14.16
2010-08-19,13.96
2010-08-20,14.04
2010-08-23,13.89
2010-08-24,13.7
2010-08-25,14.2
2010-08-26,13.66
2010-08-27,14.43
2010-08-30,14.58
2010-08-31,14.83
2010-09-01,15.55
2010-09-02,15.66
2010-09-03,15.54
2010-09-07,14.7
2010-09-08,14.71
2010-09-09,14.62
2010-09-10,14.47
2010-09-13,15.0
2010-09-14,14.8
2010-09-15,15.06
2010-09-16,14.78
2010-09-17,14.43
2010-09-20,14.75
2010-09-21,14.57
2010-09-22,14.63
2010-09-23,14.45
2010-09-24,14.85
2010-09-27,14.76
2010-09-28,15.08
2010-09-29,14.78
2010-09-30,14.94
2010-10-01,14.48
2010-10-04,13.95
2010-10-05,13.9
2010-10-06,14.15
2010-10-07,14.17
2010-10-08,14.12
2010-10-11,14.21
2010-10-12,14.55
2010-10-13,14.91
2010-10-14,14.61
2010-10-15,14.46
2010-10-18,14.73
2010-10-19,14.49
2010-10-20,14.97
2010-10-21,14.34
2010-10-22,14.27
2010-10-25,14.58
2010-10-26,14.41
2010-10-27,14.17
2010-10-28,13.92
2010-10-29,14.04
2010-11-01,14.24
2010-11-02,14.44
2010-11-03,14.32
2010-11-04,14.54
2010-11-05,14.6
2010-11-08,14.35
2010-11-09,13.99
2010-11-10,14.25
2010-11-11,14.17
2010-11-12,14.1
2010-11-15,13.9
2010-11-16,13.62
2010-11-17,13.75
2010-11-18,14.23
2010-11-19,14.25
2010-11-22,13.94
2010-11-23,13.7
2010-11-24,14.33
2010-11-26,14.28
2010-11-29,14.31
2010-11-30,14.17
