Date,DYN
2013-09-05,19.09
2013-09-06,19.129998999999998
2013-09-09,19.58
2013-09-10,19.700001
2013-09-11,19.57
2013-09-12,19.42
2013-09-13,19.360001
2013-09-16,19.790001
2013-09-17,19.879998999999998
2013-09-18,19.969998999999998
2013-09-19,19.629998999999998
2013-09-20,19.68
2013-09-23,19.639999
2013-09-24,19.49
2013-09-25,19.59
2013-09-26,19.549999
2013-09-27,19.379998999999998
2013-09-30,19.32
2013-10-01,19.52
2013-10-02,19.280001000000002
2013-10-03,18.93
2013-10-04,19.370001000000002
2013-10-07,19.040001
2013-10-08,19.0
2013-10-09,19.190001000000002
2013-10-10,19.57
2013-10-11,19.879998999999998
2013-10-14,19.67
2013-10-15,19.18
2013-10-16,19.16
2013-10-17,19.17
2013-10-18,19.200001
2013-10-21,19.26
2013-10-22,19.1
2013-10-23,18.5
2013-10-24,19.32
2013-10-25,19.67
2013-10-28,19.33
2013-10-29,19.58
2013-10-30,19.41
2013-10-31,19.43
2013-11-01,19.26
2013-11-04,19.309998999999998
2013-11-05,19.309998999999998
2013-11-06,19.49
2013-11-07,19.73
2013-11-08,20.280001000000002
2013-11-11,20.360001
2013-11-12,20.049999
2013-11-13,20.77
2013-11-14,21.0
2013-11-15,21.1
2013-11-18,20.889999
2013-11-19,21.129998999999998
2013-11-20,21.18
2013-11-21,21.01
2013-11-22,21.299999
2013-11-25,21.34
2013-11-26,21.450001
2013-11-27,21.4
2013-11-29,21.41
2013-12-02,21.049999
2013-12-03,21.200001
2013-12-04,21.549999
2013-12-05,21.66
2013-12-06,21.93
2013-12-09,21.67
2013-12-10,20.870001000000002
2013-12-11,20.42
2013-12-12,20.48
2013-12-13,20.6
2013-12-16,20.85
2013-12-17,21.139999
2013-12-18,21.200001
2013-12-19,21.209999
2013-12-20,21.690001000000002
2013-12-23,21.5
2013-12-24,21.5
2013-12-26,21.559998999999998
2013-12-27,21.6
2013-12-30,21.700001
2013-12-31,21.52
2014-01-02,21.200001
2014-01-03,20.85
2014-01-06,21.1
2014-01-07,21.34
2014-01-08,21.0
2014-01-09,20.4
2014-01-10,20.17
2014-01-13,19.57
2014-01-14,19.59
2014-01-15,19.57
2014-01-16,19.860001
2014-01-17,20.18
2014-01-21,20.68
2014-01-22,20.9
2014-01-23,20.209999
2014-01-24,20.16
2014-01-27,19.98
2014-01-28,20.370001000000002
2014-01-29,20.49
2014-01-30,21.120001000000002
2014-01-31,20.360001
2014-02-03,20.299999
2014-02-04,20.450001
2014-02-05,20.16
2014-02-06,20.67
2014-02-07,20.65
2014-02-10,20.02
2014-02-11,20.41
2014-02-12,20.540001
2014-02-13,21.120001000000002
2014-02-14,21.299999
2014-02-18,21.92
2014-02-19,21.959999
2014-02-20,22.440001000000002
2014-02-21,22.700001
2014-02-24,22.77
2014-02-25,22.99
2014-02-26,23.32
2014-02-27,22.870001000000002
2014-02-28,23.389999
2014-03-03,23.030001000000002
2014-03-04,23.49
2014-03-05,23.639999
2014-03-06,23.860001
2014-03-07,23.969998999999998
2014-03-10,24.25
2014-03-11,24.110001
2014-03-12,24.389999
2014-03-13,24.18
2014-03-14,24.379998999999998
2014-03-17,24.440001000000002
2014-03-18,24.35
2014-03-19,23.969998999999998
2014-03-20,24.190001000000002
2014-03-21,24.48
2014-03-24,24.48
2014-03-25,24.389999
2014-03-26,24.280001000000002
2014-03-27,24.709999
2014-03-28,24.74
2014-03-31,24.940001000000002
2014-04-01,24.82
2014-04-02,24.99
2014-04-03,24.9
2014-04-04,25.389999
2014-04-07,25.4
2014-04-08,25.360001
2014-04-09,25.65
2014-04-10,25.450001
2014-04-11,25.200001
2014-04-14,25.200001
2014-04-15,24.799999
2014-04-16,25.5
2014-04-17,25.690001000000002
2014-04-21,26.299999
2014-04-22,26.27
2014-04-23,27.610001
2014-04-24,27.43
2014-04-25,27.43
2014-04-28,28.0
2014-04-29,28.200001
2014-04-30,28.450001
2014-05-01,29.26
2014-05-02,29.65
2014-05-05,30.26
2014-05-06,30.32
2014-05-07,31.0
2014-05-08,31.59
2014-05-09,31.889999
2014-05-12,32.389998999999996
2014-05-13,31.5
2014-05-14,31.370001000000002
2014-05-15,31.120001000000002
2014-05-16,31.530001000000002
2014-05-19,31.58
2014-05-20,31.629998999999998
2014-05-21,31.549999
2014-05-22,31.77
2014-05-23,31.780001000000002
2014-05-27,32.200001
2014-05-28,32.419998
2014-05-29,32.84
2014-05-30,33.700001
2014-06-02,33.73
2014-06-03,33.900002
2014-06-04,34.380001
2014-06-05,34.880001
2014-06-06,34.959998999999996
2014-06-09,35.549999
2014-06-10,35.889998999999996
2014-06-11,35.619999
2014-06-12,35.849998
2014-06-13,36.0
2014-06-16,36.009997999999996
2014-06-17,35.880001
2014-06-18,36.139998999999996
2014-06-19,35.900002
2014-06-20,35.099998
2014-06-23,34.630001
2014-06-24,33.900002
2014-06-25,34.700001
2014-06-26,34.439999
2014-06-27,34.509997999999996
2014-06-30,34.799999
2014-07-01,34.279999
2014-07-02,33.740002000000004
2014-07-03,33.43
2014-07-07,33.540001000000004
2014-07-08,33.59
2014-07-09,33.599998
2014-07-10,32.959998999999996
2014-07-11,31.83
2014-07-14,29.959999
2014-07-15,29.08
2014-07-16,29.0
2014-07-17,28.389999
2014-07-18,28.540001
2014-07-21,28.209999
2014-07-22,27.52
2014-07-23,27.51
2014-07-24,27.43
2014-07-25,26.68
2014-07-28,27.32
2014-07-29,26.870001000000002
2014-07-30,26.620001000000002
2014-07-31,26.549999
2014-08-01,26.870001000000002
2014-08-04,27.09
2014-08-05,27.18
2014-08-06,26.59
2014-08-07,26.6
2014-08-08,27.66
2014-08-11,27.950001
2014-08-12,27.780001000000002
2014-08-13,27.780001000000002
2014-08-14,28.219998999999998
2014-08-15,28.200001
2014-08-18,28.700001
2014-08-19,29.379998999999998
2014-08-20,29.639999
2014-08-21,29.719998999999998
2014-08-22,32.32
2014-08-25,32.580002
2014-08-26,32.950001
2014-08-27,33.0
2014-08-28,32.619999
2014-08-29,32.68
2014-09-02,32.369999
2014-09-03,31.879998999999998
2014-09-04,30.639999
2014-09-05,31.030001000000002
2014-09-08,30.530001000000002
2014-09-09,30.49
2014-09-10,30.48
2014-09-11,30.17
2014-09-12,29.530001000000002
2014-09-15,29.48
2014-09-16,29.24
2014-09-17,29.42
2014-09-18,29.790001
2014-09-19,30.040001
2014-09-22,29.17
2014-09-23,29.379998999999998
2014-09-24,29.120001000000002
2014-09-25,28.610001
2014-09-26,28.93
2014-09-29,29.309998999999998
2014-09-30,28.860001
2014-10-01,30.0
2014-10-02,30.389999
2014-10-03,31.27
2014-10-06,31.299999
2014-10-07,31.200001
2014-10-08,31.040001
2014-10-09,30.0
2014-10-10,29.57
2014-10-13,28.110001
2014-10-14,27.459999
2014-10-15,27.129998999999998
2014-10-16,27.98
2014-10-17,28.16
2014-10-20,28.43
2014-10-21,29.01
2014-10-22,29.49
2014-10-23,29.82
2014-10-24,29.75
2014-10-27,28.77
2014-10-28,28.82
2014-10-29,28.860001
2014-10-30,29.620001000000002
2014-10-31,30.5
2014-11-03,31.139999
2014-11-04,31.379998999999998
2014-11-05,32.799999
2014-11-06,33.93
2014-11-07,34.759997999999996
2014-11-10,34.490002000000004
2014-11-11,34.700001
2014-11-12,34.139998999999996
2014-11-13,33.220001
2014-11-14,33.049999
2014-11-17,33.959998999999996
2014-11-18,33.950001
