Date,WH
2018-05-21,61.639998999999996
2018-05-22,61.639998999999996
2018-05-23,58.25
2018-05-24,58.25
2018-05-25,57.650002
2018-05-29,58.490002000000004
2018-05-30,59.84
2018-05-31,59.5
2018-06-01,61.400002
2018-06-04,63.16
2018-06-05,66.43
2018-06-06,62.470001
2018-06-07,61.889998999999996
2018-06-08,62.880001
2018-06-11,61.32
2018-06-12,60.52
2018-06-13,59.66
2018-06-14,60.549999
2018-06-15,61.84
2018-06-18,61.450001
2018-06-19,61.5
2018-06-20,61.900002
2018-06-21,62.09
2018-06-22,63.380001
2018-06-25,61.900002
2018-06-26,61.16
2018-06-27,59.93
2018-06-28,58.73
2018-06-29,58.830002
2018-07-02,57.68
2018-07-03,57.549999
2018-07-05,59.049999
2018-07-06,59.459998999999996
2018-07-09,58.970001
2018-07-10,58.5
2018-07-11,58.66
2018-07-12,58.709998999999996
2018-07-13,58.709998999999996
2018-07-16,58.5
2018-07-17,57.75
2018-07-18,59.009997999999996
2018-07-19,58.299999
2018-07-20,58.34
2018-07-23,57.779999
2018-07-24,57.900002
2018-07-25,57.419998
2018-07-26,58.790001000000004
2018-07-27,57.419998
2018-07-30,56.98
2018-07-31,58.0
2018-08-01,59.560001
2018-08-02,61.16
2018-08-03,60.779999
2018-08-06,61.950001
2018-08-07,60.919998
2018-08-08,58.470001
2018-08-09,56.869999
2018-08-10,56.310001
2018-08-13,55.599998
2018-08-14,56.619999
2018-08-15,56.740002000000004
2018-08-16,57.41
2018-08-17,57.43
2018-08-20,57.540001000000004
2018-08-21,56.75
2018-08-22,56.040001000000004
2018-08-23,54.939999
2018-08-24,55.599998
2018-08-27,56.290001000000004
2018-08-28,56.630001
2018-08-29,56.459998999999996
2018-08-30,56.91
2018-08-31,56.75
2018-09-04,56.709998999999996
2018-09-05,55.349998
2018-09-06,54.389998999999996
2018-09-07,55.27
2018-09-10,54.990002000000004
2018-09-11,54.709998999999996
2018-09-12,55.68
2018-09-13,56.27
2018-09-14,56.68
2018-09-17,55.400002
2018-09-18,56.240002000000004
2018-09-19,56.259997999999996
2018-09-20,56.59
2018-09-21,55.130001
2018-09-24,55.169998
2018-09-25,55.27
2018-09-26,56.09
2018-09-27,56.23
2018-09-28,55.57
2018-10-01,54.450001
2018-10-02,53.849998
2018-10-03,52.84
2018-10-04,52.650002
2018-10-05,52.450001
2018-10-08,52.939999
2018-10-09,52.759997999999996
2018-10-10,51.41
2018-10-11,49.919998
2018-10-12,50.77
2018-10-15,50.48
2018-10-16,51.580002
