Date,ATMI
2012-06-18,0.272
2012-06-19,0.274
2012-06-20,0.276
2012-06-21,0.279
2012-06-22,
2012-06-25,0.279
2012-06-26,0.28
2012-06-27,0.274
2012-06-28,0.28
2012-06-29,
2012-07-02,0.278
2012-07-03,0.28
2012-07-05,0.278
2012-07-06,
2012-07-09,0.278
2012-07-10,0.275
2012-07-11,0.277
2012-07-12,0.277
2012-07-13,
2012-07-16,0.277
2012-07-17,0.277
2012-07-18,0.278
2012-07-19,0.278
2012-07-20,
2012-07-23,0.278
2012-07-24,0.272
2012-07-25,0.273
2012-07-26,0.273
2012-07-27,
2012-07-30,0.278
2012-07-31,0.28
2012-08-01,0.281
2012-08-02,0.284
2012-08-03,
2012-08-06,0.284
2012-08-07,0.284
2012-08-08,0.284
2012-08-09,0.282
2012-08-10,
2012-08-13,0.281
2012-08-14,0.284
2012-08-15,0.289
2012-08-16,0.295
2012-08-17,
2012-08-20,0.295
2012-08-21,0.295
2012-08-22,0.295
2012-08-23,0.295
2012-08-24,
2012-08-27,0.299
2012-08-28,0.3
2012-08-29,0.298
2012-08-30,0.295
2012-08-31,
2012-09-04,0.295
2012-09-05,0.299
2012-09-06,0.297
2012-09-07,
2012-09-10,0.3
2012-09-11,0.302
2012-09-12,0.301
2012-09-13,0.296
2012-09-14,
2012-09-17,0.285
2012-09-18,0.285
2012-09-19,0.284
2012-09-20,0.281
2012-09-21,
2012-09-24,0.282
2012-09-25,0.284
2012-09-26,0.284
2012-09-27,0.284
2012-09-28,
2012-10-01,0.283
2012-10-02,0.285
2012-10-03,0.284
2012-10-04,0.287
2012-10-05,
2012-10-08,0.29
2012-10-09,0.29
2012-10-10,0.29
2012-10-11,0.288
2012-10-12,
2012-10-15,0.288
2012-10-16,0.29
2012-10-17,0.291
2012-10-18,0.287
2012-10-19,
2012-10-22,0.28
2012-10-23,0.282
2012-10-24,0.282
2012-10-25,0.282
2012-10-26,
2012-10-31,0.282
2012-11-01,0.284
2012-11-02,
2012-11-05,0.288
2012-11-06,0.289
2012-11-07,0.288
2012-11-08,0.289
2012-11-09,
2012-11-12,0.294
2012-11-13,0.29
2012-11-14,0.292
2012-11-15,0.292
2012-11-16,
2012-11-19,0.297
