Date,DISH
1995-06-21,2.125
1995-06-22,2.0
1995-06-23,2.0
1995-06-26,2.03125
1995-06-27,1.875
1995-06-28,1.84375
1995-06-29,1.90625
1995-06-30,1.90625
1995-07-03,1.84375
1995-07-05,1.8125
1995-07-06,1.8125
1995-07-07,1.8125
1995-07-10,1.84375
1995-07-11,1.8125
1995-07-12,1.875
1995-07-13,1.90625
1995-07-14,1.9375
1995-07-17,1.9375
1995-07-18,1.9375
1995-07-19,1.875
1995-07-20,1.8125
1995-07-21,1.84375
1995-07-24,1.90625
1995-07-25,1.8125
1995-07-26,1.8125
1995-07-27,1.8125
1995-07-28,1.875
1995-07-31,1.90625
1995-08-01,1.84375
1995-08-02,1.90625
1995-08-03,1.84375
1995-08-04,1.90625
1995-08-07,1.84375
1995-08-08,1.90625
1995-08-09,1.90625
1995-08-10,1.875
1995-08-11,1.90625
1995-08-14,1.890625
1995-08-15,1.875
1995-08-16,1.875
1995-08-17,1.90625
1995-08-18,1.875
1995-08-21,1.875
1995-08-22,1.875
1995-08-23,1.875
1995-08-24,1.96875
1995-08-25,1.9375
1995-08-28,1.9375
1995-08-29,2.0
1995-08-30,2.03125
1995-08-31,2.0
1995-09-01,1.96875
1995-09-05,1.9375
1995-09-06,2.0
1995-09-07,1.9375
1995-09-08,2.015625
1995-09-11,2.0625
1995-09-12,2.0
1995-09-13,2.0625
1995-09-14,2.015625
1995-09-15,1.96875
1995-09-18,1.96875
1995-09-19,2.03125
1995-09-20,2.125
1995-09-21,2.0625
1995-09-22,2.0625
1995-09-25,2.03125
1995-09-26,1.703125
1995-09-27,1.75
1995-09-28,1.6875
1995-09-29,1.8125
1995-10-02,1.8125
1995-10-03,1.8125
1995-10-04,1.75
1995-10-05,1.6875
1995-10-06,1.703125
1995-10-09,1.625
1995-10-10,1.625
1995-10-11,1.53125
1995-10-12,1.625
1995-10-13,1.59375
1995-10-16,1.9375
1995-10-17,1.84375
1995-10-18,1.9375
1995-10-19,1.9375
1995-10-20,1.8125
1995-10-23,1.90625
1995-10-24,1.90625
1995-10-25,1.78125
1995-10-26,1.78125
1995-10-27,1.78125
1995-10-30,1.828125
1995-10-31,1.8125
1995-11-01,1.8125
1995-11-02,1.8125
1995-11-03,1.84375
1995-11-06,1.90625
1995-11-07,1.90625
1995-11-08,1.96875
1995-11-09,1.828125
1995-11-10,1.90625
1995-11-13,1.875
1995-11-14,1.875
1995-11-15,1.875
1995-11-16,1.828125
1995-11-17,1.875
1995-11-20,1.84375
1995-11-21,1.78125
1995-11-22,1.84375
1995-11-24,1.8125
1995-11-27,1.875
1995-11-28,1.96875
1995-11-29,1.90625
1995-11-30,1.890625
1995-12-01,1.9375
1995-12-04,1.9375
1995-12-05,1.9375
1995-12-06,1.9375
1995-12-07,1.921875
1995-12-08,1.90625
1995-12-11,1.90625
1995-12-12,1.90625
1995-12-13,1.96875
1995-12-14,1.921875
1995-12-15,1.96875
1995-12-18,2.0
1995-12-19,2.1875
1995-12-20,2.34375
1995-12-21,2.390625
1995-12-22,2.53125
1995-12-26,2.53125
1995-12-27,2.578125
1995-12-28,3.0
1995-12-29,3.03125
1996-01-02,2.9375
1996-01-03,3.0
1996-01-04,2.875
1996-01-05,2.921875
1996-01-08,2.875
1996-01-09,2.84375
1996-01-10,2.78125
1996-01-11,2.75
1996-01-12,2.84375
1996-01-15,2.695313
1996-01-16,2.75
1996-01-17,2.703125
1996-01-18,2.78125
1996-01-19,3.03125
1996-01-22,3.3125
1996-01-23,3.0625
1996-01-24,3.15625
1996-01-25,3.09375
1996-01-26,3.1875
1996-01-29,4.0625
1996-01-30,4.59375
1996-01-31,4.65625
1996-02-01,4.84375
1996-02-02,4.75
1996-02-05,4.15625
1996-02-06,4.25
1996-02-07,3.96875
1996-02-08,4.046875
1996-02-09,4.234375
1996-02-12,4.375
1996-02-13,4.15625
1996-02-14,4.109375
1996-02-15,4.09375
1996-02-16,4.140625
1996-02-20,4.15625
1996-02-21,4.0625
1996-02-22,4.203125
1996-02-23,4.15625
1996-02-26,4.25
1996-02-27,4.328125
1996-02-28,4.5
1996-02-29,4.5
1996-03-01,4.21875
1996-03-04,4.25
1996-03-05,3.96875
1996-03-06,3.75
1996-03-07,3.875
1996-03-08,3.65625
1996-03-11,3.625
1996-03-12,3.6875
1996-03-13,3.65625
1996-03-14,3.84375
1996-03-15,4.25
1996-03-18,4.515625
1996-03-19,4.46875
1996-03-20,4.4375
1996-03-21,4.375
1996-03-22,4.375
1996-03-25,4.0625
1996-03-26,4.25
1996-03-27,4.34375
1996-03-28,4.265625
1996-03-29,4.21875
1996-04-01,4.4375
1996-04-02,4.46875
1996-04-03,4.4375
1996-04-04,4.4375
1996-04-08,4.4375
1996-04-09,4.4375
1996-04-10,4.296875
1996-04-11,4.25
1996-04-12,4.375
1996-04-15,4.3125
1996-04-16,4.34375
1996-04-17,4.34375
1996-04-18,4.34375
1996-04-19,4.28125
1996-04-22,4.21875
1996-04-23,4.125
1996-04-24,4.40625
1996-04-25,4.203125
1996-04-26,4.1875
1996-04-29,4.15625
1996-04-30,4.1875
1996-05-01,4.125
1996-05-02,4.15625
1996-05-03,4.375
1996-05-06,4.5
1996-05-07,4.4375
1996-05-08,4.40625
1996-05-09,4.34375
1996-05-10,4.3125
1996-05-13,4.375
1996-05-14,4.46875
1996-05-15,4.34375
1996-05-16,4.25
1996-05-17,4.375
1996-05-20,4.46875
1996-05-21,4.40625
1996-05-22,4.34375
1996-05-23,4.375
1996-05-24,4.375
1996-05-28,4.4375
1996-05-29,4.34375
1996-05-30,4.34375
