Date,BSBR
2009-10-07,13.01
2009-10-08,13.0
2009-10-09,13.11
2009-10-12,13.03
2009-10-13,13.2
2009-10-14,13.38
2009-10-15,13.73
2009-10-16,13.51
2009-10-19,13.64
2009-10-20,13.16
2009-10-21,12.99
2009-10-22,13.21
2009-10-23,13.25
2009-10-26,13.23
2009-10-27,13.0
2009-10-28,12.23
2009-10-29,12.37
2009-10-30,11.86
2009-11-02,11.75
2009-11-03,12.24
2009-11-04,12.25
2009-11-05,12.5
2009-11-06,12.31
2009-11-09,12.48
2009-11-10,12.5
2009-11-11,12.83
2009-11-12,12.56
2009-11-13,12.64
2009-11-16,12.97
2009-11-17,13.12
2009-11-18,13.42
2009-11-19,13.02
2009-11-20,12.94
2009-11-23,13.26
2009-11-24,13.4
2009-11-25,13.34
2009-11-27,13.35
2009-11-30,13.65
2009-12-01,14.41
2009-12-02,14.52
2009-12-03,14.01
2009-12-04,13.64
2009-12-07,13.62
2009-12-08,13.71
2009-12-09,13.9
2009-12-10,13.69
2009-12-11,13.71
2009-12-14,13.42
2009-12-15,13.02
2009-12-16,13.15
2009-12-17,12.86
2009-12-18,13.43
2009-12-21,13.69
2009-12-22,13.63
2009-12-23,13.6
2009-12-24,13.71
2009-12-28,13.52
2009-12-29,13.62
2009-12-30,13.94
2009-12-31,13.94
2010-01-04,14.03
2010-01-05,14.05
2010-01-06,13.96
2010-01-07,13.7
2010-01-08,13.83
2010-01-11,13.86
2010-01-12,13.76
2010-01-13,13.66
2010-01-14,13.36
2010-01-15,13.05
2010-01-19,13.12
2010-01-20,12.88
2010-01-21,12.32
2010-01-22,11.96
2010-01-25,12.25
2010-01-26,12.23
2010-01-27,12.09
2010-01-28,12.22
2010-01-29,12.04
2010-02-01,12.09
2010-02-02,12.18
2010-02-03,12.23
2010-02-04,11.03
2010-02-05,10.77
2010-02-08,11.05
2010-02-09,11.57
2010-02-10,11.76
2010-02-11,12.04
2010-02-12,11.97
2010-02-16,12.2
2010-02-17,12.25
2010-02-18,12.22
2010-02-19,12.21
2010-02-22,12.22
2010-02-23,11.81
2010-02-24,11.76
2010-02-25,11.78
2010-02-26,11.96
2010-03-01,11.92
2010-03-02,11.92
2010-03-03,12.08
2010-03-04,12.19
2010-03-05,12.39
2010-03-08,12.6
2010-03-09,12.36
2010-03-10,12.64
2010-03-11,12.55
2010-03-12,12.42
2010-03-15,12.17
2010-03-16,12.19
2010-03-17,12.26
2010-03-18,12.24
2010-03-19,12.21
2010-03-22,12.29
2010-03-23,12.22
2010-03-24,11.79
2010-03-25,11.64
2010-03-26,11.76
2010-03-29,11.94
2010-03-30,12.39
2010-03-31,12.43
2010-04-01,12.57
2010-04-05,12.63
2010-04-06,12.47
2010-04-07,12.26
2010-04-08,12.48
2010-04-09,12.42
2010-04-12,12.36
2010-04-13,12.17
2010-04-14,12.2
2010-04-15,12.1
2010-04-16,11.81
2010-04-19,11.63
2010-04-20,11.67
2010-04-21,11.72
2010-04-22,11.58
2010-04-23,11.59
2010-04-26,11.5
2010-04-27,10.99
2010-04-28,10.89
2010-04-29,11.5
2010-04-30,11.63
2010-05-03,11.73
2010-05-04,11.5
2010-05-05,11.3
2010-05-06,10.64
2010-05-07,10.22
2010-05-10,11.4
2010-05-11,11.17
2010-05-12,11.36
2010-05-13,11.61
2010-05-14,11.11
2010-05-17,11.19
2010-05-18,11.04
2010-05-19,10.87
2010-05-20,10.02
2010-05-21,10.81
2010-05-24,10.76
2010-05-25,10.18
2010-05-26,10.24
2010-05-27,10.92
2010-05-28,10.42
2010-06-01,10.12
2010-06-02,10.56
2010-06-03,10.56
2010-06-04,10.1
2010-06-07,9.96
2010-06-08,10.26
2010-06-09,10.3
2010-06-10,10.89
2010-06-11,11.43
2010-06-14,10.99
2010-06-15,11.18
2010-06-16,11.3
2010-06-17,11.38
2010-06-18,11.8
2010-06-21,11.56
2010-06-22,11.32
2010-06-23,11.32
2010-06-24,11.2
2010-06-25,11.41
2010-06-28,11.3
2010-06-29,10.53
2010-06-30,10.33
2010-07-01,10.48
2010-07-02,10.81
2010-07-06,11.18
2010-07-07,11.61
2010-07-08,11.9
2010-07-09,12.27
2010-07-12,12.25
2010-07-13,12.46
2010-07-14,12.37
2010-07-15,12.21
2010-07-16,11.62
2010-07-19,11.94
2010-07-20,12.28
2010-07-21,12.64
2010-07-22,12.94
2010-07-23,12.95
2010-07-26,12.82
2010-07-27,12.98
2010-07-28,13.03
2010-07-29,13.11
2010-07-30,13.32
2010-08-02,13.48
2010-08-03,13.27
2010-08-04,13.16
2010-08-05,13.21
2010-08-06,13.11
2010-08-09,13.28
2010-08-10,13.19
2010-08-11,12.7
2010-08-12,12.86
2010-08-13,12.76
2010-08-16,13.1
