Date,GIS
1980-03-17,1.06541
1980-03-18,1.084781
1980-03-19,1.091238
1980-03-20,1.097695
1980-03-21,1.078324
1980-03-24,1.091238
1980-03-25,1.078324
1980-03-26,1.104152
1980-03-27,1.078324
1980-03-28,1.155809
1980-03-31,1.168723
1980-04-01,1.207465
1980-04-02,1.23975
1980-04-03,1.233293
1980-04-07,1.233293
1980-04-08,1.272035
1980-04-09,1.284949
1980-04-10,1.291406
1980-04-11,1.278492
1980-04-14,1.226836
1980-04-15,1.220379
1980-04-16,1.213922
1980-04-17,1.201008
1980-04-18,1.207465
1980-04-21,1.207465
1980-04-22,1.226836
1980-04-23,1.213922
1980-04-24,1.181637
1980-04-25,1.155809
1980-04-28,1.17518
1980-04-29,1.201008
1980-04-30,1.220379
1980-05-01,1.207465
1980-05-02,1.201008
1980-05-05,1.226836
1980-05-06,1.252664
1980-05-07,1.291406
1980-05-08,1.291406
1980-05-09,1.297863
1980-05-12,1.310777
1980-05-13,1.3301479999999999
1980-05-14,1.388262
1980-05-15,1.401176
1980-05-16,1.41409
1980-05-19,1.407633
1980-05-20,1.381805
1980-05-21,1.362434
1980-05-22,1.41409
1980-05-23,1.439918
1980-05-27,1.433461
1980-05-28,1.4270040000000002
1980-05-29,1.420547
1980-05-30,1.439918
1980-06-02,1.452832
1980-06-03,1.439918
1980-06-04,1.439918
1980-06-05,1.446375
1980-06-06,1.394719
1980-06-09,1.407633
1980-06-10,1.381805
1980-06-11,1.368891
1980-06-12,1.355977
1980-06-13,1.362434
1980-06-16,1.381805
1980-06-17,1.420547
1980-06-18,1.4270040000000002
1980-06-19,1.407633
1980-06-20,1.381805
1980-06-23,1.375348
1980-06-24,1.439918
1980-06-25,1.452832
1980-06-26,1.4270040000000002
1980-06-27,1.4270040000000002
1980-06-30,1.420547
1980-07-01,1.407633
1980-07-02,1.41409
1980-07-03,1.401176
1980-07-07,1.420547
1980-07-08,1.375348
1980-07-09,1.388262
1980-07-10,1.362434
1980-07-11,1.381805
1980-07-14,1.394719
1980-07-15,1.388262
1980-07-16,1.381805
1980-07-17,1.368891
1980-07-18,1.368891
1980-07-21,1.343063
1980-07-22,1.343063
1980-07-23,1.3301479999999999
1980-07-24,1.355977
1980-07-25,1.3495190000000001
1980-07-28,1.375348
1980-07-29,1.394719
1980-07-30,1.4270040000000002
1980-07-31,1.420547
1980-08-01,1.446375
1980-08-04,1.5432299999999999
1980-08-05,1.523859
1980-08-06,1.5174020000000001
1980-08-07,1.510945
1980-08-08,1.510945
1980-08-11,1.530316
1980-08-12,1.536773
1980-08-13,1.5432299999999999
1980-08-14,1.549688
1980-08-15,1.575516
1980-08-18,1.523859
1980-08-19,1.5044879999999998
1980-08-20,1.485117
1980-08-21,1.485117
1980-08-22,1.5044879999999998
1980-08-25,1.5174020000000001
1980-08-26,1.498031
1980-08-27,1.47866
1980-08-28,1.465746
1980-08-29,1.446375
