Date,MMM
1970-01-02,6.8515630000000005
1970-01-05,6.890625
1970-01-06,6.9609380000000005
1970-01-07,7.0
1970-01-08,7.09375
1970-01-09,7.078125
1970-01-12,7.0859380000000005
1970-01-13,7.0625
1970-01-14,7.140625
1970-01-15,7.0
1970-01-16,6.953125
1970-01-19,6.8125
1970-01-20,6.8671880000000005
1970-01-21,6.8515630000000005
1970-01-22,6.890625
1970-01-23,6.8203130000000005
1970-01-26,6.7890630000000005
1970-01-27,6.578125
1970-01-28,6.539063
1970-01-29,6.4375
1970-01-30,6.273438
1970-02-02,6.273438
1970-02-03,6.4375
1970-02-04,6.304688
1970-02-05,6.28125
1970-02-06,6.265625
1970-02-09,6.328125
1970-02-10,6.351563
1970-02-11,6.335938
1970-02-12,6.453125
1970-02-13,6.476563
1970-02-16,6.609375
1970-02-17,6.6953130000000005
1970-02-18,6.796875
1970-02-19,6.796875
1970-02-20,6.75
1970-02-24,6.6953130000000005
1970-02-25,6.859375
1970-02-26,6.8359380000000005
1970-02-27,6.8125
1970-03-02,6.796875
1970-03-03,6.734375
1970-03-04,6.7890630000000005
1970-03-05,6.6875
1970-03-06,6.65625
1970-03-09,6.6015630000000005
1970-03-10,6.6484380000000005
1970-03-11,6.640625
1970-03-12,6.625
1970-03-13,6.625
1970-03-16,6.390625
1970-03-17,6.4375
1970-03-18,6.421875
1970-03-19,6.445313
1970-03-20,6.375
1970-03-23,6.28125
1970-03-24,6.335938
1970-03-25,6.476563
1970-03-26,6.460938
1970-03-30,6.5
1970-03-31,6.53125
1970-04-01,6.6328130000000005
1970-04-02,6.6640630000000005
1970-04-03,6.6484380000000005
1970-04-06,6.515625
1970-04-07,6.515625
1970-04-08,6.453125
1970-04-09,6.476563
1970-04-10,6.46875
1970-04-13,6.421875
1970-04-14,6.382813
1970-04-15,6.3125
1970-04-16,6.296875
1970-04-17,6.1875
1970-04-20,6.1875
1970-04-21,6.15625
1970-04-22,6.03125
1970-04-23,5.953125
1970-04-24,6.0
1970-04-27,5.9375
1970-04-28,5.898438
1970-04-29,5.929688
1970-04-30,5.859375
1970-05-01,5.875
1970-05-04,5.671875
1970-05-05,5.617188
1970-05-06,5.695313
1970-05-07,5.828125
1970-05-08,5.875
1970-05-11,5.804688
1970-05-12,5.757813
1970-05-13,5.5625
1970-05-14,5.53125
1970-05-15,5.625
1970-05-18,5.648438
1970-05-19,5.53125
1970-05-20,5.289063
1970-05-21,5.234375
1970-05-22,5.21875
1970-05-25,4.875
1970-05-26,4.859375
1970-05-27,5.148438
1970-05-28,5.195313
1970-05-29,5.28125
1970-06-01,5.320313
1970-06-02,5.375
1970-06-03,5.445313
1970-06-04,5.367188
1970-06-05,5.335938
1970-06-08,5.265625
1970-06-09,5.21875
1970-06-10,5.132813
1970-06-11,5.0625
1970-06-12,5.03125
1970-06-15,5.0625
1970-06-16,5.179688
1970-06-17,5.140625
1970-06-18,5.109375
1970-06-19,5.125
1970-06-22,5.078125
1970-06-23,5.007813
1970-06-24,4.96875
1970-06-25,4.859375
1970-06-26,4.84375
1970-06-29,4.75
1970-06-30,4.71875
1970-07-01,4.59375
1970-07-02,4.609375
1970-07-06,4.484375
1970-07-07,4.46875
1970-07-08,4.6875
1970-07-09,4.710938
1970-07-10,4.671875
1970-07-13,4.617188
1970-07-14,4.671875
1970-07-15,4.734375
1970-07-16,4.867188
1970-07-17,4.984375
1970-07-20,4.945313
1970-07-21,4.984375
1970-07-22,5.007813
1970-07-23,5.085938
1970-07-24,5.0625
1970-07-27,5.03125
1970-07-28,5.03125
1970-07-29,5.03125
1970-07-30,5.046875
1970-07-31,5.046875
1970-08-03,5.046875
1970-08-04,5.03125
1970-08-05,5.039063
1970-08-06,5.140625
1970-08-07,5.195313
1970-08-10,5.171875
1970-08-11,5.148438
1970-08-12,5.078125
1970-08-13,4.992188
1970-08-14,4.882813
1970-08-17,4.898438
1970-08-18,4.945313
1970-08-19,5.007813
1970-08-20,5.09375
1970-08-21,5.28125
1970-08-24,5.390625
1970-08-25,5.4375
1970-08-26,5.4375
1970-08-27,5.484375
1970-08-28,5.523438
1970-08-31,5.492188
1970-09-01,5.328125
1970-09-02,5.3125
1970-09-03,5.3125
1970-09-04,5.296875
1970-09-08,5.273438
1970-09-09,5.359375
1970-09-10,5.351563
1970-09-11,5.320313
1970-09-14,5.335938
1970-09-15,5.359375
1970-09-16,5.367188
1970-09-17,5.375
1970-09-18,5.390625
1970-09-21,5.375
1970-09-22,5.359375
1970-09-23,5.453125
