Date,PF
2013-03-28,22.209999
2013-04-01,23.200001
2013-04-02,23.389999
2013-04-03,24.219998999999998
2013-04-04,24.190001000000002
2013-04-05,24.48
2013-04-08,24.280001000000002
2013-04-09,24.1
2013-04-10,23.57
2013-04-11,23.34
2013-04-12,23.450001
2013-04-15,23.799999
2013-04-16,23.9
2013-04-17,23.98
2013-04-18,23.99
2013-04-19,24.120001000000002
2013-04-22,24.17
2013-04-23,23.93
2013-04-24,23.85
2013-04-25,23.629998999999998
2013-04-26,23.6
2013-04-29,23.809998999999998
2013-04-30,23.870001000000002
2013-05-01,23.700001
2013-05-02,23.91
2013-05-03,23.74
2013-05-06,23.93
2013-05-07,24.49
2013-05-08,24.42
2013-05-09,24.25
2013-05-10,24.219998999999998
2013-05-13,23.83
2013-05-14,24.040001
2013-05-15,25.24
2013-05-16,25.32
2013-05-17,25.459999
2013-05-20,25.42
2013-05-21,25.370001000000002
2013-05-22,24.85
2013-05-23,24.700001
2013-05-24,24.67
2013-05-28,24.93
2013-05-29,24.950001
2013-05-30,24.77
2013-05-31,24.559998999999998
2013-06-03,24.52
2013-06-04,23.969998999999998
2013-06-05,23.66
2013-06-06,24.16
2013-06-07,24.18
2013-06-10,24.99
2013-06-11,25.059998999999998
2013-06-12,25.290001
2013-06-13,25.120001000000002
2013-06-14,24.950001
2013-06-17,24.799999
2013-06-18,25.15
2013-06-19,25.0
2013-06-20,24.959999
2013-06-21,24.65
2013-06-24,24.27
2013-06-25,24.35
2013-06-26,23.959999
2013-06-27,24.4
2013-06-28,24.15
2013-07-01,24.190001000000002
2013-07-02,24.58
2013-07-03,24.4
2013-07-05,24.559998999999998
2013-07-08,24.49
2013-07-09,25.209999
2013-07-10,25.67
2013-07-11,24.610001
2013-07-12,24.290001
2013-07-15,24.530001000000002
2013-07-16,25.01
2013-07-17,25.01
2013-07-18,25.34
2013-07-19,25.67
2013-07-22,25.860001
2013-07-23,25.83
2013-07-24,25.5
2013-07-25,25.629998999999998
2013-07-26,25.49
2013-07-29,25.389999
2013-07-30,25.549999
2013-07-31,25.469998999999998
2013-08-01,25.59
2013-08-02,26.030001000000002
