Date,OABC
2010-01-21,11.85
2010-01-22,11.78
2010-01-25,11.64
2010-01-26,11.38
2010-01-27,11.4
2010-01-28,11.32
2010-01-29,11.36
2010-02-01,11.3
2010-02-02,11.25
2010-02-03,11.15
2010-02-04,10.95
2010-02-05,10.87
2010-02-08,10.6
2010-02-09,10.59
2010-02-10,10.45
2010-02-11,10.74
2010-02-12,10.81
2010-02-16,11.06
2010-02-17,10.98
2010-02-18,11.0
2010-02-19,10.99
2010-02-22,10.99
2010-02-23,10.94
2010-02-24,10.93
2010-02-25,10.91
2010-02-26,10.91
2010-03-01,11.19
2010-03-02,11.53
2010-03-03,11.6
2010-03-04,11.6
2010-03-05,11.65
2010-03-08,11.72
2010-03-09,11.7
2010-03-10,11.7
2010-03-11,11.69
2010-03-12,11.62
2010-03-15,11.53
2010-03-16,11.85
2010-03-17,11.85
2010-03-18,11.84
2010-03-19,11.66
2010-03-22,11.52
2010-03-23,11.58
2010-03-24,11.66
2010-03-25,11.68
2010-03-26,11.63
2010-03-29,11.51
2010-03-30,11.69
2010-03-31,11.53
2010-04-01,11.55
2010-04-05,11.7
2010-04-06,11.8
2010-04-07,11.69
2010-04-08,11.71
2010-04-09,11.64
2010-04-12,11.61
2010-04-13,11.74
2010-04-14,11.74
2010-04-15,11.75
2010-04-16,11.65
2010-04-19,11.63
2010-04-20,11.76
2010-04-21,11.75
2010-04-22,11.75
2010-04-23,11.77
2010-04-26,11.77
2010-04-27,11.68
2010-04-28,11.72
2010-04-29,11.8
2010-04-30,11.78
2010-05-03,11.89
2010-05-04,11.72
2010-05-05,11.79
2010-05-06,11.73
2010-05-07,11.66
2010-05-10,11.84
2010-05-11,11.7
2010-05-12,11.79
2010-05-13,11.84
2010-05-14,11.78
2010-05-17,11.77
2010-05-18,11.73
2010-05-19,11.65
2010-05-20,11.51
2010-05-21,11.67
2010-05-24,11.51
2010-05-25,11.64
2010-05-26,11.53
2010-05-27,11.61
2010-05-28,11.58
2010-06-01,11.49
2010-06-02,11.6
2010-06-03,11.53
2010-06-04,11.17
2010-06-07,11.27
2010-06-08,11.3
2010-06-09,11.25
2010-06-10,11.51
2010-06-11,11.38
2010-06-14,11.51
2010-06-15,11.54
2010-06-16,11.63
2010-06-17,11.58
2010-06-18,11.5
2010-06-21,11.45
2010-06-22,11.38
2010-06-23,11.39
2010-06-24,11.25
2010-06-25,11.8
2010-06-28,11.54
2010-06-29,11.3
2010-06-30,11.29
2010-07-01,11.28
2010-07-02,11.4
2010-07-06,11.26
2010-07-07,11.36
2010-07-08,11.36
2010-07-09,11.41
2010-07-12,11.26
2010-07-13,11.31
2010-07-14,11.37
2010-07-15,11.2
2010-07-16,11.14
2010-07-19,11.14
2010-07-20,11.23
2010-07-21,11.03
2010-07-22,11.15
2010-07-23,11.19
2010-07-26,11.53
2010-07-27,11.71
2010-07-28,11.63
2010-07-29,11.64
2010-07-30,11.46
2010-08-02,11.54
2010-08-03,11.44
2010-08-04,11.63
2010-08-05,11.42
2010-08-06,11.34
2010-08-09,11.38
2010-08-10,11.18
2010-08-11,11.03
2010-08-12,11.36
2010-08-13,11.12
2010-08-16,11.4
2010-08-17,11.34
2010-08-18,11.3
2010-08-19,11.07
2010-08-20,11.25
2010-08-23,11.14
2010-08-24,11.1
2010-08-25,11.19
2010-08-26,11.09
2010-08-27,11.26
2010-08-30,11.17
2010-08-31,11.12
2010-09-01,11.14
2010-09-02,11.13
2010-09-03,11.29
2010-09-07,11.1
2010-09-08,11.19
2010-09-09,11.16
2010-09-10,11.26
2010-09-13,11.43
2010-09-14,11.35
2010-09-15,11.4
2010-09-16,11.24
2010-09-17,11.38
2010-09-20,11.5
2010-09-21,11.38
2010-09-22,11.37
2010-09-23,11.4
2010-09-24,11.46
2010-09-27,11.32
2010-09-28,11.18
2010-09-29,11.45
2010-09-30,11.27
2010-10-01,11.46
2010-10-04,11.41
2010-10-05,11.55
2010-10-06,11.65
2010-10-07,11.59
2010-10-08,11.78
2010-10-11,11.68
2010-10-12,11.66
2010-10-13,11.68
2010-10-14,11.69
2010-10-15,11.67
2010-10-18,11.75
2010-10-19,11.67
2010-10-20,11.69
2010-10-21,11.43
2010-10-22,11.5
2010-10-25,11.62
2010-10-26,11.66
2010-10-27,11.54
2010-10-28,11.62
2010-10-29,11.71
2010-11-01,11.7
2010-11-02,11.8
2010-11-03,12.0
2010-11-04,12.0
2010-11-05,11.99
2010-11-08,11.98
2010-11-09,12.05
2010-11-10,12.06
2010-11-11,12.14
2010-11-12,12.19
2010-11-15,12.27
2010-11-16,12.41
2010-11-17,12.38
2010-11-18,12.31
2010-11-19,12.18
2010-11-22,12.24
2010-11-23,12.11
2010-11-24,12.4
2010-11-26,12.41
2010-11-29,12.45
2010-11-30,12.34
2010-12-01,12.44
2010-12-02,12.55
2010-12-03,12.56
2010-12-06,12.6
2010-12-07,12.72
2010-12-08,12.67
2010-12-09,12.75
2010-12-10,12.9
2010-12-13,12.67
2010-12-14,12.94
2010-12-15,12.95
2010-12-16,13.08
2010-12-17,13.03
2010-12-20,13.18
2010-12-21,13.45
2010-12-22,13.61
2010-12-23,13.49
2010-12-27,13.49
2010-12-28,13.67
2010-12-29,13.52
2010-12-30,13.42
2010-12-31,13.55
2011-01-03,13.69
2011-01-04,13.41
2011-01-05,13.49
2011-01-06,13.59
2011-01-07,13.59
2011-01-10,13.59
2011-01-11,13.7
2011-01-12,13.72
2011-01-13,13.7
2011-01-14,14.06
2011-01-18,14.29
2011-01-19,13.76
2011-01-20,14.01
2011-01-21,14.37
2011-01-24,14.5
2011-01-25,14.48
2011-01-26,14.74
2011-01-27,14.95
2011-01-28,14.8
2011-01-31,14.95
2011-02-01,14.89
2011-02-02,14.72
2011-02-03,14.9
2011-02-04,14.76
2011-02-07,14.9
2011-02-08,14.9
2011-02-09,14.92
2011-02-10,14.95
2011-02-11,15.0
2011-02-14,14.92
2011-02-15,14.99
2011-02-16,15.01
2011-02-17,15.04
2011-02-18,15.05
2011-02-22,15.06
2011-02-23,15.14
2011-02-24,15.25
2011-02-25,15.64
2011-02-28,15.67
2011-03-01,15.39
2011-03-02,15.63
2011-03-03,15.66
2011-03-04,15.75
2011-03-07,15.76
2011-03-08,15.89
2011-03-09,15.79
2011-03-10,15.68
2011-03-11,15.58
2011-03-14,15.54
2011-03-15,15.44
2011-03-16,15.65
2011-03-17,15.45
2011-03-18,15.67
2011-03-21,15.82
2011-03-22,15.72
2011-03-23,15.71
2011-03-24,15.64
2011-03-25,15.34
2011-03-28,15.33
2011-03-29,15.51
2011-03-30,15.6
2011-03-31,15.84
2011-04-01,15.74
2011-04-04,15.66
2011-04-05,15.65
2011-04-06,15.65
2011-04-07,15.68
2011-04-08,15.55
2011-04-11,15.31
2011-04-12,15.02
2011-04-13,15.14
2011-04-14,14.95
2011-04-15,15.21
2011-04-18,15.15
2011-04-19,15.04
2011-04-20,15.145
2011-04-21,15.09
2011-04-25,15.05
2011-04-26,14.98
2011-04-27,14.95
2011-04-28,14.94
2011-04-29,14.95
2011-05-02,14.7
2011-05-03,14.78
2011-05-04,14.5
2011-05-05,14.1
2011-05-06,14.31
2011-05-09,14.58
2011-05-10,14.86
2011-05-11,14.67
2011-05-12,14.97
2011-05-13,14.62
2011-05-16,14.76
2011-05-17,14.95
2011-05-18,14.97
2011-05-19,14.92
2011-05-20,14.84
2011-05-23,14.56
2011-05-24,14.63
2011-05-25,14.86
2011-05-26,14.88
2011-05-27,14.83
2011-05-31,14.33
2011-06-01,14.42
2011-06-02,14.59
2011-06-03,14.29
2011-06-06,14.25
2011-06-07,14.23
2011-06-08,14.07
2011-06-09,14.03
2011-06-10,14.13
2011-06-13,14.15
2011-06-14,14.47
2011-06-15,14.19
2011-06-16,14.64
2011-06-17,14.53
2011-06-20,14.71
2011-06-21,14.98
2011-06-22,14.52
2011-06-23,14.38
2011-06-24,14.99
2011-06-27,14.97
2011-06-28,15.1
2011-06-29,14.95
2011-06-30,14.97
2011-07-01,14.94
2011-07-05,14.51
2011-07-06,14.73
2011-07-07,15.07
2011-07-08,14.99
2011-07-11,14.75
2011-07-12,14.82
2011-07-13,14.86
2011-07-14,14.71
2011-07-15,14.64
2011-07-18,14.65
2011-07-19,15.03
2011-07-20,14.94
2011-07-21,15.01
2011-07-22,14.77
2011-07-25,14.58
2011-07-26,14.5
2011-07-27,14.25
2011-07-28,14.61
2011-07-29,14.64
2011-08-01,14.46
2011-08-02,14.38
2011-08-03,14.84
2011-08-04,14.33
2011-08-05,14.19
2011-08-08,13.95
2011-08-09,14.46
2011-08-10,14.05
2011-08-11,14.24
2011-08-12,14.15
2011-08-15,14.44
2011-08-16,14.12
2011-08-17,14.24
2011-08-18,13.88
2011-08-19,13.71
2011-08-22,13.59
2011-08-23,14.01
2011-08-24,14.29
2011-08-25,13.86
2011-08-26,13.89
2011-08-29,14.06
2011-08-30,14.06
2011-08-31,14.28
2011-09-01,14.05
2011-09-02,13.83
2011-09-06,13.81
2011-09-07,14.34
2011-09-08,13.83
2011-09-09,13.83
2011-09-12,14.03
2011-09-13,14.04
2011-09-14,14.29
2011-09-15,14.38
2011-09-16,14.5
2011-09-19,14.24
2011-09-20,13.81
2011-09-21,13.65
2011-09-22,13.19
2011-09-23,13.55
2011-09-26,13.5
2011-09-27,13.86
2011-09-28,13.55
2011-09-29,13.97
2011-09-30,13.65
2011-10-03,13.7
2011-10-04,14.45
2011-10-05,14.15
2011-10-06,14.08
2011-10-07,13.44
2011-10-10,13.99
2011-10-11,14.07
2011-10-12,14.12
2011-10-13,14.12
2011-10-14,14.25
2011-10-17,13.83
2011-10-18,14.23
2011-10-19,13.85
2011-10-20,13.89
2011-10-21,14.17
2011-10-24,14.15
2011-10-25,13.8
2011-10-26,14.08
2011-10-27,14.75
2011-10-28,14.92
2011-10-31,14.75
2011-11-01,14.11
2011-11-02,14.4
2011-11-03,14.87
2011-11-04,14.68
2011-11-07,14.44
2011-11-08,14.94
2011-11-09,13.86
2011-11-10,14.14
2011-11-11,14.5
2011-11-14,14.41
2011-11-15,14.63
2011-11-16,14.41
2011-11-17,14.28
2011-11-18,14.4
2011-11-21,14.15
2011-11-22,14.14
2011-11-23,14.21
2011-11-25,14.26
2011-11-28,14.61
2011-11-29,14.43
2011-11-30,14.8
2011-12-01,14.63
2011-12-02,14.83
2011-12-05,15.04
2011-12-06,15.02
2011-12-07,14.99
2011-12-08,14.81
2011-12-09,15.05
2011-12-12,15.05
2011-12-13,15.0
2011-12-14,15.2
2011-12-15,15.31
2011-12-16,15.29
2011-12-19,15.1
2011-12-20,15.25
2011-12-21,15.35
2011-12-22,15.35
2011-12-23,15.24
2011-12-27,15.3
2011-12-28,15.05
2011-12-29,15.2
2011-12-30,15.7
2012-01-03,16.01
2012-01-04,15.91
2012-01-05,16.219998999999998
2012-01-06,15.94
2012-01-09,15.91
2012-01-10,16.200001
2012-01-11,16.1
2012-01-12,16.23
2012-01-13,15.62
2012-01-17,15.79
2012-01-18,16.02
2012-01-19,16.24
2012-01-20,16.290001
2012-01-23,16.309998999999998
2012-01-24,16.32
2012-01-25,16.370001000000002
2012-01-26,16.440001000000002
2012-01-27,16.549999
2012-01-30,16.530001000000002
2012-01-31,16.450001
2012-02-01,16.85
2012-02-02,16.75
2012-02-03,16.9
2012-02-06,16.950001
2012-02-07,16.950001
2012-02-08,16.969998999999998
2012-02-09,16.75
2012-02-10,16.67
2012-02-13,16.969998999999998
2012-02-14,17.4
2012-02-15,17.440001000000002
2012-02-16,17.99
2012-02-17,17.91
2012-02-21,17.950001
2012-02-22,17.790001
2012-02-23,17.879998999999998
2012-02-24,17.76
2012-02-27,17.85
2012-02-28,17.85
2012-02-29,17.889999
2012-03-01,17.76
2012-03-02,17.639999
