Date,BBD
2002-08-02,1.0553190000000001
2002-08-05,1.000362
2002-08-06,1.04558
2002-08-07,1.120016
2002-08-08,1.259148
2002-08-09,1.1165370000000001
2002-08-12,1.010797
2002-08-13,0.964883
2002-08-14,0.9551440000000001
2002-08-15,0.918969
2002-08-16,0.977405
2002-08-19,0.9947959999999999
2002-08-20,1.00871
2002-08-21,1.022623
2002-08-22,1.033058
2002-08-23,1.034449
2002-08-26,1.086624
2002-08-27,1.1241889999999999
2002-08-28,1.10332
2002-08-29,1.1248850000000001
2002-08-30,1.17219
2002-09-03,1.154799
2002-09-04,1.120016
2002-09-05,1.0574059999999998
2002-09-06,1.046275
2002-09-09,1.063667
2002-09-10,1.069928
2002-09-11,1.113059
2002-09-12,1.105407
2002-09-13,1.09358
2002-09-16,1.026797
2002-09-17,0.996188
2002-09-18,0.932883
2002-09-19,0.907839
2002-09-20,0.937752
2002-09-23,0.855664
2002-09-24,0.800707
2002-09-25,0.7972279999999999
2002-09-26,0.765228
2002-09-27,0.69914
2002-09-30,0.7367060000000001
2002-10-01,0.8334030000000001
2002-10-02,0.8320120000000001
2002-10-03,0.876534
2002-10-04,0.852881
2002-10-07,0.779837
2002-10-08,0.77288
2002-10-09,0.708184
2002-10-10,0.7026180000000001
2002-10-11,0.742271
2002-10-14,0.695662
2002-10-15,0.698444
2002-10-16,0.689401
2002-10-17,0.745054
2002-10-18,0.758271
2002-10-21,0.751315
2002-10-22,0.76175
2002-10-23,0.8222719999999999
2002-10-24,0.854273
2002-10-25,0.900882
2002-10-28,0.834794
2002-10-29,0.8320120000000001
2002-10-30,0.9161870000000001
2002-10-31,0.9252299999999999
2002-11-01,0.9294040000000001
2002-11-04,0.907839
2002-11-05,0.8974040000000001
2002-11-06,0.848707
2002-11-07,0.882099
2002-11-08,0.8709690000000001
2002-11-11,0.883491
2002-11-12,0.855664
2002-11-13,0.85636
2002-11-14,0.883491
2002-11-15,0.900882
2002-11-18,0.912013
2002-11-19,0.9036649999999999
2002-11-20,0.918969
2002-11-21,0.9454040000000001
2002-11-22,0.911317
2002-11-25,0.907839
2002-11-26,0.900882
2002-11-27,0.928709
2002-11-29,0.905056
2002-12-02,0.9280129999999999
2002-12-03,0.90436
2002-12-04,0.884186
2002-12-05,0.8667950000000001
2002-12-06,0.884882
2002-12-09,0.8313159999999999
2002-12-10,0.829925
2002-12-11,0.886969
2002-12-12,0.884186
2002-12-13,0.8974040000000001
2002-12-16,0.932883
2002-12-17,0.957926
2002-12-18,1.022623
2002-12-19,1.067841
2002-12-20,1.109581
2002-12-23,1.088015
2002-12-24,1.091493
2002-12-26,1.0386229999999999
2002-12-27,1.053928
2002-12-30,1.0546229999999999
2002-12-31,1.0365360000000001
2003-01-02,1.0553190000000001
2003-01-03,1.09358
2003-01-06,1.158277
2003-01-07,1.173582
2003-01-08,1.155494
2003-01-09,1.157581
2003-01-10,1.195843
2003-01-13,1.1812340000000001
2003-01-14,1.197234
2003-01-15,1.158973
