Date,TEG
2015-12-22,8207.070313
2015-12-23,8207.070313
2015-12-24,8417.509766
2015-12-28,8417.509766
2015-12-29,8417.509766
2015-12-30,8768.240234
2015-12-31,9609.990234
2016-01-04,9960.719727
2016-01-05,10521.900391
2016-01-06,10592.0
2016-01-07,10732.299805
2016-01-08,10942.799805
2016-01-11,11083.099609
2016-01-12,10872.599609
2016-01-13,10802.5
2016-01-14,11012.900391
2016-01-15,11153.200195
2016-01-19,11854.700195
2016-01-20,12065.099609
2016-01-21,12065.099609
2016-01-22,13257.599609
2016-01-25,13327.700195
2016-01-26,13047.099609
2016-01-27,14099.299805
2016-01-28,14099.299805
2016-01-29,13888.900391
2016-02-01,13187.400391
2016-02-02,13397.900391
2016-02-03,13538.200195
2016-02-04,13538.200195
2016-02-05,13397.900391
2016-02-08,13397.900391
2016-02-09,13397.900391
2016-02-10,13397.900391
2016-02-11,13397.900391
2016-02-12,13397.900391
2016-02-16,13748.599609
2016-02-17,13959.0
2016-02-18,14309.799805
2016-02-19,14309.799805
2016-02-22,14309.799805
2016-02-23,14309.799805
2016-02-24,14029.200195
2016-02-25,13818.700195
2016-02-26,13888.900391
2016-02-29,13397.900391
2016-03-01,12065.099609
2016-03-02,11644.200195
2016-03-03,11574.099609
2016-03-04,11924.799805
2016-03-07,12065.099609
2016-03-08,12065.099609
2016-03-09,12275.5
2016-03-10,12766.599609
2016-03-11,12977.0
2016-03-14,12065.099609
2016-03-15,11784.5
2016-03-16,11714.400391
2016-03-17,11994.900391
2016-03-18,11854.700195
2016-03-21,11854.700195
2016-03-22,11784.5
2016-03-23,12205.400391
2016-03-24,12556.099609
2016-03-28,12696.400391
2016-03-29,13047.099609
2016-03-30,12906.799805
2016-03-31,12415.799805
2016-04-01,12486.0
2016-04-04,13327.700195
2016-04-05,12977.0
2016-04-06,13538.200195
2016-04-07,12696.400391
2016-04-08,12486.0
2016-04-11,12065.099609
2016-04-12,12205.400391
2016-04-13,12205.400391
2016-04-14,11784.5
2016-04-15,11784.5
2016-04-18,11784.5
2016-04-19,11784.5
2016-04-20,12345.700195
2016-04-21,11994.900391
2016-04-22,11574.099609
2016-04-25,11574.099609
2016-04-26,11574.099609
2016-04-27,11574.099609
2016-04-28,11574.099609
2016-04-29,11574.099609
2016-05-02,11574.099609
2016-05-03,11574.099609
2016-05-04,11574.099609
2016-05-05,10451.700195
2016-05-06,9820.429688
2016-05-09,9259.259766
2016-05-10,9259.259766
2016-05-11,9259.259766
2016-05-12,9680.129883
2016-05-13,10030.900391
2016-05-16,10030.900391
2016-05-17,10030.900391
2016-05-18,10030.900391
2016-05-19,10381.599609
2016-05-20,10381.599609
2016-05-23,9960.719727
2016-05-24,10101.0
2016-05-25,9820.429688
2016-05-26,9820.429688
2016-05-27,9820.429688
2016-05-31,10802.5
2016-06-01,11153.200195
2016-06-02,10872.599609
2016-06-03,10451.700195
2016-06-06,10311.400391
2016-06-07,10101.0
2016-06-08,10171.200195
2016-06-09,9890.570313
2016-06-10,10101.0
2016-06-13,10171.200195
2016-06-14,10241.299805
2016-06-15,10101.0
2016-06-16,9960.719727
2016-06-17,10101.0
2016-06-20,10381.599609
2016-06-21,10381.599609
2016-06-22,10381.599609
2016-06-23,10241.299805
2016-06-24,9820.429688
2016-06-27,10101.0
2016-06-28,10241.299805
2016-06-29,10451.700195
2016-06-30,10241.299805
2016-07-01,10381.599609
2016-07-05,11083.099609
2016-07-06,12135.200195
2016-07-07,12696.400391
2016-07-08,12766.599609
2016-07-11,11503.900391
2016-07-12,11924.799805
2016-07-13,11293.5
2016-07-14,10171.200195
2016-07-15,10171.200195
2016-07-18,9890.570313
2016-07-19,8908.530273
2016-07-20,8066.779785
2016-07-21,8277.219727
2016-07-22,8207.070313
2016-07-25,7856.339844
2016-07-26,8557.799805
