Date,GSKY
2018-05-25,24.77
2018-05-29,24.950001
2018-05-30,25.73
2018-05-31,26.77
2018-06-01,26.66
2018-06-04,25.34
2018-06-05,25.540001
2018-06-06,24.51
2018-06-07,22.950001
2018-06-08,23.790001
2018-06-11,24.07
2018-06-12,24.26
2018-06-13,24.129998999999998
2018-06-14,24.459999
2018-06-15,24.24
2018-06-18,24.43
2018-06-19,23.99
2018-06-20,23.75
2018-06-21,23.690001000000002
2018-06-22,24.16
2018-06-25,23.190001000000002
2018-06-26,22.040001
2018-06-27,20.110001
2018-06-28,21.190001000000002
2018-06-29,21.15
2018-07-02,20.6
2018-07-03,20.73
2018-07-05,21.139999
2018-07-06,21.360001
2018-07-09,21.870001000000002
2018-07-10,21.799999
2018-07-11,21.110001
2018-07-12,20.309998999999998
2018-07-13,19.27
2018-07-16,19.059998999999998
2018-07-17,18.84
2018-07-18,19.865
2018-07-19,19.709999
2018-07-20,19.51
2018-07-23,19.6
2018-07-24,19.25
2018-07-25,19.16
2018-07-26,18.450001
2018-07-27,17.799999
2018-07-30,17.290001
2018-07-31,17.299999
2018-08-01,17.889999
2018-08-02,17.9
2018-08-03,17.85
2018-08-06,21.23
2018-08-07,18.91
2018-08-08,18.16
2018-08-09,16.860001
2018-08-10,15.59
2018-08-13,14.5
2018-08-14,15.39
2018-08-15,15.91
2018-08-16,17.610001
2018-08-17,18.26
2018-08-20,17.91
2018-08-21,18.25
2018-08-22,18.129998999999998
2018-08-23,18.200001
2018-08-24,19.450001
2018-08-27,19.1
2018-08-28,19.280001000000002
2018-08-29,19.73
2018-08-30,19.959999
2018-08-31,20.25
2018-09-04,19.85
2018-09-05,19.16
2018-09-06,18.58
2018-09-07,19.0
2018-09-10,19.83
2018-09-11,20.15
2018-09-12,19.98
2018-09-13,19.98
2018-09-14,19.83
2018-09-17,19.33
2018-09-18,19.75
2018-09-19,20.200001
2018-09-20,19.860001
2018-09-21,20.23
2018-09-24,19.870001000000002
2018-09-25,19.73
2018-09-26,18.790001
2018-09-27,18.559998999999998
2018-09-28,18.0
2018-10-01,18.01
2018-10-02,17.790001
2018-10-03,17.799999
2018-10-04,17.389999
2018-10-05,16.530001000000002
2018-10-08,16.0
2018-10-09,16.15
2018-10-10,15.25
2018-10-11,15.37
2018-10-12,15.33
2018-10-15,15.5
2018-10-16,16.07
2018-10-17,16.040001
2018-10-18,15.37
2018-10-19,15.23
2018-10-22,15.0
2018-10-23,14.37
2018-10-24,13.4
2018-10-25,13.44
2018-10-26,12.68
2018-10-29,12.1
2018-10-30,12.58
2018-10-31,13.18
2018-11-01,13.99
2018-11-02,14.45
2018-11-05,14.66
2018-11-06,9.28
2018-11-07,9.16
2018-11-08,9.41
2018-11-09,9.71
2018-11-12,9.92
2018-11-13,9.8
2018-11-14,9.44
2018-11-15,9.7
2018-11-16,9.49
2018-11-19,9.01
2018-11-20,8.96
2018-11-21,9.22
2018-11-23,9.14
2018-11-26,9.14
2018-11-27,9.42
2018-11-28,9.29
2018-11-29,9.29
2018-11-30,9.31
2018-12-03,9.29
2018-12-04,8.9
2018-12-06,8.99
2018-12-07,9.0
2018-12-10,9.26
2018-12-11,9.0
2018-12-12,9.2
2018-12-13,8.95
2018-12-14,8.66
2018-12-17,8.41
2018-12-18,8.92
2018-12-19,9.03
2018-12-20,9.0
2018-12-21,8.66
2018-12-24,9.22
2018-12-26,9.48
2018-12-27,9.47
2018-12-28,9.58
2018-12-31,9.57
2019-01-02,9.69
2019-01-03,9.55
2019-01-04,9.89
2019-01-07,10.06
2019-01-08,10.07
2019-01-09,10.1
2019-01-10,9.97
2019-01-11,10.14
2019-01-14,10.57
2019-01-15,10.88
2019-01-16,10.91
2019-01-17,10.99
2019-01-18,11.01
2019-01-22,11.0
