Date,COOP
2013-05-24,10.8
2013-05-28,11.4
2013-05-29,11.4
2013-05-30,10.68
2013-05-31,10.56
2013-06-03,10.32
2013-06-04,10.32
2013-06-05,9.24
2013-06-06,9.6
2013-06-07,9.6
2013-06-10,9.6
2013-06-11,10.08
2013-06-12,10.08
2013-06-13,9.72
2013-06-14,9.6
2013-06-17,9.96
2013-06-18,10.44
2013-06-19,10.32
2013-06-20,10.44
2013-06-21,10.44
2013-06-24,10.2
2013-06-25,10.2
2013-06-26,9.6
2013-06-27,9.6
2013-06-28,9.6
2013-07-01,9.72
2013-07-02,9.6
2013-07-03,9.96
2013-07-05,9.72
2013-07-08,9.84
2013-07-09,9.96
2013-07-10,9.6
2013-07-11,10.08
2013-07-12,10.08
2013-07-15,10.08
2013-07-16,10.56
2013-07-17,10.56
2013-07-18,10.56
2013-07-19,10.32
2013-07-22,10.08
2013-07-23,10.2
2013-07-24,10.32
2013-07-25,10.32
2013-07-26,10.68
2013-07-29,10.44
2013-07-30,10.8
2013-07-31,10.8
2013-08-01,11.4
2013-08-02,11.64
2013-08-05,12.48
2013-08-06,12.48
2013-08-07,12.6
2013-08-08,12.6
2013-08-09,12.48
2013-08-12,12.24
2013-08-13,12.24
2013-08-14,12.12
2013-08-15,12.24
2013-08-16,12.48
2013-08-19,12.24
2013-08-20,12.24
2013-08-21,12.24
2013-08-22,12.36
2013-08-23,12.24
2013-08-26,12.24
2013-08-27,12.36
2013-08-28,12.24
2013-08-29,12.36
2013-08-30,12.24
2013-09-03,12.36
2013-09-04,12.24
2013-09-05,12.24
2013-09-06,12.48
2013-09-09,12.24
2013-09-10,12.36
2013-09-11,13.56
2013-09-12,13.92
2013-09-13,14.28
2013-09-16,15.24
2013-09-17,16.559998999999998
2013-09-18,16.559998999999998
2013-09-19,16.440001000000002
2013-09-20,15.36
2013-09-23,15.36
2013-09-24,15.24
2013-09-25,15.0
2013-09-26,14.88
2013-09-27,14.88
2013-09-30,14.64
2013-10-01,14.88
2013-10-02,14.88
2013-10-03,14.64
2013-10-04,14.64
2013-10-07,14.64
2013-10-08,14.52
2013-10-09,14.28
2013-10-10,14.16
2013-10-11,14.16
2013-10-14,14.64
2013-10-15,14.28
2013-10-16,14.28
2013-10-17,14.28
2013-10-18,14.28
2013-10-21,14.04
2013-10-22,13.92
2013-10-23,14.04
2013-10-24,14.16
2013-10-25,14.16
2013-10-28,13.8
2013-10-29,13.44
2013-10-30,13.32
2013-10-31,13.2
2013-11-01,13.08
2013-11-04,12.48
2013-11-05,12.6
2013-11-06,12.6
2013-11-07,12.12
2013-11-08,12.48
2013-11-11,14.04
2013-11-12,14.04
2013-11-13,13.56
2013-11-14,13.68
2013-11-15,14.16
2013-11-18,12.84
2013-11-19,13.8
2013-11-20,13.68
2013-11-21,13.8
2013-11-22,13.56
2013-11-25,13.68
2013-11-26,13.68
2013-11-27,13.56
2013-11-29,13.8
2013-12-02,13.68
2013-12-03,13.56
2013-12-04,13.44
2013-12-05,13.44
2013-12-06,13.2
2013-12-09,19.799999
2013-12-10,20.16
2013-12-11,21.120001000000002
2013-12-12,24.719998999999998
2013-12-13,25.559998999999998
2013-12-16,27.360001
2013-12-17,30.0
2013-12-18,32.040001000000004
2013-12-19,31.92
2013-12-20,30.24
2013-12-23,30.0
2013-12-24,30.719998999999998
2013-12-26,32.16
2013-12-27,32.52
2013-12-30,33.240002000000004
2013-12-31,33.84
2014-01-02,34.439999
2014-01-03,35.279999
2014-01-06,33.0
2014-01-07,32.279999
2014-01-08,32.16
2014-01-09,32.16
2014-01-10,32.400002
2014-01-13,31.799999
2014-01-14,31.68
2014-01-15,31.08
2014-01-16,29.040001
2014-01-17,28.92
2014-01-21,29.280001000000002
2014-01-22,29.280001000000002
2014-01-23,29.280001000000002
2014-01-24,29.52
2014-01-27,29.879998999999998
2014-01-28,29.76
2014-01-29,29.879998999999998
2014-01-30,30.0
2014-01-31,30.6
2014-02-03,30.719998999999998
2014-02-04,30.120001000000002
2014-02-05,29.16
2014-02-06,29.040001
2014-02-07,28.799999
2014-02-10,30.360001
2014-02-11,32.400002
2014-02-12,32.52
2014-02-13,32.52
2014-02-14,32.400002
2014-02-18,32.279999
2014-02-19,32.16
2014-02-20,32.400002
2014-02-21,32.400002
2014-02-24,32.400002
2014-02-25,32.52
2014-02-26,32.400002
2014-02-27,32.400002
2014-02-28,32.880001
2014-03-03,33.0
2014-03-04,34.080002
2014-03-05,36.48
2014-03-06,38.52
2014-03-07,39.599998
2014-03-10,41.880001
2014-03-11,39.720001
2014-03-12,39.599998
2014-03-13,38.16
2014-03-14,40.200001
2014-03-17,41.16
2014-03-18,41.400002
2014-03-19,40.799999
2014-03-20,40.32
2014-03-21,39.0
2014-03-24,39.0
2014-03-25,38.880001
2014-03-26,38.279999
2014-03-27,38.400002
2014-03-28,39.0
2014-03-31,39.0
2014-04-01,38.759997999999996
2014-04-02,40.560001
2014-04-03,40.560001
2014-04-04,39.48
2014-04-07,39.599998
2014-04-08,39.599998
2014-04-09,39.48
2014-04-10,39.360001000000004
2014-04-11,39.0
2014-04-14,37.799999
2014-04-15,36.240002000000004
2014-04-16,37.439999
2014-04-17,37.200001
2014-04-21,37.080002
2014-04-22,37.799999
2014-04-23,37.799999
2014-04-24,37.32
2014-04-25,36.84
2014-04-28,36.720001
2014-04-29,36.48
2014-04-30,36.0
2014-05-01,35.400002
2014-05-02,35.040001000000004
2014-05-05,35.16
2014-05-06,33.599998
2014-05-07,33.0
2014-05-08,32.759997999999996
