Date,MXL
2010-03-24,18.700001
2010-03-25,18.040001
2010-03-26,18.620001000000002
2010-03-29,18.700001
2010-03-30,18.25
2010-03-31,17.780001000000002
2010-04-01,17.690001000000002
2010-04-05,17.120001000000002
2010-04-06,17.15
2010-04-07,17.18
2010-04-08,17.0
2010-04-09,17.23
2010-04-12,17.120001000000002
2010-04-13,16.91
2010-04-14,17.610001
2010-04-15,18.18
2010-04-16,17.99
2010-04-19,17.549999
2010-04-20,17.91
2010-04-21,17.370001000000002
2010-04-22,17.09
2010-04-23,17.1
2010-04-26,17.5
2010-04-27,17.190001000000002
2010-04-28,17.059998999999998
2010-04-29,16.98
2010-04-30,16.9
2010-05-03,17.33
2010-05-04,17.360001
2010-05-05,17.17
2010-05-06,15.75
2010-05-07,15.31
2010-05-10,16.58
2010-05-11,16.32
2010-05-12,15.57
2010-05-13,16.1
2010-05-14,15.73
2010-05-17,16.530001000000002
2010-05-18,16.0
2010-05-19,16.35
2010-05-20,15.48
2010-05-21,15.4
2010-05-24,15.41
2010-05-25,14.89
2010-05-26,14.96
2010-05-27,15.61
2010-05-28,15.98
2010-06-01,15.59
2010-06-02,15.5
2010-06-03,15.96
2010-06-04,15.0
2010-06-07,14.65
2010-06-08,13.69
2010-06-09,14.0
2010-06-10,14.2
2010-06-11,15.04
2010-06-14,14.41
2010-06-15,14.74
2010-06-16,15.86
2010-06-17,16.1
2010-06-18,15.76
2010-06-21,15.49
2010-06-22,15.27
2010-06-23,15.88
2010-06-24,15.72
2010-06-25,15.18
2010-06-28,15.36
2010-06-29,14.4
2010-06-30,13.98
2010-07-01,13.28
2010-07-02,13.2
2010-07-06,13.26
2010-07-07,13.57
2010-07-08,13.6
2010-07-09,14.36
2010-07-12,14.16
2010-07-13,14.25
2010-07-14,13.9
2010-07-15,13.44
2010-07-16,12.86
2010-07-19,13.38
2010-07-20,13.25
2010-07-21,13.36
2010-07-22,13.6
2010-07-23,13.63
2010-07-26,13.7
2010-07-27,13.63
2010-07-28,13.63
2010-07-29,12.37
2010-07-30,12.51
2010-08-02,12.35
2010-08-03,11.83
2010-08-04,11.79
2010-08-05,11.48
2010-08-06,11.0
2010-08-09,10.82
2010-08-10,10.24
2010-08-11,9.93
2010-08-12,9.79
2010-08-13,9.75
2010-08-16,10.28
2010-08-17,10.27
2010-08-18,10.2
2010-08-19,9.78
2010-08-20,10.21
2010-08-23,10.87
2010-08-24,10.33
2010-08-25,10.62
2010-08-26,10.4
2010-08-27,12.14
2010-08-30,11.38
2010-08-31,11.4
2010-09-01,11.74
2010-09-02,11.45
2010-09-03,11.5
2010-09-07,11.29
2010-09-08,11.3
2010-09-09,11.3
2010-09-10,11.54
2010-09-13,11.93
2010-09-14,12.12
2010-09-15,12.6
2010-09-16,12.77
2010-09-17,12.42
2010-09-20,12.31
2010-09-21,11.66
2010-09-22,11.3
2010-09-23,10.95
2010-09-24,11.26
2010-09-27,11.16
2010-09-28,11.24
2010-09-29,11.53
2010-09-30,11.22
2010-10-01,11.2
2010-10-04,11.36
2010-10-05,10.03
2010-10-06,9.8
2010-10-07,9.92
2010-10-08,9.99
2010-10-11,9.83
2010-10-12,9.88
2010-10-13,10.0
2010-10-14,9.99
2010-10-15,9.97
2010-10-18,10.0
2010-10-19,10.01
2010-10-20,9.93
2010-10-21,10.19
2010-10-22,10.26
2010-10-25,10.22
2010-10-26,10.25
2010-10-27,10.25
2010-10-28,10.5
2010-10-29,10.44
2010-11-01,10.06
2010-11-02,10.0
2010-11-03,10.85
2010-11-04,10.75
2010-11-05,10.54
2010-11-08,10.14
2010-11-09,10.07
2010-11-10,10.11
2010-11-11,10.4
2010-11-12,10.41
2010-11-15,10.45
2010-11-16,10.1
2010-11-17,10.1
2010-11-18,10.14
2010-11-19,10.22
2010-11-22,10.36
2010-11-23,10.23
2010-11-24,10.37
2010-11-26,10.39
2010-11-29,10.5
2010-11-30,10.74
2010-12-01,10.89
2010-12-02,10.99
2010-12-03,11.06
2010-12-06,10.61
2010-12-07,11.08
2010-12-08,10.85
2010-12-09,10.83
2010-12-10,10.82
2010-12-13,10.77
2010-12-14,10.69
2010-12-15,10.5
2010-12-16,10.59
2010-12-17,10.46
2010-12-20,10.39
2010-12-21,10.26
2010-12-22,10.25
2010-12-23,10.04
2010-12-27,10.35
2010-12-28,10.14
2010-12-29,10.28
2010-12-30,10.37
2010-12-31,10.76
2011-01-03,10.89
2011-01-04,10.87
2011-01-05,10.9
2011-01-06,10.79
2011-01-07,10.99
2011-01-10,11.97
2011-01-11,11.97
2011-01-12,12.08
2011-01-13,12.62
2011-01-14,12.54
2011-01-18,12.31
2011-01-19,11.7
2011-01-20,11.29
2011-01-21,11.07
2011-01-24,11.13
2011-01-25,11.04
2011-01-26,11.26
2011-01-27,11.35
2011-01-28,11.09
2011-01-31,11.16
2011-02-01,11.31
2011-02-02,11.34
2011-02-03,11.36
2011-02-04,11.43
2011-02-07,11.94
2011-02-08,11.07
2011-02-09,10.9
2011-02-10,10.99
2011-02-11,11.45
2011-02-14,11.36
2011-02-15,11.42
2011-02-16,11.39
2011-02-17,11.12
2011-02-18,11.07
2011-02-22,10.55
2011-02-23,10.55
2011-02-24,10.5
2011-02-25,10.72
2011-02-28,10.52
2011-03-01,10.15
2011-03-02,10.41
2011-03-03,9.9
2011-03-04,9.54
2011-03-07,9.75
2011-03-08,9.85
2011-03-09,9.82
2011-03-10,9.42
2011-03-11,9.42
2011-03-14,9.14
2011-03-15,8.98
2011-03-16,8.83
2011-03-17,8.28
2011-03-18,8.08
2011-03-21,8.24
2011-03-22,8.06
2011-03-23,8.11
2011-03-24,8.15
2011-03-25,8.09
2011-03-28,7.76
2011-03-29,7.77
2011-03-30,8.29
2011-03-31,8.17
2011-04-01,8.22
2011-04-04,7.91
2011-04-05,8.26
2011-04-06,8.49
2011-04-07,8.38
2011-04-08,8.38
2011-04-11,8.17
2011-04-12,7.92
2011-04-13,7.94
2011-04-14,8.0
2011-04-15,8.07
2011-04-18,7.82
2011-04-19,7.8
2011-04-20,7.98
2011-04-21,8.05
2011-04-25,7.95
2011-04-26,8.09
2011-04-27,8.09
2011-04-28,7.93
2011-04-29,9.39
2011-05-02,9.11
2011-05-03,8.87
2011-05-04,8.87
2011-05-05,8.88
2011-05-06,9.1
2011-05-09,8.86
2011-05-10,9.1
2011-05-11,8.96
2011-05-12,8.93
2011-05-13,8.91
2011-05-16,8.85
2011-05-17,8.8
2011-05-18,9.02
2011-05-19,9.07
2011-05-20,8.98
2011-05-23,9.03
2011-05-24,8.94
2011-05-25,8.97
2011-05-26,8.93
2011-05-27,9.03
2011-05-31,9.11
2011-06-01,8.95
2011-06-02,9.18
2011-06-03,9.0
2011-06-06,9.14
2011-06-07,9.35
2011-06-08,9.1
2011-06-09,9.06
2011-06-10,9.22
2011-06-13,9.15
2011-06-14,9.32
2011-06-15,9.11
2011-06-16,9.2
2011-06-17,8.99
2011-06-20,8.91
2011-06-21,8.93
2011-06-22,8.52
2011-06-23,8.3
2011-06-24,8.48
2011-06-27,8.42
2011-06-28,8.57
2011-06-29,8.66
2011-06-30,8.66
2011-07-01,9.23
2011-07-05,8.95
2011-07-06,8.7
2011-07-07,8.67
2011-07-08,8.59
2011-07-11,8.38
2011-07-12,7.89
2011-07-13,7.94
2011-07-14,7.62
2011-07-15,7.37
2011-07-18,7.28
2011-07-19,7.36
2011-07-20,7.34
2011-07-21,7.33
2011-07-22,7.39
2011-07-25,7.25
2011-07-26,7.09
2011-07-27,6.97
2011-07-28,6.77
2011-07-29,6.65
2011-08-01,6.11
2011-08-02,5.87
2011-08-03,5.81
2011-08-04,5.49
2011-08-05,5.83
2011-08-08,4.9
2011-08-09,5.02
2011-08-10,5.02
2011-08-11,5.17
2011-08-12,5.1
2011-08-15,5.72
2011-08-16,5.39
2011-08-17,5.7
2011-08-18,5.3
2011-08-19,5.26
2011-08-22,5.31
2011-08-23,5.57
2011-08-24,5.69
2011-08-25,5.5
2011-08-26,5.52
2011-08-29,6.0
2011-08-30,5.97
2011-08-31,5.75
2011-09-01,5.42
2011-09-02,5.26
2011-09-06,5.3
2011-09-07,5.91
2011-09-08,5.77
2011-09-09,5.73
2011-09-12,6.33
2011-09-13,6.48
2011-09-14,6.46
2011-09-15,6.4
2011-09-16,6.76
2011-09-19,6.61
2011-09-20,6.57
2011-09-21,6.11
2011-09-22,6.1
2011-09-23,6.64
2011-09-26,6.6
2011-09-27,6.69
2011-09-28,6.4
2011-09-29,6.55
2011-09-30,6.46
2011-10-03,5.59
2011-10-04,5.88
2011-10-05,5.53
2011-10-06,5.91
2011-10-07,5.76
2011-10-10,5.95
2011-10-11,6.06
2011-10-12,6.07
2011-10-13,6.0
2011-10-14,6.02
2011-10-17,5.55
2011-10-18,5.8
2011-10-19,5.53
2011-10-20,5.21
2011-10-21,5.35
2011-10-24,5.42
2011-10-25,4.91
2011-10-26,5.37
2011-10-27,6.16
2011-10-28,6.25
2011-10-31,5.82
2011-11-01,5.32
2011-11-02,5.62
2011-11-03,5.53
2011-11-04,5.45
2011-11-07,5.14
2011-11-08,5.15
2011-11-09,4.92
2011-11-10,4.83
2011-11-11,5.0
2011-11-14,5.04
2011-11-15,5.36
2011-11-16,5.14
2011-11-17,4.92
2011-11-18,4.96
2011-11-21,4.73
2011-11-22,4.78
2011-11-23,4.79
