Date,PANL
2013-12-19,9.62
2013-12-20,9.62
2013-12-23,9.62
2013-12-24,9.62
2013-12-26,9.62
2013-12-27,9.62
2013-12-30,9.62
2013-12-31,9.62
2014-01-02,9.62
2014-01-03,9.62
2014-01-06,9.62
2014-01-07,9.62
2014-01-08,9.62
2014-01-09,9.62
2014-01-10,9.62
2014-01-13,9.62
2014-01-14,9.62
2014-01-15,9.62
2014-01-16,9.62
2014-01-17,9.62
2014-01-21,9.62
2014-01-22,9.62
2014-01-23,9.6
2014-01-24,9.6
2014-01-27,9.89
2014-01-28,9.74
2014-01-29,9.74
2014-01-30,9.76
2014-01-31,9.74
2014-02-03,9.72
2014-02-04,9.72
2014-02-05,9.73
2014-02-06,9.71
2014-02-07,9.72
2014-02-10,9.72
2014-02-11,9.72
2014-02-12,9.71
2014-02-13,9.72
2014-02-14,9.8
2014-02-18,9.75
2014-02-19,9.72
2014-02-20,9.72
2014-02-21,9.72
2014-02-24,9.74
2014-02-25,9.72
2014-02-26,9.72
2014-02-27,9.72
2014-02-28,9.72
2014-03-03,9.72
2014-03-04,9.72
2014-03-05,9.72
2014-03-06,9.72
2014-03-07,9.72
2014-03-10,9.72
2014-03-11,9.72
2014-03-12,9.72
2014-03-13,9.72
2014-03-14,9.72
2014-03-17,9.72
2014-03-18,9.79
2014-03-19,9.72
2014-03-20,9.81
2014-03-21,9.74
2014-03-24,9.87
2014-03-25,9.79
2014-03-26,9.81
2014-03-27,9.76
2014-03-28,9.75
2014-03-31,9.8
2014-04-01,9.76
2014-04-02,9.75
2014-04-03,9.75
2014-04-04,9.75
2014-04-07,9.83
2014-04-08,9.8
2014-04-09,9.79
2014-04-10,9.78
2014-04-11,9.795
2014-04-14,9.795
2014-04-15,9.83
2014-04-16,9.84
2014-04-17,9.82
2014-04-21,9.86
2014-04-22,9.85
2014-04-23,9.86
2014-04-24,9.86
2014-04-25,9.86
2014-04-28,9.9
2014-04-29,9.87
2014-04-30,9.87
2014-05-01,9.98
2014-05-02,10.01
2014-05-05,10.04
2014-05-06,10.06
2014-05-07,10.06
2014-05-08,10.07
2014-05-09,10.07
2014-05-12,10.03
2014-05-13,10.1
2014-05-14,10.08
2014-05-15,10.08
2014-05-16,10.1
2014-05-19,10.1
2014-05-20,10.1
2014-05-21,10.1
2014-05-22,10.1
2014-05-23,10.1
2014-05-27,10.01
2014-05-28,10.01
2014-05-29,10.0
2014-05-30,10.02
2014-06-02,10.02
2014-06-03,10.01
2014-06-04,10.01
2014-06-05,10.02
2014-06-06,10.01
2014-06-09,10.06
2014-06-10,10.03
2014-06-11,10.07
2014-06-12,10.0
2014-06-13,10.04
2014-06-16,10.0
2014-06-17,10.0
2014-06-18,10.01
2014-06-19,10.05
2014-06-20,10.05
2014-06-23,10.02
2014-06-24,10.03
2014-06-25,10.1
2014-06-26,10.06
2014-06-27,10.05
2014-06-30,10.04
2014-07-01,10.07
2014-07-02,10.06
2014-07-03,10.06
2014-07-07,10.06
2014-07-08,10.04
2014-07-09,10.09
2014-07-10,10.08
2014-07-11,10.08
2014-07-14,10.08
2014-07-15,10.07
2014-07-16,10.01
2014-07-17,10.0
2014-07-18,10.01
2014-07-21,10.01
2014-07-22,10.01
2014-07-23,10.01
2014-07-24,10.01
2014-07-25,10.01
2014-07-28,10.04
2014-07-29,10.0
2014-07-30,10.01
2014-07-31,9.97
2014-08-01,9.98
2014-08-04,9.97
2014-08-05,9.97
2014-08-06,9.97
2014-08-07,10.0
2014-08-08,10.0
2014-08-11,10.0
2014-08-12,10.0
2014-08-13,10.01
2014-08-14,10.09
2014-08-15,10.04
2014-08-18,10.046
2014-08-19,10.02
2014-08-20,10.02
2014-08-21,10.02
2014-08-22,10.018
2014-08-25,9.95
2014-08-26,9.919
2014-08-27,9.84
2014-08-28,9.84
2014-08-29,10.05
2014-09-02,10.01
2014-09-03,10.03
2014-09-04,10.04
2014-09-05,10.05
2014-09-08,10.05
2014-09-09,10.09
2014-09-10,10.09
2014-09-11,10.09
2014-09-12,10.05
2014-09-15,10.05
2014-09-16,10.03
2014-09-17,9.98
2014-09-18,9.94
2014-09-19,10.03
2014-09-22,9.927
2014-09-23,9.93
