Date,ESVIF
2009-02-13,8.48
2009-02-17,8.18
2009-02-18,7.69
2009-02-19,7.85
2009-02-20,7.59
2009-02-23,7.18
2009-02-24,7.4
2009-02-25,7.6
2009-02-26,8.0
2009-02-27,7.97
2009-03-02,7.33
2009-03-03,7.33
2009-03-04,7.82
2009-03-05,7.72
2009-03-06,7.73
2009-03-09,7.75
2009-03-10,7.88
2009-03-11,7.87
2009-03-12,8.44
2009-03-13,8.33
2009-03-16,8.27
2009-03-17,8.52
2009-03-18,8.69
2009-03-19,8.63
2009-03-20,8.57
2009-03-23,9.1
2009-03-24,9.1
2009-03-25,8.97
2009-03-26,9.0
2009-03-27,8.98
2009-03-30,8.43
2009-03-31,8.58
2009-04-01,8.99
2009-04-02,9.77
2009-04-03,9.75
2009-04-06,9.45
2009-04-07,9.37
2009-04-08,9.57
2009-04-09,10.42
2009-04-13,10.43
2009-04-14,10.04
2009-04-15,10.22
2009-04-16,10.64
2009-04-17,11.42
2009-04-20,9.88
2009-04-21,10.23
2009-04-22,10.9
2009-04-23,10.96
2009-04-24,11.43
2009-04-27,11.04
2009-04-28,10.81
2009-04-29,11.18
2009-04-30,11.65
2009-05-01,11.4
2009-05-04,11.83
2009-05-05,11.79
2009-05-06,11.79
2009-05-07,12.18
2009-05-08,12.82
2009-05-11,13.13
2009-05-12,12.94
2009-05-13,12.08
2009-05-14,12.31
2009-05-15,11.7
2009-05-18,11.7
2009-05-19,13.29
2009-05-20,13.99
2009-05-21,13.92
2009-05-22,14.26
2009-05-26,14.27
2009-05-27,14.74
2009-05-28,14.51
2009-05-29,15.27
2009-06-01,15.82
2009-06-02,16.299999
2009-06-03,15.64
2009-06-04,15.73
2009-06-05,15.54
2009-06-08,15.63
2009-06-09,15.77
2009-06-10,15.42
2009-06-11,15.88
2009-06-12,15.76
2009-06-15,15.01
2009-06-16,14.84
2009-06-17,14.55
2009-06-18,14.75
2009-06-19,14.95
2009-06-22,14.04
2009-06-23,13.89
2009-06-24,14.33
2009-06-25,14.57
2009-06-26,14.82
2009-06-29,14.82
2009-06-30,14.78
2009-07-01,14.78
2009-07-02,13.77
2009-07-06,13.38
2009-07-07,13.3
2009-07-08,12.92
2009-07-09,13.06
2009-07-10,13.07
2009-07-13,13.1
2009-07-14,13.76
2009-07-15,14.35
2009-07-16,14.08
2009-07-17,14.55
