Date,GNE
2011-10-26,8.6
2011-10-27,8.6
2011-10-28,9.14
2011-10-31,8.3
2011-11-01,7.99
2011-11-02,7.67
2011-11-03,6.85
2011-11-04,7.78
2011-11-07,7.53
2011-11-08,7.44
2011-11-09,7.2
2011-11-10,6.98
2011-11-11,6.9
2011-11-14,6.93
2011-11-15,6.97
2011-11-16,7.4
2011-11-17,7.26
2011-11-18,7.27
2011-11-21,7.22
2011-11-22,7.09
2011-11-23,6.83
2011-11-25,6.81
2011-11-28,6.88
2011-11-29,6.88
2011-11-30,7.23
2011-12-01,7.3
2011-12-02,7.23
2011-12-05,7.34
2011-12-06,7.19
2011-12-07,7.02
2011-12-08,7.15
2011-12-09,7.9
2011-12-12,7.89
2011-12-13,7.66
2011-12-14,7.31
2011-12-15,7.36
2011-12-16,7.46
2011-12-19,7.35
2011-12-20,7.91
2011-12-21,7.86
2011-12-22,7.79
2011-12-23,7.81
2011-12-27,7.79
2011-12-28,7.7
2011-12-29,7.79
2011-12-30,7.93
2012-01-03,8.04
2012-01-04,8.0
2012-01-05,8.01
2012-01-06,8.0
2012-01-09,8.39
2012-01-10,9.15
2012-01-11,9.3
2012-01-12,9.39
2012-01-13,9.4
2012-01-17,9.77
2012-01-18,10.32
2012-01-19,10.39
2012-01-20,10.4
2012-01-23,10.3
2012-01-24,10.4
2012-01-25,10.45
2012-01-26,9.84
2012-01-27,10.34
2012-01-30,10.26
2012-01-31,10.46
2012-02-01,10.68
2012-02-02,10.67
2012-02-03,10.74
2012-02-06,11.01
2012-02-07,10.49
2012-02-08,10.54
2012-02-09,10.72
2012-02-10,10.34
2012-02-13,10.37
2012-02-14,10.03
2012-02-15,9.61
2012-02-16,9.55
2012-02-17,10.0
2012-02-21,10.06
2012-02-22,9.9
2012-02-23,9.66
2012-02-24,9.75
2012-02-27,9.91
2012-02-28,9.74
2012-02-29,9.59
2012-03-01,9.41
2012-03-02,9.31
2012-03-05,9.14
2012-03-06,8.74
2012-03-07,8.95
2012-03-08,8.84
2012-03-09,9.32
2012-03-12,9.3
2012-03-13,9.39
2012-03-14,9.1
2012-03-15,9.13
2012-03-16,9.85
2012-03-19,10.19
2012-03-20,10.3
2012-03-21,10.33
2012-03-22,10.14
2012-03-23,9.85
2012-03-26,9.82
2012-03-27,9.77
2012-03-28,9.99
2012-03-29,9.77
2012-03-30,9.67
2012-04-02,9.5
2012-04-03,9.35
2012-04-04,9.25
2012-04-05,9.19
2012-04-09,9.01
2012-04-10,8.95
2012-04-11,8.99
2012-04-12,9.08
2012-04-13,8.66
2012-04-16,8.64
2012-04-17,8.62
2012-04-18,8.65
2012-04-19,8.76
2012-04-20,8.79
2012-04-23,8.56
2012-04-24,8.6
2012-04-25,8.77
2012-04-26,8.87
2012-04-27,8.63
2012-04-30,8.32
2012-05-01,8.18
2012-05-02,8.04
2012-05-03,7.76
2012-05-04,7.8
2012-05-07,7.7
2012-05-08,7.58
2012-05-09,7.61
2012-05-10,7.72
2012-05-11,7.56
2012-05-14,7.28
2012-05-15,7.3
2012-05-16,7.2
2012-05-17,7.03
2012-05-18,6.92
2012-05-21,6.98
2012-05-22,7.03
