Date,TRU
2015-06-25,25.4
2015-06-26,24.85
2015-06-29,24.370001000000002
2015-06-30,25.1
2015-07-01,24.950001
2015-07-02,25.0
2015-07-06,24.77
2015-07-07,24.59
2015-07-08,24.42
2015-07-09,24.33
2015-07-10,24.450001
2015-07-13,25.26
2015-07-14,25.049999
2015-07-15,24.75
2015-07-16,24.780001000000002
2015-07-17,24.92
2015-07-20,24.719998999999998
2015-07-21,24.870001000000002
2015-07-22,24.889999
2015-07-23,25.25
2015-07-24,24.85
2015-07-27,24.389999
2015-07-28,24.6
2015-07-29,25.18
2015-07-30,25.110001
2015-07-31,25.1
2015-08-03,25.27
2015-08-04,25.74
2015-08-05,26.65
2015-08-06,26.57
2015-08-07,26.24
2015-08-10,26.35
2015-08-11,26.15
2015-08-12,26.139999
2015-08-13,26.0
2015-08-14,26.85
2015-08-17,26.75
2015-08-18,25.73
2015-08-19,26.23
2015-08-20,25.940001000000002
2015-08-21,25.41
2015-08-24,24.129998999999998
2015-08-25,24.290001
2015-08-26,24.99
2015-08-27,25.52
2015-08-28,25.76
2015-08-31,25.860001
2015-09-01,24.93
2015-09-02,25.5
2015-09-03,25.9
2015-09-04,25.370001000000002
2015-09-08,25.780001000000002
2015-09-09,25.719998999999998
2015-09-10,25.610001
2015-09-11,25.639999
2015-09-14,25.35
2015-09-15,25.780001000000002
2015-09-16,25.91
2015-09-17,25.940001000000002
2015-09-18,24.700001
2015-09-21,25.43
2015-09-22,24.940001000000002
2015-09-23,25.18
2015-09-24,25.15
2015-09-25,25.559998999999998
2015-09-28,24.65
2015-09-29,24.08
2015-09-30,25.120001000000002
2015-10-01,24.540001
2015-10-02,24.66
2015-10-05,24.620001000000002
2015-10-06,24.530001000000002
2015-10-07,25.01
2015-10-08,24.950001
2015-10-09,25.0
2015-10-12,24.85
2015-10-13,24.809998999999998
2015-10-14,24.34
2015-10-15,24.34
2015-10-16,24.4
2015-10-19,24.1
2015-10-20,24.540001
2015-10-21,24.08
2015-10-22,23.190001000000002
2015-10-23,23.709999
2015-10-26,24.110001
2015-10-27,24.27
2015-10-28,25.27
2015-10-29,25.52
2015-10-30,25.709999
2015-11-02,25.91
2015-11-03,25.950001
2015-11-04,25.959999
2015-11-05,25.719998999999998
2015-11-06,25.870001000000002
2015-11-09,25.65
2015-11-10,25.66
2015-11-11,25.59
2015-11-12,25.76
2015-11-13,25.700001
2015-11-16,25.92
2015-11-17,25.860001
2015-11-18,26.02
2015-11-19,25.639999
2015-11-20,25.75
2015-11-23,25.629998999999998
2015-11-24,25.700001
2015-11-25,25.629998999999998
2015-11-27,25.35
2015-11-30,25.57
2015-12-01,26.389999
2015-12-02,26.52
2015-12-03,26.26
2015-12-04,26.34
2015-12-07,26.24
2015-12-08,26.290001
2015-12-09,26.49
2015-12-10,26.51
2015-12-11,25.91
