Date,CISN
2015-12-07,9.65
2015-12-08,9.65
2015-12-09,9.6
2015-12-10,9.6
2015-12-11,9.6
2015-12-14,9.6
2015-12-15,9.6
2015-12-16,9.6
2015-12-17,9.6
2015-12-18,9.54
2015-12-21,9.96
2015-12-22,9.96
2015-12-23,9.53
2015-12-24,9.53
2015-12-28,9.5
2015-12-29,6.54
2015-12-30,9.57
2015-12-31,9.6
2016-01-04,9.6
2016-01-05,9.6
2016-01-06,9.5885
2016-01-07,9.5382
2016-01-08,9.5382
2016-01-11,9.5382
2016-01-12,9.5382
2016-01-13,9.5382
2016-01-14,9.52
2016-01-15,9.52
2016-01-19,9.52
2016-01-20,9.52
2016-01-21,9.5
2016-01-22,9.53
2016-01-25,9.53
2016-01-26,9.53
2016-01-27,9.54
2016-01-28,9.48
2016-01-29,9.5
2016-02-01,9.57
2016-02-02,9.5
2016-02-03,9.6
2016-02-04,9.6
2016-02-05,9.6
2016-02-08,9.5
2016-02-09,9.5
2016-02-10,9.5
2016-02-11,9.533
2016-02-12,9.533
2016-02-16,9.533
2016-02-17,9.533
2016-02-18,9.533
2016-02-19,9.533
2016-02-22,9.533
2016-02-23,9.533
2016-02-24,9.533
2016-02-25,9.7
2016-02-26,9.7
2016-02-29,9.73
2016-03-01,9.73
2016-03-02,9.73
2016-03-03,9.73
2016-03-04,9.5
2016-03-07,9.7
2016-03-08,9.7
2016-03-09,9.75
2016-03-10,9.75
2016-03-11,9.75
2016-03-14,9.75
2016-03-15,9.75
2016-03-16,9.74
2016-03-17,9.73
2016-03-18,9.73
2016-03-21,9.73
2016-03-22,9.73
2016-03-23,9.73
2016-03-24,9.73
2016-03-28,9.73
2016-03-29,9.73
2016-03-30,9.73
2016-03-31,9.73
2016-04-01,9.73
2016-04-04,9.8
2016-04-05,9.8
2016-04-06,9.8
2016-04-07,9.75
2016-04-08,9.75
2016-04-11,9.75
2016-04-12,9.75
2016-04-13,9.75
2016-04-14,9.75
2016-04-15,9.75
2016-04-18,9.75
2016-04-19,9.75
2016-04-20,9.75
2016-04-21,9.75
2016-04-22,9.75
2016-04-25,9.75
2016-04-26,9.75
2016-04-27,9.75
2016-04-28,9.75
2016-04-29,9.75
2016-05-02,9.75
2016-05-03,9.75
2016-05-04,9.75
2016-05-05,9.75
2016-05-06,9.75
2016-05-09,9.75
2016-05-10,9.75
2016-05-11,9.75
2016-05-12,9.75
2016-05-13,9.75
2016-05-16,9.62
2016-05-17,9.62
2016-05-18,9.62
2016-05-19,9.62
2016-05-20,9.62
2016-05-23,9.62
2016-05-24,9.62
2016-05-25,9.62
2016-05-26,9.62
2016-05-27,9.62
2016-05-31,9.67
2016-06-01,9.67
2016-06-02,9.65
2016-06-03,9.644
2016-06-06,9.6797
2016-06-07,9.6399
2016-06-08,9.6399
2016-06-09,9.6399
2016-06-10,9.674
2016-06-13,9.674
2016-06-14,9.674
2016-06-15,9.674
2016-06-16,9.674
2016-06-17,9.65
2016-06-20,9.65
2016-06-21,9.69
2016-06-22,9.69
2016-06-23,9.69
2016-06-24,9.69
2016-06-27,9.69
2016-06-28,9.69
2016-06-29,9.7
2016-06-30,9.7
2016-07-01,9.7
2016-07-05,9.7
2016-07-06,9.7
2016-07-07,9.7
2016-07-08,9.7
2016-07-11,9.7
2016-07-12,9.7
2016-07-13,9.7
2016-07-14,9.65
2016-07-15,9.65
2016-07-18,9.65
2016-07-19,9.65
2016-07-20,9.65
2016-07-21,9.65
2016-07-22,9.65
2016-07-25,9.75
2016-07-26,9.75
2016-07-27,9.75
2016-07-28,9.75
2016-07-29,9.75
2016-08-01,9.75
2016-08-02,9.8
2016-08-03,9.8
2016-08-04,9.8
2016-08-05,9.75
2016-08-08,9.75
2016-08-09,9.75
2016-08-10,9.8
2016-08-11,9.8
2016-08-12,9.8
2016-08-15,9.8
2016-08-16,9.8
2016-08-17,9.8
2016-08-18,9.8
2016-08-19,9.8
2016-08-22,9.8
2016-08-23,9.82
2016-08-24,9.8
2016-08-25,9.82
2016-08-26,9.82
2016-08-29,9.8
2016-08-30,9.8
2016-08-31,9.8008
2016-09-01,9.8008
2016-09-02,9.8008
2016-09-06,9.8008
2016-09-07,9.8008
2016-09-08,9.8008
2016-09-09,9.83
2016-09-12,9.8
2016-09-13,9.8
2016-09-14,9.82
2016-09-15,9.82
2016-09-16,9.8
2016-09-19,9.82
2016-09-20,9.8
2016-09-21,9.8
2016-09-22,9.8
2016-09-23,9.82
2016-09-26,9.82
2016-09-27,9.82
2016-09-28,9.85
2016-09-29,9.85
2016-09-30,9.85
2016-10-03,9.85
2016-10-04,9.85
2016-10-05,9.85
2016-10-06,9.85
2016-10-07,9.85
2016-10-10,9.85
2016-10-11,9.85
2016-10-12,9.85
2016-10-13,9.85
2016-10-14,9.85
2016-10-17,9.85
2016-10-18,9.8
2016-10-19,9.8
2016-10-20,9.8
2016-10-21,9.8
2016-10-24,9.8
2016-10-25,9.9
2016-10-26,9.85
2016-10-27,9.85
2016-10-28,9.85
2016-10-31,9.85
2016-11-01,9.85
2016-11-02,9.85
2016-11-03,9.85
2016-11-04,9.8
2016-11-07,9.85
2016-11-08,10.0
2016-11-09,10.0
2016-11-10,10.0
2016-11-11,9.8
2016-11-14,9.9
2016-11-15,9.9
2016-11-16,9.9
2016-11-17,9.9
2016-11-18,9.9
2016-11-21,9.9
2016-11-22,9.9
2016-11-23,9.9
2016-11-25,9.9
2016-11-28,9.9
2016-11-29,9.9
2016-11-30,9.9
2016-12-01,9.9
2016-12-02,9.9
2016-12-05,9.9
2016-12-06,9.9
2016-12-07,9.9
2016-12-08,9.9
2016-12-09,9.9
2016-12-12,9.9
2016-12-13,9.9
2016-12-14,9.9
2016-12-15,9.91
2016-12-16,9.95
2016-12-19,9.95
2016-12-20,9.95
2016-12-21,9.9
2016-12-22,9.9
2016-12-23,9.92
2016-12-27,9.92
2016-12-28,9.92
2016-12-29,9.95
2016-12-30,9.95
2017-01-03,9.95
2017-01-04,9.925
2017-01-05,10.0
2017-01-06,10.0
2017-01-09,10.0
2017-01-10,10.0
2017-01-11,10.0
2017-01-12,9.95
2017-01-13,9.95
2017-01-17,9.95
2017-01-18,9.95
2017-01-19,9.95
2017-01-20,10.0
2017-01-23,10.0
2017-01-24,10.0
2017-01-25,10.0
2017-01-26,10.05
2017-01-27,10.0
2017-01-30,10.0
2017-01-31,10.05
2017-02-01,10.05
2017-02-02,10.05
2017-02-03,10.05
2017-02-06,10.0
2017-02-07,10.0
2017-02-08,10.0
2017-02-09,10.0
2017-02-10,10.0
2017-02-13,10.0
2017-02-14,10.0
2017-02-15,10.04
2017-02-16,10.0
2017-02-17,10.0
2017-02-21,10.0
2017-02-22,10.0
2017-02-23,10.0
2017-02-24,10.0
2017-02-27,10.0
2017-02-28,10.0
2017-03-01,10.05
2017-03-02,10.05
2017-03-03,10.05
2017-03-06,10.05
2017-03-07,10.05
2017-03-08,10.05
2017-03-09,10.05
2017-03-10,10.05
2017-03-13,10.0
2017-03-14,10.0
2017-03-15,10.0
2017-03-16,10.0
2017-03-17,10.0
2017-03-20,10.1
2017-03-21,10.2
2017-03-22,10.25
2017-03-23,10.3
2017-03-24,10.4
2017-03-27,10.45
2017-03-28,10.45
2017-03-29,10.5
2017-03-30,10.575
2017-03-31,10.55
2017-04-03,10.55
2017-04-04,10.8
2017-04-05,10.7
2017-04-06,10.8
2017-04-07,10.85
2017-04-10,10.85
2017-04-11,10.7
2017-04-12,10.7
2017-04-13,10.6
2017-04-17,10.75
2017-04-18,10.7
2017-04-19,10.65
2017-04-20,10.75
2017-04-21,10.75
2017-04-24,10.7
2017-04-25,10.55
2017-04-26,10.45
2017-04-27,10.5
2017-04-28,10.55
2017-05-01,10.6
2017-05-02,10.55
2017-05-03,10.5
2017-05-04,10.6
2017-05-05,10.55
2017-05-08,10.5
2017-05-09,10.55
2017-05-10,10.5
2017-05-11,10.5
2017-05-12,10.4
2017-05-15,10.35
2017-05-16,10.5
2017-05-17,10.5
