Date,IRC
2018-03-15,0.89
2018-03-16,0.93
2018-03-19,0.96
2018-03-20,0.95
2018-03-21,0.99
2018-03-22,0.96
2018-03-23,0.94
2018-03-26,0.97
2018-03-27,1.0
2018-03-28,1.03
2018-03-29,1.03
2018-04-02,1.01
2018-04-03,1.04
2018-04-04,1.05
2018-04-05,1.08
2018-04-06,1.24
2018-04-09,1.24
2018-04-10,1.18
2018-04-11,1.17
2018-04-12,1.16
2018-04-13,1.15
2018-04-16,1.09
2018-04-17,1.02
2018-04-18,1.06
2018-04-19,1.1
2018-04-20,1.12
2018-04-23,1.13
2018-04-24,1.05
2018-04-25,1.01
2018-04-26,0.99
2018-04-27,1.07
2018-04-30,1.04
2018-05-01,1.04
2018-05-02,1.05
2018-05-03,1.06
2018-05-04,1.07
2018-05-07,1.05
2018-05-08,1.04
2018-05-09,1.04
2018-05-10,1.05
2018-05-11,1.05
2018-05-14,1.05
2018-05-15,1.12
2018-05-16,1.12
2018-05-17,1.07
2018-05-18,1.07
2018-05-21,1.09
2018-05-22,1.14
2018-05-23,1.12
2018-05-24,1.1
2018-05-25,1.1
2018-05-29,1.07
2018-05-30,1.04
2018-05-31,1.02
2018-06-01,1.1
2018-06-04,1.09
2018-06-05,1.18
2018-06-06,1.16
2018-06-07,1.17
2018-06-08,1.1
2018-06-11,1.12
2018-06-12,1.12
2018-06-13,1.1
2018-06-14,1.1
2018-06-15,
2018-06-18,1.08
2018-06-19,1.13
2018-06-20,1.36
2018-06-21,1.29
2018-06-22,1.33
2018-06-25,1.25
2018-06-26,1.36
2018-06-27,1.38
2018-06-28,1.4
2018-06-29,1.39
2018-07-02,1.63
2018-07-03,1.55
2018-07-05,1.72
2018-07-06,1.53
2018-07-09,1.54
2018-07-10,1.61
2018-07-11,1.48
2018-07-12,1.39
2018-07-13,1.4
2018-07-16,1.4
2018-07-17,1.39
2018-07-18,1.48
2018-07-19,1.42
2018-07-20,1.44
2018-07-23,1.53
2018-07-24,1.46
2018-07-25,1.49
2018-07-26,1.47
2018-07-27,1.44
2018-07-30,1.46
2018-07-31,1.44
2018-08-01,1.44
2018-08-02,1.5
2018-08-03,1.53
2018-08-06,1.68
2018-08-07,1.58
2018-08-08,1.56
2018-08-09,1.59
2018-08-10,1.56
2018-08-13,1.51
2018-08-14,1.5
2018-08-15,1.56
2018-08-16,1.52
2018-08-17,1.6
2018-08-20,1.64
2018-08-21,1.64
2018-08-22,1.56
2018-08-23,1.77
2018-08-24,1.65
2018-08-27,1.65
2018-08-28,1.73
2018-08-29,1.73
2018-08-30,1.69
2018-08-31,1.7
2018-09-04,1.91
2018-09-05,1.86
2018-09-06,1.84
2018-09-07,1.91
2018-09-10,2.34
2018-09-11,2.34
2018-09-12,2.62
2018-09-13,2.62
2018-09-14,2.44
2018-09-17,2.43
2018-09-18,2.37
2018-09-19,2.2
2018-09-20,2.3
2018-09-21,2.3
2018-09-24,2.3
2018-09-25,2.33
2018-09-26,2.22
2018-09-27,2.36
2018-09-28,2.3
2018-10-01,2.43
2018-10-02,2.48
2018-10-03,2.44
2018-10-04,2.37
2018-10-05,2.49
2018-10-08,2.49
2018-10-09,2.55
2018-10-10,2.54
2018-10-11,2.35
2018-10-12,2.39
2018-10-15,2.36
2018-10-16,2.31
2018-10-17,2.24
2018-10-18,2.19
2018-10-19,2.3
2018-10-22,2.58
2018-10-23,2.58
2018-10-24,2.58
2018-10-25,2.58
2018-10-26,2.85
2018-10-29,2.8
2018-10-30,2.62
2018-10-31,2.51
2018-11-01,2.51
2018-11-02,2.51
2018-11-05,2.6
2018-11-06,2.43
2018-11-07,2.27
2018-11-08,2.35
2018-11-09,2.35
2018-11-12,2.3
2018-11-13,2.38
2018-11-14,2.3
2018-11-15,2.34
2018-11-16,2.44
2018-11-19,2.42
2018-11-20,2.46
2018-11-21,2.51
2018-11-23,2.55
2018-11-26,2.72
2018-11-27,2.69
2018-11-28,2.58
2018-11-29,2.45
2018-11-30,2.45
2018-12-03,2.38
2018-12-04,2.43
2018-12-06,2.36
2018-12-07,2.39
2018-12-10,2.33
2018-12-11,2.43
2018-12-12,2.48
2018-12-13,2.38
2018-12-14,2.3
2018-12-17,2.33
2018-12-18,2.29
2018-12-19,2.28
2018-12-20,2.27
2018-12-21,2.28
2018-12-24,2.28
2018-12-26,2.2
2018-12-27,2.25
2018-12-28,2.25
2018-12-31,2.25
2019-01-02,2.25
2019-01-03,2.31
2019-01-04,2.3
2019-01-07,2.25
2019-01-08,2.24
2019-01-09,2.22
2019-01-10,2.2
2019-01-11,2.25
2019-01-14,2.22
2019-01-15,2.22
2019-01-16,2.2
2019-01-17,2.15
2019-01-18,2.18
2019-01-22,2.22
2019-01-23,2.24
2019-01-24,2.42
2019-01-25,2.44
2019-01-28,2.36
2019-01-29,2.3
2019-01-30,2.22
2019-01-31,2.3
2019-02-01,2.29
2019-02-04,2.26
2019-02-05,2.26
2019-02-06,2.25
2019-02-07,2.27
2019-02-08,2.24
2019-02-11,2.3
2019-02-12,2.22
2019-02-13,2.21
2019-02-14,2.22
2019-02-15,2.21
2019-02-19,2.13
2019-02-20,2.16
2019-02-21,2.14
2019-02-22,2.12
2019-02-25,2.12
2019-02-26,2.19
2019-02-27,2.12
2019-02-28,2.11
2019-03-01,2.1
2019-03-04,2.03
2019-03-05,2.05
2019-03-06,1.98
2019-03-07,1.87
2019-03-08,1.89
2019-03-11,1.94
2019-03-12,1.88
2019-03-13,1.98
2019-03-14,1.96
2019-03-15,1.96
2019-03-18,1.95
2019-03-19,1.89
2019-03-20,1.87
2019-03-21,1.92
2019-03-22,1.91
2019-03-25,1.88
2019-03-26,1.87
2019-03-27,1.75
2019-03-28,1.68
2019-03-29,1.69
2019-04-01,1.58
2019-04-02,1.63
2019-04-03,1.67
2019-04-04,1.62
2019-04-05,1.67
2019-04-08,1.73
2019-04-09,1.73
2019-04-10,1.75
2019-04-11,1.85
2019-04-12,1.8
2019-04-15,1.75
2019-04-16,1.92
2019-04-17,1.92
2019-04-18,1.92
2019-04-22,1.87
2019-04-23,1.82
2019-04-24,1.76
2019-04-25,1.66
2019-04-26,1.75
2019-04-29,1.73
2019-04-30,1.71
2019-05-01,1.71
2019-05-02,1.72
2019-05-03,1.7
2019-05-06,1.65
2019-05-07,1.71
2019-05-08,1.7
2019-05-09,1.74
2019-05-10,1.84
2019-05-13,1.84
2019-05-14,1.78
2019-05-15,1.74
2019-05-16,1.71
2019-05-17,1.75
2019-05-20,1.71
2019-05-21,1.72
2019-05-22,1.73
2019-05-23,1.77
2019-05-24,1.76
2019-05-28,1.78
2019-05-29,1.86
2019-05-30,1.89
2019-05-31,1.78
2019-06-03,1.81
2019-06-04,1.89
2019-06-05,
2019-06-06,2.0
2019-06-07,1.99
2019-06-10,
2019-06-11,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-17,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,
2019-06-24,
2019-06-25,
2019-06-26,
2019-06-27,
2019-06-28,
