Date,CSWC
1980-03-17,1.03125
1980-03-18,1.015625
1980-03-19,1.015625
1980-03-20,1.015625
1980-03-21,1.015625
1980-03-24,1.015625
1980-03-25,0.953125
1980-03-26,0.953125
1980-03-27,0.9375
1980-03-28,0.9375
1980-03-31,0.9375
1980-04-01,0.953125
1980-04-02,0.953125
1980-04-03,0.953125
1980-04-07,0.953125
1980-04-08,0.9375
1980-04-09,0.9375
1980-04-10,0.9375
1980-04-11,0.9375
1980-04-14,0.9375
1980-04-15,0.9375
1980-04-16,0.9375
1980-04-17,0.9375
1980-04-18,0.9375
1980-04-21,0.9375
1980-04-22,0.9375
1980-04-23,0.9375
1980-04-24,0.9375
1980-04-25,0.9375
1980-04-28,0.9375
1980-04-29,0.945313
1980-04-30,0.945313
1980-05-01,0.945313
1980-05-02,0.945313
1980-05-05,0.945313
1980-05-06,0.953125
1980-05-07,1.0
1980-05-08,1.0
1980-05-09,1.015625
1980-05-12,1.015625
1980-05-13,1.015625
1980-05-14,1.015625
1980-05-15,1.015625
1980-05-16,1.015625
1980-05-19,1.015625
1980-05-20,1.015625
1980-05-21,1.0234379999999998
1980-05-22,1.0234379999999998
1980-05-23,1.0234379999999998
1980-05-27,1.0234379999999998
1980-05-28,1.0234379999999998
1980-05-29,1.0234379999999998
1980-05-30,1.0234379999999998
1980-06-02,1.0234379999999998
1980-06-03,1.0234379999999998
1980-06-04,1.0234379999999998
1980-06-05,1.03125
1980-06-06,1.03125
1980-06-09,1.03125
1980-06-10,1.0390629999999998
1980-06-11,1.0390629999999998
1980-06-12,1.0390629999999998
1980-06-13,1.0390629999999998
1980-06-16,1.0390629999999998
1980-06-17,1.046875
1980-06-18,1.046875
1980-06-19,1.078125
1980-06-20,1.078125
1980-06-23,1.078125
1980-06-24,1.078125
1980-06-25,1.109375
1980-06-26,1.109375
1980-06-27,1.109375
1980-06-30,1.125
1980-07-01,1.125
1980-07-02,1.125
1980-07-03,1.125
1980-07-07,1.125
1980-07-08,1.125
1980-07-09,1.125
1980-07-10,1.125
1980-07-11,1.125
1980-07-14,1.125
1980-07-15,1.125
1980-07-16,1.125
1980-07-17,1.125
1980-07-18,1.1875
1980-07-21,1.1875
1980-07-22,1.1875
1980-07-23,1.1875
1980-07-24,1.1875
1980-07-25,1.1875
1980-07-28,1.1875
1980-07-29,1.1875
1980-07-30,1.1875
1980-07-31,1.1875
1980-08-01,1.1875
1980-08-04,1.1875
1980-08-05,1.1875
1980-08-06,1.1875
1980-08-07,1.1875
1980-08-08,1.1875
1980-08-11,1.1875
1980-08-12,1.1875
1980-08-13,1.1875
1980-08-14,1.1875
1980-08-15,1.1875
1980-08-18,1.1875
1980-08-19,1.1875
1980-08-20,1.1875
1980-08-21,1.1875
1980-08-22,1.1875
1980-08-25,1.1875
1980-08-26,1.1875
1980-08-27,1.1875
1980-08-28,1.203125
1980-08-29,1.203125
1980-09-02,1.203125
1980-09-03,1.203125
1980-09-04,1.21875
1980-09-05,1.28125
1980-09-08,1.296875
1980-09-09,1.296875
1980-09-10,1.328125
1980-09-11,1.328125
1980-09-12,1.34375
1980-09-15,1.34375
1980-09-16,1.34375
1980-09-17,1.390625
1980-09-18,1.390625
1980-09-19,1.390625
1980-09-22,1.390625
1980-09-23,1.40625
1980-09-24,1.390625
1980-09-25,1.390625
1980-09-26,1.390625
1980-09-29,1.390625
1980-09-30,1.390625
1980-10-01,1.390625
1980-10-02,1.390625
1980-10-03,1.390625
1980-10-06,1.390625
1980-10-07,1.390625
1980-10-08,1.390625
1980-10-09,1.390625
1980-10-10,1.390625
1980-10-13,1.390625
1980-10-14,1.390625
1980-10-15,1.390625
1980-10-16,1.390625
1980-10-17,1.375
1980-10-20,1.375
1980-10-21,1.375
1980-10-22,1.375
1980-10-23,1.375
1980-10-24,1.390625
1980-10-27,1.390625
1980-10-28,1.390625
1980-10-29,1.390625
1980-10-30,1.390625
1980-10-31,1.390625
1980-11-03,1.390625
1980-11-05,1.40625
1980-11-06,1.40625
1980-11-07,1.40625
1980-11-10,1.40625
1980-11-11,1.40625
1980-11-12,1.40625
1980-11-13,1.453125
1980-11-14,1.5
1980-11-17,1.5
1980-11-18,1.703125
1980-11-19,1.703125
1980-11-20,1.6875
1980-11-21,1.6875
1980-11-24,1.65625
1980-11-25,1.640625
1980-11-26,1.640625
1980-11-28,1.640625
1980-12-01,1.640625
1980-12-02,1.640625
1980-12-03,1.640625
1980-12-04,1.640625
1980-12-05,1.640625
1980-12-08,1.625
1980-12-09,1.625
1980-12-10,1.625
1980-12-11,1.59375
1980-12-12,1.59375
1980-12-15,1.484375
1980-12-16,1.46875
1980-12-17,1.46875
1980-12-18,1.46875
1980-12-19,1.46875
1980-12-22,1.46875
1980-12-23,1.546875
1980-12-24,1.546875
1980-12-26,1.546875
1980-12-29,1.546875
1980-12-30,1.53125
1980-12-31,1.53125
1981-01-02,1.53125
1981-01-05,1.515625
1981-01-06,1.515625
1981-01-07,1.453125
1981-01-08,1.453125
1981-01-09,1.46875
1981-01-12,1.46875
1981-01-13,1.46875
1981-01-14,1.4375
1981-01-15,1.4375
1981-01-16,1.4375
1981-01-19,1.4375
1981-01-20,1.4375
1981-01-21,1.4375
1981-01-22,1.453125
