Date,MLI
1991-02-25,1.40625
1991-02-26,1.390625
1991-02-27,1.359375
1991-02-28,1.328125
1991-03-01,1.296875
1991-03-04,1.25
1991-03-05,1.21875
1991-03-06,1.296875
1991-03-07,1.296875
1991-03-08,1.3125
1991-03-11,1.28125
1991-03-12,1.265625
1991-03-13,1.25
1991-03-14,1.25
1991-03-15,1.25
1991-03-18,1.234375
1991-03-19,1.25
1991-03-20,1.234375
1991-03-21,1.21875
1991-03-22,1.25
1991-03-25,1.25
1991-03-26,1.328125
1991-03-27,1.453125
1991-03-28,1.46875
1991-04-01,1.421875
1991-04-02,1.46875
1991-04-03,1.484375
1991-04-04,1.484375
1991-04-05,1.46875
1991-04-08,1.4375
1991-04-09,1.421875
1991-04-10,1.375
1991-04-11,1.421875
1991-04-12,1.40625
1991-04-15,1.453125
1991-04-16,1.453125
1991-04-17,1.4375
1991-04-18,1.421875
1991-04-19,1.390625
1991-04-22,1.40625
1991-04-23,1.40625
1991-04-24,1.40625
1991-04-25,1.390625
1991-04-26,1.390625
1991-04-29,1.4375
1991-04-30,1.40625
1991-05-01,1.421875
1991-05-02,1.40625
1991-05-03,1.421875
1991-05-06,1.46875
1991-05-07,1.453125
1991-05-08,1.453125
1991-05-09,1.421875
1991-05-10,1.421875
1991-05-13,1.4375
1991-05-14,1.4375
1991-05-15,1.40625
1991-05-16,1.4375
1991-05-17,1.453125
1991-05-20,1.4375
1991-05-21,1.453125
1991-05-22,1.4375
1991-05-23,1.453125
1991-05-24,1.453125
1991-05-28,1.46875
1991-05-29,1.5
1991-05-30,1.578125
1991-05-31,1.59375
1991-06-03,1.625
1991-06-04,1.59375
1991-06-05,1.609375
1991-06-06,1.625
1991-06-07,1.609375
1991-06-10,1.59375
1991-06-11,1.609375
1991-06-12,1.59375
1991-06-13,1.609375
1991-06-14,1.609375
1991-06-17,1.59375
1991-06-18,1.546875
1991-06-19,1.546875
1991-06-20,1.546875
1991-06-21,1.53125
1991-06-24,1.546875
1991-06-25,1.53125
1991-06-26,1.546875
1991-06-27,1.53125
1991-06-28,1.546875
1991-07-01,1.53125
1991-07-02,1.546875
1991-07-03,1.546875
1991-07-05,1.546875
1991-07-08,1.53125
1991-07-09,1.53125
1991-07-10,1.5625
1991-07-11,1.578125
1991-07-12,1.578125
1991-07-15,1.59375
1991-07-16,1.59375
1991-07-17,1.578125
1991-07-18,1.546875
1991-07-19,1.578125
1991-07-22,1.5625
1991-07-23,1.546875
1991-07-24,1.546875
1991-07-25,1.53125
1991-07-26,1.53125
1991-07-29,1.53125
1991-07-30,1.53125
1991-07-31,1.546875
1991-08-01,1.546875
1991-08-02,1.546875
1991-08-05,1.546875
1991-08-06,1.546875
1991-08-07,1.578125
1991-08-08,1.59375
1991-08-09,1.59375
1991-08-12,1.59375
1991-08-13,1.59375
1991-08-14,1.59375
1991-08-15,1.578125
1991-08-16,1.578125
1991-08-19,1.53125
1991-08-20,1.53125
1991-08-21,1.59375
1991-08-22,1.609375
1991-08-23,1.609375
1991-08-26,1.625
1991-08-27,1.625
1991-08-28,1.6875
1991-08-29,1.640625
1991-08-30,1.625
1991-09-03,1.625
1991-09-04,1.671875
1991-09-05,1.671875
1991-09-06,1.640625
1991-09-09,1.625
1991-09-10,1.609375
1991-09-11,1.640625
1991-09-12,1.625
1991-09-13,1.609375
1991-09-16,1.59375
1991-09-17,1.59375
1991-09-18,1.59375
1991-09-19,1.609375
1991-09-20,1.609375
1991-09-23,1.5625
1991-09-24,1.5625
1991-09-25,1.5625
1991-09-26,1.578125
1991-09-27,1.546875
1991-09-30,1.5625
1991-10-01,1.546875
1991-10-02,1.515625
1991-10-03,1.46875
1991-10-04,1.453125
1991-10-07,1.40625
1991-10-08,1.375
1991-10-09,1.359375
1991-10-10,1.28125
1991-10-11,1.28125
1991-10-14,1.3125
1991-10-15,1.328125
1991-10-16,1.375
1991-10-17,1.375
1991-10-18,1.359375
1991-10-21,1.34375
1991-10-22,1.28125
1991-10-23,1.25
1991-10-24,1.25
1991-10-25,1.25
1991-10-28,1.234375
1991-10-29,1.171875
1991-10-30,1.109375
1991-10-31,1.140625
1991-11-01,1.140625
1991-11-04,1.09375
1991-11-05,1.109375
1991-11-06,1.09375
1991-11-07,1.078125
1991-11-08,1.0625
1991-11-11,1.078125
1991-11-12,1.140625
1991-11-13,1.125
1991-11-14,1.140625
1991-11-15,1.0625
1991-11-18,1.0625
1991-11-19,1.0625
1991-11-20,1.09375
1991-11-21,1.078125
1991-11-22,1.078125
1991-11-25,1.0625
1991-11-26,1.046875
1991-11-27,1.078125
1991-11-29,1.09375
1991-12-02,1.046875
1991-12-03,1.03125
1991-12-04,1.046875
1991-12-05,1.046875
1991-12-06,1.0625
1991-12-09,1.0
1991-12-10,1.0
1991-12-11,0.921875
1991-12-12,0.890625
1991-12-13,0.921875
1991-12-16,0.9375
1991-12-17,0.921875
1991-12-18,0.890625
1991-12-19,0.890625
1991-12-20,0.921875
1991-12-23,0.890625
1991-12-24,0.921875
1991-12-26,0.984375
1991-12-27,1.03125
1991-12-30,1.0
1991-12-31,1.0625
1992-01-02,1.09375
1992-01-03,1.078125
1992-01-06,1.0625
1992-01-07,1.0625
1992-01-08,1.046875
1992-01-09,1.0
1992-01-10,0.953125
1992-01-13,0.9375
1992-01-14,0.90625
1992-01-15,0.890625
1992-01-16,0.953125
1992-01-17,0.96875
1992-01-20,0.953125
1992-01-21,0.921875
1992-01-22,1.0
1992-01-23,1.046875
1992-01-24,1.078125
1992-01-27,1.09375
1992-01-28,1.0625
1992-01-29,1.046875
1992-01-30,1.015625
1992-01-31,1.0
1992-02-03,1.015625
1992-02-04,1.03125
1992-02-05,1.015625
1992-02-06,1.03125
1992-02-07,1.125
1992-02-10,1.203125
1992-02-11,1.25
1992-02-12,1.25
1992-02-13,1.25
1992-02-14,1.265625
1992-02-18,1.21875
1992-02-19,1.21875
1992-02-20,1.21875
1992-02-21,1.21875
1992-02-24,1.21875
1992-02-25,1.171875
1992-02-26,1.171875
1992-02-27,1.15625
1992-02-28,1.171875
1992-03-02,1.234375
1992-03-03,1.265625
1992-03-04,1.28125
1992-03-05,1.265625
1992-03-06,1.25
1992-03-09,1.375
1992-03-10,1.375
1992-03-11,1.40625
1992-03-12,1.390625
1992-03-13,1.375
1992-03-16,1.375
1992-03-17,1.40625
1992-03-18,1.53125
1992-03-19,1.5625
1992-03-20,1.5625
1992-03-23,1.5625
1992-03-24,1.609375
1992-03-25,1.65625
1992-03-26,1.609375
1992-03-27,1.5625
1992-03-30,1.515625
1992-03-31,1.515625
1992-04-01,1.5
1992-04-02,1.5
1992-04-03,1.484375
1992-04-06,1.5
1992-04-07,1.515625
1992-04-08,1.484375
1992-04-09,1.515625
1992-04-10,1.578125
1992-04-13,1.75
1992-04-14,1.734375
1992-04-15,1.75
