Date,NOC
1982-11-08,10.785531
1982-11-09,9.976146
1982-11-10,9.731448
1982-11-11,9.524396000000001
1982-11-12,9.260875
1982-11-15,9.204406
1982-11-16,9.185583
1982-11-17,9.580865
1982-11-18,9.524396000000001
1982-11-19,9.48675
1982-11-22,9.336166
1982-11-23,9.091469
1982-11-24,9.298521000000001
1982-11-26,9.373813
1982-11-29,9.185583
1982-11-30,9.599688
1982-12-01,9.957322999999999
1982-12-02,10.465542
1982-12-03,10.352604
1982-12-06,11.105521000000001
1982-12-07,10.992583
1982-12-08,10.842
1982-12-09,10.804354
1982-12-10,10.898469
1982-12-13,10.842
1982-12-14,10.710239
1982-12-15,10.616125
1982-12-16,10.578479
1982-12-17,10.691417
1982-12-20,10.616125
1982-12-21,10.879646000000001
1982-12-22,10.992583
1982-12-23,11.312572
1982-12-27,11.331396
1982-12-28,11.256103999999999
1982-12-29,11.218458
1982-12-30,11.218458
1982-12-31,11.350219000000001
1983-01-03,11.143167
1983-01-04,11.218458
1983-01-05,11.161989
1983-01-06,11.105521000000001
1983-01-07,11.105521000000001
1983-01-10,10.992583
1983-01-11,11.049052
1983-01-12,11.049052
1983-01-13,11.312572
1983-01-14,11.7455
1983-01-17,11.707854
1983-01-18,11.519625
1983-01-19,11.538447999999999
1983-01-20,11.519625
1983-01-21,11.444333
1983-01-24,10.917292
1983-01-25,10.785531
1983-01-26,10.917292
1983-01-27,11.180813
1983-01-28,10.992583
1983-01-31,10.973761
1983-02-01,10.917292
1983-02-02,10.747886
1983-02-03,10.823177000000001
1983-02-04,11.067875
1983-02-07,11.03023
1983-02-08,11.03023
1983-02-09,10.992583
1983-02-10,11.03023
1983-02-11,11.049052
1983-02-14,11.199636
1983-02-15,11.369041000000001
1983-02-16,11.406688
1983-02-17,11.369041000000001
1983-02-18,10.992583
1983-02-22,10.65377
1983-02-23,10.65377
1983-02-24,10.691417
1983-02-25,10.842
1983-02-28,10.785531
1983-03-01,10.804354
1983-03-02,11.105521000000001
1983-03-03,11.444333
1983-03-04,11.61374
1983-03-07,11.707854
1983-03-08,11.406688
1983-03-09,11.256103999999999
1983-03-10,11.143167
1983-03-11,11.218458
1983-03-14,11.256103999999999
1983-03-15,11.086698
1983-03-16,10.898469
1983-03-17,10.785531
1983-03-18,10.842
1983-03-21,10.936114
1983-03-22,11.011406
1983-03-23,11.29375
1983-03-24,11.29375
1983-03-25,11.331396
1983-03-28,11.481978999999999
1983-03-29,11.369041000000001
1983-03-30,11.180813
1983-03-31,11.143167
1983-04-04,11.011406
1983-04-05,10.65377
1983-04-06,10.239666999999999
1983-04-07,10.013792
1983-04-08,9.976146
1983-04-11,10.333781
1983-04-12,10.446719
1983-04-13,10.710239
1983-04-14,10.992583
1983-04-15,11.444333
1983-04-18,11.143167
1983-04-19,11.519625
1983-04-20,11.519625
1983-04-21,12.121959
1983-04-22,12.611353999999999
1983-04-25,12.554886
1983-04-26,12.234896
1983-04-27,12.423125
1983-04-28,12.573709
1983-04-29,12.536062
1983-05-02,12.498417
1983-05-03,12.460771000000001
1983-05-04,12.272542
1983-05-05,12.19725
1983-05-06,12.536062
1983-05-09,12.705469
1983-05-10,12.780761
1983-05-11,13.025458
1983-05-12,12.950167
1983-05-13,13.063105
1983-05-16,12.987812
1983-05-17,13.044281
1983-05-18,13.251332999999999
1983-05-19,13.176042
1983-05-20,13.063105
1983-05-23,12.931344000000001
1983-05-24,12.968989
1983-05-25,13.138395999999998
1983-05-26,13.590145999999999
1983-05-27,13.928957999999998
1983-05-31,13.496031
1983-06-01,13.533676999999999
1983-06-02,13.514854000000001
1983-06-03,13.496031
1983-06-06,13.5525
1983-06-07,13.590145999999999
1983-06-08,13.401917000000001
1983-06-09,13.194864
1983-06-10,13.213688000000001
1983-06-13,13.514854000000001
1983-06-14,13.778375
1983-06-15,14.117188
1983-06-16,14.418354
1983-06-17,14.512468
1983-06-20,14.192479
1983-06-21,14.305417000000002
1983-06-22,14.230125
1983-06-23,14.117188
1983-06-24,14.041896
1983-06-27,13.928957999999998
1983-06-28,13.665438
1983-06-29,13.5525
1983-06-30,13.533676999999999
1983-07-01,13.420739000000001
1983-07-05,13.270156
1983-07-06,13.326625
1983-07-07,13.401917000000001
1983-07-08,13.401917000000001
1983-07-11,13.477208
1983-07-12,13.364270999999999
1983-07-13,13.326625
1983-07-14,13.213688000000001
1983-07-15,13.025458
1983-07-18,12.573709
1983-07-19,12.950167
1983-07-20,13.590145999999999
1983-07-21,14.154834
1983-07-22,14.041896
1983-07-25,14.32424
1983-07-26,14.644229000000001
1983-07-27,14.343062
1983-07-28,14.154834
1983-07-29,13.778375
1983-08-01,13.740729
1983-08-02,13.778375
1983-08-03,13.778375
1983-08-04,13.514854000000001
1983-08-05,13.364270999999999
1983-08-08,13.138395999999998
1983-08-09,13.251332999999999
1983-08-10,13.420739000000001
1983-08-11,13.608969
1983-08-12,13.665438
1983-08-15,13.703083
1983-08-16,13.571322
1983-08-17,13.5525
1983-08-18,13.5525
1983-08-19,13.590145999999999
1983-08-22,13.590145999999999
1983-08-23,13.401917000000001
1983-08-24,13.063105
1983-08-25,12.385479
1983-08-26,12.611353999999999
1983-08-29,12.630177
1983-08-30,12.705469
1983-08-31,12.799583
1983-09-01,12.799583
1983-09-02,12.987812
1983-09-06,13.10075
1983-09-07,12.592531
1983-09-08,12.347833999999999
1983-09-09,12.046667
1983-09-12,12.046667
1983-09-13,11.7455
1983-09-14,11.933729
1983-09-15,11.858438
1983-09-16,11.820791
1983-09-19,11.896083
1983-09-20,12.19725
1983-09-21,12.159604
1983-09-22,12.32901
1983-09-23,12.423125
1983-09-26,12.592531
1983-09-27,12.573709
1983-09-28,12.536062
1983-09-29,12.536062
1983-09-30,12.498417
1983-10-03,12.253718
1983-10-04,11.820791
1983-10-05,11.670208
1983-10-06,12.159604
1983-10-07,12.19725
1983-10-10,12.103135
1983-10-11,12.32901
1983-10-12,12.310186999999999
1983-10-13,12.291364999999999
1983-10-14,12.009021
1983-10-17,12.121959
1983-10-18,12.385479
1983-10-19,12.460771000000001
1983-10-20,12.573709
1983-10-21,12.686646000000001
1983-10-24,12.724292
1983-10-25,12.799583
