Date,SSNC
2010-03-31,7.54
2010-04-01,7.56
2010-04-05,7.525
2010-04-06,7.645
2010-04-07,7.55
2010-04-08,7.86
2010-04-09,8.0
2010-04-12,8.255
2010-04-13,8.21
2010-04-14,8.225
2010-04-15,8.28
2010-04-16,8.5
2010-04-19,8.27
2010-04-20,8.24
2010-04-21,8.175
2010-04-22,8.005
2010-04-23,8.05
2010-04-26,8.225
2010-04-27,8.275
2010-04-28,8.26
2010-04-29,8.4
2010-04-30,8.39
2010-05-03,8.365
2010-05-04,8.32
2010-05-05,8.165
2010-05-06,7.95
2010-05-07,7.875
2010-05-10,7.655
2010-05-11,7.665
2010-05-12,8.06
2010-05-13,8.355
2010-05-14,8.345
2010-05-17,8.235
2010-05-18,8.29
2010-05-19,8.17
2010-05-20,7.695
2010-05-21,7.525
2010-05-24,7.875
2010-05-25,7.835
2010-05-26,8.125
2010-05-27,8.245
2010-05-28,8.16
2010-06-01,8.175
2010-06-02,8.375
2010-06-03,8.39
2010-06-04,8.22
2010-06-07,8.095
2010-06-08,8.15
2010-06-09,8.115
2010-06-10,8.205
2010-06-11,8.375
2010-06-14,8.675
2010-06-15,9.0
2010-06-16,9.12
2010-06-17,8.775
2010-06-18,8.495
2010-06-21,8.33
2010-06-22,8.15
2010-06-23,8.045
2010-06-24,8.075
2010-06-25,8.28
2010-06-28,8.445
2010-06-29,8.23
2010-06-30,8.015
2010-07-01,7.985
2010-07-02,8.235
2010-07-06,8.285
2010-07-07,8.58
2010-07-08,8.88
2010-07-09,9.1
2010-07-12,9.055
2010-07-13,8.815
2010-07-14,8.525
2010-07-15,8.465
2010-07-16,8.12
2010-07-19,8.24
2010-07-20,8.285
2010-07-21,8.03
2010-07-22,8.25
2010-07-23,8.39
2010-07-26,8.465
2010-07-27,8.5
2010-07-28,8.37
2010-07-29,8.345
2010-07-30,8.55
2010-08-02,8.525
2010-08-03,8.38
2010-08-04,8.515
2010-08-05,8.275
2010-08-06,8.335
2010-08-09,8.4
2010-08-10,8.135
2010-08-11,7.67
2010-08-12,7.4
2010-08-13,7.555
2010-08-16,7.53
2010-08-17,7.635
2010-08-18,7.44
2010-08-19,7.22
2010-08-20,7.09
2010-08-23,6.76
2010-08-24,6.775
2010-08-25,6.87
2010-08-26,6.88
2010-08-27,7.38
2010-08-30,7.16
2010-08-31,7.045
2010-09-01,7.205
2010-09-02,7.16
2010-09-03,7.23
2010-09-07,7.255
2010-09-08,7.245
2010-09-09,7.26
2010-09-10,7.27
2010-09-13,7.4
2010-09-14,7.285
2010-09-15,7.105
2010-09-16,7.395
2010-09-17,7.595
2010-09-20,7.72
2010-09-21,7.65
2010-09-22,7.655
2010-09-23,7.63
2010-09-24,7.375
2010-09-27,7.63
2010-09-28,7.66
2010-09-29,7.78
2010-09-30,7.9
2010-10-01,8.355
2010-10-04,8.255
2010-10-05,8.325
2010-10-06,8.365
2010-10-07,8.46
2010-10-08,8.475
2010-10-11,8.46
2010-10-12,8.45
2010-10-13,8.395
2010-10-14,8.48
2010-10-15,8.515
2010-10-18,8.495
2010-10-19,8.325
2010-10-20,8.425
2010-10-21,8.395
2010-10-22,8.4
2010-10-25,8.63
2010-10-26,8.655
2010-10-27,8.695
2010-10-28,8.715
2010-10-29,8.65
2010-11-01,8.65
2010-11-02,8.58
2010-11-03,8.55
2010-11-04,8.73
2010-11-05,8.765
2010-11-08,8.875
2010-11-09,9.005
2010-11-10,8.87
2010-11-11,9.22
2010-11-12,9.165
2010-11-15,9.08
2010-11-16,9.215
2010-11-17,9.07
2010-11-18,9.125
2010-11-19,9.08
2010-11-22,9.385
2010-11-23,9.35
2010-11-24,9.57
2010-11-26,9.925
2010-11-29,9.88
2010-11-30,9.705
2010-12-01,10.3
2010-12-02,10.09
2010-12-03,9.7
2010-12-06,9.71
2010-12-07,10.135
2010-12-08,10.475
2010-12-09,10.225
2010-12-10,10.165
2010-12-13,9.93
2010-12-14,9.82
2010-12-15,9.85
2010-12-16,9.985
2010-12-17,9.885
2010-12-20,10.13
2010-12-21,10.33
2010-12-22,10.31
2010-12-23,10.2
2010-12-27,10.47
2010-12-28,10.43
2010-12-29,10.265
2010-12-30,10.33
2010-12-31,10.255
2011-01-03,10.01
2011-01-04,9.84
2011-01-05,9.88
2011-01-06,9.87
2011-01-07,9.865
2011-01-10,10.18
2011-01-11,10.02
2011-01-12,10.065
2011-01-13,9.76
2011-01-14,9.5
2011-01-18,9.435
2011-01-19,9.5
2011-01-20,9.465
2011-01-21,9.35
2011-01-24,9.43
2011-01-25,9.405
2011-01-26,9.53
2011-01-27,9.485
2011-01-28,9.125
2011-01-31,9.035
2011-02-01,9.145
2011-02-02,9.165
2011-02-03,8.8
2011-02-04,9.505
2011-02-07,9.375
2011-02-08,9.455
2011-02-09,9.42
2011-02-10,9.39
2011-02-11,9.46
2011-02-14,9.605
2011-02-15,9.88
2011-02-16,9.865
2011-02-17,10.075
2011-02-18,10.13
2011-02-22,10.14
2011-02-23,9.8
2011-02-24,9.92
2011-02-25,9.975
2011-02-28,9.795
2011-03-01,9.75
2011-03-02,9.745
2011-03-03,9.87
2011-03-04,9.67
2011-03-07,9.385
2011-03-08,9.475
2011-03-09,9.475
2011-03-10,9.335
2011-03-11,9.39
2011-03-14,9.45
2011-03-15,9.365
2011-03-16,9.255
2011-03-17,9.41
2011-03-18,9.535
2011-03-21,9.75
2011-03-22,9.89
2011-03-23,10.175
2011-03-24,10.045
2011-03-25,10.1
2011-03-28,10.06
2011-03-29,10.035
2011-03-30,10.215
2011-03-31,10.21
2011-04-01,10.305
2011-04-04,10.285
2011-04-05,10.12
2011-04-06,10.155
2011-04-07,10.03
2011-04-08,10.055
2011-04-11,10.045
2011-04-12,10.0
2011-04-13,10.055
2011-04-14,10.095
2011-04-15,10.145
2011-04-18,10.0
2011-04-19,10.01
2011-04-20,10.115
2011-04-21,10.13
2011-04-25,10.135
2011-04-26,10.015
2011-04-27,10.025
2011-04-28,10.085
2011-04-29,10.2
2011-05-02,10.03
2011-05-03,9.995
2011-05-04,10.07
2011-05-05,9.995
2011-05-06,10.24
2011-05-09,10.2
2011-05-10,10.145
2011-05-11,10.225
2011-05-12,10.0
2011-05-13,9.87
2011-05-16,9.755
2011-05-17,9.71
