Date,CKH
1993-10-25,12.514466
1993-10-26,12.451895
1993-10-27,12.451895
1993-10-28,12.451895
1993-10-29,12.639611
1993-11-01,12.639611
1993-11-02,12.639611
1993-11-03,12.389322
1993-11-04,12.702183999999999
1993-11-05,12.514466
1993-11-08,12.514466
1993-11-09,12.577039
1993-11-10,12.764756
1993-11-11,13.390479000000001
1993-11-12,13.390479000000001
1993-11-15,13.515623999999999
1993-11-16,13.390479000000001
1993-11-17,12.889901
1993-11-18,12.389322
1993-11-19,12.389322
1993-11-22,12.389322
1993-11-23,12.451895
1993-11-24,12.889901
1993-11-26,12.889901
1993-11-29,12.076461
1993-11-30,11.888743
1993-12-01,11.888743
1993-12-02,11.638454
1993-12-03,11.638454
1993-12-06,11.638454
1993-12-07,11.513309
1993-12-08,11.513309
1993-12-09,11.450737
1993-12-10,11.826171
1993-12-13,11.012731
1993-12-14,10.261863
1993-12-15,9.886429
1993-12-16,9.886429
1993-12-17,10.136718
1993-12-20,10.011574000000001
1993-12-21,10.261863
1993-12-22,10.512152
1993-12-23,10.762442
1993-12-27,10.950158
1993-12-28,11.263021
1993-12-29,11.263021
1993-12-30,11.263021
1993-12-31,11.701025999999999
1994-01-03,11.763598
1994-01-04,11.513309
1994-01-05,11.513309
1994-01-06,11.763598
1994-01-07,11.763598
1994-01-10,11.763598
1994-01-11,11.638454
1994-01-12,11.763598
1994-01-13,11.513309
1994-01-14,11.513309
1994-01-17,11.763598
1994-01-18,11.263021
1994-01-19,11.263021
1994-01-20,11.263021
1994-01-21,11.325592
1994-01-24,11.263021
1994-01-25,11.325592
1994-01-26,11.325592
1994-01-27,11.325592
1994-01-28,11.513309
1994-01-31,11.513309
1994-02-01,11.137876
1994-02-02,11.137876
1994-02-03,10.699869
1994-02-04,9.886429
1994-02-07,9.886429
1994-02-08,10.637297
1994-02-09,11.137876
1994-02-10,11.263021
1994-02-11,11.263021
1994-02-14,11.388164999999999
1994-02-15,11.263021
1994-02-16,11.137876
1994-02-17,11.388164999999999
1994-02-18,11.513309
1994-02-22,11.263021
1994-02-23,11.263021
1994-02-24,11.513309
1994-02-25,11.638454
1994-02-28,11.638454
1994-03-01,11.638454
1994-03-02,11.638454
1994-03-03,11.763598
1994-03-04,11.388164999999999
1994-03-07,11.263021
1994-03-08,11.137876
1994-03-09,11.012731
1994-03-10,11.263021
1994-03-11,11.075303
1994-03-14,11.075303
1994-03-15,11.263021
1994-03-16,11.012731
1994-03-17,11.012731
1994-03-18,10.887586
1994-03-21,10.887586
1994-03-22,10.950158
1994-03-23,10.950158
1994-03-24,10.950158
1994-03-25,10.887586
1994-03-28,10.887586
1994-03-29,10.762442
1994-03-30,10.699869
1994-03-31,10.699869
1994-04-04,10.387008
1994-04-05,10.637297
1994-04-06,10.449579
1994-04-07,10.261863
1994-04-08,10.261863
1994-04-11,10.637297
1994-04-12,10.011574000000001
1994-04-13,9.573567
1994-04-14,10.074145
1994-04-15,9.886429
1994-04-18,10.261863
1994-04-19,10.261863
1994-04-20,10.011574000000001
1994-04-21,10.011574000000001
1994-04-22,10.011574000000001
1994-04-25,10.011574000000001
1994-04-26,9.761284
1994-04-28,9.573567
1994-04-29,9.761284
1994-05-02,9.761284
1994-05-03,9.323277000000001
1994-05-04,9.260705
1994-05-05,9.260705
1994-05-06,9.010416000000001
1994-05-09,8.885271000000001
1994-05-10,9.010416000000001
1994-05-11,8.885271000000001
1994-05-12,9.886429
1994-05-13,9.823856
1994-05-16,10.324435000000001
1994-05-17,10.387008
1994-05-18,10.387008
1994-05-19,10.387008
1994-05-20,10.387008
1994-05-23,10.387008
1994-05-24,10.387008
1994-05-25,10.261863
1994-05-26,10.261863
1994-05-27,10.261863
1994-05-31,10.261863
1994-06-01,10.261863
1994-06-02,10.261863
1994-06-03,10.449579
1994-06-06,10.449579
1994-06-07,9.949000999999999
1994-06-08,10.136718
1994-06-09,9.949000999999999
1994-06-10,10.136718
1994-06-13,10.136718
1994-06-14,10.074145
1994-06-15,10.074145
1994-06-16,10.011574000000001
1994-06-17,10.011574000000001
1994-06-20,10.136718
1994-06-21,10.136718
1994-06-22,10.637297
1994-06-23,10.637297
1994-06-24,10.512152
1994-06-27,10.512152
1994-06-28,10.512152
1994-06-29,10.637297
1994-06-30,10.762442
1994-07-01,10.512152
1994-07-05,10.699869
1994-07-06,10.699869
1994-07-07,10.637297
1994-07-08,10.699869
1994-07-11,10.699869
1994-07-12,10.606010000000001
1994-07-13,10.887586
1994-07-14,10.637297
1994-07-15,10.637297
1994-07-18,10.887586
1994-07-19,10.887586
1994-07-20,10.887586
1994-07-21,10.950158
1994-07-22,11.137876
1994-07-25,11.137876
1994-07-26,10.887586
1994-07-27,10.512152
1994-07-28,10.449579
1994-07-29,10.449579
1994-08-01,10.449579
1994-08-02,10.637297
1994-08-03,10.637297
1994-08-04,10.637297
1994-08-05,10.261863
1994-08-08,10.261863
1994-08-09,10.261863
1994-08-10,10.261863
1994-08-11,10.261863
1994-08-12,10.19929
1994-08-15,10.261863
1994-08-16,10.136718
1994-08-17,9.79257
1994-08-18,9.886429
1994-08-19,9.886429
1994-08-22,9.886429
1994-08-23,10.011574000000001
1994-08-24,10.011574000000001
1994-08-25,9.949000999999999
1994-08-26,10.355721
1994-08-29,10.512152
1994-08-30,10.512152
1994-08-31,10.512152
1994-09-01,11.200448
1994-09-02,11.263021
1994-09-06,11.012731
1994-09-07,11.012731
1994-09-08,11.012731
1994-09-09,10.637297
1994-09-12,10.574724
1994-09-13,10.574724
1994-09-14,10.762442
1994-09-15,10.637297
1994-09-16,10.887586
1994-09-19,10.887586
1994-09-20,10.887586
1994-09-21,10.887586
1994-09-22,10.887586
1994-09-23,10.887586
1994-09-26,10.887586
1994-09-27,10.637297
1994-09-28,10.887586
1994-09-29,10.887586
1994-09-30,10.762442
1994-10-03,10.887586
1994-10-04,10.825014
1994-10-05,10.825014
1994-10-06,10.825014
1994-10-07,11.263021
1994-10-10,11.294306
1994-10-11,11.200448
1994-10-12,10.887586
1994-10-13,10.950158
1994-10-14,10.825014
1994-10-17,10.825014
1994-10-18,10.825014
1994-10-19,10.825014
1994-10-20,10.762442
1994-10-21,11.012731
1994-10-24,11.012731
1994-10-25,11.012731
1994-10-26,11.012731
1994-10-27,11.012731
1994-10-28,11.012731
1994-10-31,11.012731
1994-11-01,11.012731
1994-11-02,10.950158
1994-11-03,10.887586
1994-11-04,10.887586
1994-11-07,10.887586
1994-11-08,10.887586
1994-11-09,10.887586
1994-11-10,10.825014
1994-11-11,10.825014
1994-11-14,11.012731
1994-11-15,11.012731
1994-11-16,11.012731
1994-11-17,11.137876
1994-11-18,10.887586
1994-11-21,10.887586
1994-11-22,10.887586
1994-11-23,10.512152
1994-11-25,10.512152
1994-11-28,10.512152
1994-11-29,10.512152
1994-11-30,10.887586
1994-12-01,10.512152
1994-12-02,10.887586
1994-12-05,10.512152
1994-12-06,10.512152
1994-12-07,10.887586
1994-12-08,10.887586
1994-12-09,10.637297
1994-12-12,10.637297
1994-12-13,10.637297
1994-12-14,10.825014
1994-12-15,11.012731
1994-12-16,11.200448
1994-12-19,11.200448
1994-12-20,11.137876
1994-12-21,10.387008
1994-12-22,10.324435000000001
1994-12-23,10.261863
1994-12-27,10.324435000000001
1994-12-28,10.136718
1994-12-29,10.136718
1994-12-30,9.761284
1995-01-03,9.823856
1995-01-04,9.636139
1995-01-05,9.761284
1995-01-06,10.011574000000001
1995-01-09,10.011574000000001
1995-01-10,9.886429
1995-01-11,9.886429
1995-01-12,9.636139
1995-01-13,10.011574000000001
1995-01-16,9.636139
1995-01-17,9.636139
1995-01-18,9.636139
1995-01-19,9.636139
1995-01-20,9.636139
1995-01-23,9.636139
1995-01-24,9.636139
1995-01-25,9.636139
1995-01-26,9.542281
1995-01-27,9.448422
1995-01-30,9.38585
1995-01-31,9.636139
1995-02-01,9.510995
1995-02-02,9.510995
1995-02-03,9.573567
1995-02-06,9.38585
1995-02-07,9.761284
1995-02-08,9.761284
1995-02-09,9.38585
1995-02-10,9.448422
1995-02-13,9.38585
1995-02-14,9.198133
1995-02-15,9.38585
1995-02-16,9.38585
1995-02-17,9.38585
1995-02-21,9.198133
1995-02-22,9.198133
1995-02-23,9.198133
1995-02-24,9.38585
1995-02-27,9.198133
1995-02-28,9.38585
1995-03-01,9.38585
1995-03-02,9.198133
1995-03-03,9.135561000000001
1995-03-06,9.072989
1995-03-07,9.072989
1995-03-08,9.38585
1995-03-09,9.38585
1995-03-10,9.38585
1995-03-13,9.38585
1995-03-14,9.38585
1995-03-15,9.354564
1995-03-16,9.510995
1995-03-17,9.510995
1995-03-20,9.510995
1995-03-21,9.636139
1995-03-22,9.448422
1995-03-23,9.604854
1995-03-24,9.604854
1995-03-27,9.38585
1995-03-28,9.761284
1995-03-29,10.011574000000001
1995-03-30,10.261863
1995-03-31,10.637297
1995-04-03,10.512152
1995-04-04,10.387008
1995-04-05,11.075303
1995-04-06,11.075303
1995-04-07,10.950158
1995-04-10,10.825014
1995-04-11,11.012731
1995-04-12,10.887586
1995-04-13,11.263021
1995-04-17,10.918872
1995-04-18,10.668583
1995-04-19,10.825014
1995-04-20,10.762442
1995-04-21,11.012731
1995-04-24,11.012731
1995-04-25,11.012731
