Date,TGNA
1980-03-17,2.303252
1980-03-18,2.383175
1980-03-19,2.383175
1980-03-20,2.310517
1980-03-21,2.303252
1980-03-24,2.303252
1980-03-25,2.303252
1980-03-26,2.3541119999999998
1980-03-27,2.3250490000000004
1980-03-28,2.397707
1980-03-31,2.412238
1980-04-01,2.4485669999999997
1980-04-02,2.455833
1980-04-03,2.455833
1980-04-07,2.419504
1980-04-08,2.455833
1980-04-09,2.4413009999999997
1980-04-10,2.42677
1980-04-11,2.383175
1980-04-14,2.339581
1980-04-15,2.3541119999999998
1980-04-16,2.3541119999999998
1980-04-17,2.310517
1980-04-18,2.3250490000000004
1980-04-21,2.3250490000000004
1980-04-22,2.397707
1980-04-23,2.397707
1980-04-24,2.419504
1980-04-25,2.397707
1980-04-28,2.397707
1980-04-29,2.397707
1980-04-30,2.3541119999999998
1980-05-01,2.3613779999999998
1980-05-02,2.281454
1980-05-05,2.266923
1980-05-06,2.3541119999999998
1980-05-07,2.412238
1980-05-08,2.455833
1980-05-09,2.434036
1980-05-12,2.42677
1980-05-13,2.4485669999999997
1980-05-14,2.42677
1980-05-15,2.4413009999999997
1980-05-16,2.4485669999999997
1980-05-19,2.470364
1980-05-20,2.4413009999999997
1980-05-21,2.521225
1980-05-22,2.557554
1980-05-23,2.56482
1980-05-27,2.579351
1980-05-28,2.586617
1980-05-29,2.5938830000000004
1980-05-30,2.61568
1980-06-02,2.6302119999999998
1980-06-03,2.528491
1980-06-04,2.644743
1980-06-05,2.6229459999999998
1980-06-06,2.637477
1980-06-09,2.61568
1980-06-10,2.608414
1980-06-11,2.586617
1980-06-12,2.56482
1980-06-13,2.586617
1980-06-16,2.579351
1980-06-17,2.6302119999999998
1980-06-18,2.6738060000000003
1980-06-19,2.637477
1980-06-20,2.5938830000000004
1980-06-23,2.659275
1980-06-24,2.6302119999999998
1980-06-25,2.6302119999999998
1980-06-26,2.659275
1980-06-27,2.6738060000000003
1980-06-30,2.644743
1980-07-01,2.6665400000000004
1980-07-02,2.695604
1980-07-03,2.7174009999999997
1980-07-07,2.75373
1980-07-08,2.760996
1980-07-09,2.731932
1980-07-10,2.7028689999999997
1980-07-11,2.7246669999999997
1980-07-14,2.739198
1980-07-15,2.731932
1980-07-16,2.760996
1980-07-17,2.790059
1980-07-18,2.848185
1980-07-21,2.877248
1980-07-22,2.9353740000000004
1980-07-23,2.9426400000000004
1980-07-24,3.022563
1980-07-25,3.037095
1980-07-28,3.015298
1980-07-29,3.008032
1980-07-30,3.087955
1980-07-31,3.08069
1980-08-01,3.066158
1980-08-04,3.015298
1980-08-05,2.9935
1980-08-06,2.9935
1980-08-07,3.022563
1980-08-08,3.0588919999999997
1980-08-11,3.066158
1980-08-12,3.044361
1980-08-13,3.015298
1980-08-14,3.022563
1980-08-15,3.022563
1980-08-18,3.008032
1980-08-19,2.9644369999999998
1980-08-20,2.9935
1980-08-21,2.906311
1980-08-22,2.9935
1980-08-25,3.015298
1980-08-26,3.008032
1980-08-27,2.9862349999999998
1980-08-28,2.9644369999999998
1980-08-29,2.9571709999999998
1980-09-02,3.000766
1980-09-03,3.022563
1980-09-04,3.008032
1980-09-05,2.9789689999999998
1980-09-08,2.9717029999999998
1980-09-09,3.000766
1980-09-10,3.022563
1980-09-11,3.051627
1980-09-12,3.109753
1980-09-15,3.095221
1980-09-16,3.138816
1980-09-17,3.196942
1980-09-18,3.284132
1980-09-19,3.342258
1980-09-22,3.313195
1980-09-23,3.313195
1980-09-24,3.327726
1980-09-25,3.320461
1980-09-26,3.313195
1980-09-29,3.226005
1980-09-30,3.240537
1980-10-01,3.3640550000000005
1980-10-02,3.342258
1980-10-03,3.342258
1980-10-06,3.342258
1980-10-07,3.327726
1980-10-08,3.342258
1980-10-09,3.342258
1980-10-10,3.313195
1980-10-13,3.298663
1980-10-14,3.291397
1980-10-15,3.305929
1980-10-16,3.240537
1980-10-17,3.240537
1980-10-20,3.240537
1980-10-21,3.182411
1980-10-22,3.226005
1980-10-23,3.167879
1980-10-24,3.138816
1980-10-27,3.117019
1980-10-28,3.117019
1980-10-29,3.196942
