Date,TTF
2012-06-18,7591.459961
2012-06-19,7365.339844
2012-06-20,7656.069823999999
2012-06-21,7559.160156
2012-06-22,7268.419922
2012-06-25,6977.689941
2012-06-26,6686.950195
2012-06-27,6783.859863
2012-06-28,6493.120117
2012-06-29,6686.950195
2012-07-02,6590.040039
2012-07-03,6299.299805
2012-07-05,6105.47998
2012-07-06,6299.299805
2012-07-09,6008.560059
2012-07-10,5814.740234000001
2012-07-11,6008.560059
2012-07-12,6299.299805
2012-07-13,6493.120117
2012-07-16,6202.390136999999
2012-07-17,6493.120117
2012-07-18,6590.040039
2012-07-19,6880.77002
2012-07-20,6977.689941
2012-07-23,6686.950195
2012-07-24,6396.209961
2012-07-25,6493.120117
2012-07-26,6493.120117
2012-07-27,6590.040039
2012-07-30,6590.040039
2012-07-31,6590.040039
2012-08-01,6590.040039
2012-08-02,6686.950195
2012-08-03,6686.950195
2012-08-06,6783.859863
2012-08-07,6590.040039
2012-08-08,6590.040039
2012-08-09,6396.209961
2012-08-10,6396.209961
2012-08-13,6202.390136999999
2012-08-14,6105.47998
2012-08-15,6105.47998
2012-08-16,5814.740234000001
2012-08-17,5524.0
2012-08-20,5717.830078
2012-08-21,5620.910156
2012-08-22,5814.740234000001
2012-08-23,5524.0
2012-08-24,5717.830078
2012-08-27,5524.0
2012-08-28,5330.180176
2012-08-29,5330.180176
2012-08-30,5136.350098
2012-08-31,5136.350098
2012-09-04,5330.180176
2012-09-05,5136.350098
2012-09-06,4942.529785
2012-09-07,4845.620117
2012-09-10,4651.790039
2012-09-11,4457.970215
2012-09-12,4554.879883
2012-09-13,4651.790039
2012-09-14,4845.620117
2012-09-17,4651.790039
2012-09-18,4457.970215
2012-09-19,4264.140136999999
2012-09-20,4070.320068
2012-09-21,4070.320068
2012-09-24,4070.320068
2012-09-25,4070.320068
2012-09-26,4167.22998
2012-09-27,4070.320068
2012-09-28,3876.48999
2012-10-01,3682.669922
2012-10-02,3585.76001
2012-10-03,3585.76001
2012-10-04,3682.669922
2012-10-05,3682.669922
2012-10-08,3779.580078
2012-10-09,3876.48999
2012-10-10,4070.320068
2012-10-11,4264.140136999999
2012-10-12,4457.970215
2012-10-15,4361.049805
2012-10-16,4554.879883
2012-10-17,4748.700195
2012-10-18,4554.879883
2012-10-19,4651.790039
2012-10-22,4554.879883
2012-10-23,4651.790039
2012-10-24,4457.970215
2012-10-25,4264.140136999999
2012-10-26,4070.320068
2012-10-31,3973.399902
2012-11-01,4167.22998
2012-11-02,3973.399902
2012-11-05,3779.580078
2012-11-06,3779.580078
2012-11-07,3876.48999
2012-11-08,3973.399902
2012-11-09,4070.320068
2012-11-12,4264.140136999999
2012-11-13,4070.320068
2012-11-14,3973.399902
2012-11-15,3973.399902
2012-11-16,4167.22998
2012-11-19,4264.140136999999
2012-11-20,4070.320068
2012-11-21,4167.22998
2012-11-23,4167.22998
2012-11-26,3973.399902
2012-11-27,3973.399902
2012-11-28,3973.399902
2012-11-29,4167.22998
2012-11-30,4361.049805
2012-12-03,4361.049805
2012-12-04,4457.970215
2012-12-05,4651.790039
2012-12-06,4845.620117
2012-12-07,4942.529785
2012-12-10,5136.350098
2012-12-11,4942.529785
2012-12-12,5136.350098
2012-12-13,5233.27002
2012-12-14,5039.439941
2012-12-17,5039.439941
2012-12-18,4942.529785
2012-12-19,4942.529785
2012-12-20,4845.620117
2012-12-21,4845.620117
2012-12-24,5039.439941
2012-12-26,5233.27002
2012-12-27,5136.350098
2012-12-28,5039.439941
2012-12-31,5039.439941
2013-01-02,5039.439941
2013-01-03,5136.350098
2013-01-04,4942.529785
