Date,BKC
2014-12-04,11200.0
2014-12-05,
2014-12-08,11200.0
2014-12-09,10300.0
2014-12-10,
2014-12-11,
2014-12-12,10300.0
2014-12-15,10600.0
2014-12-16,10500.0
2014-12-17,10200.0
2014-12-18,10200.0
2014-12-19,10200.0
2014-12-22,10900.0
2014-12-23,10000.0
2014-12-24,10000.0
2014-12-26,9900.0
2014-12-29,9400.0
2014-12-30,9400.0
2014-12-31,9400.0
2015-01-02,9400.0
2015-01-05,9400.0
2015-01-06,10000.0
2015-01-07,11000.0
2015-01-08,11000.0
2015-01-09,11000.0
2015-01-12,12000.0
2015-01-13,12000.0
2015-01-14,12000.0
2015-01-15,10800.0
2015-01-16,10000.0
2015-01-20,10000.0
2015-01-21,10000.0
2015-01-22,10000.0
2015-01-23,10000.0
2015-01-26,10000.0
2015-01-27,10000.0
2015-01-28,10100.0
2015-01-29,10200.0
2015-01-30,10400.0
2015-02-02,11400.0
2015-02-03,12500.0
2015-02-04,12800.0
2015-02-05,13000.0
2015-02-06,12900.0
2015-02-09,11800.0
2015-02-10,11100.0
2015-02-11,12200.0
2015-02-12,12200.0
2015-02-13,13200.0
2015-02-17,
2015-02-18,13200.0
2015-02-19,13200.0
2015-02-20,13200.0
2015-02-23,13200.0
2015-02-24,13200.0
2015-02-25,11900.0
2015-02-26,12400.0
2015-02-27,12700.0
2015-03-02,13500.0
2015-03-03,13700.0
2015-03-04,13700.0
2015-03-05,13000.0
2015-03-06,13400.0
2015-03-09,13900.0
2015-03-10,13900.0
2015-03-11,14000.0
2015-03-12,14000.0
2015-03-13,14500.0
2015-03-16,13600.0
2015-03-17,13800.0
2015-03-18,14600.0
2015-03-19,13700.0
2015-03-20,14400.0
2015-03-23,14000.0
2015-03-24,14700.0
2015-03-25,14000.0
2015-03-26,14400.0
2015-03-27,13900.0
2015-03-30,14700.0
2015-03-31,14000.0
2015-04-01,14000.0
2015-04-02,14000.0
2015-04-06,14900.0
2015-04-07,14900.0
2015-04-08,14900.0
2015-04-09,15900.0
2015-04-10,15900.0
2015-04-13,15900.0
2015-04-14,17000.0
2015-04-15,17000.0
2015-04-16,17000.0
2015-04-17,18000.0
2015-04-20,18000.0
2015-04-21,18000.0
2015-04-22,16200.0
2015-04-23,14600.0
2015-04-24,14600.0
2015-04-27,14600.0
2015-04-28,14600.0
2015-04-29,14600.0
2015-04-30,14600.0
2015-05-01,14600.0
