Date,BDX
1973-02-21,2.320313
1973-02-22,2.34375
1973-02-23,2.367188
1973-02-26,2.398438
1973-02-27,2.304688
1973-02-28,2.351563
1973-03-01,2.320313
1973-03-02,2.382813
1973-03-05,2.382813
1973-03-06,2.40625
1973-03-07,2.421875
1973-03-08,2.453125
1973-03-09,2.4375
1973-03-12,2.429688
1973-03-13,2.4375
1973-03-14,2.445313
1973-03-15,2.453125
1973-03-16,2.375
1973-03-19,2.335938
1973-03-20,2.335938
1973-03-21,2.3125
1973-03-22,2.257813
1973-03-23,2.273438
1973-03-26,2.28125
1973-03-27,2.320313
1973-03-28,2.328125
1973-03-29,2.328125
1973-03-30,2.320313
1973-04-02,2.289063
1973-04-03,2.28125
1973-04-04,2.289063
1973-04-05,2.265625
1973-04-06,2.28125
1973-04-09,2.3125
1973-04-10,2.351563
1973-04-11,2.359375
1973-04-12,2.398438
1973-04-13,2.40625
1973-04-16,2.382813
1973-04-17,2.40625
1973-04-18,2.398438
1973-04-19,2.429688
1973-04-23,2.4375
1973-04-24,2.304688
1973-04-25,2.21875
1973-04-26,2.304688
1973-04-27,2.257813
1973-04-30,2.28125
1973-05-01,2.28125
1973-05-02,2.34375
1973-05-03,2.3125
1973-05-04,2.375
1973-05-07,2.40625
1973-05-08,2.4375
1973-05-09,2.445313
1973-05-10,2.421875
1973-05-11,2.359375
1973-05-14,2.25
1973-05-15,2.28125
1973-05-16,2.289063
1973-05-17,2.28125
1973-05-18,2.25
1973-05-21,2.234375
1973-05-22,2.21875
1973-05-23,2.3125
1973-05-24,2.4375
1973-05-25,2.46875
1973-05-29,2.398438
1973-05-30,2.320313
1973-05-31,2.289063
1973-06-01,2.25
1973-06-04,2.195313
1973-06-05,2.1875
1973-06-06,2.15625
1973-06-07,2.125
1973-06-08,2.179688
1973-06-11,2.226563
1973-06-12,2.273438
1973-06-13,2.304688
1973-06-14,2.28125
1973-06-15,2.25
1973-06-18,2.242188
1973-06-19,2.125
1973-06-20,2.15625
1973-06-21,2.101563
1973-06-22,2.09375
1973-06-25,2.070313
1973-06-26,2.101563
1973-06-27,2.101563
1973-06-28,2.125
1973-06-29,2.132813
1973-07-02,2.0625
1973-07-03,2.0625
1973-07-05,2.078125
1973-07-06,2.046875
1973-07-09,2.0625
1973-07-10,2.125
1973-07-11,2.234375
1973-07-12,2.257813
1973-07-13,2.242188
1973-07-16,2.34375
1973-07-17,2.421875
1973-07-18,2.414063
1973-07-19,2.40625
1973-07-20,2.421875
1973-07-23,2.398438
1973-07-24,2.375
1973-07-25,2.445313
1973-07-26,2.507813
1973-07-27,2.53125
1973-07-30,2.507813
1973-07-31,2.445313
1973-08-01,2.390625
1973-08-02,2.375
1973-08-03,2.328125
1973-08-06,2.390625
1973-08-07,2.453125
1973-08-08,2.4375
1973-08-09,2.421875
1973-08-10,2.40625
1973-08-13,2.390625
1973-08-14,2.359375
1973-08-15,2.320313
1973-08-16,2.273438
1973-08-17,2.257813
1973-08-20,2.25
1973-08-21,2.21875
1973-08-22,2.140625
1973-08-23,2.179688
1973-08-24,2.164063
1973-08-27,2.273438
1973-08-28,2.34375
1973-08-29,2.34375
1973-08-30,2.34375
1973-08-31,2.359375
1973-09-04,2.367188
1973-09-05,2.351563
1973-09-06,2.382813
1973-09-07,2.484375
1973-09-10,2.460938
1973-09-11,2.4375
1973-09-12,2.4375
1973-09-13,2.40625
1973-09-14,2.4375
1973-09-17,2.453125
1973-09-18,2.4375
1973-09-19,2.453125
1973-09-20,2.421875
1973-09-21,2.398438
1973-09-24,2.414063
1973-09-25,2.46875
1973-09-26,2.578125
1973-09-27,2.546875
1973-09-28,2.5625
1973-10-01,2.5625
1973-10-02,2.578125
1973-10-03,2.5625
1973-10-04,2.601563
1973-10-05,2.671875
1973-10-08,2.710938
1973-10-09,2.703125
1973-10-10,2.671875
1973-10-11,2.703125
1973-10-12,2.742188
1973-10-15,2.671875
1973-10-16,2.640625
1973-10-17,2.664063
1973-10-18,2.65625
1973-10-19,2.65625
1973-10-22,2.625
1973-10-23,2.71875
1973-10-24,2.695313
1973-10-25,2.695313
1973-10-26,2.703125
1973-10-29,2.734375
1973-10-30,2.710938
1973-10-31,2.703125
1973-11-01,2.695313
1973-11-02,2.5625
1973-11-05,2.429688
1973-11-06,2.445313
1973-11-07,2.46875
1973-11-08,2.539063
1973-11-09,2.46875
1973-11-12,2.40625
1973-11-13,2.46875
1973-11-14,2.46875
1973-11-15,2.5
1973-11-16,2.507813
1973-11-19,2.5
1973-11-20,2.40625
1973-11-21,2.5
1973-11-23,2.507813
1973-11-26,2.40625
1973-11-27,2.414063
1973-11-28,2.421875
1973-11-29,2.429688
1973-11-30,2.40625
1973-12-03,2.375
1973-12-04,2.398438
1973-12-05,2.3125
1973-12-06,2.210938
1973-12-07,2.28125
1973-12-10,2.375
1973-12-11,2.304688
1973-12-12,2.226563
1973-12-13,2.125
1973-12-14,2.140625
1973-12-17,2.140625
1973-12-18,2.203125
1973-12-19,2.140625
1973-12-20,2.195313
1973-12-21,2.140625
1973-12-24,2.117188
1973-12-26,2.21875
1973-12-27,2.351563
1973-12-28,2.414063
1973-12-31,2.34375
1974-01-02,2.34375
1974-01-03,2.390625
1974-01-04,2.3125
1974-01-07,2.21875
1974-01-08,2.132813
1974-01-09,2.0625
1974-01-10,2.0625
1974-01-11,2.101563
1974-01-14,2.101563
1974-01-15,2.09375
1974-01-16,2.054688
1974-01-17,2.109375
1974-01-18,2.109375
1974-01-21,2.078125
1974-01-22,2.117188
1974-01-23,2.179688
1974-01-24,2.1875
1974-01-25,2.1875
1974-01-28,2.203125
1974-01-29,2.21875
1974-01-30,2.296875
1974-01-31,2.304688
1974-02-01,2.25
1974-02-04,2.1875
1974-02-05,2.1875
1974-02-06,2.1875
1974-02-07,2.1875
1974-02-08,2.1875
1974-02-11,2.1875
1974-02-12,2.148438
1974-02-13,2.09375
1974-02-14,2.054688
1974-02-15,2.085938
1974-02-19,2.078125
1974-02-20,2.085938
1974-02-21,2.148438
1974-02-22,2.15625
1974-02-25,2.203125
1974-02-26,2.203125
1974-02-27,2.171875
1974-02-28,2.171875
1974-03-01,2.164063
1974-03-04,2.195313
1974-03-05,2.242188
1974-03-06,2.25
1974-03-07,2.21875
1974-03-08,2.21875
1974-03-11,2.234375
1974-03-12,2.296875
1974-03-13,2.304688
1974-03-14,2.382813
1974-03-15,2.375
1974-03-18,2.3125
1974-03-19,2.320313
1974-03-20,2.34375
1974-03-21,2.375
1974-03-22,2.398438
1974-03-25,2.414063
1974-03-26,2.445313
1974-03-27,2.398438
1974-03-28,2.289063
1974-03-29,2.289063
1974-04-01,2.335938
1974-04-02,2.320313
1974-04-03,2.34375
1974-04-04,2.328125
1974-04-05,2.296875
1974-04-08,2.273438
1974-04-09,2.289063
1974-04-10,2.304688
1974-04-11,2.28125
1974-04-15,2.3125
1974-04-16,2.359375
1974-04-17,2.34375
1974-04-18,2.25
1974-04-19,2.234375
1974-04-22,2.195313
1974-04-23,2.101563
1974-04-24,2.117188
1974-04-25,2.109375
1974-04-26,2.1875
1974-04-29,2.179688
1974-04-30,2.1875
1974-05-01,2.296875
1974-05-02,2.273438
1974-05-03,2.28125
1974-05-06,2.320313
1974-05-07,2.34375
1974-05-08,2.335938
1974-05-09,2.328125
1974-05-10,2.320313
1974-05-13,2.28125
1974-05-14,2.289063
1974-05-15,2.304688
1974-05-16,2.296875
1974-05-17,2.28125
1974-05-20,2.34375
1974-05-21,2.34375
1974-05-22,2.328125
1974-05-23,2.320313
1974-05-24,2.359375
1974-05-28,2.359375
1974-05-29,2.351563
1974-05-30,2.382813
1974-05-31,2.328125
1974-06-03,2.414063
1974-06-04,2.4375
1974-06-05,2.429688
1974-06-06,2.453125
1974-06-07,2.492188
1974-06-10,2.421875
1974-06-11,2.40625
1974-06-12,2.390625
1974-06-13,2.429688
1974-06-14,2.382813
1974-06-17,2.3125
1974-06-18,2.289063
1974-06-19,2.289063
1974-06-20,2.28125
1974-06-21,2.265625
1974-06-24,2.273438
1974-06-25,2.296875
1974-06-26,2.265625
1974-06-27,2.234375
1974-06-28,2.234375
1974-07-01,2.25
1974-07-02,2.117188
1974-07-03,2.09375
1974-07-05,2.0625
1974-07-08,2.03125
1974-07-09,2.015625
1974-07-10,2.0
1974-07-11,2.007813
1974-07-12,2.046875
1974-07-15,2.054688
1974-07-16,2.007813
1974-07-17,2.015625
1974-07-18,2.015625
1974-07-19,2.023438
1974-07-22,2.015625
1974-07-23,2.015625
1974-07-24,2.0
1974-07-25,1.875
1974-07-26,1.835938
1974-07-29,1.835938
1974-07-30,1.78125
1974-07-31,1.773438
1974-08-01,1.75
1974-08-02,1.71875
1974-08-05,1.710938
1974-08-06,1.65625
1974-08-07,1.742188
1974-08-08,1.71875
1974-08-09,1.65625
1974-08-12,1.609375
1974-08-13,1.609375
1974-08-14,1.5859379999999998
1974-08-15,1.484375
1974-08-16,1.40625
1974-08-19,1.3125
1974-08-20,1.390625
1974-08-21,1.40625
1974-08-22,1.40625
1974-08-23,1.4609379999999998
1974-08-26,1.5625
1974-08-27,1.5390629999999998
1974-08-28,1.5859379999999998
1974-08-29,1.5859379999999998
1974-08-30,1.671875
1974-09-03,1.5
1974-09-04,1.53125
1974-09-05,1.65625
1974-09-06,1.640625
1974-09-09,1.5625
1974-09-10,1.4453129999999998
1974-09-11,1.4453129999999998
1974-09-12,1.453125
1974-09-13,1.3984379999999998
1974-09-16,1.453125
1974-09-17,1.453125
1974-09-18,1.484375
1974-09-19,1.5625
1974-09-20,1.5859379999999998
1974-09-23,1.59375
1974-09-24,1.5546879999999998
1974-09-25,1.546875
1974-09-26,1.5390629999999998
1974-09-27,1.484375
1974-09-30,1.375
1974-10-01,1.390625
1974-10-02,1.4375
1974-10-03,1.34375
1974-10-04,1.3515629999999998
1974-10-07,1.4453129999999998
1974-10-08,1.4765629999999998
1974-10-09,1.5078129999999998
1974-10-10,1.5703129999999998
1974-10-11,1.6015629999999998
1974-10-14,1.6875
1974-10-15,1.640625
1974-10-16,1.59375
1974-10-17,1.625
1974-10-18,1.75
1974-10-21,1.789063
1974-10-22,1.8125
1974-10-23,1.734375
1974-10-24,1.648438
1974-10-25,1.65625
1974-10-28,1.664063
1974-10-29,1.664063
1974-10-30,1.765625
1974-10-31,1.773438
1974-11-01,1.78125
1974-11-04,1.75
1974-11-05,1.8125
1974-11-06,1.851563
1974-11-07,1.820313
1974-11-08,1.828125
1974-11-11,1.851563
1974-11-12,1.828125
1974-11-13,1.804688
1974-11-14,1.835938
1974-11-15,1.765625
1974-11-18,1.734375
1974-11-19,1.734375
1974-11-20,1.75
1974-11-21,1.734375
1974-11-22,1.78125
1974-11-25,1.8125
1974-11-26,1.828125
1974-11-27,1.84375
1974-11-29,1.820313
1974-12-02,1.734375
1974-12-03,1.671875
1974-12-04,1.648438
1974-12-05,1.5625
1974-12-06,1.5625
1974-12-09,1.5625
1974-12-10,1.609375
1974-12-11,1.734375
1974-12-12,1.65625
1974-12-13,1.640625
1974-12-16,1.679688
1974-12-17,1.703125
1974-12-18,1.765625
1974-12-19,1.734375
1974-12-20,1.765625
1974-12-23,1.695313
