Date,BEAM
2020-02-06,18.75
2020-02-07,20.620001000000002
2020-02-10,22.1
2020-02-11,24.1
2020-02-12,27.6
2020-02-13,29.200001
2020-02-14,27.9
2020-02-18,27.799999
2020-02-19,28.18
2020-02-20,26.91
2020-02-21,26.09
2020-02-24,24.200001
2020-02-25,22.629998999999998
2020-02-26,24.450001
2020-02-27,22.93
2020-02-28,22.49
2020-03-02,23.02
2020-03-03,23.51
2020-03-04,24.41
2020-03-05,23.809998999999998
2020-03-06,23.549999
2020-03-09,22.6
2020-03-10,22.5
2020-03-11,21.25
2020-03-12,18.299999
2020-03-13,17.379998999999998
2020-03-16,13.31
2020-03-17,15.01
2020-03-18,15.21
2020-03-19,16.860001
2020-03-20,19.4
2020-03-23,18.01
2020-03-24,19.16
2020-03-25,19.6
2020-03-26,19.0
2020-03-27,18.049999
2020-03-30,18.0
2020-03-31,18.0
2020-04-01,16.120001000000002
2020-04-02,15.26
2020-04-03,16.110001
2020-04-06,16.65
2020-04-07,15.81
2020-04-08,16.700001
2020-04-09,16.620001000000002
2020-04-13,16.1
2020-04-14,17.07
2020-04-15,15.9
2020-04-16,16.17
2020-04-17,15.98
2020-04-20,16.559998999999998
2020-04-21,16.1
2020-04-22,16.66
2020-04-23,17.74
2020-04-24,18.15
2020-04-27,16.530001000000002
2020-04-28,16.299999
2020-04-29,16.889999
2020-04-30,15.95
2020-05-01,15.38
2020-05-04,15.76
2020-05-05,16.49
2020-05-06,16.08
2020-05-07,16.84
2020-05-08,16.889999
