Date,NSM
2013-05-15,44.799999
2013-05-16,44.490002000000004
2013-05-17,45.32
2013-05-20,45.610001000000004
2013-05-21,45.380001
2013-05-22,42.970001
2013-05-23,42.330002
2013-05-24,41.889998999999996
2013-05-28,41.330002
2013-05-29,40.779999
2013-05-30,42.27
2013-05-31,40.709998999999996
2013-06-03,41.73
2013-06-04,41.630001
2013-06-05,40.650002
2013-06-06,41.549999
2013-06-07,42.080002
2013-06-10,42.209998999999996
2013-06-11,41.790001000000004
2013-06-12,41.099998
2013-06-13,41.970001
2013-06-14,42.459998999999996
2013-06-17,42.200001
2013-06-18,43.119999
2013-06-19,42.540001000000004
2013-06-20,39.959998999999996
2013-06-21,37.27
2013-06-24,36.080002
2013-06-25,37.400002
2013-06-26,37.98
2013-06-27,38.16
2013-06-28,37.439999
2013-07-01,38.02
2013-07-02,37.740002000000004
2013-07-03,38.889998999999996
2013-07-05,38.709998999999996
2013-07-08,38.709998999999996
2013-07-09,39.18
2013-07-10,39.360001000000004
2013-07-11,41.009997999999996
2013-07-12,42.16
2013-07-15,41.990002000000004
2013-07-16,41.75
2013-07-17,43.860001000000004
2013-07-18,45.490002000000004
2013-07-19,45.880001
2013-07-22,45.990002000000004
2013-07-23,44.669998
2013-07-24,44.779999
2013-07-25,46.110001000000004
2013-07-26,46.139998999999996
2013-07-29,46.119999
2013-07-30,46.43
2013-07-31,46.279999
2013-08-01,48.450001
2013-08-02,48.540001000000004
2013-08-05,48.700001
2013-08-06,49.25
2013-08-07,49.970001
2013-08-08,48.900002
2013-08-09,49.290001000000004
2013-08-12,49.619999
2013-08-13,49.119999
2013-08-14,48.790001000000004
2013-08-15,48.360001000000004
2013-08-16,49.84
2013-08-19,48.029999
2013-08-20,49.119999
2013-08-21,48.07
2013-08-22,48.75
2013-08-23,49.299999
2013-08-26,49.849998
2013-08-27,48.68
2013-08-28,49.080002
2013-08-29,49.889998999999996
2013-08-30,49.700001
2013-09-03,50.389998999999996
2013-09-04,52.150002
2013-09-05,52.439999
2013-09-06,52.139998999999996
2013-09-09,52.57
2013-09-10,54.560001
2013-09-11,54.77
2013-09-12,53.330002
2013-09-13,54.029999
2013-09-16,54.450001
2013-09-17,55.029999
2013-09-18,57.139998999999996
2013-09-19,57.349998
2013-09-20,57.450001
2013-09-23,57.110001000000004
2013-09-24,56.849998
2013-09-25,57.27
2013-09-26,56.990002000000004
2013-09-27,56.849998
2013-09-30,56.23
2013-10-01,56.189999
2013-10-02,54.990002000000004
2013-10-03,53.93
2013-10-04,53.959998999999996
2013-10-07,53.889998999999996
2013-10-08,52.130001
2013-10-09,51.950001
2013-10-10,53.349998
2013-10-11,51.200001
2013-10-14,51.23
2013-10-15,50.09
2013-10-16,50.23
2013-10-17,51.720001
2013-10-18,53.09
2013-10-21,53.119999
2013-10-22,53.259997999999996
2013-10-23,53.099998
2013-10-24,54.529999
2013-10-25,54.459998999999996
2013-10-28,54.450001
2013-10-29,55.139998999999996
2013-10-30,54.209998999999996
2013-10-31,51.32
2013-11-01,50.52
2013-11-04,49.970001
2013-11-05,49.939999
2013-11-06,49.220001
2013-11-07,40.75
2013-11-08,36.48
2013-11-11,37.849998
2013-11-12,37.759997999999996
2013-11-13,38.669998
2013-11-14,39.299999
2013-11-15,38.849998
2013-11-18,38.02
2013-11-19,38.380001
2013-11-20,38.59
2013-11-21,39.950001
2013-11-22,40.549999
2013-11-25,39.970001
2013-11-26,39.939999
2013-11-27,39.689999
2013-11-29,39.630001
2013-12-02,39.259997999999996
2013-12-03,38.889998999999996
2013-12-04,39.400002
2013-12-05,40.48
2013-12-06,41.970001
2013-12-09,42.049999
2013-12-10,41.720001
2013-12-11,41.060001
2013-12-12,40.200001
2013-12-13,39.580002
2013-12-16,40.560001
2013-12-17,40.830002
2013-12-18,41.279999
2013-12-19,39.700001
2013-12-20,37.029999
2013-12-23,36.41
2013-12-24,36.060001
2013-12-26,36.450001
2013-12-27,36.990002000000004
2013-12-30,36.16
2013-12-31,36.959998999999996
2014-01-02,36.43
2014-01-03,36.060001
2014-01-06,34.66
2014-01-07,34.32
2014-01-08,33.849998
2014-01-09,34.25
2014-01-10,32.279999
2014-01-13,32.490002000000004
2014-01-14,33.630001
2014-01-15,33.150002
2014-01-16,33.25
2014-01-17,32.189999
2014-01-21,31.200001
2014-01-22,31.16
2014-01-23,30.82
2014-01-24,29.969998999999998
2014-01-27,29.780001000000002
2014-01-28,29.219998999999998
2014-01-29,28.950001
2014-01-30,29.02
2014-01-31,27.98
2014-02-03,26.870001000000002
2014-02-04,26.83
2014-02-05,26.85
2014-02-06,26.26
2014-02-07,28.41
2014-02-10,28.139999
2014-02-11,28.700001
2014-02-12,30.110001
2014-02-13,29.68
2014-02-14,29.74
2014-02-18,29.209999
2014-02-19,28.540001
2014-02-20,28.23
2014-02-21,28.92
2014-02-24,29.799999
2014-02-25,29.68
2014-02-26,28.84
2014-02-27,29.540001
2014-02-28,28.83
2014-03-03,29.299999
2014-03-04,31.08
2014-03-05,30.299999
2014-03-06,32.68
2014-03-07,31.549999
2014-03-10,31.35
2014-03-11,30.290001
2014-03-12,31.620001000000002
2014-03-13,31.27
2014-03-14,32.799999
2014-03-17,32.23
2014-03-18,33.75
2014-03-19,33.290001000000004
2014-03-20,31.92
2014-03-21,31.15
2014-03-24,30.549999
2014-03-25,30.540001
2014-03-26,31.16
2014-03-27,31.27
2014-03-28,31.059998999999998
2014-03-31,32.459998999999996
2014-04-01,32.299999
2014-04-02,31.07
2014-04-03,30.799999
2014-04-04,30.469998999999998
2014-04-07,31.25
2014-04-08,30.639999
2014-04-09,32.599998
2014-04-10,33.189999
2014-04-11,31.299999
2014-04-14,33.310001
2014-04-15,33.700001
2014-04-16,32.470001
2014-04-17,32.18
2014-04-21,32.02
2014-04-22,31.610001
2014-04-23,30.41
2014-04-24,31.959999
2014-04-25,30.85
2014-04-28,31.309998999999998
2014-04-29,31.450001
2014-04-30,32.73
2014-05-01,31.76
2014-05-02,31.76
2014-05-05,30.1
2014-05-06,28.93
2014-05-07,28.98
2014-05-08,30.27
2014-05-09,29.23
2014-05-12,31.5
2014-05-13,31.65
2014-05-14,32.0
2014-05-15,31.690001000000002
2014-05-16,30.299999
2014-05-19,31.25
2014-05-20,29.959999
2014-05-21,29.98
2014-05-22,29.98
2014-05-23,31.110001
2014-05-27,31.18
2014-05-28,33.330002
2014-05-29,34.57
2014-05-30,34.959998999999996
2014-06-02,34.98
2014-06-03,35.009997999999996
2014-06-04,35.34
2014-06-05,35.990002000000004
2014-06-06,37.700001
2014-06-09,36.779999
2014-06-10,36.900002
2014-06-11,37.029999
2014-06-12,37.220001
2014-06-13,37.57
2014-06-16,36.029999
2014-06-17,36.529999
2014-06-18,36.91
2014-06-19,37.529999
2014-06-20,36.799999
2014-06-23,37.07
2014-06-24,36.5
2014-06-25,36.830002
2014-06-26,35.68
2014-06-27,35.700001
2014-06-30,36.299999
2014-07-01,34.75
2014-07-02,34.630001
2014-07-03,34.91
2014-07-07,34.880001
2014-07-08,33.869999
2014-07-09,33.310001
2014-07-10,33.299999
2014-07-11,33.810001
2014-07-14,35.0
2014-07-15,34.099998
2014-07-16,33.790001000000004
2014-07-17,33.759997999999996
2014-07-18,33.509997999999996
2014-07-21,33.450001
2014-07-22,34.450001
2014-07-23,33.330002
2014-07-24,32.860001000000004
2014-07-25,32.09
2014-07-28,31.950001
2014-07-29,31.59
2014-07-30,31.629998999999998
2014-07-31,30.51
2014-08-01,30.049999
2014-08-04,29.940001000000002
2014-08-05,30.059998999999998
2014-08-06,32.919998
2014-08-07,32.509997999999996
2014-08-08,32.619999
2014-08-11,32.889998999999996
2014-08-12,32.0
2014-08-13,32.369999
2014-08-14,32.919998
2014-08-15,32.610001000000004
2014-08-18,33.029999
2014-08-19,32.77
2014-08-20,32.110001000000004
2014-08-21,33.630001
2014-08-22,33.5
2014-08-25,33.970001
2014-08-26,34.450001
2014-08-27,34.709998999999996
2014-08-28,34.080002
2014-08-29,35.0
2014-09-02,34.380001
2014-09-03,33.279999
2014-09-04,32.209998999999996
2014-09-05,32.349998
2014-09-08,32.310001
2014-09-09,31.690001000000002
2014-09-10,31.83
2014-09-11,31.82
2014-09-12,32.299999
2014-09-15,32.849998
2014-09-16,32.360001000000004
2014-09-17,34.240002000000004
2014-09-18,34.880001
2014-09-19,34.82
2014-09-22,34.02
2014-09-23,33.48
2014-09-24,34.110001000000004
2014-09-25,33.470001
2014-09-26,33.599998
2014-09-29,34.220001
2014-09-30,34.240002000000004
2014-10-01,33.290001000000004
2014-10-02,33.610001000000004
2014-10-03,33.919998
2014-10-06,33.41
2014-10-07,32.27
2014-10-08,32.41
2014-10-09,31.4
2014-10-10,29.76
2014-10-13,29.799999
2014-10-14,31.68
2014-10-15,33.09
2014-10-16,33.389998999999996
2014-10-17,33.560001
2014-10-20,34.709998999999996
2014-10-21,34.709998999999996
2014-10-22,33.310001
2014-10-23,32.59
2014-10-24,33.400002
2014-10-27,33.439999
2014-10-28,34.349998
2014-10-29,34.349998
2014-10-30,34.400002
2014-10-31,35.119999
2014-11-03,35.709998999999996
2014-11-04,36.709998999999996
2014-11-05,35.669998
2014-11-06,27.870001000000002
2014-11-07,29.83
2014-11-10,28.200001
2014-11-11,28.15
2014-11-12,27.51
2014-11-13,27.25
2014-11-14,28.700001
2014-11-17,28.32
2014-11-18,27.82
2014-11-19,28.08
2014-11-20,29.379998999999998
2014-11-21,29.9
2014-11-24,30.07
2014-11-25,29.860001
2014-11-26,30.129998999999998
2014-11-28,29.969998999999998
2014-12-01,29.01
2014-12-02,29.65
2014-12-03,30.25
2014-12-04,29.07
2014-12-05,29.129998999999998
2014-12-08,29.129998999999998
2014-12-09,30.540001
2014-12-10,29.85
2014-12-11,30.82
2014-12-12,29.700001
2014-12-15,29.85
2014-12-16,30.139999
2014-12-17,31.26
2014-12-18,31.469998999999998
2014-12-19,32.02
2014-12-22,28.219998999999998
2014-12-23,27.18
2014-12-24,28.77
2014-12-26,28.469998999999998
2014-12-29,28.620001000000002
2014-12-30,28.34
2014-12-31,28.190001000000002
2015-01-02,28.610001
2015-01-05,27.309998999999998
2015-01-06,27.0
2015-01-07,27.190001000000002
2015-01-08,26.98
2015-01-09,26.879998999999998
2015-01-12,26.08
2015-01-13,24.219998999999998
2015-01-14,24.309998999999998
2015-01-15,25.27
2015-01-16,25.870001000000002
2015-01-20,25.790001
2015-01-21,26.92
2015-01-22,26.0
2015-01-23,25.42
2015-01-26,26.41
2015-01-27,26.33
2015-01-28,25.360001
2015-01-29,25.700001
2015-01-30,25.709999
2015-02-02,26.42
2015-02-03,26.84
2015-02-04,26.030001000000002
2015-02-05,26.799999
2015-02-06,28.33
2015-02-09,28.26
2015-02-10,27.85
2015-02-11,28.09
2015-02-12,28.0
