Date,HAL
1973-06-05,5.509589
1973-06-06,5.519516
1973-06-07,5.757769000000001
1973-06-08,5.966239
1973-06-11,5.966239
1973-06-12,6.169747
1973-06-13,6.239237
1973-06-14,6.22931
1973-06-15,6.080401999999999
1973-06-18,5.747841
1973-06-19,5.747841
1973-06-20,5.837186
1973-06-21,5.837186
1973-06-22,5.926531
1973-06-25,5.837186
1973-06-26,5.886822
1973-06-27,5.966239
1973-06-28,6.090330000000001
1973-06-29,6.005949
1973-07-02,5.896749
1973-07-03,5.837186
1973-07-05,5.807405
1973-07-06,5.78755
1973-07-09,5.896749
1973-07-10,5.936458
1973-07-11,6.189601000000001
1973-07-12,6.189601000000001
1973-07-13,6.110183999999999
1973-07-16,6.110183999999999
1973-07-17,6.060548000000001
1973-07-18,6.1796739999999994
1973-07-19,6.22931
1973-07-20,6.2491650000000005
1973-07-23,6.328582
1973-07-24,6.348436
1973-07-25,6.527126
1973-07-26,6.427854
1973-07-27,6.457635
1973-07-30,6.5469800000000005
1973-07-31,6.437781
1973-08-01,6.457635
1973-08-02,6.5469800000000005
1973-08-03,6.517199
1973-08-06,6.626398
1973-08-07,6.586689
1973-08-08,6.5767619999999996
1973-08-09,6.537053
1973-08-10,6.427854
1973-08-13,6.348436
1973-08-14,6.288873000000001
1973-08-15,6.2789459999999995
1973-08-16,6.2491650000000005
1973-08-17,6.269019
1973-08-20,6.22931
1973-08-21,6.2193830000000005
1973-08-22,6.110183999999999
1973-08-23,6.1796739999999994
1973-08-24,6.2491650000000005
1973-08-27,6.2789459999999995
1973-08-28,6.338508999999999
1973-08-29,6.388145
1973-08-30,6.398072
1973-08-31,6.457635
1973-09-04,6.527126
1973-09-05,6.6462520000000005
1973-09-06,6.819978
1973-09-07,6.7802690000000005
1973-09-10,6.636325
1973-09-11,6.5469800000000005
1973-09-12,6.6462520000000005
1973-09-13,6.666106
1973-09-14,6.770341999999999
1973-09-17,6.790196000000001
1973-09-18,6.685961
1973-09-19,6.839832
1973-09-20,6.839832
1973-09-21,6.705814999999999
1973-09-24,6.695888
1973-09-25,6.626398
1973-09-26,6.606542999999999
1973-09-27,6.606542999999999
1973-09-28,6.5469800000000005
1973-10-01,6.606542999999999
1973-10-02,6.586689
1973-10-03,6.507271
1973-10-04,6.398072
1973-10-05,6.487417
1973-10-08,6.398072
1973-10-09,6.318655000000001
1973-10-10,6.209455999999999
1973-10-11,6.388145
1973-10-12,6.5767619999999996
1973-10-15,6.61647
1973-10-16,6.656178999999999
1973-10-17,6.7802690000000005
1973-10-18,6.869614
1973-10-19,6.869614
1973-10-22,6.800122999999999
1973-10-23,6.839832
1973-10-24,6.7802690000000005
1973-10-25,6.869614
1973-10-26,7.157502
1973-10-29,7.187284
1973-10-30,7.266700999999999
1973-10-31,7.147575
1973-11-01,7.147575
1973-11-02,7.147575
1973-11-05,7.157502
1973-11-06,7.197211
1973-11-07,7.068158
1973-11-08,7.1376479999999995
1973-11-09,7.048303
1973-11-12,7.088011999999999
1973-11-13,7.425536
1973-11-14,7.385828
1973-11-15,7.385828
1973-11-16,7.395755
1973-11-19,7.3064100000000005
1973-11-20,6.978813000000001
1973-11-21,7.147575
1973-11-23,7.127721000000001
1973-11-26,6.988739999999999
1973-11-27,6.725669
1973-11-28,6.899394999999999
1973-11-29,6.949031
1973-11-30,6.978813000000001
1973-12-03,6.725669
1973-12-04,6.725669
1973-12-05,6.715742
1973-12-06,6.725669
1973-12-07,6.949031
1973-12-10,7.008595
1973-12-11,7.008595
1973-12-12,6.958958999999999
1973-12-13,6.7802690000000005
1973-12-14,6.819978
1973-12-17,6.889467999999999
1973-12-18,7.068158
1973-12-19,7.177357000000001
1973-12-20,7.3759
1973-12-21,7.336192
1973-12-24,7.326264
1973-12-26,7.460281
1973-12-27,7.529772
1973-12-28,7.619116
1973-12-31,7.6687520000000005
1974-01-02,7.648898
1974-01-03,7.589335
1974-01-04,7.336192
1974-01-07,7.276628
1974-01-08,7.068158
1974-01-09,6.829905
