Date,TPCO
2014-07-24,25.5
2014-07-25,24.5
2014-07-28,23.4
2014-07-29,22.799999
2014-07-30,21.75
2014-07-31,21.030001000000002
2014-08-01,22.0
2014-08-04,22.120001000000002
2014-08-05,21.15
2014-08-06,20.9
2014-08-07,20.950001
2014-08-08,21.0
2014-08-11,20.52
2014-08-12,19.549999
2014-08-13,19.5
2014-08-14,19.639999
2014-08-15,19.51
2014-08-18,19.370001000000002
2014-08-19,19.77
2014-08-20,19.549999
2014-08-21,19.82
2014-08-22,19.68
2014-08-25,19.68
2014-08-26,19.57
2014-08-27,19.25
2014-08-28,19.17
2014-08-29,19.200001
2014-09-02,18.92
2014-09-03,18.530001000000002
2014-09-04,18.98
2014-09-05,19.4
2014-09-08,20.5
2014-09-09,21.52
2014-09-10,21.99
2014-09-11,22.0
2014-09-12,22.02
2014-09-15,21.85
2014-09-16,21.07
2014-09-17,20.209999
2014-09-18,19.82
2014-09-19,20.74
2014-09-22,20.639999
2014-09-23,20.52
2014-09-24,21.02
2014-09-25,20.77
2014-09-26,20.58
2014-09-29,20.08
2014-09-30,20.18
2014-10-01,19.959999
2014-10-02,19.940001000000002
2014-10-03,19.91
2014-10-06,19.959999
2014-10-07,19.690001000000002
2014-10-08,19.370001000000002
2014-10-09,18.75
2014-10-10,17.98
2014-10-13,17.74
2014-10-14,17.84
2014-10-15,17.82
2014-10-16,17.700001
2014-10-17,18.16
2014-10-20,18.219998999999998
2014-10-21,19.09
2014-10-22,19.24
2014-10-23,19.51
2014-10-24,19.42
2014-10-27,19.07
2014-10-28,19.15
2014-10-29,19.209999
2014-10-30,18.98
2014-10-31,19.059998999999998
2014-11-03,19.74
2014-11-04,19.370001000000002
2014-11-05,16.389999
2014-11-06,15.74
2014-11-07,16.01
2014-11-10,16.35
2014-11-11,16.93
2014-11-12,17.969998999999998
2014-11-13,17.65
2014-11-14,17.639999
2014-11-17,18.5
2014-11-18,19.299999
2014-11-19,19.52
2014-11-20,19.870001000000002
2014-11-21,20.299999
2014-11-24,20.5
2014-11-25,20.540001
2014-11-26,20.66
2014-11-28,21.09
2014-12-01,21.370001000000002
2014-12-02,21.370001000000002
2014-12-03,21.540001
2014-12-04,22.0
2014-12-05,22.059998999999998
2014-12-08,22.76
2014-12-09,22.969998999999998
