Date,CS
1995-05-16,21.118164
1995-05-17,21.118164
1995-05-18,21.118164
1995-05-19,21.118164
1995-05-22,21.118164
1995-05-23,21.118164
1995-05-24,21.118164
1995-05-25,21.118164
1995-05-26,21.118164
1995-05-30,21.118164
1995-05-31,21.118164
1995-06-01,21.118164
1995-06-02,21.118164
1995-06-05,21.118164
1995-06-06,21.118164
1995-06-07,21.118164
1995-06-08,21.118164
1995-06-09,21.118164
1995-06-12,21.118164
1995-06-13,21.118164
1995-06-14,21.118164
1995-06-15,21.118164
1995-06-16,21.118164
1995-06-19,21.118164
1995-06-20,21.118164
1995-06-21,21.118164
1995-06-22,21.118164
1995-06-23,21.118164
1995-06-26,21.118164
1995-06-27,21.118164
1995-06-28,21.118164
1995-06-29,22.460938
1995-06-30,22.460938
1995-07-03,22.460938
1995-07-05,22.460938
1995-07-06,22.460938
1995-07-07,21.850586
1995-07-10,21.606445
1995-07-11,21.240234
1995-07-12,21.240234
1995-07-13,21.240234
1995-07-14,21.240234
1995-07-17,21.240234
1995-07-18,21.606445
1995-07-19,21.484375
1995-07-20,21.484375
1995-07-21,21.484375
1995-07-24,21.484375
1995-07-25,21.240234
1995-07-26,21.240234
1995-07-27,20.874023
1995-07-28,20.874023
1995-07-31,20.996094
1995-08-01,20.996094
1995-08-02,20.996094
1995-08-03,20.507813
1995-08-04,20.507813
1995-08-07,20.019531
1995-08-08,20.019531
1995-08-09,20.019531
1995-08-10,19.897461
1995-08-11,19.775391
1995-08-14,19.287109
1995-08-15,19.287109
1995-08-16,19.287109
1995-08-17,19.287109
1995-08-18,19.287109
1995-08-21,19.897461
1995-08-22,19.897461
1995-08-23,19.897461
1995-08-24,19.897461
1995-08-25,20.019531
1995-08-28,20.019531
1995-08-29,20.019531
1995-08-30,20.019531
1995-08-31,20.019531
1995-09-01,20.019531
1995-09-05,20.019531
1995-09-06,20.019531
1995-09-07,20.019531
1995-09-08,20.629883
1995-09-11,20.629883
1995-09-12,20.996094
1995-09-13,20.996094
1995-09-14,20.996094
1995-09-15,20.629883
1995-09-18,20.996094
1995-09-19,20.996094
1995-09-20,20.996094
1995-09-21,24.047852
1995-09-22,23.31543
1995-09-25,23.31543
1995-09-26,23.31543
1995-09-27,23.31543
1995-09-28,22.827148
1995-09-29,22.705078
1995-10-02,22.705078
1995-10-03,22.949219
1995-10-04,22.949219
1995-10-05,23.071289
1995-10-06,22.827148
1995-10-09,23.4375
1995-10-10,23.4375
1995-10-11,23.681641
1995-10-12,23.681641
1995-10-13,23.681641
1995-10-16,23.681641
1995-10-17,23.681641
1995-10-18,23.681641
1995-10-19,24.902344
1995-10-20,24.902344
1995-10-23,24.902344
1995-10-24,24.658203
1995-10-25,24.658203
1995-10-26,24.658203
1995-10-27,24.536133
1995-10-30,24.536133
1995-10-31,24.536133
1995-11-01,24.536133
1995-11-02,24.536133
1995-11-03,24.536133
1995-11-06,24.536133
1995-11-07,25.146484
1995-11-08,24.780273
1995-11-09,25.146484
1995-11-10,25.146484
1995-11-13,25.146484
1995-11-14,24.536133
1995-11-15,24.536133
1995-11-16,24.536133
1995-11-17,24.536133
1995-11-20,24.536133
