Date,SLRC
2010-02-09,18.0
2010-02-10,18.08
2010-02-11,18.35
2010-02-12,18.42
2010-02-16,18.35
2010-02-17,18.299999
2010-02-18,18.24
2010-02-19,18.27
2010-02-22,18.24
2010-02-23,18.209999
2010-02-24,18.4
2010-02-25,18.26
2010-02-26,18.459999
2010-03-01,18.540001
2010-03-02,18.65
2010-03-03,18.860001
2010-03-04,18.83
2010-03-05,19.6
2010-03-08,19.5
2010-03-09,19.370001000000002
2010-03-10,19.35
2010-03-11,19.15
2010-03-12,19.15
2010-03-15,19.43
2010-03-16,19.299999
2010-03-17,19.450001
2010-03-18,19.65
2010-03-19,19.24
2010-03-22,19.99
2010-03-23,20.299999
2010-03-24,20.290001
2010-03-25,20.84
2010-03-26,21.9
2010-03-29,22.0
2010-03-30,21.280001000000002
2010-03-31,21.139999
2010-04-01,22.34
2010-04-05,22.43
2010-04-06,22.59
2010-04-07,22.780001000000002
2010-04-08,22.85
2010-04-09,22.790001
2010-04-12,22.959999
2010-04-13,23.59
2010-04-14,23.73
2010-04-15,23.540001
2010-04-16,22.48
2010-04-19,22.709999
2010-04-20,23.5
2010-04-21,23.5
2010-04-22,23.639999
2010-04-23,23.549999
2010-04-26,23.440001000000002
2010-04-27,22.57
2010-04-28,23.02
2010-04-29,23.41
2010-04-30,23.26
2010-05-03,23.16
2010-05-04,22.9
2010-05-05,23.040001
2010-05-06,20.549999
2010-05-07,21.74
2010-05-10,23.52
2010-05-11,23.5
2010-05-12,23.540001
2010-05-13,22.07
2010-05-14,21.0
2010-05-17,21.09
2010-05-18,20.98
2010-05-19,20.440001000000002
2010-05-20,19.9
2010-05-21,20.290001
2010-05-24,20.4
2010-05-25,20.629998999999998
2010-05-26,20.58
2010-05-27,21.16
2010-05-28,21.34
2010-06-01,21.27
2010-06-02,21.290001
2010-06-03,21.299999
2010-06-04,20.92
2010-06-07,21.030001000000002
2010-06-08,21.1
2010-06-09,21.16
2010-06-10,21.450001
2010-06-11,21.700001
2010-06-14,20.92
2010-06-15,20.040001
2010-06-16,19.85
2010-06-17,19.530001000000002
2010-06-18,19.4
2010-06-21,19.379998999999998
2010-06-22,19.200001
2010-06-23,19.139999
2010-06-24,19.15
2010-06-25,19.49
2010-06-28,19.540001
2010-06-29,19.700001
2010-06-30,19.26
2010-07-01,19.09
2010-07-02,19.030001000000002
2010-07-06,18.82
2010-07-07,19.389999
2010-07-08,19.530001000000002
2010-07-09,19.530001000000002
2010-07-12,19.65
2010-07-13,20.030001000000002
2010-07-14,19.940001000000002
2010-07-15,19.879998999999998
2010-07-16,19.65
2010-07-19,19.85
2010-07-20,19.76
2010-07-21,19.73
2010-07-22,19.9
2010-07-23,19.959999
2010-07-26,20.389999
2010-07-27,20.540001
2010-07-28,20.33
2010-07-29,20.43
2010-07-30,20.620001000000002
2010-08-02,20.73
2010-08-03,20.610001
2010-08-04,20.18
2010-08-05,20.27
2010-08-06,20.23
2010-08-09,20.26
2010-08-10,20.0
2010-08-11,19.66
2010-08-12,20.25
2010-08-13,20.25
2010-08-16,20.27
2010-08-17,20.35
2010-08-18,20.02
2010-08-19,19.940001000000002
2010-08-20,19.870001000000002
2010-08-23,19.799999
2010-08-24,19.66
2010-08-25,19.799999
2010-08-26,19.43
2010-08-27,19.85
2010-08-30,19.780001000000002
2010-08-31,19.639999
2010-09-01,20.02
2010-09-02,20.01
2010-09-03,20.17
2010-09-07,20.030001000000002
2010-09-08,20.1
2010-09-09,20.040001
2010-09-10,20.25
2010-09-13,20.42
2010-09-14,20.5
2010-09-15,20.25
2010-09-16,20.129998999999998
2010-09-17,20.219998999999998
2010-09-20,20.629998999999998
2010-09-21,20.629998999999998
2010-09-22,20.73
2010-09-23,20.459999
2010-09-24,20.76
2010-09-27,20.99
2010-09-28,21.200001
2010-09-29,21.66
2010-09-30,21.450001
2010-10-01,21.58
