Date,BCE
1982-11-15,9.1875
1982-11-16,9.0
1982-11-17,9.0
1982-11-18,9.0
1982-11-19,9.0625
1982-11-22,9.1875
1982-11-23,9.125
1982-11-24,9.0625
1982-11-26,8.875
1982-11-29,8.875
1982-11-30,9.0
1982-12-01,8.875
1982-12-02,9.0
1982-12-03,9.125
1982-12-06,9.1875
1982-12-07,9.375
1982-12-08,9.5
1982-12-09,9.1875
1982-12-10,9.1875
1982-12-13,9.25
1982-12-14,9.3125
1982-12-15,9.25
1982-12-16,9.25
1982-12-17,9.25
1982-12-20,9.25
1982-12-21,9.1875
1982-12-22,9.25
1982-12-23,9.5
1982-12-27,9.5
1982-12-28,9.5625
1982-12-29,9.75
1982-12-30,9.75
1982-12-31,9.875
1983-01-03,9.9375
1983-01-04,9.6875
1983-01-05,9.6875
1983-01-06,9.75
1983-01-07,9.8125
1983-01-10,9.8125
1983-01-11,9.75
1983-01-12,9.8125
1983-01-13,9.8125
1983-01-14,9.8125
1983-01-17,9.75
1983-01-18,9.6875
1983-01-19,9.5625
1983-01-20,9.625
1983-01-21,9.5
1983-01-24,9.3125
1983-01-25,9.375
1983-01-26,9.3125
1983-01-27,9.4375
1983-01-28,9.25
1983-01-31,9.0625
1983-02-01,9.0625
1983-02-02,9.1875
1983-02-03,9.3125
1983-02-04,9.25
1983-02-07,9.375
1983-02-08,9.5625
1983-02-09,9.5
1983-02-10,9.625
1983-02-11,9.625
1983-02-14,9.6875
1983-02-15,9.75
1983-02-16,9.75
1983-02-17,9.75
1983-02-18,9.875
1983-02-22,9.8125
1983-02-23,9.8125
1983-02-24,10.1875
1983-02-25,10.1875
1983-02-28,10.0625
1983-03-01,10.25
1983-03-02,10.5
1983-03-03,10.5
1983-03-04,10.4375
1983-03-07,10.4375
1983-03-08,10.375
1983-03-09,10.125
1983-03-10,10.125
1983-03-11,10.125
1983-03-14,10.125
1983-03-15,10.1875
1983-03-16,10.1875
1983-03-17,10.125
1983-03-18,10.1875
1983-03-21,10.1875
1983-03-22,10.1875
1983-03-23,10.1875
1983-03-24,10.1875
1983-03-25,10.25
1983-03-28,10.25
1983-03-29,10.25
1983-03-30,10.3125
1983-03-31,10.25
1983-04-04,10.3125
1983-04-05,10.3125
1983-04-06,10.1875
1983-04-07,10.1875
1983-04-08,10.1875
1983-04-11,10.25
1983-04-12,10.375
1983-04-13,10.375
1983-04-14,10.4375
1983-04-15,10.4375
1983-04-18,10.5625
1983-04-19,10.8125
1983-04-20,11.25
1983-04-21,11.125
1983-04-22,11.25
1983-04-25,11.1875
1983-04-26,11.25
1983-04-27,11.1875
1983-04-28,11.3125
1983-04-29,11.1875
1983-05-02,11.1875
1983-05-03,11.1875
1983-05-04,11.25
1983-05-05,11.375
1983-05-06,11.4375
1983-05-09,11.4375
1983-05-10,11.4375
1983-05-11,11.375
1983-05-12,11.3125
1983-05-13,11.4375
1983-05-16,11.25
1983-05-17,11.3125
1983-05-18,11.3125
1983-05-19,11.125
1983-05-20,11.0625
1983-05-23,11.0
1983-05-24,11.125
1983-05-25,10.8125
1983-05-26,10.75
1983-05-27,10.8125
1983-05-31,10.9375
1983-06-01,10.875
1983-06-02,10.75
1983-06-03,10.8125
1983-06-06,11.0
1983-06-07,11.0625
1983-06-08,11.0
1983-06-09,10.75
1983-06-10,10.6875
1983-06-13,10.6875
1983-06-14,10.6875
1983-06-15,10.625
1983-06-16,10.625
1983-06-17,10.875
1983-06-20,10.9375
1983-06-21,10.875
1983-06-22,10.875
1983-06-23,10.875
1983-06-24,10.875
1983-06-27,10.8125
1983-06-28,10.75
1983-06-29,10.8125
1983-06-30,10.875
1983-07-01,10.8125
1983-07-05,10.75
1983-07-06,10.6875
1983-07-07,10.75
1983-07-08,10.75
1983-07-11,10.75
1983-07-12,10.625
1983-07-13,10.5625
1983-07-14,10.6875
1983-07-15,10.5625
1983-07-18,10.5625
1983-07-19,10.5625
1983-07-20,10.6875
1983-07-21,10.6875
1983-07-22,10.6875
1983-07-25,10.625
1983-07-26,10.75
1983-07-27,10.75
1983-07-28,10.75
1983-07-29,10.75
1983-08-01,10.625
1983-08-02,10.5
