Date,NCR
1996-12-11,18.0625
1996-12-12,20.125
1996-12-13,19.5
1996-12-16,19.0625
1996-12-17,18.625
1996-12-18,18.6875
1996-12-19,18.5
1996-12-20,18.0625
1996-12-23,18.0625
1996-12-24,18.1875
1996-12-26,18.0625
1996-12-27,17.6875
1996-12-30,17.5625
1996-12-31,16.8125
1997-01-02,16.875
1997-01-03,17.625
1997-01-06,17.8125
1997-01-07,17.5
1997-01-08,17.1875
1997-01-09,16.6875
1997-01-10,16.25
1997-01-13,16.0
1997-01-14,16.25
1997-01-15,17.5625
1997-01-16,17.375
1997-01-17,18.0
1997-01-20,17.8125
1997-01-21,19.375
1997-01-22,19.9375
1997-01-23,19.5
1997-01-24,19.5
1997-01-27,19.3125
1997-01-28,19.6875
1997-01-29,19.9375
1997-01-30,19.375
1997-01-31,18.9375
1997-02-03,19.0
1997-02-04,18.75
1997-02-05,18.25
1997-02-06,17.9375
1997-02-07,17.9375
1997-02-10,18.125
1997-02-11,17.875
1997-02-12,17.8125
1997-02-13,17.5
1997-02-14,17.5
1997-02-18,18.0625
1997-02-19,17.75
1997-02-20,17.625
1997-02-21,17.5625
1997-02-24,18.0625
1997-02-25,17.625
1997-02-26,17.5
1997-02-27,16.9375
1997-02-28,16.5
1997-03-03,17.1875
1997-03-04,17.375
1997-03-05,17.3125
1997-03-06,17.5
1997-03-07,17.375
1997-03-10,17.75
1997-03-11,18.5625
1997-03-12,18.5625
1997-03-13,18.25
1997-03-14,18.3125
1997-03-17,18.3125
1997-03-18,18.0625
1997-03-19,18.125
1997-03-20,18.125
1997-03-21,18.125
1997-03-24,17.8125
1997-03-25,18.1875
1997-03-26,17.9375
1997-03-27,17.9375
1997-03-31,17.5625
1997-04-01,17.6875
1997-04-02,17.1875
1997-04-03,17.0
1997-04-04,17.125
1997-04-07,17.1875
1997-04-08,17.0625
1997-04-09,16.9375
1997-04-10,16.6875
1997-04-11,16.5
1997-04-14,16.5
1997-04-15,16.0625
1997-04-16,15.25
1997-04-17,14.9375
1997-04-18,15.125
1997-04-21,15.25
1997-04-22,15.125
1997-04-23,14.875
1997-04-24,14.8125
1997-04-25,14.875
1997-04-28,14.6875
1997-04-29,14.5625
1997-04-30,14.4375
1997-05-01,15.3125
1997-05-02,16.0
1997-05-05,15.875
1997-05-06,15.4375
1997-05-07,14.9375
1997-05-08,15.0
1997-05-09,15.3125
1997-05-12,15.625
1997-05-13,15.8125
1997-05-14,15.8125
1997-05-15,15.75
1997-05-16,15.375
1997-05-19,15.0625
1997-05-20,14.6875
1997-05-21,15.0
1997-05-22,15.0
1997-05-23,15.0625
1997-05-27,15.6875
1997-05-28,15.5625
1997-05-29,16.125
1997-05-30,16.25
1997-06-02,16.1875
1997-06-03,15.75
1997-06-04,15.5625
1997-06-05,15.3125
1997-06-06,15.6875
1997-06-09,15.40625
1997-06-10,15.25
1997-06-11,15.3125
1997-06-12,15.3125
1997-06-13,15.1875
1997-06-16,15.125
1997-06-17,14.4375
1997-06-18,14.5
1997-06-19,14.125
1997-06-20,14.3125
1997-06-23,14.25
1997-06-24,14.40625
1997-06-25,14.75
1997-06-26,14.5
1997-06-27,14.53125
1997-06-30,14.8125
1997-07-01,14.65625
1997-07-02,14.6875
1997-07-03,14.46875
1997-07-07,14.21875
1997-07-08,14.21875
1997-07-09,14.03125
1997-07-10,14.09375
1997-07-11,14.0
1997-07-14,14.0
1997-07-15,13.9375
1997-07-16,14.375
1997-07-17,13.9375
1997-07-18,13.78125
1997-07-21,13.71875
1997-07-22,14.03125
1997-07-23,14.15625
1997-07-24,14.09375
1997-07-25,14.15625
1997-07-28,14.375
1997-07-29,14.78125
1997-07-30,15.46875
1997-07-31,16.03125
1997-08-01,16.8125
1997-08-04,16.25
1997-08-05,16.40625
1997-08-06,16.71875
1997-08-07,17.4375
1997-08-08,17.125
1997-08-11,16.9375
1997-08-12,17.125
1997-08-13,17.40625
1997-08-14,17.65625
1997-08-15,17.4375
1997-08-18,17.625
1997-08-19,17.375
1997-08-20,17.3125
1997-08-21,17.28125
1997-08-22,17.0
1997-08-25,17.25
1997-08-26,17.375
1997-08-27,17.5625
1997-08-28,17.6875
1997-08-29,17.71875
1997-09-02,17.8125
1997-09-03,17.5625
1997-09-04,17.5625
1997-09-05,18.0
1997-09-08,18.65625
1997-09-09,18.4375
1997-09-10,18.28125
1997-09-11,17.9375
1997-09-12,18.40625
1997-09-15,18.5
1997-09-16,18.15625
1997-09-17,18.5625
1997-09-18,18.25
1997-09-19,18.28125
1997-09-22,18.21875
1997-09-23,17.96875
1997-09-24,17.53125
1997-09-25,17.65625
1997-09-26,17.53125
1997-09-29,17.625
1997-09-30,17.4375
1997-10-01,17.53125
1997-10-02,17.53125
1997-10-03,18.09375
1997-10-06,18.59375
1997-10-07,18.6875
1997-10-08,18.375
1997-10-09,18.625
1997-10-10,18.75
1997-10-13,19.125
1997-10-14,18.96875
1997-10-15,17.8125
1997-10-16,17.0
1997-10-17,16.53125
1997-10-20,16.84375
1997-10-21,17.53125
1997-10-22,17.375
1997-10-23,16.75
1997-10-24,16.0
1997-10-27,14.8125
1997-10-28,15.1875
1997-10-29,15.65625
1997-10-30,14.96875
1997-10-31,15.15625
1997-11-03,15.65625
1997-11-04,15.9375
1997-11-05,16.25
1997-11-06,15.96875
1997-11-07,15.34375
1997-11-10,14.9375
1997-11-11,14.96875
1997-11-12,14.78125
1997-11-13,14.75
1997-11-14,15.09375
1997-11-17,15.09375
1997-11-18,14.96875
1997-11-19,14.84375
1997-11-20,14.9375
1997-11-21,14.875
1997-11-24,14.71875
1997-11-25,14.5
1997-11-26,14.9375
1997-11-28,14.75
1997-12-01,14.9375
1997-12-02,14.625
1997-12-03,15.0625
1997-12-04,15.0625
1997-12-05,15.0
1997-12-08,14.71875
1997-12-09,14.5
1997-12-10,14.21875
1997-12-11,14.03125
1997-12-12,13.71875
1997-12-15,13.5
1997-12-16,12.96875
1997-12-17,13.46875
1997-12-18,13.71875
1997-12-19,14.5
1997-12-22,14.09375
1997-12-23,13.90625
1997-12-24,13.96875
1997-12-26,13.90625
1997-12-29,13.84375
1997-12-30,13.8125
1997-12-31,13.90625
1998-01-02,14.25
1998-01-05,14.46875
1998-01-06,13.8125
1998-01-07,14.0
1998-01-08,13.90625
1998-01-09,13.25
1998-01-12,13.0625
1998-01-13,13.40625
1998-01-14,13.46875
1998-01-15,13.75
1998-01-16,13.9375
1998-01-20,13.65625
1998-01-21,13.5
1998-01-22,13.53125
1998-01-23,13.9375
1998-01-26,14.3125
1998-01-27,14.09375
1998-01-28,14.78125
1998-01-29,15.0
1998-01-30,15.03125
1998-02-02,14.875
1998-02-03,14.625
1998-02-04,15.0
1998-02-05,14.75
1998-02-06,14.9375
1998-02-09,15.28125
1998-02-10,15.375
1998-02-11,15.5
1998-02-12,15.59375
1998-02-13,16.0625
1998-02-17,16.0
1998-02-18,15.8125
1998-02-19,16.0
1998-02-20,15.75
1998-02-23,15.875
1998-02-24,15.6875
1998-02-25,15.90625
1998-02-26,16.0
1998-02-27,15.625
1998-03-02,15.71875
1998-03-03,15.5
1998-03-04,15.9375
1998-03-05,15.875
1998-03-06,16.15625
1998-03-09,15.8125
1998-03-10,16.65625
1998-03-11,16.84375
1998-03-12,16.90625
1998-03-13,16.84375
1998-03-16,16.96875
1998-03-17,16.59375
1998-03-18,16.40625
1998-03-19,16.46875
1998-03-20,16.53125
1998-03-23,16.5
1998-03-24,16.53125
1998-03-25,16.40625
1998-03-26,16.5
1998-03-27,16.21875
1998-03-30,15.90625
1998-03-31,16.53125
1998-04-01,17.0
1998-04-02,17.15625
1998-04-03,17.21875
1998-04-06,16.875
1998-04-07,16.3125
1998-04-08,16.53125
1998-04-09,16.3125
1998-04-13,16.5625
1998-04-14,16.34375
1998-04-15,16.25
1998-04-16,15.96875
1998-04-17,16.5
1998-04-20,17.40625
1998-04-21,17.875
1998-04-22,18.3125
1998-04-23,18.375
1998-04-24,18.59375
1998-04-27,19.03125
1998-04-28,18.5625
1998-04-29,18.375
1998-04-30,18.34375
1998-05-01,18.6875
1998-05-04,18.5
1998-05-05,18.28125
1998-05-06,18.90625
1998-05-07,18.6875
1998-05-08,18.25
1998-05-11,18.5
1998-05-12,18.15625
1998-05-13,18.3125
1998-05-14,18.375
1998-05-15,17.96875
1998-05-18,17.9375
1998-05-19,18.28125
1998-05-20,18.46875
1998-05-21,18.75
1998-05-22,18.5
1998-05-26,17.46875
1998-05-27,17.4375
1998-05-28,17.40625
1998-05-29,16.96875
1998-06-01,16.875
1998-06-02,16.84375
1998-06-03,16.75
1998-06-04,16.84375
1998-06-05,16.875
1998-06-08,16.8125
1998-06-09,17.0
1998-06-10,16.875
1998-06-11,16.78125
1998-06-12,16.78125
1998-06-15,16.4375
1998-06-16,16.53125
1998-06-17,16.25
1998-06-18,15.78125
1998-06-19,15.46875
1998-06-22,15.75
1998-06-23,16.0
1998-06-24,16.375
1998-06-25,16.1875
1998-06-26,16.1875
1998-06-29,16.03125
1998-06-30,16.25
1998-07-01,16.59375
1998-07-02,16.53125
1998-07-06,16.625
1998-07-07,16.53125
1998-07-08,16.53125
1998-07-09,16.53125
1998-07-10,16.21875
1998-07-13,16.1875
1998-07-14,15.5
1998-07-15,16.375
1998-07-16,16.96875
1998-07-17,17.125
