Date,CHEF
2011-07-28,17.5
2011-07-29,17.75
2011-08-01,18.0
2011-08-02,18.01
2011-08-03,18.5
2011-08-04,17.530001000000002
2011-08-05,17.52
2011-08-08,16.5
2011-08-09,16.59
2011-08-10,16.68
2011-08-11,16.440001000000002
2011-08-12,16.530001000000002
2011-08-15,16.57
2011-08-16,16.540001
2011-08-17,16.450001
2011-08-18,16.18
2011-08-19,15.24
2011-08-22,14.49
2011-08-23,14.8
2011-08-24,15.16
2011-08-25,14.95
2011-08-26,13.97
2011-08-29,13.91
2011-08-30,14.09
2011-08-31,14.5
2011-09-01,14.08
2011-09-02,13.56
2011-09-06,12.98
2011-09-07,13.71
2011-09-08,13.81
2011-09-09,13.86
2011-09-12,13.93
2011-09-13,14.11
2011-09-14,14.06
2011-09-15,15.2
2011-09-16,15.37
2011-09-19,15.14
2011-09-20,14.84
2011-09-21,14.34
2011-09-22,14.06
2011-09-23,14.0
2011-09-26,13.45
2011-09-27,13.51
2011-09-28,12.82
2011-09-29,12.58
2011-09-30,11.76
2011-10-03,11.7
2011-10-04,12.78
2011-10-05,12.8
2011-10-06,12.84
2011-10-07,12.96
2011-10-10,13.17
2011-10-11,13.54
2011-10-12,13.39
2011-10-13,13.25
2011-10-14,13.03
2011-10-17,12.66
2011-10-18,13.31
2011-10-19,13.17
2011-10-20,13.07
2011-10-21,13.72
2011-10-24,13.84
2011-10-25,13.18
2011-10-26,13.32
2011-10-27,13.93
2011-10-28,14.82
2011-10-31,14.29
2011-11-01,14.14
2011-11-02,14.3
2011-11-03,14.73
2011-11-04,14.25
2011-11-07,14.08
2011-11-08,14.2
2011-11-09,13.48
2011-11-10,13.6
2011-11-11,13.59
2011-11-14,13.4
2011-11-15,13.83
2011-11-16,13.91
2011-11-17,13.87
2011-11-18,14.19
2011-11-21,14.0
2011-11-22,13.85
2011-11-23,13.81
2011-11-25,13.11
2011-11-28,13.59
2011-11-29,13.09
2011-11-30,13.38
2011-12-01,13.79
2011-12-02,14.47
2011-12-05,14.94
2011-12-06,15.84
2011-12-07,15.41
2011-12-08,15.34
2011-12-09,16.450001
2011-12-12,15.69
2011-12-13,15.35
2011-12-14,15.25
2011-12-15,15.47
2011-12-16,15.63
2011-12-19,14.99
2011-12-20,15.5
2011-12-21,16.290001
2011-12-22,16.26
2011-12-23,16.610001
2011-12-27,16.93
2011-12-28,16.51
2011-12-29,17.120001000000002
2011-12-30,17.860001
2012-01-03,17.82
2012-01-04,17.4
2012-01-05,17.52
2012-01-06,17.48
2012-01-09,17.51
2012-01-10,17.25
2012-01-11,16.799999
2012-01-12,17.16
2012-01-13,17.17
2012-01-17,17.5
2012-01-18,18.780001000000002
2012-01-19,18.76
2012-01-20,18.799999
2012-01-23,18.6
2012-01-24,19.290001
2012-01-25,20.280001000000002
2012-01-26,20.51
2012-01-27,20.42
2012-01-30,20.629998999999998
2012-01-31,21.09
2012-02-01,20.309998999999998
2012-02-02,20.66
2012-02-03,20.5
2012-02-06,20.33
2012-02-07,20.58
2012-02-08,20.59
2012-02-09,20.530001000000002
2012-02-10,20.059998999999998
2012-02-13,20.08
2012-02-14,19.700001
2012-02-15,19.91
2012-02-16,20.49
2012-02-17,20.360001
2012-02-21,20.360001
2012-02-22,19.969998999999998
2012-02-23,19.959999
2012-02-24,19.870001000000002
2012-02-27,19.719998999999998
2012-02-28,20.219998999999998
