Date,ACMR
2018-12-17,10.27
2018-12-18,10.22
2018-12-19,10.15
2018-12-20,10.26
2018-12-21,10.26
2018-12-24,10.06
2018-12-26,10.42
2018-12-27,10.46
2018-12-28,10.47
2018-12-31,10.88
2019-01-02,10.87
2019-01-03,10.37
2019-01-04,10.7
2019-01-07,10.75
2019-01-08,10.73
2019-01-09,10.58
2019-01-10,10.5
2019-01-11,10.51
2019-01-14,10.26
2019-01-15,10.43
2019-01-16,10.45
2019-01-17,10.28
2019-01-18,9.77
2019-01-22,9.35
2019-01-23,9.27
2019-01-24,9.75
2019-01-25,10.02
2019-01-28,9.72
2019-01-29,9.61
2019-01-30,9.49
2019-01-31,9.31
2019-02-01,9.29
2019-02-04,9.32
2019-02-05,9.42
2019-02-06,9.39
2019-02-07,9.26
2019-02-08,9.31
2019-02-11,9.32
2019-02-12,9.48
2019-02-13,9.34
2019-02-14,9.43
2019-02-15,9.5
2019-02-19,9.97
2019-02-20,11.5
2019-02-21,11.14
2019-02-22,11.59
2019-02-25,11.75
2019-02-26,11.45
2019-02-27,11.38
2019-02-28,11.35
2019-03-01,11.6
2019-03-04,12.43
2019-03-05,13.35
2019-03-06,12.68
2019-03-07,11.09
2019-03-08,11.65
2019-03-11,11.86
2019-03-12,11.89
2019-03-13,12.66
2019-03-14,13.8
2019-03-15,13.65
2019-03-18,14.87
2019-03-19,15.95
2019-03-20,15.93
2019-03-21,16.440001000000002
2019-03-22,14.48
2019-03-25,15.16
2019-03-26,15.8
2019-03-27,15.08
2019-03-28,15.15
2019-03-29,15.43
2019-04-01,15.46
2019-04-02,15.28
2019-04-03,15.69
2019-04-04,15.84
2019-04-05,15.8
2019-04-08,15.54
2019-04-09,15.15
2019-04-10,15.35
2019-04-11,15.39
2019-04-12,15.56
2019-04-15,15.44
2019-04-16,16.4
2019-04-17,17.51
2019-04-18,18.379998999999998
2019-04-22,16.360001
2019-04-23,16.809998999999998
2019-04-24,16.75
2019-04-25,15.99
2019-04-26,16.27
2019-04-29,17.200001
2019-04-30,17.23
2019-05-01,17.389999
2019-05-02,17.950001
2019-05-03,18.299999
2019-05-06,18.32
2019-05-07,18.75
2019-05-08,18.42
2019-05-09,18.51
2019-05-10,19.02
2019-05-13,18.719998999999998
2019-05-14,19.84
2019-05-15,21.35
2019-05-16,18.940001000000002
2019-05-17,19.24
2019-05-20,17.73
2019-05-21,18.24
2019-05-22,17.48
2019-05-23,17.639999
2019-05-24,18.09
2019-05-28,18.66
2019-05-29,19.01
2019-05-30,18.950001
2019-05-31,19.26
2019-06-03,18.459999
2019-06-04,18.700001
2019-06-05,18.15
2019-06-06,18.559998999999998
2019-06-07,18.459999
2019-06-10,18.9
2019-06-11,18.290001
2019-06-12,18.209999
2019-06-13,17.49
2019-06-14,17.24
2019-06-17,16.73
2019-06-18,17.73
2019-06-19,17.48
2019-06-20,16.93
2019-06-21,16.190001000000002
2019-06-24,16.27
2019-06-25,15.44
2019-06-26,15.64
2019-06-27,15.44
2019-06-28,15.61
2019-07-01,17.780001000000002
2019-07-02,17.370001000000002
2019-07-03,17.280001000000002
2019-07-05,16.48
2019-07-08,16.879998999999998
2019-07-09,16.85
2019-07-10,16.82
2019-07-11,16.51
2019-07-12,16.51
2019-07-15,16.52
2019-07-16,16.82
2019-07-17,17.32
2019-07-18,19.030001000000002
2019-07-19,18.26
2019-07-22,18.32
2019-07-23,18.17
2019-07-24,18.25
2019-07-25,17.68
2019-07-26,17.790001
2019-07-29,18.059998999999998
2019-07-30,17.49
2019-07-31,17.43
2019-08-01,16.0
2019-08-02,16.0
2019-08-05,15.72
2019-08-06,15.84
2019-08-07,16.1
2019-08-08,17.82
2019-08-09,17.18
2019-08-12,17.799999
2019-08-13,18.309998999999998
2019-08-14,14.51
2019-08-15,13.98
2019-08-16,13.98
2019-08-19,14.06
2019-08-20,14.23
2019-08-21,14.25
2019-08-22,14.73
2019-08-23,14.09
2019-08-26,13.94
2019-08-27,13.86
2019-08-28,13.91
2019-08-29,14.26
2019-08-30,14.3
2019-09-03,14.71
2019-09-04,15.7
2019-09-05,15.0
2019-09-06,14.34
2019-09-09,14.33
2019-09-10,14.58
2019-09-11,14.31
2019-09-12,14.27
2019-09-13,14.7
2019-09-16,14.65
2019-09-17,14.54
2019-09-18,14.68
2019-09-19,14.26
2019-09-20,14.39
2019-09-23,14.86
2019-09-24,14.19
2019-09-25,14.58
2019-09-26,14.1
2019-09-27,13.77
2019-09-30,13.86
2019-10-01,13.53
2019-10-02,13.82
2019-10-03,13.95
2019-10-04,13.9
2019-10-07,13.49
2019-10-08,13.11
2019-10-09,13.35
2019-10-10,13.24
2019-10-11,13.23
2019-10-14,12.81
2019-10-15,13.19
2019-10-16,12.84
2019-10-17,13.24
2019-10-18,12.66
2019-10-21,13.15
2019-10-22,13.12
2019-10-23,12.81
2019-10-24,13.5
2019-10-25,13.4
2019-10-28,13.55
2019-10-29,12.97
2019-10-30,13.0
2019-10-31,12.59
2019-11-01,12.83
2019-11-04,13.64
2019-11-05,14.26
2019-11-06,14.4
2019-11-07,15.65
2019-11-08,14.42
2019-11-11,14.39
2019-11-12,14.95
2019-11-13,14.52
2019-11-14,14.36
2019-11-15,14.42
2019-11-18,14.15
2019-11-19,13.98
2019-11-20,14.63
2019-11-21,14.3
2019-11-22,13.87
2019-11-25,14.31
2019-11-26,14.1
2019-11-27,13.79
2019-11-29,13.81
2019-12-02,13.91
2019-12-03,13.99
2019-12-04,14.11
2019-12-05,14.67
2019-12-06,15.42
2019-12-09,14.67
2019-12-10,15.08
2019-12-11,15.73
2019-12-12,15.9
2019-12-13,16.889999
2019-12-16,18.190001000000002
2019-12-17,18.690001000000002
2019-12-18,18.43
2019-12-19,18.27
2019-12-20,18.469998999999998
2019-12-23,19.620001000000002
2019-12-24,19.33
2019-12-26,19.01
2019-12-27,18.4
2019-12-30,18.145
2019-12-31,18.450001
2020-01-02,18.93
2020-01-03,19.1
2020-01-06,21.0
2020-01-07,24.5
2020-01-08,24.780001000000002
2020-01-09,23.48
2020-01-10,23.629998999999998
2020-01-13,26.280001000000002
2020-01-14,31.59
2020-01-15,35.150002
2020-01-16,36.310001
2020-01-17,36.09
2020-01-21,42.669998
2020-01-22,48.540001000000004
2020-01-23,40.259997999999996
2020-01-24,35.709998999999996
2020-01-27,37.57
2020-01-28,38.07
2020-01-29,37.040001000000004
2020-01-30,36.040001000000004
2020-01-31,34.740002000000004
2020-02-03,35.529999
2020-02-04,38.349998
2020-02-05,35.349998
2020-02-06,37.0
2020-02-07,36.029999
2020-02-10,41.59
2020-02-11,39.310001
2020-02-12,40.759997999999996
2020-02-13,38.700001
2020-02-14,39.099998
2020-02-18,41.830002
2020-02-19,39.919998
2020-02-20,42.650002
2020-02-21,38.720001
2020-02-24,38.259997999999996
2020-02-25,37.5
2020-02-26,37.360001000000004
2020-02-27,35.110001000000004
2020-02-28,34.950001
2020-03-02,36.669998
2020-03-03,35.560001
2020-03-04,35.700001
2020-03-05,35.290001000000004
2020-03-06,32.029999
2020-03-09,27.01
2020-03-10,26.790001
2020-03-11,25.6
2020-03-12,23.43
2020-03-13,22.870001000000002
2020-03-16,21.01
2020-03-17,24.02
2020-03-18,17.25
2020-03-19,20.5
2020-03-20,22.07
2020-03-23,26.219998999999998
2020-03-24,28.24
2020-03-25,27.700001
2020-03-26,29.9
2020-03-27,28.379998999999998
2020-03-30,29.99
2020-03-31,29.610001
2020-04-01,27.34
2020-04-02,27.52
2020-04-03,27.200001
2020-04-06,32.549999
2020-04-07,33.25
2020-04-08,34.880001
2020-04-09,33.080002
2020-04-13,33.279999
2020-04-14,34.59
2020-04-15,33.48
2020-04-16,35.73
2020-04-17,36.07
2020-04-20,36.029999
2020-04-21,33.330002
2020-04-22,37.09
2020-04-23,35.830002
2020-04-24,36.5
2020-04-27,38.02
2020-04-28,38.259997999999996
2020-04-29,41.439999
2020-04-30,39.93
2020-05-01,35.68
2020-05-04,35.790001000000004
2020-05-05,37.68
2020-05-06,39.299999
2020-05-07,44.189999
2020-05-08,46.66
