Date,ACMR
2017-11-02,5.6
2017-11-03,6.05
2017-11-06,5.6
2017-11-07,5.6
2017-11-08,5.6
2017-11-09,5.601
2017-11-10,5.72
2017-11-13,5.97
2017-11-14,5.97
2017-11-15,6.24
2017-11-16,6.52
2017-11-17,6.89
2017-11-20,7.34
2017-11-21,7.42
2017-11-22,6.95
2017-11-24,6.87
2017-11-27,6.9
2017-11-28,6.8
2017-11-29,6.78
2017-11-30,6.75
2017-12-01,6.79
2017-12-04,6.46
2017-12-05,5.98
2017-12-06,5.89
2017-12-07,5.9
2017-12-08,6.05
2017-12-11,5.96
2017-12-12,5.84
2017-12-13,5.53
2017-12-14,5.54
2017-12-15,5.0
2017-12-18,5.14
2017-12-19,5.02
2017-12-20,4.82
2017-12-21,5.16
2017-12-22,4.95
2017-12-26,5.01
2017-12-27,4.92
2017-12-28,5.05
2017-12-29,5.25
2018-01-02,5.62
2018-01-03,5.3
2018-01-04,5.315
2018-01-05,5.51
2018-01-08,5.24
2018-01-09,5.24
2018-01-10,5.19
2018-01-11,5.24
2018-01-12,5.17
2018-01-16,4.94
2018-01-17,5.0
2018-01-18,4.96
2018-01-19,4.99
2018-01-22,4.75
2018-01-23,5.66
2018-01-24,5.43
2018-01-25,5.31
2018-01-26,5.3
2018-01-29,5.44
2018-01-30,5.11
2018-01-31,5.37
2018-02-01,6.0
2018-02-02,6.11
2018-02-05,6.75
2018-02-06,6.83
2018-02-07,6.78
2018-02-08,6.44
2018-02-09,6.5
2018-02-12,6.58
2018-02-13,6.52
2018-02-14,6.24
2018-02-15,6.41
2018-02-16,6.48
2018-02-20,6.56
2018-02-21,6.85
2018-02-22,7.01
2018-02-23,7.16
2018-02-26,6.99
2018-02-27,7.09
2018-02-28,6.8
2018-03-01,6.72
2018-03-02,7.24
2018-03-05,7.855
2018-03-06,11.0
2018-03-07,11.99
2018-03-08,13.46
2018-03-09,13.13
2018-03-12,13.7
2018-03-13,14.24
2018-03-14,14.94
2018-03-15,14.03
2018-03-16,12.44
2018-03-19,11.43
2018-03-20,13.17
2018-03-21,12.25
2018-03-22,12.5
2018-03-23,12.91
2018-03-26,12.78
2018-03-27,12.89
2018-03-28,12.38
2018-03-29,12.3
2018-04-02,12.31
2018-04-03,12.31
2018-04-04,12.3
2018-04-05,12.0
2018-04-06,11.8
2018-04-09,12.0
2018-04-10,12.51
2018-04-11,12.74
2018-04-12,13.9
2018-04-13,13.59
2018-04-16,12.7
2018-04-17,12.31
2018-04-18,12.04
2018-04-19,11.99
2018-04-20,11.84
2018-04-23,11.4
2018-04-24,10.51
2018-04-25,10.61
2018-04-26,10.27
2018-04-27,10.09
2018-04-30,10.1
2018-05-01,10.12
2018-05-02,10.16
2018-05-03,10.3
2018-05-04,10.81
2018-05-07,12.51
2018-05-08,11.54
2018-05-09,11.75
2018-05-10,12.04
2018-05-11,12.09
2018-05-14,11.89
2018-05-15,11.89
2018-05-16,11.75
2018-05-17,11.4
2018-05-18,11.31
2018-05-21,11.23
2018-05-22,11.25
2018-05-23,11.02
2018-05-24,11.72
2018-05-25,11.23
2018-05-29,11.54
2018-05-30,12.53
2018-05-31,12.71
2018-06-01,14.06
2018-06-04,13.48
2018-06-05,12.59
2018-06-06,12.63
2018-06-07,12.22
2018-06-08,12.07
2018-06-11,12.76
2018-06-12,13.44
2018-06-13,13.36
2018-06-14,13.41
2018-06-15,13.98
2018-06-18,13.58
2018-06-19,12.71
2018-06-20,12.96
2018-06-21,11.94
2018-06-22,12.54
2018-06-25,11.96
2018-06-26,11.93
2018-06-27,11.05
2018-06-28,10.89
2018-06-29,10.78
2018-07-02,10.02
2018-07-03,10.99
2018-07-05,10.62
2018-07-06,10.85
2018-07-09,11.26
2018-07-10,11.38
2018-07-11,10.89
2018-07-12,12.44
2018-07-13,12.63
2018-07-16,12.34
2018-07-17,12.42
2018-07-18,12.36
2018-07-19,12.45
2018-07-20,12.68
2018-07-23,13.43
2018-07-24,13.62
2018-07-25,13.47
2018-07-26,13.66
2018-07-27,13.24
2018-07-30,12.78
2018-07-31,12.96
2018-08-01,13.85
2018-08-02,14.29
2018-08-03,14.74
2018-08-06,14.67
2018-08-07,13.74
2018-08-08,14.54
2018-08-09,14.63
2018-08-10,14.75
2018-08-13,13.75
2018-08-14,13.36
2018-08-15,12.82
2018-08-16,12.97
2018-08-17,12.75
2018-08-20,12.84
2018-08-21,13.5
2018-08-22,13.09
2018-08-23,13.12
2018-08-24,13.5
2018-08-27,13.75
2018-08-28,13.96
2018-08-29,13.84
2018-08-30,14.01
2018-08-31,14.11
2018-09-04,13.67
2018-09-05,13.64
2018-09-06,13.3
2018-09-07,13.47
2018-09-10,12.74
2018-09-11,12.51
2018-09-12,11.35
2018-09-13,12.135
2018-09-14,11.69
2018-09-17,12.02
2018-09-18,11.89
2018-09-19,11.71
2018-09-20,12.26
2018-09-21,11.91
2018-09-24,11.64
2018-09-25,11.29
2018-09-26,11.09
2018-09-27,10.85
2018-09-28,11.07
2018-10-01,11.32
2018-10-02,11.03
2018-10-03,11.17
2018-10-04,10.93
2018-10-05,10.35
2018-10-08,10.71
2018-10-09,11.1
2018-10-10,10.31
2018-10-11,9.96
2018-10-12,10.27
2018-10-15,10.69
2018-10-16,10.35
2018-10-17,10.28
2018-10-18,10.07
2018-10-19,10.24
2018-10-22,10.07
2018-10-23,9.82
2018-10-24,9.61
2018-10-25,9.65
2018-10-26,9.45
2018-10-29,9.47
2018-10-30,9.47
2018-10-31,9.55
2018-11-01,10.0
2018-11-02,10.02
2018-11-05,9.99
2018-11-06,10.0
2018-11-07,10.3
2018-11-08,12.0
2018-11-09,11.73
2018-11-12,11.3
2018-11-13,11.46
2018-11-14,11.35
2018-11-15,11.52
2018-11-16,11.23
2018-11-19,10.94
2018-11-20,10.44
2018-11-21,10.99
2018-11-23,10.85
2018-11-26,11.12
2018-11-27,10.76
2018-11-28,11.03
2018-11-29,11.0
2018-11-30,11.15
2018-12-03,11.035
2018-12-04,10.47
2018-12-06,10.78
2018-12-07,10.47
2018-12-10,10.38
2018-12-11,10.64
2018-12-12,10.78
2018-12-13,10.62
2018-12-14,10.41
