Date,ARNC
2020-04-01,6.92
2020-04-02,6.21
2020-04-03,8.06
2020-04-06,7.3
2020-04-07,7.3
2020-04-08,10.03
2020-04-09,10.79
2020-04-13,9.5
2020-04-14,9.66
2020-04-15,8.89
2020-04-16,8.54
2020-04-17,9.47
2020-04-20,9.76
2020-04-21,9.31
2020-04-22,9.3
2020-04-23,8.82
2020-04-24,8.04
2020-04-27,9.15
2020-04-28,8.2
2020-04-29,8.81
2020-04-30,8.72
2020-05-01,8.55
2020-05-04,8.88
2020-05-05,8.84
2020-05-06,8.34
2020-05-07,8.67
2020-05-08,9.12
