Date,EVHC
2014-07-01,107.39521
2014-07-02,107.634727
2014-07-03,108.053894
2014-07-07,107.69461100000001
2014-07-08,106.137726
2014-07-09,103.832336
2014-07-10,103.622757
2014-07-11,102.544907
2014-07-14,102.425148
2014-07-15,101.766464
2014-07-16,105.41915900000001
2014-07-17,102.065865
2014-07-18,104.64071700000001
2014-07-21,103.682632
2014-07-22,104.041916
2014-07-23,103.832336
2014-07-24,103.233536
2014-07-25,103.922157
2014-07-28,104.43113699999999
2014-07-29,106.347305
2014-07-30,108.44311499999999
2014-07-31,107.035927
2014-08-01,104.49101999999999
2014-08-04,104.49101999999999
2014-08-05,105.898201
2014-08-06,105.23951699999999
2014-08-07,107.634727
2014-08-08,105.74850500000001
2014-08-11,106.257484
2014-08-12,106.10778799999999
2014-08-13,106.976051
2014-08-14,107.60479
2014-08-15,107.185631
2014-08-18,107.634727
2014-08-19,108.263474
2014-08-20,107.78443100000001
2014-08-21,108.20358999999999
2014-08-22,108.23353600000002
2014-08-25,108.293411
2014-08-26,108.23353600000002
2014-08-27,109.28144099999999
2014-08-28,108.323357
2014-08-29,109.461075
2014-09-02,109.221558
2014-09-03,108.41317
2014-09-04,105.65868400000001
2014-09-05,106.28742199999999
2014-09-08,107.275452
2014-09-09,107.035927
2014-09-10,106.16766399999999
2014-09-11,106.28742199999999
2014-09-12,105.598801
2014-09-15,102.754494
2014-09-16,104.64071700000001
2014-09-17,107.035927
2014-09-18,109.28144099999999
2014-09-19,109.37125400000001
2014-09-22,107.964073
2014-09-23,107.155685
2014-09-24,102.455093
2014-09-25,103.47305300000001
2014-09-26,104.401199
2014-09-29,104.221558
2014-09-30,103.832336
2014-10-01,103.443115
2014-10-02,103.74251600000001
2014-10-03,104.071854
2014-10-06,103.20359
2014-10-07,101.676643
2014-10-08,102.425148
2014-10-09,100.688622
2014-10-10,100.38922099999999
2014-10-13,100.419159
2014-10-14,98.50299100000001
2014-10-15,97.754494
2014-10-16,98.47305300000001
2014-10-17,100.898201
2014-10-20,101.28742199999999
2014-10-21,104.071854
2014-10-22,103.772453
2014-10-23,104.64071700000001
2014-10-24,104.820358
2014-10-27,104.041916
2014-10-28,104.550896
2014-10-29,104.61077900000001
2014-10-30,103.682632
2014-10-31,104.64071700000001
2014-11-03,105.449104
2014-11-04,104.341316
2014-11-05,100.35928299999999
2014-11-06,100.898201
2014-11-07,97.275452
2014-11-10,95.598801
2014-11-11,94.580841
2014-11-12,95.50898000000001
2014-11-13,97.15568499999999
2014-11-14,97.994011
2014-11-17,97.724548
2014-11-18,102.185631
2014-11-19,102.694611
2014-11-20,104.790421
2014-11-21,104.820358
2014-11-24,104.94011699999999
2014-11-25,105.95808400000001
2014-11-26,106.257484
2014-11-28,105.86826299999998
2014-12-01,105.688622
2014-12-02,104.7006
2014-12-03,104.820358
2014-12-04,105.86826299999998
2014-12-05,106.58683
2014-12-08,105.149704
2014-12-09,105.778442
2014-12-10,103.862274
2014-12-11,105.62874599999999
2014-12-12,104.101799
2014-12-15,103.592812
2014-12-16,101.826347
2014-12-17,101.88623
2014-12-18,102.305389
2014-12-19,104.880241
2014-12-22,106.467064
2014-12-23,105.86826299999998
2014-12-24,106.55688500000001
2014-12-26,105.95808400000001
2014-12-29,105.23951699999999
2014-12-30,104.7006
2014-12-31,103.862274
2015-01-02,103.50299100000001
2015-01-05,101.52694699999999
2015-01-06,102.694611
2015-01-07,107.78443100000001
2015-01-08,111.37724299999999
2015-01-09,109.97006200000001
2015-01-12,110.449104
2015-01-13,111.16766399999999
2015-01-14,107.185631
2015-01-15,104.131737
2015-01-16,105.41915900000001
2015-01-20,104.760483
2015-01-21,104.19162
2015-01-22,104.49101999999999
2015-01-23,103.53293599999999
2015-01-26,106.16766399999999
2015-01-27,106.07784299999999
2015-01-28,104.131737
2015-01-29,104.281441
2015-01-30,102.934135
2015-02-02,103.622757
2015-02-03,105.41915900000001
2015-02-04,103.952095
2015-02-05,107.155685
2015-02-06,104.43113699999999
2015-02-09,102.874252
2015-02-10,104.49101999999999
2015-02-11,108.71257800000001
2015-02-12,108.652695
2015-02-13,108.383232
2015-02-17,110.359283
2015-02-18,110.23951699999999
2015-02-19,110.598801
2015-02-20,110.71855900000001
2015-02-23,112.035927
2015-02-24,111.52694699999999
2015-02-25,112.844315
2015-02-26,112.425148
2015-02-27,109.640717
2015-03-02,108.742516
2015-03-03,108.383232
2015-03-04,112.30538899999999
2015-03-05,110.80838
2015-03-06,107.245506
2015-03-09,107.78443100000001
2015-03-10,107.514969
2015-03-11,109.34131599999999
2015-03-12,110.65868400000001
2015-03-13,109.071854
2015-03-16,110.568863
2015-03-17,112.21556899999999
2015-03-18,113.083832
2015-03-19,114.311378
2015-03-20,115.568863
2015-03-23,115.838326
2015-03-24,115.74850500000001
2015-03-25,113.802399
2015-03-26,113.323357
2015-03-27,114.550896
2015-03-30,115.538925
2015-03-31,114.82035800000001
2015-04-01,114.73053700000001
2015-04-02,115.95808400000001
2015-04-06,116.76646399999998
2015-04-07,116.52694699999999
2015-04-08,117.125748
2015-04-09,117.69461100000001
2015-04-10,118.173653
2015-04-13,117.724548
2015-04-14,117.874252
2015-04-15,119.34131599999999
2015-04-16,119.25149499999999
2015-04-17,118.173653
2015-04-20,117.814369
2015-04-21,118.083832
2015-04-22,117.365273
2015-04-23,118.35329399999999
2015-04-24,118.502991
2015-04-27,116.736526
2015-04-28,117.964073
2015-04-29,116.07784299999999
2015-04-30,113.652695
2015-05-01,110.05988300000001
2015-05-04,110.119759
2015-05-05,108.62275700000001
2015-05-06,107.155685
2015-05-07,109.25149499999999
2015-05-08,108.44311499999999
2015-05-11,108.083832
2015-05-12,107.634727
2015-05-13,109.04191599999999
2015-05-14,108.62275700000001
2015-05-15,108.652695
2015-05-18,109.52095800000001
2015-05-19,111.52694699999999
2015-05-20,112.78443100000001
2015-05-21,111.976051
2015-05-22,111.946106
2015-05-26,111.37724299999999
2015-05-27,112.125748
2015-05-28,111.58683
2015-05-29,110.62874599999999
2015-06-01,111.58683
2015-06-02,110.80838
2015-06-03,111.616768
2015-06-04,111.52694699999999
2015-06-05,111.28742199999999
2015-06-08,110.119759
2015-06-09,109.401199
2015-06-10,110.538925
2015-06-11,110.86826299999998
2015-06-12,110.74850500000001
2015-06-15,112.035927
2015-06-16,113.862274
2015-06-17,114.73053700000001
2015-06-18,115.50898000000001
2015-06-19,116.79641000000001
2015-06-22,116.047905
2015-06-23,114.67066200000001
2015-06-24,113.502991
2015-06-25,119.61077900000001
2015-06-26,120.089821
2015-06-29,117.844315
2015-06-30,118.20358999999999
2015-07-01,118.83233600000001
2015-07-02,118.952095
2015-07-06,118.41317
2015-07-07,117.99401100000001
2015-07-08,115.538925
2015-07-09,115.538925
2015-07-10,116.706589
2015-07-13,119.67066200000001
2015-07-14,120.119759
2015-07-15,120.50898000000001
2015-07-16,121.467064
2015-07-17,121.40718799999999
2015-07-20,120.80838
2015-07-21,120.359283
2015-07-22,119.67066200000001
2015-07-23,121.347305
2015-07-24,119.550896
2015-07-27,118.23353600000002
2015-07-28,119.37125400000001
2015-07-29,121.047905
2015-07-30,121.58683
2015-07-31,134.131729
2015-08-03,135.538925
2015-08-04,134.880234
2015-08-05,134.311371
2015-08-06,132.514969
2015-08-07,132.035934
2015-08-10,132.874252
2015-08-11,131.197601
2015-08-12,131.61676
2015-08-13,131.407181
2015-08-14,131.676651
2015-08-17,132.57484399999998
2015-08-18,133.74250800000002
2015-08-19,132.93412800000002
2015-08-20,130.209579
2015-08-21,126.227547
2015-08-24,122.245506
2015-08-25,120.80838
2015-08-26,123.053894
2015-08-27,123.802399
2015-08-28,125.538925
2015-08-31,122.664673
2015-09-01,119.550896
2015-09-02,122.78443100000001
2015-09-03,123.23353600000002
2015-09-04,121.55688500000001
2015-09-08,124.52095800000001
2015-09-09,125.119759
2015-09-10,123.44311499999999
2015-09-11,122.45509299999999
2015-09-14,126.76646399999998
2015-09-15,127.09581000000001
2015-09-16,126.976051
2015-09-17,129.760483
2015-09-18,127.275452
2015-09-21,125.838326
2015-09-22,124.13173700000002
2015-09-23,125.359283
2015-09-24,121.07784299999999
2015-09-25,117.275452
2015-09-28,108.982033
2015-09-29,107.754494
2015-09-30,110.149704
2015-10-01,107.90418999999999
2015-10-02,107.78443100000001
2015-10-05,109.52095800000001
