Date,USFD
2016-05-26,24.91
2016-05-27,25.030001000000002
2016-05-31,24.99
2016-06-01,25.35
2016-06-02,25.280001000000002
2016-06-03,25.290001
2016-06-06,25.309998999999998
2016-06-07,25.4
2016-06-08,25.219998999999998
2016-06-09,24.950001
2016-06-10,24.719998999999998
2016-06-13,24.280001000000002
2016-06-14,23.67
2016-06-15,23.99
2016-06-16,23.74
2016-06-17,23.959999
2016-06-20,23.559998999999998
2016-06-21,23.889999
2016-06-22,23.57
2016-06-23,23.18
2016-06-24,23.34
2016-06-27,23.76
2016-06-28,24.23
2016-06-29,24.389999
2016-06-30,24.24
2016-07-01,24.48
2016-07-05,24.209999
2016-07-06,24.950001
2016-07-07,25.02
2016-07-08,25.08
2016-07-11,25.4
2016-07-12,25.43
2016-07-13,25.5
2016-07-14,25.41
2016-07-15,24.92
2016-07-18,25.299999
2016-07-19,25.290001
2016-07-20,25.440001000000002
2016-07-21,25.48
2016-07-22,25.1
2016-07-25,24.85
2016-07-26,24.65
2016-07-27,24.049999
2016-07-28,24.26
2016-07-29,24.16
2016-08-01,24.02
2016-08-02,24.030001000000002
2016-08-03,24.07
2016-08-04,23.700001
2016-08-05,23.709999
2016-08-08,23.65
2016-08-09,24.219998999999998
2016-08-10,23.99
2016-08-11,23.799999
2016-08-12,24.040001
2016-08-15,24.540001
2016-08-16,24.35
2016-08-17,23.870001000000002
2016-08-18,24.040001
2016-08-19,24.65
2016-08-22,25.0
2016-08-23,24.950001
2016-08-24,24.51
2016-08-25,24.76
2016-08-26,24.76
2016-08-29,24.35
2016-08-30,24.190001000000002
2016-08-31,24.25
2016-09-01,24.17
2016-09-02,24.75
2016-09-06,24.709999
2016-09-07,24.530001000000002
2016-09-08,23.99
2016-09-09,23.440001000000002
2016-09-12,23.51
2016-09-13,23.26
2016-09-14,23.58
2016-09-15,23.43
2016-09-16,22.99
2016-09-19,23.120001000000002
2016-09-20,23.15
2016-09-21,23.280001000000002
2016-09-22,23.52
2016-09-23,23.77
2016-09-26,23.469998999999998
2016-09-27,23.41
2016-09-28,23.83
2016-09-29,23.43
2016-09-30,23.610001
2016-10-03,23.57
2016-10-04,23.49
2016-10-05,23.32
2016-10-06,23.24
2016-10-07,23.34
2016-10-10,23.32
2016-10-11,23.030001000000002
2016-10-12,23.01
2016-10-13,22.860001
2016-10-14,22.93
2016-10-17,22.92
2016-10-18,22.92
2016-10-19,23.02
2016-10-20,23.049999
2016-10-21,22.92
2016-10-24,22.99
2016-10-25,22.860001
2016-10-26,22.719998999999998
2016-10-27,22.51
2016-10-28,22.799999
2016-10-31,22.6
2016-11-01,22.469998999999998
2016-11-02,22.66
2016-11-03,22.379998999999998
2016-11-04,22.440001000000002
2016-11-07,23.08
2016-11-08,23.459999
2016-11-09,23.33
2016-11-10,23.049999
2016-11-11,23.5
2016-11-14,23.879998999999998
2016-11-15,23.85
2016-11-16,24.0
2016-11-17,23.6
2016-11-18,23.129998999999998
2016-11-21,23.200001
2016-11-22,23.58
2016-11-23,23.459999
2016-11-25,23.75
2016-11-28,23.209999
2016-11-29,23.299999
2016-11-30,22.860001
2016-12-01,22.629998999999998
2016-12-02,23.32
2016-12-05,23.690001000000002
2016-12-06,24.120001000000002
2016-12-07,24.52
2016-12-08,24.6
2016-12-09,25.459999
2016-12-12,25.370001000000002
2016-12-13,25.6
2016-12-14,25.549999
2016-12-15,26.110001
2016-12-16,26.9
2016-12-19,26.889999
2016-12-20,26.73
2016-12-21,26.76
2016-12-22,26.940001000000002
2016-12-23,26.940001000000002
2016-12-27,27.0
2016-12-28,26.950001
2016-12-29,27.25
2016-12-30,27.48
2017-01-03,27.540001
2017-01-04,27.49
2017-01-05,27.360001
2017-01-06,27.07
2017-01-09,27.1
2017-01-10,26.959999
2017-01-11,27.01
2017-01-12,26.65
2017-01-13,26.5
2017-01-17,26.17
2017-01-18,26.379998999999998
2017-01-19,25.77
2017-01-20,26.07
2017-01-23,25.780001000000002
2017-01-24,25.940001000000002
2017-01-25,26.26
2017-01-26,26.57
2017-01-27,26.790001
2017-01-30,27.16
2017-01-31,27.200001
2017-02-01,27.1
2017-02-02,27.25
2017-02-03,27.27
2017-02-06,26.98
2017-02-07,27.01
2017-02-08,26.83
2017-02-09,27.24
2017-02-10,27.469998999999998
2017-02-13,27.5
2017-02-14,27.190001000000002
2017-02-15,27.200001
2017-02-16,26.950001
2017-02-17,27.620001000000002
2017-02-21,27.629998999999998
2017-02-22,27.809998999999998
2017-02-23,27.629998999999998
2017-02-24,27.83
2017-02-27,27.860001
2017-02-28,27.549999
2017-03-01,27.620001000000002
2017-03-02,27.559998999999998
2017-03-03,27.530001000000002
2017-03-06,27.49
2017-03-07,27.309998999999998
2017-03-08,27.34
2017-03-09,27.440001000000002
2017-03-10,27.26
2017-03-13,26.92
2017-03-14,27.02
2017-03-15,26.92
2017-03-16,26.950001
2017-03-17,26.940001000000002
2017-03-20,26.77
2017-03-21,26.67
2017-03-22,26.92
2017-03-23,27.1
2017-03-24,27.4
2017-03-27,27.370001000000002
2017-03-28,27.67
2017-03-29,27.540001
2017-03-30,27.780001000000002
2017-03-31,27.98
2017-04-03,27.709999
2017-04-04,27.6
2017-04-05,27.57
2017-04-06,27.58
2017-04-07,27.559998999999998
2017-04-10,27.860001
2017-04-11,27.59
2017-04-12,27.58
2017-04-13,27.379998999999998
2017-04-17,27.209999
2017-04-18,27.26
2017-04-19,27.290001
2017-04-20,27.700001
2017-04-21,27.530001000000002
2017-04-24,27.6
2017-04-25,27.75
2017-04-26,28.02
2017-04-27,28.459999
2017-04-28,28.200001
2017-05-01,28.34
2017-05-02,28.33
2017-05-03,28.33
2017-05-04,28.51
2017-05-05,28.99
2017-05-08,28.690001000000002
2017-05-09,28.799999
2017-05-10,28.0
2017-05-11,28.389999
2017-05-12,28.6
2017-05-15,28.790001
2017-05-16,28.92
2017-05-17,28.73
2017-05-18,28.620001000000002
2017-05-19,28.6
2017-05-22,29.360001
2017-05-23,29.450001
2017-05-24,29.379998999999998
2017-05-25,29.540001
2017-05-26,29.809998999999998
2017-05-30,29.92
2017-05-31,29.959999
2017-06-01,30.57
2017-06-02,30.389999
2017-06-05,30.23
2017-06-06,30.1
2017-06-07,30.0
2017-06-08,29.700001
2017-06-09,29.799999
2017-06-12,29.280001000000002
2017-06-13,29.6
2017-06-14,29.780001000000002
2017-06-15,29.35
2017-06-16,28.49
2017-06-19,28.200001
2017-06-20,27.879998999999998
2017-06-21,27.950001
2017-06-22,27.6
2017-06-23,26.67
2017-06-26,27.16
2017-06-27,26.959999
2017-06-28,27.219998999999998
2017-06-29,26.799999
2017-06-30,27.219998999999998
2017-07-03,26.91
