Date,JD
2015-04-21,33.720001
2015-04-22,33.759997999999996
2015-04-23,33.66
2015-04-24,34.720001
2015-04-27,35.279999
2015-04-28,35.02
2015-04-29,34.200001
2015-04-30,33.560001
2015-05-01,33.529999
2015-05-04,34.290001000000004
2015-05-05,33.700001
2015-05-06,32.48
2015-05-07,33.080002
2015-05-08,33.740002000000004
2015-05-11,34.459998999999996
2015-05-12,32.77
2015-05-13,32.759997999999996
2015-05-14,33.380001
2015-05-15,33.400002
2015-05-18,33.91
2015-05-19,34.150002
2015-05-20,33.73
2015-05-21,33.860001000000004
2015-05-22,34.889998999999996
2015-05-26,34.209998999999996
2015-05-27,34.25
2015-05-28,34.02
2015-05-29,33.68
2015-06-01,34.759997999999996
2015-06-02,34.799999
2015-06-03,34.77
2015-06-04,34.119999
2015-06-05,35.669998
2015-06-08,36.23
2015-06-09,36.43
2015-06-10,36.259997999999996
2015-06-11,36.869999
2015-06-12,37.950001
2015-06-15,36.630001
2015-06-16,36.5
2015-06-17,35.450001
2015-06-18,35.57
2015-06-19,34.610001000000004
2015-06-22,34.59
2015-06-23,34.59
2015-06-24,34.779999
2015-06-25,34.02
2015-06-26,33.455002
2015-06-29,32.5
2015-06-30,34.099998
2015-07-01,33.25
2015-07-02,33.130001
2015-07-06,31.889999
2015-07-07,30.610001
2015-07-08,30.32
2015-07-09,32.779999
2015-07-10,32.400002
2015-07-13,33.900002
2015-07-14,33.919998
2015-07-15,32.389998999999996
2015-07-16,33.84
2015-07-17,35.32
2015-07-20,35.060001
2015-07-21,35.310001
2015-07-22,35.380001
2015-07-23,34.700001
2015-07-24,34.639998999999996
2015-07-27,32.150002
2015-07-28,32.48
2015-07-29,33.290001000000004
2015-07-30,33.369999
2015-07-31,33.029999
2015-08-03,32.919998
2015-08-04,33.990002000000004
2015-08-05,34.32
2015-08-06,32.810001
2015-08-07,32.07
2015-08-10,30.059998999999998
2015-08-11,28.02
2015-08-12,26.77
2015-08-13,27.049999
2015-08-14,28.120001000000002
2015-08-17,27.33
2015-08-18,26.620001000000002
2015-08-19,26.780001000000002
2015-08-20,24.9
2015-08-21,25.049999
2015-08-24,23.93
2015-08-25,25.059998999999998
2015-08-26,25.59
2015-08-27,27.1
2015-08-28,26.77
2015-08-31,25.879998999999998
2015-09-01,24.879998999999998
2015-09-02,24.870001000000002
2015-09-03,24.41
2015-09-04,22.809998999999998
2015-09-08,23.950001
2015-09-09,24.67
2015-09-10,24.190001000000002
2015-09-11,24.26
2015-09-14,24.209999
2015-09-15,24.98
2015-09-16,26.99
2015-09-17,27.639999
2015-09-18,26.43
2015-09-21,25.98
2015-09-22,25.540001
2015-09-23,24.379998999999998
2015-09-24,25.34
2015-09-25,25.940001000000002
2015-09-28,24.690001000000002
2015-09-29,24.43
2015-09-30,26.059998999999998
2015-10-01,26.5
2015-10-02,28.91
2015-10-05,28.780001000000002
2015-10-06,27.709999
2015-10-07,27.540001
2015-10-08,27.32
2015-10-09,28.41
2015-10-12,28.719998999999998
2015-10-13,26.91
2015-10-14,25.52
2015-10-15,26.26
2015-10-16,26.889999
2015-10-19,27.09
2015-10-20,26.530001000000002
2015-10-21,26.01
2015-10-22,26.200001
2015-10-23,27.1
2015-10-26,26.84
2015-10-27,27.66
2015-10-28,27.68
2015-10-29,27.690001000000002
2015-10-30,27.620001000000002
2015-11-02,28.65
2015-11-03,29.370001000000002
2015-11-04,29.27
2015-11-05,28.799999
2015-11-06,29.700001
2015-11-09,28.76
2015-11-10,28.200001
2015-11-11,27.879998999999998
2015-11-12,28.780001000000002
2015-11-13,26.75
2015-11-16,28.809998999999998
2015-11-17,28.93
2015-11-18,28.559998999999998
2015-11-19,29.049999
2015-11-20,29.99
2015-11-23,30.68
2015-11-24,30.35
2015-11-25,29.99
2015-11-27,29.950001
2015-11-30,30.68
2015-12-01,31.5
2015-12-02,31.93
2015-12-03,31.559998999999998
2015-12-04,32.25
2015-12-07,32.529999
2015-12-08,31.889999
2015-12-09,31.58
2015-12-10,31.6
2015-12-11,30.549999
2015-12-14,30.84
2015-12-15,31.58
2015-12-16,32.224998
2015-12-17,32.380001
2015-12-18,32.650002
2015-12-21,32.5
2015-12-22,32.529999
2015-12-23,32.540001000000004
2015-12-24,32.580002
2015-12-28,31.889999
2015-12-29,32.650002
2015-12-30,32.080002
2015-12-31,32.264998999999996
2016-01-04,29.530001000000002
2016-01-05,30.0
2016-01-06,29.76
2016-01-07,27.950001
2016-01-08,27.620001000000002
2016-01-11,27.030001000000002
2016-01-12,28.205
2016-01-13,27.1
2016-01-14,28.120001000000002
2016-01-15,26.99
2016-01-19,27.41
2016-01-20,26.379998999999998
2016-01-21,26.690001000000002
2016-01-22,27.27
2016-01-25,27.030001000000002
2016-01-26,27.0
2016-01-27,25.379998999999998
2016-01-28,25.370001000000002
2016-01-29,26.030001000000002
2016-02-01,25.59
2016-02-02,24.67
2016-02-03,23.809998999999998
2016-02-04,24.959999
2016-02-05,23.639999
2016-02-08,23.209999
2016-02-09,22.879998999999998
2016-02-10,23.24
2016-02-11,22.9
2016-02-12,23.129998999999998
2016-02-16,24.98
2016-02-17,25.719998999999998
2016-02-18,25.33
2016-02-19,25.540001
2016-02-22,26.32
2016-02-23,25.59
2016-02-24,25.68
2016-02-25,24.93
2016-02-26,25.41
2016-02-29,25.709999
2016-03-01,26.5
2016-03-02,26.639999
2016-03-03,25.59
2016-03-04,26.48
2016-03-07,26.139999
2016-03-08,26.07
2016-03-09,26.34
2016-03-10,26.389999
2016-03-11,27.83
2016-03-14,27.74
2016-03-15,27.16
2016-03-16,27.84
2016-03-17,27.030001000000002
2016-03-18,27.08
2016-03-21,26.959999
2016-03-22,26.99
2016-03-23,26.74
2016-03-24,26.360001
2016-03-28,25.82
2016-03-29,26.42
2016-03-30,27.24
2016-03-31,26.5
2016-04-01,26.76
2016-04-04,26.639999
2016-04-05,26.52
2016-04-06,26.74
2016-04-07,26.51
2016-04-08,26.860001
2016-04-11,27.280001000000002
2016-04-12,28.1
2016-04-13,29.58
2016-04-14,29.629998999999998
2016-04-15,29.879998999999998
2016-04-18,29.34
2016-04-19,28.85
2016-04-20,28.68
2016-04-21,28.790001
2016-04-22,28.299999
2016-04-25,27.43
2016-04-26,25.07
2016-04-27,25.34
2016-04-28,25.65
2016-04-29,25.559998999999998
2016-05-02,25.290001
2016-05-03,24.4
2016-05-04,24.219998999999998
2016-05-05,24.85
2016-05-06,25.200001
2016-05-09,23.43
2016-05-10,23.77
2016-05-11,23.129998999999998
2016-05-12,22.110001
2016-05-13,22.639999
2016-05-16,23.370001000000002
2016-05-17,23.879998999999998
2016-05-18,23.6
2016-05-19,23.110001
2016-05-20,23.450001
2016-05-23,22.889999
2016-05-24,23.790001
2016-05-25,22.98
2016-05-26,23.17
2016-05-27,24.25
2016-05-31,24.610001
2016-06-01,23.790001
2016-06-02,23.66
2016-06-03,22.98
2016-06-06,23.32
2016-06-07,22.01
2016-06-08,21.24
2016-06-09,21.709999
2016-06-10,21.059998999999998
2016-06-13,20.99
2016-06-14,20.9
2016-06-15,20.17
2016-06-16,20.43
2016-06-17,20.129998999999998
2016-06-20,21.059998999999998
2016-06-21,21.129998999999998
2016-06-22,21.200001
2016-06-23,21.459999
2016-06-24,20.639999
2016-06-27,20.24
2016-06-28,20.32
2016-06-29,20.389999
2016-06-30,21.23
2016-07-01,21.309998999999998
2016-07-05,20.860001
2016-07-06,20.379998999999998
2016-07-07,20.57
2016-07-08,20.719998999999998
2016-07-11,21.76
2016-07-12,22.209999
2016-07-13,21.68
2016-07-14,21.68
2016-07-15,21.41
2016-07-18,22.139999
2016-07-19,22.42
2016-07-20,22.66
2016-07-21,21.99
2016-07-22,21.92
2016-07-25,21.85
2016-07-26,22.48
2016-07-27,22.360001
2016-07-28,22.139999
2016-07-29,21.65
2016-08-01,21.84
2016-08-02,21.799999
2016-08-03,21.73
2016-08-04,21.370001000000002
2016-08-05,21.85
2016-08-08,22.35
2016-08-09,22.370001000000002
2016-08-10,23.41
2016-08-11,23.290001
2016-08-12,24.65
2016-08-15,25.32
2016-08-16,25.02
2016-08-17,25.389999
2016-08-18,25.4
2016-08-19,25.91
2016-08-22,25.77
2016-08-23,25.940001000000002
2016-08-24,25.559998999999998
2016-08-25,25.42
2016-08-26,25.790001
2016-08-29,25.610001
2016-08-30,25.59
2016-08-31,25.41
2016-09-01,25.709999
2016-09-02,25.549999
2016-09-06,26.540001
2016-09-07,26.549999
2016-09-08,26.860001
2016-09-09,26.370001000000002
2016-09-12,26.5
2016-09-13,26.530001000000002
2016-09-14,26.01
2016-09-15,26.129998999999998
2016-09-16,26.23
2016-09-19,26.049999
2016-09-20,25.85
2016-09-21,25.879998999999998
2016-09-22,26.299999
2016-09-23,26.84
2016-09-26,26.540001
2016-09-27,26.68
2016-09-28,26.290001
2016-09-29,25.98
2016-09-30,26.09
2016-10-03,26.110001
2016-10-04,27.49
2016-10-05,27.93
2016-10-06,27.4
2016-10-07,27.030001000000002
2016-10-10,27.299999
2016-10-11,26.75
2016-10-12,26.59
2016-10-13,26.27
2016-10-14,26.5
2016-10-17,26.309998999999998
2016-10-18,26.26
2016-10-19,26.299999
2016-10-20,26.65
2016-10-21,26.870001000000002
2016-10-24,26.5
2016-10-25,26.42
2016-10-26,26.48
2016-10-27,25.879998999999998
2016-10-28,25.9
2016-10-31,25.950001
2016-11-01,25.309998999999998
2016-11-02,24.74
2016-11-03,24.67
2016-11-04,24.65
2016-11-07,25.459999
2016-11-08,25.440001000000002
2016-11-09,25.129998999999998
2016-11-10,24.389999
2016-11-11,24.040001
2016-11-14,23.709999
2016-11-15,26.41
2016-11-16,26.51
2016-11-17,26.75
2016-11-18,26.450001
2016-11-21,26.0
2016-11-22,25.809998999999998
2016-11-23,25.74
2016-11-25,25.540001
2016-11-28,25.83
2016-11-29,26.85
2016-11-30,26.870001000000002
2016-12-01,26.299999
2016-12-02,25.879998999999998
2016-12-05,25.950001
2016-12-06,25.83
2016-12-07,26.98
2016-12-08,26.969998999999998
2016-12-09,26.84
2016-12-12,26.16
2016-12-13,26.66
2016-12-14,26.950001
2016-12-15,25.77
2016-12-16,25.610001
2016-12-19,25.379998999999998
2016-12-20,25.52
2016-12-21,25.879998999999998
2016-12-22,25.620001000000002
2016-12-23,25.49
2016-12-27,25.93
2016-12-28,25.74
2016-12-29,25.639999
2016-12-30,25.440001000000002
2017-01-03,25.82
2017-01-04,25.85
2017-01-05,26.299999
2017-01-06,26.27
2017-01-09,26.26
2017-01-10,26.9
2017-01-11,26.77
2017-01-12,26.610001
2017-01-13,26.84
2017-01-17,27.209999
2017-01-18,27.16
2017-01-19,27.75
2017-01-20,27.6
2017-01-23,28.18
2017-01-24,28.540001
2017-01-25,28.59
2017-01-26,28.32
2017-01-27,28.360001
2017-01-30,28.559998999999998
2017-01-31,28.4
2017-02-01,28.129998999999998
2017-02-02,28.17
2017-02-03,28.32
2017-02-06,28.540001
2017-02-07,28.809998999999998
2017-02-08,28.98
2017-02-09,29.01
2017-02-10,29.379998999999998
2017-02-13,29.52
2017-02-14,29.43
2017-02-15,30.139999
2017-02-16,30.23
2017-02-17,29.85
2017-02-21,30.23
2017-02-22,30.469998999999998
2017-02-23,30.610001
2017-02-24,30.27
2017-02-27,30.799999
2017-02-28,30.57
2017-03-01,30.67
2017-03-02,30.93
2017-03-03,30.93
2017-03-06,30.41
2017-03-07,30.75
2017-03-08,31.34
2017-03-09,31.200001
2017-03-10,31.059998999999998
2017-03-13,31.690001000000002
2017-03-14,31.370001000000002
2017-03-15,31.379998999999998
2017-03-16,31.540001
2017-03-17,31.559998999999998
2017-03-20,31.719998999999998
2017-03-21,30.32
2017-03-22,30.58
2017-03-23,31.290001
2017-03-24,31.26
2017-03-27,31.379998999999998
2017-03-28,31.459999
2017-03-29,31.58
2017-03-30,31.559998999999998
2017-03-31,31.110001
2017-04-03,31.92
2017-04-04,31.440001000000002
2017-04-05,31.530001000000002
2017-04-06,32.23
2017-04-07,32.009997999999996
2017-04-10,32.669998
2017-04-11,32.299999
2017-04-12,32.709998999999996
2017-04-13,32.470001
2017-04-17,32.720001
2017-04-18,32.84
2017-04-19,33.360001000000004
2017-04-20,33.970001
2017-04-21,34.349998
2017-04-24,34.57
2017-04-25,34.959998999999996
2017-04-26,34.939999
2017-04-27,35.299999
2017-04-28,35.07
2017-05-01,35.34
2017-05-02,35.450001
2017-05-03,35.150002
2017-05-04,35.400002
2017-05-05,35.779999
2017-05-08,38.549999
2017-05-09,38.529999
2017-05-10,39.32
2017-05-11,39.759997999999996
2017-05-12,40.560001
2017-05-15,40.23
2017-05-16,40.77
2017-05-17,40.040001000000004
2017-05-18,40.16
2017-05-19,41.060001
2017-05-22,41.66
2017-05-23,40.720001
2017-05-24,40.439999
2017-05-25,41.02
2017-05-26,40.990002000000004
2017-05-30,40.790001000000004
2017-05-31,40.029999
2017-06-01,40.290001000000004
2017-06-02,40.23
2017-06-05,40.32
2017-06-06,40.18
2017-06-07,41.18
2017-06-08,41.919998
2017-06-09,39.0
2017-06-12,39.220001
2017-06-13,39.27
2017-06-14,38.400002
2017-06-15,38.119999
2017-06-16,38.169998
2017-06-19,39.740002000000004
2017-06-20,38.900002
2017-06-21,41.09
2017-06-22,41.330002
2017-06-23,42.950001
2017-06-26,43.080002
2017-06-27,40.689999
2017-06-28,41.279999
2017-06-29,39.5
2017-06-30,39.220001
2017-07-03,38.860001000000004
2017-07-05,39.759997999999996
2017-07-06,39.110001000000004
2017-07-07,39.220001
2017-07-10,40.419998
2017-07-11,40.810001
2017-07-12,41.439999
2017-07-13,41.43
2017-07-14,42.009997999999996
2017-07-17,41.630001
2017-07-18,42.990002000000004
2017-07-19,43.220001
2017-07-20,42.919998
2017-07-21,43.080002
2017-07-24,43.540001000000004
2017-07-25,44.459998999999996
2017-07-26,45.869999
2017-07-27,45.16
2017-07-28,45.220001
2017-07-31,45.169998
2017-08-01,45.549999
2017-08-02,45.25
2017-08-03,45.299999
2017-08-04,46.400002
2017-08-07,47.560001
2017-08-08,48.150002
2017-08-09,47.84
2017-08-10,46.09
2017-08-11,45.900002
2017-08-14,44.25
2017-08-15,44.049999
2017-08-16,43.650002
2017-08-17,40.799999
2017-08-18,40.130001
2017-08-21,41.259997999999996
2017-08-22,42.150002
2017-08-23,42.439999
2017-08-24,42.07
2017-08-25,40.869999
2017-08-28,40.349998
2017-08-29,40.84
2017-08-30,41.939999
2017-08-31,41.91
2017-09-01,41.990002000000004
2017-09-05,41.400002
2017-09-06,41.639998999999996
2017-09-07,41.830002
2017-09-08,41.150002
2017-09-11,42.040001000000004
2017-09-12,43.290001000000004
2017-09-13,45.27
2017-09-14,45.25
2017-09-15,44.91
2017-09-18,44.740002000000004
2017-09-19,44.330002
2017-09-20,44.439999
2017-09-21,42.98
2017-09-22,42.369999
2017-09-25,40.93
2017-09-26,40.32
2017-09-27,39.709998999999996
2017-09-28,38.650002
2017-09-29,38.200001
2017-10-02,39.099998
2017-10-03,39.209998999999996
2017-10-04,38.34
2017-10-05,39.139998999999996
2017-10-06,39.240002000000004
2017-10-09,38.91
2017-10-10,40.169998
2017-10-11,39.619999
2017-10-12,38.509997999999996
2017-10-13,38.720001
2017-10-16,39.669998
2017-10-17,39.59
2017-10-18,40.32
2017-10-19,39.380001
2017-10-20,39.0
2017-10-23,38.43
2017-10-24,38.52
2017-10-25,37.400002
2017-10-26,36.810001
2017-10-27,37.360001000000004
2017-10-30,37.419998
2017-10-31,37.52
2017-11-01,37.860001000000004
2017-11-02,37.880001
2017-11-03,38.419998
2017-11-06,39.009997999999996
2017-11-07,39.790001000000004
2017-11-08,40.330002
2017-11-09,39.799999
2017-11-10,39.959998999999996
2017-11-13,41.34
2017-11-14,38.900002
2017-11-15,39.349998
2017-11-16,40.220001
2017-11-17,40.25
2017-11-20,39.200001
2017-11-21,39.880001
2017-11-22,39.790001000000004
2017-11-24,39.209998999999996
2017-11-27,38.66
2017-11-28,38.57
2017-11-29,37.830002
2017-11-30,37.450001
2017-12-01,37.27
2017-12-04,36.75
2017-12-05,37.299999
2017-12-06,37.82
2017-12-07,38.130001
2017-12-08,38.009997999999996
2017-12-11,38.459998999999996
2017-12-12,38.560001
2017-12-13,40.799999
2017-12-14,40.630001
2017-12-15,40.32
2017-12-18,41.68
2017-12-19,42.970001
2017-12-20,42.16
2017-12-21,42.27
2017-12-22,42.189999
2017-12-26,42.139998999999996
2017-12-27,42.290001000000004
2017-12-28,41.630001
