Date,HSY
1980-03-17,0.84375
1980-03-18,0.854167
1980-03-19,0.864583
1980-03-20,0.864583
1980-03-21,0.854167
1980-03-24,0.84375
1980-03-25,0.84375
1980-03-26,0.84375
1980-03-27,0.854167
1980-03-28,0.84375
1980-03-31,0.875
1980-04-01,0.885417
1980-04-02,0.869792
1980-04-03,0.854167
1980-04-07,0.848958
1980-04-08,0.84375
1980-04-09,0.848958
1980-04-10,0.854167
1980-04-11,0.854167
1980-04-14,0.859375
1980-04-15,0.854167
1980-04-16,0.854167
1980-04-17,0.854167
1980-04-18,0.848958
1980-04-21,0.859375
1980-04-22,0.84375
1980-04-23,0.854167
1980-04-24,0.859375
1980-04-25,0.869792
1980-04-28,0.895833
1980-04-29,0.90625
1980-04-30,0.901042
1980-05-01,0.895833
1980-05-02,0.895833
1980-05-05,0.921875
1980-05-06,0.916667
1980-05-07,0.916667
1980-05-08,0.916667
1980-05-09,0.916667
1980-05-12,0.916667
1980-05-13,0.932292
1980-05-14,0.927083
1980-05-15,0.947917
1980-05-16,0.942708
1980-05-19,0.932292
1980-05-20,0.932292
1980-05-21,0.947917
1980-05-22,0.973958
1980-05-23,0.958333
1980-05-27,0.9375
1980-05-28,0.927083
1980-05-29,0.958333
1980-05-30,0.958333
1980-06-02,0.96875
1980-06-03,0.96875
1980-06-04,0.963542
1980-06-05,0.958333
1980-06-06,0.989583
1980-06-09,1.020833
1980-06-10,1.03125
1980-06-11,1.020833
1980-06-12,1.0
1980-06-13,0.979167
1980-06-16,0.979167
1980-06-17,0.973958
1980-06-18,0.963542
1980-06-19,0.947917
1980-06-20,0.927083
1980-06-23,0.932292
1980-06-24,0.958333
1980-06-25,0.958333
1980-06-26,0.979167
1980-06-27,0.96875
1980-06-30,1.0
1980-07-01,0.994792
1980-07-02,0.984375
1980-07-03,0.984375
1980-07-07,1.010417
1980-07-08,1.03125
1980-07-09,1.083333
1980-07-10,1.046875
1980-07-11,1.015625
1980-07-14,1.036458
1980-07-15,1.026042
1980-07-16,1.015625
1980-07-17,1.005208
1980-07-18,1.020833
1980-07-21,1.036458
1980-07-22,1.041667
1980-07-23,1.0625
1980-07-24,1.052083
1980-07-25,1.052083
1980-07-28,1.046875
1980-07-29,1.046875
1980-07-30,1.041667
1980-07-31,1.03125
1980-08-01,1.026042
1980-08-04,1.041667
1980-08-05,1.052083
1980-08-06,1.0625
1980-08-07,1.072917
1980-08-08,1.052083
1980-08-11,1.0625
1980-08-12,1.067708
1980-08-13,1.072917
1980-08-14,1.057292
1980-08-15,1.072917
1980-08-18,1.0625
1980-08-19,1.057292
1980-08-20,1.057292
1980-08-21,1.046875
1980-08-22,1.0625
1980-08-25,1.0625
1980-08-26,1.0625
1980-08-27,1.026042
1980-08-28,1.041667
1980-08-29,1.052083
1980-09-02,1.046875
1980-09-03,1.046875
1980-09-04,1.046875
1980-09-05,1.0625
1980-09-08,1.0625
1980-09-09,1.0625
1980-09-10,1.0625
