Date,TM
1976-08-18,2.5622
1976-08-19,2.549578
1976-08-20,2.536956
1976-08-23,2.461226
1976-08-24,2.435982
1976-08-25,2.41074
1976-08-26,2.41074
1976-08-27,2.4990919999999996
1976-08-30,2.448604
1976-08-31,2.448604
1976-09-01,2.461226
1976-09-02,2.423362
1976-09-03,2.385496
1976-09-07,2.322388
1976-09-08,2.33501
1976-09-09,2.322388
1976-09-10,2.360252
1976-09-13,2.3097659999999998
1976-09-14,2.297144
1976-09-15,2.297144
1976-09-16,2.25928
1976-09-17,2.25928
1976-09-20,2.25928
1976-09-21,2.25928
1976-09-22,2.25928
1976-09-23,2.25928
1976-09-24,2.25928
1976-09-27,2.246658
1976-09-28,2.246658
1976-09-29,2.271902
1976-09-30,2.25928
1976-10-01,2.246658
1976-10-04,2.246658
1976-10-05,2.25928
1976-10-06,2.271902
1976-10-07,2.3097659999999998
1976-10-08,2.322388
1976-10-11,2.3097659999999998
1976-10-12,2.25928
1976-10-13,2.271902
1976-10-14,2.284522
1976-10-15,2.25928
1976-10-18,2.33501
1976-10-19,2.271902
1976-10-20,2.25928
1976-10-21,2.3097659999999998
1976-10-22,2.322388
1976-10-25,2.3728740000000004
1976-10-26,2.3728740000000004
1976-10-27,2.435982
1976-10-28,2.48647
1976-10-29,2.461226
1976-11-01,2.461226
1976-11-03,2.385496
1976-11-04,2.3728740000000004
1976-11-05,2.3097659999999998
1976-11-08,2.3097659999999998
1976-11-09,2.3097659999999998
1976-11-10,2.3097659999999998
1976-11-11,2.423362
1976-11-12,2.48647
1976-11-15,2.41074
1976-11-16,2.360252
1976-11-17,2.33501
1976-11-18,2.3097659999999998
1976-11-19,2.322388
1976-11-22,2.385496
1976-11-23,2.385496
1976-11-24,2.3728740000000004
1976-11-26,2.360252
1976-11-29,2.360252
1976-11-30,2.322388
1976-12-01,2.347632
1976-12-02,2.347632
1976-12-03,2.461226
1976-12-06,2.701038
1976-12-07,2.78939
1976-12-08,2.827254
1976-12-09,2.814632
1976-12-10,2.814632
1976-12-13,2.94085
1976-12-14,2.966094
1976-12-15,3.0544439999999997
1976-12-16,3.0039580000000004
1976-12-17,3.041824
1976-12-20,2.966094
1976-12-21,2.953472
1976-12-22,3.01658
1976-12-23,3.180662
1976-12-27,3.458338
1976-12-28,3.4457160000000004
1976-12-29,3.433094
1976-12-30,3.4457160000000004
1976-12-31,3.4457160000000004
1977-01-03,3.458338
1977-01-04,3.3068779999999998
1977-01-05,3.3826080000000003
1977-01-06,3.256392
1977-01-07,3.2059040000000003
1977-01-10,3.2816339999999995
1977-01-11,3.16804
1977-01-12,3.1427959999999997
1977-01-13,3.3195
1977-01-14,3.3068779999999998
1977-01-17,3.180662
1977-01-18,3.1301740000000002
1977-01-19,3.3826080000000003
1977-01-20,3.3068779999999998
1977-01-21,3.47096
1977-01-24,3.5719339999999997
1977-01-25,3.496204
1977-01-26,3.6224199999999995
1977-01-27,3.5719339999999997
1977-01-28,3.5719339999999997
1977-01-31,3.420474
1977-02-01,3.458338
1977-02-02,3.6224199999999995
1977-02-03,3.5088239999999997
1977-02-04,3.5845540000000002
1977-02-07,3.77388
1977-02-08,3.799124
1977-02-09,3.710772
1977-02-10,3.635042
1977-02-11,3.635042
1977-02-14,3.47096
1977-02-15,3.5088239999999997
1977-02-16,3.5088239999999997
1977-02-17,3.647664
1977-02-18,3.534068
1977-02-22,3.5719339999999997
1977-02-23,3.6224199999999995
1977-02-24,3.6224199999999995
1977-02-25,3.6224199999999995
1977-02-28,3.6224199999999995
1977-03-01,3.597176
1977-03-02,3.5845540000000002
1977-03-03,3.5719339999999997
1977-03-04,3.5845540000000002
1977-03-07,3.496204
1977-03-08,3.496204
