Date,PRI
2010-04-01,19.65
2010-04-05,19.85
2010-04-06,19.799999
2010-04-07,20.01
2010-04-08,21.299999
2010-04-09,23.34
2010-04-12,24.41
2010-04-13,24.950001
2010-04-14,24.76
2010-04-15,22.790001
2010-04-16,22.780001000000002
2010-04-19,23.299999
2010-04-20,23.700001
2010-04-21,23.690001000000002
2010-04-22,24.07
2010-04-23,24.639999
2010-04-26,25.02
2010-04-27,24.67
2010-04-28,23.799999
2010-04-29,23.73
2010-04-30,23.719998999999998
2010-05-03,23.75
2010-05-04,23.76
2010-05-05,23.879998999999998
2010-05-06,24.26
2010-05-07,24.32
2010-05-10,24.639999
2010-05-11,24.860001
2010-05-12,25.15
2010-05-13,25.48
2010-05-14,24.549999
2010-05-17,24.379998999999998
2010-05-18,24.41
2010-05-19,24.459999
2010-05-20,23.049999
2010-05-21,23.790001
2010-05-24,23.889999
2010-05-25,23.85
2010-05-26,23.48
2010-05-27,23.940001000000002
2010-05-28,23.700001
2010-06-01,23.74
2010-06-02,23.9
2010-06-03,23.610001
2010-06-04,22.77
2010-06-07,21.690001000000002
2010-06-08,20.98
2010-06-09,21.07
2010-06-10,21.440001000000002
2010-06-11,21.42
2010-06-14,21.52
2010-06-15,21.59
2010-06-16,21.559998999999998
2010-06-17,21.4
2010-06-18,21.389999
2010-06-21,21.49
2010-06-22,21.799999
2010-06-23,22.200001
2010-06-24,22.07
2010-06-25,22.65
2010-06-28,22.030001000000002
2010-06-29,21.75
2010-06-30,21.440001000000002
2010-07-01,21.440001000000002
2010-07-02,21.66
2010-07-06,21.389999
2010-07-07,21.200001
2010-07-08,20.780001000000002
2010-07-09,20.91
2010-07-12,20.57
2010-07-13,21.219998999999998
2010-07-14,20.98
2010-07-15,20.959999
2010-07-16,21.379998999999998
2010-07-19,21.110001
2010-07-20,21.549999
2010-07-21,20.940001000000002
2010-07-22,21.389999
2010-07-23,22.09
2010-07-26,22.65
2010-07-27,23.1
2010-07-28,22.860001
2010-07-29,23.1
2010-07-30,23.370001000000002
2010-08-02,23.440001000000002
2010-08-03,22.6
2010-08-04,23.1
2010-08-05,22.860001
2010-08-06,22.389999
2010-08-09,22.700001
2010-08-10,22.040001
2010-08-11,21.18
2010-08-12,21.129998999999998
2010-08-13,20.969998999999998
2010-08-16,21.200001
2010-08-17,21.379998999999998
2010-08-18,21.280001000000002
2010-08-19,20.809998999999998
2010-08-20,21.030001000000002
2010-08-23,21.01
2010-08-24,20.620001000000002
2010-08-25,20.57
2010-08-26,20.5
2010-08-27,21.549999
2010-08-30,20.99
2010-08-31,21.030001000000002
2010-09-01,21.74
2010-09-02,21.870001000000002
2010-09-03,22.02
2010-09-07,21.25
2010-09-08,20.93
2010-09-09,21.280001000000002
2010-09-10,21.32
2010-09-13,20.85
2010-09-14,21.26
2010-09-15,21.27
2010-09-16,21.48
2010-09-17,21.68
2010-09-20,21.790001
2010-09-21,21.620001000000002
2010-09-22,20.84
2010-09-23,20.42
2010-09-24,20.700001
2010-09-27,20.25
2010-09-28,20.610001
2010-09-29,20.299999
2010-09-30,20.34
2010-10-01,20.5
2010-10-04,20.469998999999998
2010-10-05,20.6
2010-10-06,20.540001
2010-10-07,20.5
2010-10-08,20.5
2010-10-11,20.559998999999998
2010-10-12,20.450001
2010-10-13,20.58
2010-10-14,20.610001
2010-10-15,20.83
2010-10-18,21.02
2010-10-19,20.99
2010-10-20,21.110001
2010-10-21,21.219998999999998
2010-10-22,21.26
2010-10-25,21.17
2010-10-26,21.33
2010-10-27,21.1
2010-10-28,21.190001000000002
2010-10-29,21.120001000000002
2010-11-01,21.01
2010-11-02,21.280001000000002
2010-11-03,21.32
2010-11-04,22.139999
2010-11-05,22.01
2010-11-08,21.389999
2010-11-09,21.08
2010-11-10,21.4
2010-11-11,22.120001000000002
2010-11-12,22.09
2010-11-15,22.08
2010-11-16,21.959999
2010-11-17,21.790001
2010-11-18,21.99
2010-11-19,22.25
2010-11-22,22.26
2010-11-23,22.139999
2010-11-24,22.15
2010-11-26,22.24
2010-11-29,22.200001
2010-11-30,22.59
2010-12-01,22.83
2010-12-02,22.99
2010-12-03,23.209999
2010-12-06,23.549999
2010-12-07,23.42
2010-12-08,23.48
