Date,DLR
2009-10-21,44.82
2009-10-22,46.389998999999996
2009-10-23,45.540001000000004
2009-10-26,45.759997999999996
2009-10-27,45.419998
2009-10-28,44.57
2009-10-29,45.790001000000004
2009-10-30,45.130001
2009-11-02,44.549999
2009-11-03,45.349998
2009-11-04,44.82
2009-11-05,45.259997999999996
2009-11-06,44.790001000000004
2009-11-09,46.93
2009-11-10,46.349998
2009-11-11,47.509997999999996
2009-11-12,46.66
2009-11-13,47.82
2009-11-16,48.790001000000004
2009-11-17,47.43
2009-11-18,48.189999
2009-11-19,47.869999
2009-11-20,47.290001000000004
2009-11-23,47.169998
2009-11-24,46.950001
2009-11-25,47.060001
2009-11-27,46.52
2009-11-30,48.66
2009-12-01,48.720001
2009-12-02,48.77
2009-12-03,48.009997999999996
2009-12-04,49.889998999999996
2009-12-07,48.34
2009-12-08,48.25
2009-12-09,47.990002000000004
2009-12-10,48.130001
2009-12-11,48.200001
2009-12-14,48.41
2009-12-15,48.16
2009-12-16,49.080002
2009-12-17,48.599998
2009-12-18,48.240002000000004
2009-12-21,48.299999
2009-12-22,48.900002
2009-12-23,49.09
2009-12-24,49.349998
2009-12-28,49.830002
2009-12-29,49.240002000000004
2009-12-30,49.799999
2009-12-31,50.279999
2010-01-04,50.150002
2010-01-05,50.48
2010-01-06,49.799999
2010-01-07,50.240002000000004
2010-01-08,50.799999
2010-01-11,50.549999
2010-01-12,49.959998999999996
2010-01-13,50.200001
2010-01-14,50.5
2010-01-15,50.0
2010-01-19,51.049999
2010-01-20,50.450001
2010-01-21,50.470001
2010-01-22,49.099998
2010-01-25,48.790001000000004
2010-01-26,48.5
2010-01-27,48.630001
2010-01-28,47.98
2010-01-29,48.0
2010-02-01,48.299999
2010-02-02,49.57
2010-02-03,49.299999
2010-02-04,47.889998999999996
2010-02-05,48.849998
2010-02-08,47.02
2010-02-09,46.759997999999996
2010-02-10,46.689999
2010-02-11,47.200001
2010-02-12,47.66
2010-02-16,48.43
2010-02-17,48.849998
2010-02-18,49.84
2010-02-19,50.07
2010-02-22,50.779999
2010-02-23,50.639998999999996
2010-02-24,51.119999
2010-02-25,51.240002000000004
2010-02-26,51.580002
2010-03-01,52.419998
2010-03-02,52.82
2010-03-03,52.669998
2010-03-04,52.990002000000004
2010-03-05,54.279999
2010-03-08,54.98
2010-03-09,55.029999
2010-03-10,54.400002
2010-03-11,55.330002
2010-03-12,55.529999
2010-03-15,55.48
2010-03-16,55.939999
2010-03-17,55.959998999999996
2010-03-18,55.93
2010-03-19,56.0
2010-03-22,56.459998999999996
2010-03-23,55.369999
2010-03-24,55.529999
2010-03-25,55.439999
2010-03-26,54.509997999999996
2010-03-29,54.950001
2010-03-30,54.450001
2010-03-31,54.200001
2010-04-01,54.41
2010-04-05,55.700001
2010-04-06,56.27
2010-04-07,55.18
2010-04-08,55.400002
2010-04-09,56.57
2010-04-12,56.32
2010-04-13,58.0
2010-04-14,56.84
2010-04-15,55.650002
2010-04-16,54.93
2010-04-19,54.720001
2010-04-20,56.259997999999996
2010-04-21,56.84
2010-04-22,58.43
2010-04-23,59.34
2010-04-26,60.150002
2010-04-27,58.580002
2010-04-28,58.27
2010-04-29,60.209998999999996
2010-04-30,58.700001
2010-05-03,59.91
2010-05-04,58.740002000000004
2010-05-05,58.240002000000004
2010-05-06,56.52
2010-05-07,55.580002
2010-05-10,60.0
2010-05-11,59.939999
2010-05-12,59.849998
2010-05-13,59.080002
2010-05-14,57.459998999999996
2010-05-17,57.389998999999996
2010-05-18,55.93
2010-05-19,55.310001
2010-05-20,52.919998
2010-05-21,54.5
2010-05-24,53.970001
2010-05-25,54.689999
2010-05-26,55.740002000000004
2010-05-27,57.900002
2010-05-28,56.91
2010-06-01,56.32
2010-06-02,58.91
2010-06-03,60.200001
2010-06-04,58.32
2010-06-07,58.419998
2010-06-08,59.91
2010-06-09,60.630001
2010-06-10,62.200001
2010-06-11,62.560001
2010-06-14,62.18
2010-06-15,62.84
2010-06-16,62.330002
2010-06-17,62.16
2010-06-18,62.639998999999996
2010-06-21,61.939999
2010-06-22,58.98
2010-06-23,59.59
2010-06-24,58.66
2010-06-25,59.189999
2010-06-28,58.509997999999996
2010-06-29,57.27
2010-06-30,57.68
2010-07-01,57.889998999999996
2010-07-02,56.959998999999996
2010-07-06,56.91
2010-07-07,59.349998
2010-07-08,60.080002
2010-07-09,60.529999
2010-07-12,61.48
2010-07-13,62.75
2010-07-14,62.66
2010-07-15,62.66
2010-07-16,60.82
2010-07-19,60.98
2010-07-20,61.709998999999996
2010-07-21,60.360001000000004
2010-07-22,62.57
2010-07-23,60.82
2010-07-26,62.150002
2010-07-27,62.16
2010-07-28,61.830002
2010-07-29,62.0
2010-07-30,63.220001
2010-08-02,63.939999
2010-08-03,62.849998
2010-08-04,62.18
2010-08-05,60.669998
2010-08-06,60.68
2010-08-09,61.200001
2010-08-10,60.060001
2010-08-11,58.93
2010-08-12,59.220001
2010-08-13,59.639998999999996
2010-08-16,59.560001
2010-08-17,60.200001
2010-08-18,59.689999
2010-08-19,58.650002
2010-08-20,58.189999
2010-08-23,58.009997999999996
2010-08-24,58.0
2010-08-25,58.720001
2010-08-26,58.07
2010-08-27,59.189999
2010-08-30,58.169998
2010-08-31,59.27
2010-09-01,60.459998999999996
2010-09-02,62.459998999999996
2010-09-03,62.490002000000004
2010-09-07,62.43
2010-09-08,62.549999
2010-09-09,61.799999
2010-09-10,61.93
2010-09-13,62.540001000000004
2010-09-14,62.049999
2010-09-15,61.880001
2010-09-16,61.950001
2010-09-17,62.240002000000004
2010-09-20,63.259997999999996
2010-09-21,61.869999
2010-09-22,60.77
2010-09-23,59.849998
2010-09-24,60.599998
2010-09-27,61.220001
2010-09-28,61.849998
2010-09-29,61.75
2010-09-30,61.700001
2010-10-01,60.939999
2010-10-04,60.98
2010-10-05,62.27
2010-10-06,59.459998999999996
2010-10-07,60.029999
2010-10-08,60.02
2010-10-11,59.439999
2010-10-12,59.950001
2010-10-13,60.619999
2010-10-14,60.560001
2010-10-15,59.310001
2010-10-18,59.610001000000004
2010-10-19,58.77
2010-10-20,59.439999
2010-10-21,59.349998
2010-10-22,59.439999
2010-10-25,59.389998999999996
2010-10-26,58.849998
2010-10-27,59.060001
2010-10-28,59.689999
2010-10-29,59.73
2010-11-01,59.669998
2010-11-02,60.009997999999996
2010-11-03,59.34
2010-11-04,56.560001
2010-11-05,56.740002000000004
2010-11-08,54.970001
2010-11-09,53.220001
2010-11-10,54.490002000000004
2010-11-11,54.200001
2010-11-12,54.130001
