Date,TIF
1987-05-05,1.916667
1987-05-06,1.916667
1987-05-07,1.875
1987-05-08,1.833333
1987-05-11,1.8125
1987-05-12,1.770833
1987-05-13,1.84375
1987-05-14,1.90625
1987-05-15,1.875
1987-05-18,1.75
1987-05-19,1.791667
1987-05-20,1.822917
1987-05-21,1.833333
1987-05-22,1.822917
1987-05-26,1.822917
1987-05-27,1.84375
1987-05-28,1.833333
1987-05-29,1.8125
1987-06-01,1.78125
1987-06-02,1.802083
1987-06-03,1.854167
1987-06-04,1.864583
1987-06-05,1.895833
1987-06-08,1.885417
1987-06-09,1.895833
1987-06-10,1.916667
1987-06-11,1.90625
1987-06-12,1.90625
1987-06-15,1.90625
1987-06-16,1.895833
1987-06-17,1.875
1987-06-18,1.90625
1987-06-19,1.90625
1987-06-22,1.916667
1987-06-23,1.9375
1987-06-24,1.90625
1987-06-25,1.90625
1987-06-26,1.895833
1987-06-29,1.927083
1987-06-30,1.9375
1987-07-01,1.96875
1987-07-02,1.927083
1987-07-06,1.947917
1987-07-07,1.947917
1987-07-08,1.927083
1987-07-09,1.927083
1987-07-10,1.947917
1987-07-13,1.958333
1987-07-14,1.958333
1987-07-15,1.947917
1987-07-16,2.135417
1987-07-17,2.166667
1987-07-20,2.229167
1987-07-21,2.229167
1987-07-22,2.229167
1987-07-23,2.229167
1987-07-24,2.291667
1987-07-27,2.260417
1987-07-28,2.4375
1987-07-29,2.416667
1987-07-30,2.395833
1987-07-31,2.4375
1987-08-03,2.5
1987-08-04,2.5625
1987-08-05,2.53125
1987-08-06,2.520833
1987-08-07,2.479167
1987-08-10,2.5
1987-08-11,2.5
1987-08-12,2.479167
1987-08-13,2.666667
1987-08-14,2.833333
1987-08-17,2.90625
1987-08-18,2.895833
1987-08-19,2.90625
1987-08-20,2.979167
1987-08-21,3.09375
1987-08-24,3.125
1987-08-25,3.291667
1987-08-26,3.322917
1987-08-27,3.166667
1987-08-28,3.041667
1987-08-31,3.15625
1987-09-01,3.083333
1987-09-02,3.052083
1987-09-03,3.0
1987-09-04,3.020833
1987-09-08,2.947917
1987-09-09,2.947917
1987-09-10,2.947917
1987-09-11,3.125
1987-09-14,3.104167
1987-09-15,3.041667
1987-09-16,3.010417
1987-09-17,3.041667
1987-09-18,2.96875
1987-09-21,2.885417
1987-09-22,2.875
1987-09-23,2.9375
1987-09-24,3.010417
1987-09-25,3.052083
1987-09-28,3.083333
1987-09-29,3.052083
1987-09-30,3.0
1987-10-01,2.895833
1987-10-02,2.90625
1987-10-05,2.791667
1987-10-06,2.802083
1987-10-07,2.833333
1987-10-08,2.739583
1987-10-09,2.6875
1987-10-12,2.6875
1987-10-13,2.635417
1987-10-14,2.604167
